SA2_CODE_2021,UOL_Pe_ex_Da_C11_P,UOL_Pe_ex_Da_C16_M,UOL_Pe_ex_Da_C16_F,UOL_Pe_ex_Da_C16_P,UOL_Pe_ex_Da_C21_M,UOL_Pe_ex_Da_C21_F,UOL_Pe_ex_Da_C21_P,UOL_Portuguese_C11_M,UOL_Portuguese_C11_F,UOL_Portuguese_C11_P,UOL_Portuguese_C16_M,UOL_Portuguese_C16_F,UOL_Portuguese_C16_P,UOL_Portuguese_C21_M,UOL_Portuguese_C21_F,UOL_Portuguese_C21_P,UOL_Punjabi_C11_M,UOL_Punjabi_C11_F,UOL_Punjabi_C11_P,UOL_Punjabi_C16_M,UOL_Punjabi_C16_F,UOL_Punjabi_C16_P,UOL_Punjabi_C21_M,UOL_Punjabi_C21_F,UOL_Punjabi_C21_P,UOL_Russian_C11_M,UOL_Russian_C11_F,UOL_Russian_C11_P,UOL_Russian_C16_M,UOL_Russian_C16_F,UOL_Russian_C16_P,UOL_Russian_C21_M,UOL_Russian_C21_F,UOL_Russian_C21_P,UOL_Serbian_C11_M,UOL_Serbian_C11_F,UOL_Serbian_C11_P,UOL_Serbian_C16_M,UOL_Serbian_C16_F,UOL_Serbian_C16_P,UOL_Serbian_C21_M,UOL_Serbian_C21_F,UOL_Serbian_C21_P,UOL_Sinhalese_C11_M,UOL_Sinhalese_C11_F,UOL_Sinhalese_C11_P,UOL_Sinhalese_C16_M,UOL_Sinhalese_C16_F,UOL_Sinhalese_C16_P,UOL_Sinhalese_C21_M,UOL_Sinhalese_C21_F,UOL_Sinhalese_C21_P,UOL_Spanish_C11_M,UOL_Spanish_C11_F,UOL_Spanish_C11_P,UOL_Spanish_C16_M,UOL_Spanish_C16_F,UOL_Spanish_C16_P,UOL_Spanish_C21_M,UOL_Spanish_C21_F,UOL_Spanish_C21_P,UOL_Tagalog_C11_M,UOL_Tagalog_C11_F,UOL_Tagalog_C11_P,UOL_Tagalog_C16_M,UOL_Tagalog_C16_F,UOL_Tagalog_C16_P,UOL_Tagalog_C21_M,UOL_Tagalog_C21_F,UOL_Tagalog_C21_P,UOL_Tamil_C11_M,UOL_Tamil_C11_F,UOL_Tamil_C11_P,UOL_Tamil_C16_M,UOL_Tamil_C16_F,UOL_Tamil_C16_P,UOL_Tamil_C21_M,UOL_Tamil_C21_F,UOL_Tamil_C21_P,UOL_Thai_C11_M,UOL_Thai_C11_F,UOL_Thai_C11_P,UOL_Thai_C16_M,UOL_Thai_C16_F,UOL_Thai_C16_P,UOL_Thai_C21_M,UOL_Thai_C21_F,UOL_Thai_C21_P,UOL_Turkish_C11_M,UOL_Turkish_C11_F,UOL_Turkish_C11_P,UOL_Turkish_C16_M,UOL_Turkish_C16_F,UOL_Turkish_C16_P,UOL_Turkish_C21_M,UOL_Turkish_C21_F,UOL_Turkish_C21_P,UOL_Urdu_C11_M,UOL_Urdu_C11_F,UOL_Urdu_C11_P,UOL_Urdu_C16_M,UOL_Urdu_C16_F,UOL_Urdu_C16_P,UOL_Urdu_C21_M,UOL_Urdu_C21_F,UOL_Urdu_C21_P,UOL_Viet_C11_M,UOL_Viet_C11_F,UOL_Viet_C11_P,UOL_Viet_C16_M,UOL_Viet_C16_F,UOL_Viet_C16_P,UOL_Viet_C21_M,UOL_Viet_C21_F,UOL_Viet_C21_P,UOL_Other_C11_M,UOL_Other_C11_F,UOL_Other_C11_P,UOL_Other_C16_M,UOL_Other_C16_F,UOL_Other_C16_P,UOL_Other_C21_M,UOL_Other_C21_F,UOL_Other_C21_P,Lang_used_home_NS_C11_M,Lang_used_home_NS_C11_F,Lang_used_home_NS_C11_P,Lang_used_home_NS_C16_M,Lang_used_home_NS_C16_F,Lang_used_home_NS_C16_P,Lang_used_home_NS_C21_M,Lang_used_home_NS_C21_F,Lang_used_home_NS_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
801061130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,6,3,7,32,9,41,44,14,54,38,20,52
801061131,10,12,13,17,8,10,17,0,0,3,9,4,17,9,11,16,0,3,3,4,0,10,7,6,12,0,5,13,13,12,22,10,16,25,5,3,6,3,0,6,13,0,13,3,3,7,0,4,6,12,5,21,13,16,28,11,22,35,26,36,63,7,3,7,5,6,9,7,5,13,0,3,4,3,4,3,11,12,16,0,4,3,4,8,14,4,15,19,4,3,7,0,6,3,5,9,8,0,0,3,7,0,4,10,6,19,0,5,8,11,5,18,13,11,22,31,40,72,46,47,102,84,109,190,158,121,280,174,175,355,318,301,613,1453,1522,2974,2183,2239,4425,3165,3419,6579
801071071,10,4,9,13,4,11,14,5,0,3,4,8,8,4,8,13,4,7,7,8,3,11,23,29,54,4,3,7,0,0,3,0,4,4,7,8,15,7,8,12,9,5,19,6,8,20,7,7,17,13,9,23,32,22,48,20,17,41,29,18,49,11,22,27,8,17,27,12,19,26,9,11,14,9,4,20,3,12,17,7,6,16,4,9,13,10,8,18,0,0,0,0,0,0,0,0,0,22,14,29,20,16,32,17,11,26,24,21,40,14,22,35,10,18,24,89,83,171,88,81,172,89,100,193,149,120,268,92,99,189,72,70,139,2450,2608,5060,2384,2584,4967,2545,2558,5100
801071072,14,7,7,12,12,3,21,0,5,7,5,7,11,0,0,0,8,6,12,13,15,22,13,18,31,9,13,18,0,3,3,3,0,3,9,10,25,7,8,16,3,8,10,10,7,12,3,6,9,6,0,3,9,12,20,12,11,31,10,15,22,6,12,13,4,13,17,12,17,26,19,19,36,21,10,32,14,12,28,0,9,3,0,5,7,0,8,8,0,0,0,4,0,4,0,0,0,8,8,14,9,14,19,13,17,24,37,47,89,42,43,83,27,32,61,73,87,159,96,104,201,89,115,208,55,52,104,55,41,90,72,60,137,1864,1976,3842,1813,1971,3783,1818,2026,3839
801071073,5,0,0,5,0,5,3,0,3,6,0,0,3,0,4,4,3,8,13,20,11,32,20,14,38,4,10,12,10,16,20,10,11,18,9,8,17,9,4,11,11,8,16,3,0,7,5,7,13,3,7,13,27,34,66,26,32,51,15,33,45,0,14,12,3,18,20,3,16,21,9,5,15,7,11,20,5,11,24,0,3,8,3,7,11,7,8,11,4,5,4,4,0,3,5,0,3,0,5,5,9,8,22,9,10,21,18,21,41,16,27,44,14,22,38,97,107,204,78,81,159,70,86,162,78,78,156,135,150,287,92,95,184,2839,2998,5837,2777,2981,5761,2788,2941,5730
801071074,3,0,3,5,3,5,9,0,3,5,0,0,3,0,0,3,0,0,0,0,0,4,6,8,17,0,0,0,3,0,3,3,4,11,11,10,19,12,11,26,13,9,28,0,6,5,7,6,11,9,4,10,10,13,19,9,14,27,16,14,30,7,11,16,9,10,17,13,17,23,0,0,0,0,0,0,0,3,3,8,12,21,8,16,25,7,15,22,0,3,9,0,0,0,0,0,4,4,0,3,3,3,11,5,6,10,16,13,38,12,22,31,11,16,31,67,76,140,77,57,134,68,60,132,50,39,88,108,104,213,95,80,175,2584,2650,5231,2563,2560,5118,2643,2626,5268
801071075,11,13,3,18,10,0,13,3,9,14,0,6,12,10,6,8,7,0,12,17,7,19,17,12,31,0,0,0,8,3,8,0,3,5,11,11,17,5,5,9,10,6,19,9,5,15,13,10,21,6,8,10,19,19,36,15,13,24,19,9,31,8,14,17,10,13,25,11,19,28,3,10,11,4,5,12,4,0,3,6,9,12,3,5,10,0,13,13,0,0,0,0,0,0,0,0,0,4,6,17,3,5,4,11,18,31,25,22,46,14,20,34,25,24,50,92,106,204,74,90,163,87,95,181,82,72,148,122,117,239,65,64,128,2627,2684,5311,2485,2573,5059,2518,2591,5108
801071076,9,3,5,7,10,13,13,0,0,0,0,4,5,0,4,0,3,0,3,0,0,4,8,4,9,0,8,12,0,6,7,0,4,5,5,3,10,4,3,7,8,7,17,0,0,0,0,5,3,3,0,4,9,13,17,11,8,16,6,11,18,0,4,0,0,3,3,0,0,0,3,0,3,5,0,3,6,5,6,3,0,0,3,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,10,5,3,9,7,9,13,5,12,22,26,22,49,27,31,55,25,29,56,23,29,52,42,41,75,22,20,46,1530,1553,3080,1461,1489,2953,1503,1504,3006
801071077,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,6,4,5,3,8,3,9,0,0,0,0,0,0,0,0,0,0,3,3,4,3,9,6,6,13,6,3,17,0,0,0,0,0,0,0,0,3,6,3,8,13,3,16,9,11,18,0,6,6,9,9,14,3,6,11,5,0,3,0,3,5,4,4,3,0,3,7,8,8,14,4,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,24,7,9,20,13,13,26,37,38,72,52,47,92,53,67,123,27,33,59,65,59,131,33,35,62,1424,1418,2841,1421,1329,2751,1383,1326,2706
801071078,12,3,4,12,3,4,9,17,14,28,9,14,20,8,13,17,11,11,22,19,16,35,37,39,74,3,0,6,0,0,0,4,5,9,20,17,30,7,12,21,5,6,19,18,27,45,27,27,53,16,18,34,33,41,72,26,36,60,19,26,50,16,19,33,6,24,30,19,26,48,17,18,29,18,17,33,18,22,41,6,20,27,10,15,25,5,16,20,0,0,0,0,0,0,0,0,0,7,13,22,13,17,27,21,19,42,38,34,69,28,24,56,31,39,70,105,111,219,94,114,203,107,102,206,177,134,311,166,141,309,101,136,240,3755,4011,7770,3666,3950,7610,3798,4096,7892
