SA2_CODE_2021,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Ft_st_C21_M,Ot_ty_Ed_Ins_Ft_st_C21_F,Ot_ty_Ed_Ins_Ft_st_C21_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C21_M,Ot_ty_Ed_Ins_Pt_st_C21_F,Ot_ty_Ed_Ins_Pt_st_C21_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,O_t_E_I_F_P_s_s_ns_C21_M,O_t_E_I_F_P_s_s_ns_C21_F,O_t_E_I_F_P_s_s_ns_C21_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Oth_ty_Edu_Ins_Tot_C21_M,Oth_ty_Edu_Ins_Tot_C21_F,Oth_ty_Edu_Ins_Tot_C21_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Type_Educ_Insti_ns_C21_M,Type_Educ_Insti_ns_C21_F,Type_Educ_Insti_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
801071072,0,7,0,7,6,8,12,9,15,21,3,12,14,7,15,21,0,0,0,0,0,0,0,0,0,14,17,23,9,12,21,15,22,39,74,81,152,65,59,123,71,55,125,557,583,1143,504,528,1035,532,566,1098
801071073,6,5,3,9,7,7,18,14,25,45,13,31,45,15,25,36,3,0,3,0,0,0,0,0,0,24,32,56,21,34,55,26,33,58,113,106,214,143,156,291,89,100,192,902,965,1869,796,933,1725,759,876,1638
801071074,6,4,5,3,18,8,21,6,18,23,6,24,27,13,18,30,0,0,0,0,0,0,0,0,0,8,19,35,3,27,30,29,31,57,97,81,183,120,116,232,89,77,163,792,808,1600,743,727,1470,766,735,1501
801071075,5,0,0,4,0,18,19,9,21,29,9,19,25,19,22,39,4,0,4,0,0,0,0,0,0,15,24,35,10,16,28,23,39,58,107,100,211,135,122,256,72,63,130,888,936,1824,774,815,1590,766,779,1545
801071076,4,3,0,7,0,3,5,3,10,11,8,8,14,4,8,10,0,0,0,0,0,0,0,0,0,6,6,13,12,7,22,10,10,19,45,46,94,41,50,89,23,21,43,444,464,911,439,430,866,404,447,847
801071077,4,4,5,10,7,0,14,7,10,16,4,11,13,12,8,20,0,0,0,0,0,0,0,0,0,10,13,15,3,14,21,21,13,35,61,47,111,72,70,150,33,35,66,443,434,873,443,389,834,407,336,751
801071078,10,7,9,19,15,9,26,20,25,43,21,29,48,21,42,58,0,0,0,0,0,0,0,0,0,22,29,50,28,38,65,35,50,83,217,187,402,184,158,349,116,141,260,1203,1315,2515,1121,1152,2269,1045,1154,2199
801071079,3,3,0,8,9,6,13,3,6,5,5,15,14,10,18,24,0,0,0,0,0,0,0,0,0,8,8,15,4,14,19,12,22,38,76,61,139,59,77,140,37,43,84,434,444,880,436,471,907,457,439,894
801071080,0,0,5,9,11,7,17,0,6,10,8,14,20,13,31,43,0,0,0,0,0,0,0,0,0,6,8,14,3,18,22,23,36,66,28,20,51,50,55,107,101,92,187,144,144,286,192,205,395,432,472,897
801071081,6,3,4,6,3,7,15,5,17,31,4,13,18,20,23,41,0,0,0,0,0,0,0,0,0,8,18,30,9,19,23,28,25,56,103,91,193,120,129,248,53,56,112,634,658,1285,588,680,1271,589,662,1252
