SA2_CODE_2021,Age_55_C21_M,Age_55_C21_F,Age_55_C21_P,Age_56_C11_M,Age_56_C11_F,Age_56_C11_P,Age_56_C16_M,Age_56_C16_F,Age_56_C16_P,Age_56_C21_M,Age_56_C21_F,Age_56_C21_P,Age_57_C11_M,Age_57_C11_F,Age_57_C11_P,Age_57_C16_M,Age_57_C16_F,Age_57_C16_P,Age_57_C21_M,Age_57_C21_F,Age_57_C21_P,Age_58_C11_M,Age_58_C11_F,Age_58_C11_P,Age_58_C16_M,Age_58_C16_F,Age_58_C16_P,Age_58_C21_M,Age_58_C21_F,Age_58_C21_P,Age_59_C11_M,Age_59_C11_F,Age_59_C11_P,Age_59_C16_M,Age_59_C16_F,Age_59_C16_P,Age_59_C21_M,Age_59_C21_F,Age_59_C21_P,Age_55_59_C11_M,Age_55_59_C11_F,Age_55_59_C11_P,Age_55_59_C16_M,Age_55_59_C16_F,Age_55_59_C16_P,Age_55_59_C21_M,Age_55_59_C21_F,Age_55_59_C21_P,Age_60_C11_M,Age_60_C11_F,Age_60_C11_P,Age_60_C16_M,Age_60_C16_F,Age_60_C16_P,Age_60_C21_M,Age_60_C21_F,Age_60_C21_P,Age_61_C11_M,Age_61_C11_F,Age_61_C11_P,Age_61_C16_M,Age_61_C16_F,Age_61_C16_P,Age_61_C21_M,Age_61_C21_F,Age_61_C21_P,Age_62_C11_M,Age_62_C11_F,Age_62_C11_P,Age_62_C16_M,Age_62_C16_F,Age_62_C16_P,Age_62_C21_M,Age_62_C21_F,Age_62_C21_P,Age_63_C11_M,Age_63_C11_F,Age_63_C11_P,Age_63_C16_M,Age_63_C16_F,Age_63_C16_P,Age_63_C21_M,Age_63_C21_F,Age_63_C21_P,Age_64_C11_M,Age_64_C11_F,Age_64_C11_P,Age_64_C16_M,Age_64_C16_F,Age_64_C16_P,Age_64_C21_M,Age_64_C21_F,Age_64_C21_P,Age_60_64_C11_M,Age_60_64_C11_F,Age_60_64_C11_P,Age_60_64_C16_M,Age_60_64_C16_F,Age_60_64_C16_P,Age_60_64_C21_M,Age_60_64_C21_F,Age_60_64_C21_P,Age_65_C11_M,Age_65_C11_F,Age_65_C11_P,Age_65_C16_M,Age_65_C16_F,Age_65_C16_P,Age_65_C21_M,Age_65_C21_F,Age_65_C21_P,Age_66_C11_M,Age_66_C11_F,Age_66_C11_P,Age_66_C16_M,Age_66_C16_F,Age_66_C16_P,Age_66_C21_M,Age_66_C21_F,Age_66_C21_P,Age_67_C11_M,Age_67_C11_F,Age_67_C11_P,Age_67_C16_M,Age_67_C16_F,Age_67_C16_P,Age_67_C21_M,Age_67_C21_F,Age_67_C21_P,Age_68_C11_M,Age_68_C11_F,Age_68_C11_P,Age_68_C16_M,Age_68_C16_F,Age_68_C16_P,Age_68_C21_M,Age_68_C21_F,Age_68_C21_P,Age_69_C11_M,Age_69_C11_F,Age_69_C11_P,Age_69_C16_M,Age_69_C16_F,Age_69_C16_P,Age_69_C21_M,Age_69_C21_F,Age_69_C21_P,Age_65_69_C11_M,Age_65_69_C11_F,Age_65_69_C11_P,Age_65_69_C16_M,Age_65_69_C16_F,Age_65_69_C16_P,Age_65_69_C21_M,Age_65_69_C21_F,Age_65_69_C21_P,Age_70_C11_M,Age_70_C11_F,Age_70_C11_P,Age_70_C16_M,Age_70_C16_F,Age_70_C16_P,Age_70_C21_M,Age_70_C21_F,Age_70_C21_P,Age_71_C11_M,Age_71_C11_F,Age_71_C11_P,Age_71_C16_M,Age_71_C16_F,Age_71_C16_P,Age_71_C21_M,Age_71_C21_F,Age_71_C21_P,Age_72_C11_M,Age_72_C11_F,Age_72_C11_P,Age_72_C16_M,Age_72_C16_F,Age_72_C16_P,Age_72_C21_M,Age_72_C21_F,Age_72_C21_P,Age_73_C11_M,Age_73_C11_F,Age_73_C11_P,Age_73_C16_M,Age_73_C16_F,Age_73_C16_P,Age_73_C21_M,Age_73_C21_F,Age_73_C21_P,Age_74_C11_M,Age_74_C11_F,Age_74_C11_P,Age_74_C16_M,Age_74_C16_F,Age_74_C16_P,Age_74_C21_M,Age_74_C21_F
801071086,13,9,24,8,18,22,11,16,32,7,4,15,7,16,28,12,10,24,13,20,32,17,11,27,9,20,35,20,23,39,14,16,31,11,11,25,18,13,32,67,64,135,73,74,148,67,68,137,18,10,26,18,14,28,15,12,27,8,8,15,4,21,27,12,16,28,15,10,26,14,15,31,9,10,18,14,9,19,16,16,26,9,20,32,14,12,27,6,14,20,8,14,24,62,47,109,56,81,131,57,71,126,4,4,9,19,7,26,18,9,24,6,3,14,7,4,11,9,16,22,0,0,4,10,16,24,12,15,27,7,4,8,12,8,19,22,10,31,3,0,6,7,7,19,10,13,23,20,22,39,58,39,102,58,65,123,3,0,4,0,3,10,12,8,22,3,0,7,0,6,6,6,3,6,8,4,6,0,3,3,8,10,19,0,0,3,4,4,7,8,7,16,3,7,5,3,0,3,6,4
801071087,24,12,29,16,33,45,17,19,30,8,19,28,20,15,35,25,25,45,18,20,37,25,19,41,13,22,35,17,18,40,17,12,23,27,24,52,23,23,38,107,100,210,91,127,219,85,90,170,17,22,40,30,17,53,15,34,46,22,15,36,17,28,45,19,25,38,14,19,36,16,8,24,19,26,44,7,18,22,24,21,49,19,21,40,13,12,20,10,9,21,15,23,46,82,72,159,101,89,194,90,130,215,12,11,25,14,20,35,30,25,48,7,6,15,15,11,30,13,23,42,10,4,16,14,19,32,10,16,27,4,8,13,10,16,22,22,8,29,11,7,20,9,7,12,9,8,14,41,41,80,60,67,126,86,77,156,15,0,18,6,4,18,9,17,23,4,4,11,3,6,17,13,11,25,11,3,15,3,5,8,9,11,24,7,8,18,5,5,15,10,9,16,4,9,7,8,4,17,11,8
801071088,24,43,63,25,15,40,28,31,57,30,28,57,24,22,44,25,23,49,21,32,57,30,12,41,24,36,60,34,31,70,8,24,27,25,28,51,35,28,59,110,113,221,135,155,285,144,162,307,15,16,27,23,32,55,25,30,55,13,16,27,22,7,35,25,26,48,15,11,29,18,19,37,18,30,47,10,10,19,27,8,33,25,35,59,9,12,20,7,14,26,28,28,58,62,62,127,93,92,183,121,145,265,9,8,13,13,17,23,19,27,45,4,6,14,9,6,20,18,12,37,6,10,16,11,7,19,17,18,37,7,3,9,5,6,12,23,8,34,9,4,13,5,15,23,9,13,14,32,31,62,54,49,106,88,77,166,0,5,8,14,3,14,10,5,16,5,11,13,6,4,12,15,6,23,3,4,10,8,10,11,14,10,20,4,5,9,5,3,8,10,8,14,5,5,11,9,4,8,6,10
801071089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,0,0,0,8,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0
801071090,47,54,99,57,65,123,42,52,96,37,47,78,52,76,131,46,57,94,47,50,92,61,67,129,46,75,117,47,33,86,69,62,129,44,67,113,43,60,107,298,350,643,232,295,531,217,242,458,61,66,120,61,64,119,48,54,102,64,61,124,47,59,109,50,41,88,45,53,100,53,72,126,46,51,97,46,59,104,58,67,129,41,65,104,49,56,107,63,63,126,37,62,101,265,286,554,283,322,607,215,272,490,39,45,82,48,51,97,48,55,101,36,35,74,51,56,107,36,55,95,32,35,73,48,45,95,45,57,100,43,24,66,47,50,94,46,66,107,29,22,53,45,52,99,53,61,114,179,165,345,234,257,492,234,289,522,28,21,53,45,36,78,45,53,94,23,22,41,38,30,64,50,60,106,18,17,34,29,37,63,44,35,79,14,18,26,26,27,45,40,38,80,20,13,36,25,23,49,39,45
801071132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801081091,19,17,38,21,27,43,14,20,38,28,16,40,17,20,32,24,13,39,10,13,18,15,22,38,20,21,43,21,23,48,15,28,37,12,24,35,17,36,50,75,109,185,95,106,198,96,104,196,20,28,47,9,12,23,12,23,37,25,19,38,18,15,33,26,19,41,29,32,55,17,15,28,23,24,49,29,24,52,12,21,31,14,17,32,23,25,52,16,23,39,13,20,31,124,118,242,70,88,159,86,101,192,25,18,46,18,20,42,16,15,32,19,21,41,26,15,41,18,21,35,8,22,31,21,25,45,15,10,25,17,12,30,24,25,47,17,17,36,20,22,38,24,19,40,20,25,47,92,95,191,108,106,213,84,97,178,9,7,15,27,18,52,10,19,36,22,15,39,19,24,42,25,14,39,8,15,22,9,26,31,16,21,39,16,14,35,18,10,25,27,26,47,7,9,19,15,21,34,18,18
801081092,19,22,44,20,17,36,23,27,49,24,21,40,10,24,29,20,23,40,22,11,34,12,11,27,23,14,37,15,20,40,19,25,39,17,13,30,21,19,41,79,94,173,97,97,194,109,104,209,17,18,33,14,18,30,16,16,34,21,26,46,16,16,28,21,25,43,14,21,32,10,19,30,16,22,36,11,17,30,11,13,25,19,11,36,21,23,42,18,19,37,14,10,31,78,112,189,67,89,154,98,89,184,21,19,38,10,14,23,14,6,27,19,18,37,9,19,35,11,17,28,20,9,29,14,26,35,9,20,26,19,18,37,6,15,25,10,10,20,18,5,23,26,24,50,15,19,34,93,70,163,67,97,168,61,71,135,15,20,28,22,12,34,7,22,29,3,13,15,12,16,36,16,23,40,11,8,16,25,7,34,8,18,30,15,13,22,16,14,31,7,16,21,9,12,20,16,8,23,21,24
801081093,19,15,35,11,26,35,15,9,25,15,15,29,11,15,24,11,18,23,18,19,34,14,15,30,11,11,27,5,21,26,18,21,37,10,13,24,13,20,34,67,94,159,62,81,145,75,84,161,17,17,34,11,14,30,11,29,38,15,21,39,11,23,37,15,11,25,18,24,39,19,12,33,8,10,26,16,18,32,12,10,17,18,5,22,23,26,46,8,20,26,10,15,24,84,101,185,63,83,147,63,70,135,23,17,34,10,17,27,10,19,23,14,15,35,16,16,34,6,20,25,23,18,40,15,15,34,20,10,29,11,19,37,10,16,23,9,9,23,16,16,34,17,20,40,9,19,29,90,87,171,68,83,153,56,72,131,18,19,29,17,11,29,6,13,20,14,14,33,13,14,26,15,18,31,9,14,20,18,19,32,16,16,29,11,11,24,11,16,32,10,16,25,12,8,27,17,16,31,20,27
801081094,9,19,31,3,16,20,14,16,27,19,9,28,6,12,24,6,21,31,15,15,35,15,13,27,11,23,32,21,9,28,11,19,25,13,17,31,19,17,33,61,70,132,56,88,145,75,77,153,3,19,23,18,16,36,11,17,32,16,26,40,9,12,20,11,16,33,20,23,50,12,14,20,13,14,26,23,18,45,9,10,26,14,17,30,22,27,48,10,17,22,13,16,34,89,117,206,65,62,126,57,86,146,15,19,35,5,14,20,25,12,36,17,23,40,16,18,34,9,7,17,25,12,38,16,18,31,5,9,16,8,19,33,28,17,42,20,14,31,17,4,24,13,24,36,8,20,24,83,83,167,76,90,169,63,59,122,10,17,23,12,19,30,7,16,27,15,12,31,17,23,32,18,24,42,4,16,19,18,12,35,11,16,30,11,12,21,8,20,28,15,13,28,13,4,15,16,7,23,12,25
