SA2_CODE_2021,C11_0_14_SEO,C11_0_14_UOL_SE_Vw_w,C11_0_14_UOL_SE_Nw_Na,C11_0_14_UOL_SE_P_E_n,C11_0_14_UOL_SE_Tot,C11_0_14_LPE_NS,C11_0_14_Tot,C11_15_24_SEO,C11_15_24_UOL_SE_Vw_w,C11_15_24_UOL_SE_Nw_Na,C11_15_24_UOL_SE_P_E_n,C11_15_24_UOL_SE_Tot,C11_15_24_LPE_NS,C11_15_24_Tot,C11_25_34_SEO,C11_25_34_UOL_SE_Vw_w,C11_25_34_UOL_SE_Nw_Na,C11_25_34_UOL_SE_P_E_n,C11_25_34_UOL_SE_Tot,C11_25_34_LPE_NS,C11_25_34_Tot,C11_35_44_SEO,C11_35_44_UOL_SE_Vw_w,C11_35_44_UOL_SE_Nw_Na,C11_35_44_UOL_SE_P_E_n,C11_35_44_UOL_SE_Tot,C11_35_44_LPE_NS,C11_35_44_Tot,C11_45_54_SEO,C11_45_54_UOL_SE_Vw_w,C11_45_54_UOL_SE_Nw_Na,C11_45_54_UOL_SE_P_E_n,C11_45_54_UOL_SE_Tot,C11_45_54_LPE_NS,C11_45_54_Tot,C11_55_64_SEO,C11_55_64_UOL_SE_Vw_w,C11_55_64_UOL_SE_Nw_Na,C11_55_64_UOL_SE_P_E_n,C11_55_64_UOL_SE_Tot,C11_55_64_LPE_NS,C11_55_64_Tot,C11_65_74_SEO,C11_65_74_UOL_SE_Vw_w,C11_65_74_UOL_SE_Nw_Na,C11_65_74_UOL_SE_P_E_n,C11_65_74_UOL_SE_Tot,C11_65_74_LPE_NS,C11_65_74_Tot,C11_75_84_SEO,C11_75_84_UOL_SE_Vw_w,C11_75_84_UOL_SE_Nw_Na,C11_75_84_UOL_SE_P_E_n,C11_75_84_UOL_SE_Tot,C11_75_84_LPE_NS,C11_75_84_Tot,C11_85_over_SEO,C11_85_over_UOL_SE_Vw_w,C11_85_over_UOL_SE_Nw_Na,C11_85_over_UOL_SE_P_E_n,C11_85_over_UOL_SE_Tot,C11_85_over_LPE_NS,C11_85_over_Tot,C11_Tot_SEO,C11_Tot_UOL_SE_Vw_w,C11_Tot_UOL_SE_Nw_Na,C11_Tot_UOL_SE_P_E_n,C11_Tot_UOL_SE_Tot,C11_Tot_LPE_NS,C11_Tot_Tot,C16_0_14_SEO,C16_0_14_UOL_SE_Vw_w,C16_0_14_UOL_SE_Nw_Na,C16_0_14_UOL_SE_P_E_n,C16_0_14_UOL_SE_Tot,C16_0_14_LPE_NS,C16_0_14_Tot,C16_15_24_SEO,C16_15_24_UOL_SE_Vw_w,C16_15_24_UOL_SE_Nw_Na,C16_15_24_UOL_SE_P_E_n,C16_15_24_UOL_SE_Tot,C16_15_24_LPE_NS,C16_15_24_Tot,C16_25_34_SEO,C16_25_34_UOL_SE_Vw_w,C16_25_34_UOL_SE_Nw_Na,C16_25_34_UOL_SE_P_E_n,C16_25_34_UOL_SE_Tot,C16_25_34_LPE_NS,C16_25_34_Tot,C16_35_44_SEO,C16_35_44_UOL_SE_Vw_w,C16_35_44_UOL_SE_Nw_Na,C16_35_44_UOL_SE_P_E_n,C16_35_44_UOL_SE_Tot,C16_35_44_LPE_NS,C16_35_44_Tot,C16_45_54_SEO,C16_45_54_UOL_SE_Vw_w,C16_45_54_UOL_SE_Nw_Na,C16_45_54_UOL_SE_P_E_n,C16_45_54_UOL_SE_Tot,C16_45_54_LPE_NS,C16_45_54_Tot,C16_55_64_SEO,C16_55_64_UOL_SE_Vw_w,C16_55_64_UOL_SE_Nw_Na,C16_55_64_UOL_SE_P_E_n,C16_55_64_UOL_SE_Tot,C16_55_64_LPE_NS,C16_55_64_Tot,C16_65_74_SEO,C16_65_74_UOL_SE_Vw_w,C16_65_74_UOL_SE_Nw_Na,C16_65_74_UOL_SE_P_E_n,C16_65_74_UOL_SE_Tot,C16_65_74_LPE_NS,C16_65_74_Tot,C16_75_84_SEO,C16_75_84_UOL_SE_Vw_w,C16_75_84_UOL_SE_Nw_Na,C16_75_84_UOL_SE_P_E_n,C16_75_84_UOL_SE_Tot,C16_75_84_LPE_NS,C16_75_84_Tot,C16_85_over_SEO,C16_85_over_UOL_SE_Vw_w,C16_85_over_UOL_SE_Nw_Na,C16_85_over_UOL_SE_P_E_n,C16_85_over_UOL_SE_Tot,C16_85_over_LPE_NS,C16_85_over_Tot,C16_Tot_SEO,C16_Tot_UOL_SE_Vw_w,C16_Tot_UOL_SE_Nw_Na,C16_Tot_UOL_SE_P_E_n,C16_Tot_UOL_SE_Tot,C16_Tot_LPE_NS,C16_Tot_Tot,C21_0_14_SEO,C21_0_14_UOL_SE_Vw_w,C21_0_14_UOL_SE_Nw_Na,C21_0_14_UOL_SE_P_E_n,C21_0_14_UOL_SE_Tot,C21_0_14_LPE_NS,C21_0_14_Tot,C21_15_24_SEO,C21_15_24_UOL_SE_Vw_w,C21_15_24_UOL_SE_Nw_Na,C21_15_24_UOL_SE_P_E_n,C21_15_24_UOL_SE_Tot,C21_15_24_LPE_NS,C21_15_24_Tot,C21_25_34_SEO,C21_25_34_UOL_SE_Vw_w,C21_25_34_UOL_SE_Nw_Na,C21_25_34_UOL_SE_P_E_n,C21_25_34_UOL_SE_Tot,C21_25_34_LPE_NS,C21_25_34_Tot,C21_35_44_SEO,C21_35_44_UOL_SE_Vw_w,C21_35_44_UOL_SE_Nw_Na,C21_35_44_UOL_SE_P_E_n,C21_35_44_UOL_SE_Tot,C21_35_44_LPE_NS,C21_35_44_Tot,C21_45_54_SEO,C21_45_54_UOL_SE_Vw_w,C21_45_54_UOL_SE_Nw_Na,C21_45_54_UOL_SE_P_E_n,C21_45_54_UOL_SE_Tot,C21_45_54_LPE_NS,C21_45_54_Tot,C21_55_64_SEO,C21_55_64_UOL_SE_Vw_w,C21_55_64_UOL_SE_Nw_Na,C21_55_64_UOL_SE_P_E_n,C21_55_64_UOL_SE_To,C21_55_64_LPE_NS,C21_55_64_T,C21_65_74_SEO,C21_65_74_UOL_SE_Vw_w,C21_65_74_UOL_SE_Nw_Na,C21_65_74_UOL_SE_P_E_n,C21_65_74_UOL_SE_Tot,C21_65_74_LPE_NS,C21_65_74_Tot,C21_75_84_SEO,C21_75_84_UOL_SE_Vw_w,C21_75_84_UOL_SE_Nw_Na,C21_75_84_UOL_SE_P_E_n,C21_75_84_UOL_SE_Tot,C21_75_84_LPE_NS,C21_75_84_Tot,C21_85_over_SEO,C21_85_over_UOL_SE_Vw_w,C21_85_over_UOL_SE_Nw_Na,C21_85_over_UOL_SE_P_E_n
801041034,1405,180,44,0,228,9,1643,495,108,5,0,116,8,620,588,157,6,4,166,9,765,968,229,10,3,246,11,1229,508,161,8,0,173,12,692,259,68,14,5,86,14,355,119,49,20,3,70,5,196,49,8,0,0,16,0,64,9,0,5,0,5,0,12,4406,965,121,17,1101,68,5572,1238,197,39,8,244,29,1509,599,112,3,0,121,21,741,498,133,9,0,141,16,655,821,230,11,4,240,24,1094,669,175,13,0,184,32,886,314,98,23,0,123,23,457,159,52,21,0,70,3,232,79,23,14,0,39,9,126,14,0,0,0,4,0,16,4376,1028,130,15,1170,157,5708,1062,229,42,14,282,42,1383,701,154,6,0,158,24,886,525,215,10,0,229,37,784,633,280,12,0,293,30,957,804,224,6,0,237,20,1062,394,141,17,0,154,9,562,229,63,18,0,79,8,316,100,26,11,0,43,0,139,24,3,5,0
801041035,235,124,42,8,177,17,428,121,38,0,0,37,6,161,306,151,13,4,160,8,474,130,120,8,0,132,12,268,56,36,6,0,32,0,96,25,13,7,0,18,0,47,3,3,0,0,6,0,11,6,0,0,0,0,0,3,0,0,0,0,0,0,0,882,484,74,14,570,36,1497,1258,629,152,15,791,111,2152,376,273,9,6,288,32,693,773,535,26,3,563,44,1381,648,714,50,3,766,78,1488,282,259,31,0,288,27,602,144,67,37,0,107,9,264,58,31,26,0,61,3,117,17,3,3,0,9,0,22,0,0,0,0,0,0,5,3560,2511,331,24,2864,300,6730,1241,709,89,17,817,76,2132,506,348,5,0,352,34,892,528,544,28,6,576,41,1150,731,784,41,0,822,51,1603,437,392,31,0,423,23,890,175,118,40,0,160,8,345,106,61,50,0,109,7,222,42,24,24,0,47,3,92,4,3,0,0
801041036,235,60,14,0,73,24,337,177,51,6,0,52,9,232,359,93,4,0,97,14,472,146,69,3,0,75,15,230,85,20,3,0,29,8,115,54,20,3,0,26,0,82,12,0,0,0,3,0,18,3,0,3,0,4,0,7,0,0,0,0,0,0,0,1069,321,41,4,357,62,1490,1051,273,79,11,364,49,1466,413,145,9,0,149,32,590,1050,441,30,0,468,73,1594,714,366,16,3,382,37,1131,329,134,15,0,149,23,500,195,65,28,0,92,19,309,77,24,15,0,40,7,122,23,5,8,0,12,8,33,0,0,0,0,3,0,8,3855,1444,191,17,1653,245,5759,1139,386,67,23,477,67,1673,512,157,3,0,162,15,689,730,427,20,0,453,30,1211,838,569,23,0,591,44,1472,477,208,14,0,229,15,717,262,108,35,0,143,16,423,147,51,19,0,70,13,226,43,9,12,0,11,0,56,5,6,0,0
801041037,64,20,12,0,30,4,101,67,19,0,0,23,0,90,143,85,0,0,85,3,234,43,33,0,0,38,3,86,28,6,0,0,7,0,38,8,0,0,0,0,0,12,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,180,18,0,194,9,566,681,264,91,8,370,40,1084,296,171,8,0,178,16,493,682,454,11,0,468,54,1203,424,376,29,0,407,35,866,220,149,20,0,169,3,388,117,80,34,0,113,11,236,83,24,17,0,36,0,119,32,14,6,0,19,0,53,4,0,0,0,0,0,8,2537,1535,205,16,1757,165,4456,754,335,61,17,413,30,1195,274,162,4,0,168,6,447,500,322,20,0,343,24,863,540,490,15,0,500,11,1057,307,220,14,0,238,4,552,157,99,25,0,124,8,284,138,49,28,0,74,5,218,109,20,14,0,27,4,140,32,5,0,0
801041038,509,102,42,0,147,20,683,157,55,8,0,66,8,225,337,190,10,0,201,4,544,349,149,5,0,156,13,514,125,55,4,0,60,3,191,69,31,12,0,42,8,115,24,11,4,0,13,0,42,5,0,0,0,0,0,12,0,0,0,0,0,0,0,1576,597,88,9,688,55,2318,920,256,61,8,321,41,1283,299,107,5,0,113,13,429,366,209,5,0,222,21,601,630,328,20,0,348,31,1009,382,144,15,0,159,26,565,154,60,37,0,97,12,257,85,27,4,0,33,5,120,19,3,5,0,8,3,30,10,0,0,0,0,0,11,2861,1134,155,9,1298,155,4307,836,272,36,12,317,29,1185,403,126,5,0,131,15,554,280,150,8,0,162,22,468,521,358,9,0,366,17,901,515,218,13,0,225,19,759,202,87,15,3,108,4,313,118,31,24,0,53,9,184,45,9,9,0,16,0,59,3,0,3,0
801041039,510,239,94,15,346,28,887,303,234,17,0,253,20,584,566,511,20,3,540,44,1146,301,305,23,3,342,26,668,148,137,23,0,156,10,320,63,56,25,0,79,4,148,15,16,12,0,27,0,37,0,3,3,0,6,0,7,0,0,0,0,0,0,0,1915,1518,217,28,1756,137,3805,752,439,164,9,609,44,1401,415,442,43,0,488,35,931,776,832,90,0,918,81,1783,560,613,51,4,668,50,1279,250,237,49,0,290,25,563,115,113,59,0,173,11,299,69,27,26,0,55,4,126,11,8,9,0,20,5,33,0,0,0,0,3,0,4,2950,2719,485,22,3224,249,6420,727,582,120,30,730,53,1511,546,385,8,0,394,39,975,705,1087,64,0,1161,79,1938,593,774,69,0,851,44,1484,387,388,68,0,456,20,864,167,169,67,0,235,9,409,72,77,62,0,144,9,222,23,22,19,0,41,4,58,3,3,10,0
801041040,841,241,95,9,349,48,1230,567,347,23,5,374,49,983,731,462,44,3,516,82,1325,649,298,36,0,344,43,1034,307,199,33,0,236,21,566,179,75,34,0,107,12,295,72,25,25,0,49,3,124,19,4,8,0,11,5,34,11,0,7,0,7,0,16,3370,1659,303,20,1982,268,5618,747,286,105,11,411,60,1210,551,391,51,4,446,61,1056,588,574,72,8,659,93,1334,536,416,57,6,476,65,1075,416,224,39,0,270,34,719,214,119,88,0,207,28,449,111,46,36,0,79,10,203,38,17,16,0,25,5,72,11,8,4,0,7,0,19,3204,2082,466,32,2580,349,6131,764,375,145,26,543,69,1377,738,443,27,0,474,38,1252,856,1343,118,0,1462,72,2390,596,673,94,0,765,49,1413,579,306,74,0,379,33,993,340,199,72,0,267,17,625,179,96,78,0,172,6,360,78,31,29,0,60,5,148,25,4,9,0
801041043,79,0,0,0,0,0,79,25,0,0,0,0,0,28,19,3,0,0,3,3,23,46,3,0,0,3,0,48,49,0,0,0,0,3,48,47,0,0,0,0,0,48,30,0,0,0,0,0,34,13,6,0,0,6,0,16,3,0,0,0,0,0,3,313,7,0,0,10,9,331,54,0,0,0,0,0,54,30,0,0,0,0,0,31,10,0,0,0,0,0,12,33,3,0,0,3,0,37,40,0,0,0,0,0,47,38,0,0,0,0,0,39,35,0,0,0,0,0,35,18,0,0,0,0,0,22,0,0,0,0,0,0,3,255,7,0,0,7,9,276,48,0,0,0,0,0,54,34,0,0,0,0,0,35,11,0,0,0,0,0,16,28,0,0,0,0,0,28,46,3,0,0,3,0,55,39,4,0,0,4,0,41,46,0,0,0,0,6,47,24,0,0,0,0,0,26,0,0,0,0
801041044,928,240,66,9,307,59,1293,330,129,5,0,142,23,495,538,294,20,0,314,29,882,650,291,21,3,312,25,986,278,144,25,0,167,21,469,144,52,17,0,69,5,218,43,20,16,0,38,12,86,5,0,4,0,4,0,11,0,0,0,0,5,0,5,2915,1169,171,16,1354,176,4441,1271,475,145,24,643,59,1979,585,418,38,0,457,31,1070,844,765,65,3,829,63,1737,815,631,45,0,683,47,1546,456,258,51,4,315,24,794,167,115,60,0,172,16,354,84,38,18,0,58,4,141,34,11,11,5,26,5,54,0,0,0,0,7,0,7,4262,2711,442,32,3176,243,7691,1153,538,108,26,674,63,1889,710,341,17,0,362,39,1107,743,868,61,0,927,67,1739,815,697,62,0,766,42,1617,620,364,63,0,427,24,1074,229,173,72,0,246,6,481,108,65,54,0,123,3,228,47,21,10,0,32,5,89,7,0,4,0
801041045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041046,1683,319,101,7,427,52,2165,887,210,8,0,226,27,1141,1335,399,16,4,416,44,1793,1171,374,31,6,408,36,1617,779,203,36,0,243,29,1053,457,150,32,0,177,16,651,268,68,28,0,95,3,370,125,22,11,0,30,8,160,23,0,5,0,5,5,34,6731,1743,263,19,2029,216,8983,1748,414,115,14,546,114,2405,1051,232,15,0,244,66,1362,1499,519,20,7,542,107,2151,1100,473,34,4,509,82,1690,931,291,40,0,328,62,1325,556,148,41,0,195,36,785,363,95,28,0,119,21,503,166,30,16,0,46,16,225,30,4,5,0,8,0,39,7444,2199,312,29,2538,499,10486,1644,502,110,48,654,71,2372,951,265,5,0,272,39,1266,1313,563,28,0,586,58,1963,1146,613,54,0,669,52,1868,956,322,36,0,360,31,1344,696,182,50,0,233,21,944,496,115,59,0,170,20,686,320,51,32,0,82,13,409,75,4,17,0
801041047,1305,205,35,7,250,55,1612,737,197,9,6,205,16,954,425,163,15,0,171,13,617,831,262,20,0,279,38,1146,874,316,23,0,340,26,1244,604,170,21,3,186,15,808,299,68,25,0,92,9,403,111,16,17,0,29,6,148,18,0,7,0,4,0,24,5217,1394,162,15,1565,170,6950,1032,198,43,0,237,40,1309,850,169,8,0,175,53,1078,359,153,6,0,160,38,554,584,200,19,0,219,40,845,925,317,21,0,339,63,1321,621,214,36,0,250,44,918,420,83,31,0,113,27,558,163,41,17,0,61,19,243,30,8,6,0,13,0,40,4986,1377,181,9,1569,311,6862,883,207,27,9,243,20,1146,771,166,3,0,169,11,944,380,180,12,0,187,8,579,480,227,12,0,236,7,724,847,264,22,0,289,16,1147,722,257,24,4,286,18,1026,525,142,35,0,181,15,711,251,55,26,0,81,3,340,37,11,10,0
801041048,838,246,62,9,315,13,1173,601,245,8,3,256,16,871,612,296,22,0,319,18,956,616,268,33,0,303,21,939,554,235,36,0,276,17,840,350,140,36,0,176,17,549,159,42,19,0,60,4,232,59,24,13,0,37,4,97,11,3,5,0,10,0,24,3807,1507,230,15,1761,110,5680,737,214,71,8,287,52,1073,564,172,15,0,188,29,783,563,248,18,0,269,42,879,510,236,25,4,267,34,813,543,210,46,3,253,35,839,384,173,36,0,209,15,612,245,76,29,0,106,12,365,75,23,15,0,45,10,131,15,3,16,0,21,5,41,3644,1354,276,19,1649,234,5529,778,254,48,9,314,38,1138,458,161,11,0,172,7,641,578,215,21,0,240,34,852,508,304,28,3,332,27,878,500,203,35,0,238,21,751,417,178,40,0,214,16,647,279,111,59,0,173,14,462,111,27,22,0,55,9,170,22,10,14,0
801041116,0,0,0,0,0,0,0,21,0,0,0,0,0,24,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,73,11,0,84,5,203,50,24,0,0,22,0,73,114,76,3,0,79,0,196,39,73,4,0,80,0,128,14,14,4,0,21,0,37,9,0,5,0,7,0,20,11,0,5,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,262,31,0,295,9,666,112,81,10,5,99,10,221,37,37,0,0,35,0,73,74,57,0,0,54,3,134,56,99,4,0,107,0,167,27,34,6,0,43,6,77,9,0,8,0,11,0,17,10,0,4,0,13,0,15,5,0,0,0,0,0,4,0,0,0,0
801041119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,10,3,0,0,0,0,0,6,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,5,0,12,0,31,0,3,0,0,3,0,6,15,14,0,0,14,4,36,0,12,0,0,12,0,14,0,3,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,35,9,0,46,13,101,840,555,115,22,691,67,1597,328,185,11,0,194,24,541,506,565,26,0,592,43,1149,452,702,28,0,734,39,1227,232,212,17,0,226,14,468,85,63,25,0,96,8,190,47,38,20,0,59,3,107,23,8,3,0,10,0,32,0,0,0,0
801041121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,295,53,14,365,20,637,87,101,0,0,107,9,205,143,371,8,5,384,22,549,108,353,15,0,364,19,495,49,88,9,0,97,5,152,35,36,17,0,53,5,98,18,25,22,0,52,0,69,6,3,8,0,10,0,18,0,0,0,0
801041122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,315,54,17,392,11,712,95,95,0,0,98,0,191,145,326,25,0,350,24,514,175,364,30,0,396,9,582,110,108,24,0,127,0,236,44,25,22,0,41,3,91,16,21,11,0,33,0,50,9,0,4,0,6,0,19,0,0,0,0
801051049,11,0,0,0,4,0,12,801,517,8,0,528,99,1427,89,290,16,0,304,31,421,15,53,0,0,52,3,74,8,4,0,0,4,0,19,3,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931,867,29,5,897,141,1965,9,6,0,0,6,0,13,932,516,22,3,549,86,1563,102,271,6,0,275,22,399,19,49,4,0,52,9,76,8,10,0,0,10,0,21,8,0,0,0,0,0,8,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1072,862,31,3,896,118,2086,6,0,0,0,0,4,6,1680,360,10,0,369,460,2509,74,164,0,0,165,27,267,12,32,0,0,35,3,51,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051050,721,82,25,0,107,28,854,547,72,4,0,76,20,644,539,114,9,4,122,30,695,633,90,7,0,96,30,765,633,81,11,0,92,33,754,485,55,13,0,63,25,570,229,30,15,0,45,18,293,224,53,23,0,78,32,329,141,18,8,5,26,45,211,4140,579,112,14,702,260,5103,738,89,28,0,119,50,905,517,95,9,0,108,22,650,496,81,3,0,83,25,603,551,85,6,0,91,35,683,618,87,11,0,101,51,770,521,52,17,0,77,37,633,311,43,9,0,55,24,384,233,33,23,0,55,20,312,178,21,16,0,38,28,245,4168,589,126,5,722,293,5183,772,75,14,8,94,25,891,584,81,4,0,82,20,688,497,83,0,0,83,21,603,577,85,7,0,97,16,694,624,89,7,0,92,15,736,574,68,11,0,79,29,690,429,49,20,0,69,18,515,260,29,10,0,39,12,311,185,34,22,0
801051051,146,53,36,0,91,26,263,602,391,19,0,415,86,1101,1082,404,22,0,429,187,1702,351,131,12,0,146,79,574,242,59,12,0,67,32,341,200,41,16,0,54,38,292,98,20,10,0,31,27,161,54,14,7,0,22,5,85,25,4,0,0,11,4,34,2795,1127,137,5,1272,490,4557,182,48,20,0,73,16,272,716,449,27,3,473,128,1324,1409,496,23,0,524,213,2147,414,160,12,3,176,74,669,309,77,12,0,89,49,451,227,34,19,0,60,24,305,140,21,14,0,40,18,195,60,11,9,0,21,17,104,28,7,3,0,11,5,42,3486,1312,148,13,1469,548,5500,203,72,41,5,123,16,334,804,299,8,0,307,54,1162,1707,705,25,0,726,132,2572,688,277,16,0,295,45,1028,348,97,6,0,105,23,471,312,52,11,0,65,13,391,203,34,10,0,40,13,263,82,25,13,0,34,3,127,32,8,3,0
801051053,21,17,0,3,24,9,56,447,799,28,9,835,137,1415,382,230,10,3,239,79,700,148,54,0,0,57,27,238,126,25,5,0,30,24,178,113,22,0,0,26,17,157,35,3,0,0,3,0,38,12,3,0,0,5,7,26,5,0,0,0,0,0,7,1302,1155,53,18,1224,304,2823,52,20,15,3,38,14,105,710,1156,78,3,1246,82,2037,584,392,23,3,421,147,1159,205,83,8,0,89,46,342,175,43,0,0,43,45,256,151,33,4,0,40,29,221,78,9,4,0,16,22,112,17,9,0,0,9,6,27,14,6,0,0,8,5,27,1986,1758,133,13,1899,390,4275,70,53,11,0,68,13,151,796,677,27,0,711,306,1810,651,651,20,0,671,121,1452,283,190,10,0,199,43,525,237,83,12,0,94,18,351,203,43,8,0,51,19,275,147,25,3,0,30,8,184,56,9,0,0,7,5,71,12,4,0,0
801051054,229,51,21,3,71,6,308,290,63,4,0,70,12,376,332,103,9,0,112,32,486,216,46,15,0,56,14,285,192,43,10,0,54,16,253,143,13,11,0,23,8,177,98,12,9,0,19,9,121,79,17,9,0,18,0,102,30,0,3,0,0,0,38,1620,354,75,6,435,93,2143,210,58,24,0,75,11,294,271,90,6,0,102,22,392,362,118,19,0,139,32,535,206,76,10,0,84,15,306,161,40,10,4,53,17,229,123,18,5,0,23,8,149,81,17,8,0,23,11,110,62,7,4,0,16,13,89,38,9,0,0,11,3,49,1516,430,82,6,518,116,2148,292,91,20,9,119,16,425,449,135,3,0,145,22,613,620,260,19,0,279,29,935,325,131,20,0,150,16,485,251,64,22,0,83,4,341,203,34,6,0,42,9,251,99,12,9,0,19,6,128,62,9,0,0,11,3,80,32,0,6,0
