SA2_CODE_2021,C16_CFNC_BF_4000more,C16_CFNC_BF_Ns,C16_CFNC_BF_Tot,C16_CFNC_BPT_Neg_ni_inc,C16_CFNC_BPT_1_149,C16_CFNC_BPT_150_399,C16_CFNC_BPT_400_649,C16_CFNC_BPT_650_799,C16_CFNC_BPT_800_1249,C16_CFNC_BPT_1250_1999,C16_CFNC_BPT_2000_2499,C16_CFNC_BPT_2500_2999,C16_CFNC_BPT_3000_3999,C16_CFNC_BPT_4000more,C16_CFNC_BPT_Ns,C16_CFNC_BPT_Tot,C16_CFNC_1F1P_Neg_ni_inc,C16_CFNC_1F1P_1_149,C16_CFNC_1F1P_150_399,C16_CFNC_1F1P_400_649,C16_CFNC_1F1P_650_799,C16_CFNC_1F1P_800_1249,C16_CFNC_1F1P_1250_1999,C16_CFNC_1F1P_2000_2499,C16_CFNC_1F1P_2500_2999,C16_CFNC_1F1P_3000_3999,C16_CFNC_1F1P_4000more,C16_CFNC_1F1P_Ns,C16_CFNC_1F1P_Tot,C16_CFNC_1E1A_Neg_ni_inc,C16_CFNC_1E1A_1_149,C16_CFNC_1E1A_150_399,C16_CFNC_1E1A_400_649,C16_CFNC_1E1A_650_799,C16_CFNC_1E1A_800_1249,C16_CFNC_1E1A_1250_1999,C16_CFNC_1E1A_2000_2499,C16_CFNC_1E1A_2500_2999,C16_CFNC_1E1A_3000_3999,C16_CFNC_1E1A_4000more,C16_CFNC_1E1A_Ns,C16_CFNC_1E1A_Tot,C16_CFNC_1F1NW_Neg_ni_inc,C16_CFNC_1F1NW_1_149,C16_CFNC_1F1NW_150_399,C16_CFNC_1F1NW_400_649,C16_CFNC_1F1NW_650_799,C16_CFNC_1F1NW_800_1249,C16_CFNC_1F1NW_1250_1999,C16_CFNC_1F1NW_2000_2499,C16_CFNC_1F1NW_2500_2999,C16_CFNC_1F1NW_3000_3999,C16_CFNC_1F1NW_4000more,C16_CFNC_1F1NW_Ns,C16_CFNC_1F1NW_Tot,C16_CFNC_1P1NW_Neg_ni_inc,C16_CFNC_1P1NW_1_149,C16_CFNC_1P1NW_150_399,C16_CFNC_1P1NW_400_649,C16_CFNC_1P1NW_650_799,C16_CFNC_1P1NW_800_1249,C16_CFNC_1P1NW_1250_1999,C16_CFNC_1P1NW_2000_2499,C16_CFNC_1P1NW_2500_2999,C16_CFNC_1P1NW_3000_3999,C16_CFNC_1P1NW_4000more,C16_CFNC_1P1NW_Ns,C16_CFNC_1P1NW_Tot,C16_CFNC_1A1NW_Neg_ni_inc,C16_CFNC_1A1NW_1_149,C16_CFNC_1A1NW_150_399,C16_CFNC_1A1NW_400_649,C16_CFNC_1A1NW_650_799,C16_CFNC_1A1NW_800_1249,C16_CFNC_1A1NW_1250_1999,C16_CFNC_1A1NW_2000_2499,C16_CFNC_1A1NW_2500_2999,C16_CFNC_1A1NW_3000_3999,C16_CFNC_1A1NW_4000more,C16_CFNC_1A1NW_Ns,C16_CFNC_1A1NW_Tot,C16_CFNC_BA_Neg_ni_inc,C16_CFNC_BA_1_149,C16_CFNC_BA_150_399,C16_CFNC_BA_400_649,C16_CFNC_BA_650_799,C16_CFNC_BA_800_1249,C16_CFNC_BA_1250_1999,C16_CFNC_BA_2000_2499,C16_CFNC_BA_2500_2999,C16_CFNC_BA_3000_3999,C16_CFNC_BA_4000more,C16_CFNC_BA_Ns,C16_CFNC_BA_Tot,C16_CFNC_BNW_Neg_ni_inc,C16_CFNC_BNW_1_149,C16_CFNC_BNW_150_399,C16_CFNC_BNW_400_649,C16_CFNC_BNW_650_799,C16_CFNC_BNW_800_1249,C16_CFNC_BNW_1250_1999,C16_CFNC_BNW_2000_2499,C16_CFNC_BNW_2500_2999,C16_CFNC_BNW_3000_3999,C16_CFNC_BNW_4000more,C16_CFNC_BNW_Ns,C16_CFNC_BNW_Tot,C16_CFNC_LFns_Neg_ni_inc,C16_CFNC_LFns_1_149,C16_CFNC_LFns_150_399,C16_CFNC_LFns_400_649,C16_CFNC_LFns_650_799,C16_CFNC_LFns_800_1249,C16_CFNC_LFns_1250_1999,C16_CFNC_LFns_2000_2499,C16_CFNC_LFns_2500_2999,C16_CFNC_LFns_3000_3999,C16_CFNC_LFns_4000more,C16_CFNC_LFns_Ns,C16_CFNC_LFns_Tot,C16_CFNC_Tot_Neg_ni_inc,C16_CFNC_Tot_1_149,C16_CFNC_Tot_150_399,C16_CFNC_Tot_400_649,C16_CFNC_Tot_650_799,C16_CFNC_Tot_800_1249,C16_CFNC_Tot_1250_1999,C16_CFNC_Tot_2000_2499,C16_CFNC_Tot_2500_2999,C16_CFNC_Tot_3000_3999,C16_CFNC_Tot_4000more,C16_CFNC_Tot_Ns,C16_CFNC_Tot_Tot,C16_CFC_BFT_Neg_ni_inc,C16_CFC_BFT_1_149,C16_CFC_BFT_150_399,C16_CFC_BFT_400_649,C16_CFC_BFT_650_799,C16_CFC_BFT_800_1249,C16_CFC_BFT_1250_1999,C16_CFC_BFT_2000_2499,C16_CFC_BFT_2500_2999,C16_CFC_BFT_3000_3999,C16_CFC_BFT_4000more,C16_CFC_BFT_Ns,C16_CFC_BFT_Tot,C16_CFC_BPT_Neg_ni_inc,C16_CFC_BPT_1_149,C16_CFC_BPT_150_399,C16_CFC_BPT_400_649,C16_CFC_BPT_650_799,C16_CFC_BPT_800_1249,C16_CFC_BPT_1250_1999,C16_CFC_BPT_2000_2499,C16_CFC_BPT_2500_2999,C16_CFC_BPT_3000_3999,C16_CFC_BPT_4000more,C16_CFC_BPT_Ns,C16_CFC_BPT_Tot,C16_CFC_1F1P_Neg_ni_inc,C16_CFC_1F1P_1_149,C16_CFC_1F1P_150_399,C16_CFC_1F1P_400_649,C16_CFC_1F1P_650_799,C16_CFC_1F1P_800_1249,C16_CFC_1F1P_1250_1999,C16_CFC_1F1P_2000_2499,C16_CFC_1F1P_2500_2999,C16_CFC_1F1P_3000_3999,C16_CFC_1F1P_4000more,C16_CFC_1F1P_Ns,C16_CFC_1F1P_Tot,C16_CF_1E1A_Neg_ni_inc,C16_CF_1E1A_1_149,C16_CF_1E1A_150_399,C16_CF_1E1A_400_649,C16_CF_1E1A_650_799,C16_CF_1E1A_800_1249,C16_CF_1E1A_1250_1999,C16_CF_1E1A_2000_2499,C16_CF_1E1A_2500_2999,C16_CF_1E1A_3000_3999,C16_CF_1E1A_4000more,C16_CF_1E1A_Ns,C16_CF_1E1A_Tot,C16_CF_1F1NW_Neg_ni_inc,C16_CF_1F1NW_1_149,C16_CF_1F1NW_150_399,C16_CF_1F1NW_400_649,C16_CF_1F1NW_650_799,C16_CF_1F1NW_800_1249,C16_CF_1F1NW_1250_1999,C16_CF_1F1NW_2000_2499,C16_CF_1F1NW_2500_2999,C16_CF_1F1NW_3000_3999,C16_CF_1F1NW_4000more,C16_CF_1F1NW_Ns,C16_CF_1F1NW_Tot,C16_CF_1P1NW_Neg_ni_inc,C16_CF_1P1NW_1_149
801061062,47,0,68,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,8,7,12,11,0,41,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,4,3,3,5,10,5,0,29,0,0,0,0,5,5,7,3,3,0,10,0,36,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,3,5,16,20,17,13,9,5,3,101,0,0,0,0,0,0,0,0,0,0,0,28,25,0,0,0,3,3,21,42,34,32,48,87,31,310,0,0,0,0,0,3,0,3,5,12,89,11,132,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,7,10,18,62,0,98,0,0,0,0,0,0,0,0,0,3,8,0,18,0,0,0,0,0,3,11,3,0,9,26,5,60,0,0
801061063,30,0,64,0,0,0,0,0,0,0,3,0,3,5,0,15,0,0,0,0,0,0,4,0,4,7,20,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,11,15,0,27,0,0,0,0,0,0,3,0,4,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,8,6,8,6,0,41,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,10,19,24,23,41,79,15,214,0,0,0,0,0,0,0,0,3,4,29,5,42,0,0,0,0,0,0,5,0,0,0,4,0,7,0,0,0,0,0,0,0,0,6,3,24,7,43,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,4,0,3,0,11,12,4,34,0,0
801061064,63,0,182,0,0,0,0,0,0,4,5,0,0,4,0,19,0,0,0,0,0,0,8,4,3,7,9,0,45,0,0,0,0,0,0,0,0,0,3,4,0,13,0,0,0,0,0,0,7,14,8,7,12,0,50,0,0,0,0,0,5,6,6,8,0,7,0,27,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,7,13,29,10,18,13,17,4,108,0,0,0,0,0,0,0,0,0,0,0,34,32,4,3,0,8,9,25,70,68,61,81,117,38,484,0,0,0,0,0,0,7,3,7,17,95,8,153,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,8,17,58,9,106,0,0,0,0,0,0,0,0,0,5,12,5,22,0,0,0,0,0,7,29,9,0,20,20,3,82,0,0
801061066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061067,67,3,180,0,0,0,0,0,0,6,0,0,4,0,0,9,0,0,0,0,0,0,20,10,13,5,16,0,63,0,0,0,0,0,0,0,3,0,0,4,0,9,0,0,0,0,0,4,7,12,9,7,8,0,50,0,0,0,5,0,7,9,4,0,8,5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,15,27,17,8,10,7,7,3,114,0,0,0,0,0,0,0,0,0,0,0,39,43,5,0,0,21,16,37,73,61,67,75,95,58,510,0,0,0,0,0,0,7,5,15,49,126,15,220,0,0,0,0,0,3,0,3,5,3,3,0,25,0,0,0,0,0,3,11,10,20,41,64,4,157,0,0,0,0,0,0,0,4,3,8,24,5,45,0,0,0,5,0,9,24,13,10,19,10,7,96,0,0
801061068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061069,40,0,62,0,0,0,0,0,0,0,0,0,6,6,0,10,0,0,0,0,0,3,7,5,4,6,9,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,14,0,25,0,0,0,0,4,0,4,4,0,8,10,0,22,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,9,5,18,14,0,86,0,0,0,0,0,0,0,0,0,0,0,14,17,0,0,0,0,9,15,31,31,18,43,91,18,263,0,0,0,0,0,0,3,0,8,21,97,13,144,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,6,3,6,5,19,48,10,92,0,0,0,0,0,0,0,0,0,3,9,0,12,0,0,0,0,0,0,3,5,4,12,29,5,66,0,0
801061070,46,0,84,0,0,0,0,0,0,3,0,5,0,4,0,18,0,0,0,0,0,0,4,4,6,4,24,0,38,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,6,10,4,13,14,0,49,0,0,0,3,0,0,6,6,6,9,9,0,40,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,29,16,15,27,28,0,138,0,0,0,0,0,0,0,0,0,0,0,35,39,0,0,0,5,11,15,53,45,35,73,131,37,412,0,0,0,0,0,0,0,0,6,7,54,8,90,0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,3,3,4,11,67,16,97,0,0,0,0,0,0,0,0,3,0,5,0,16,0,0,0,0,0,0,4,8,3,12,19,0,50,0,0
801061129,35,0,97,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,4,3,5,3,10,0,37,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,4,8,4,0,8,0,0,23,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,5,14,9,7,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,4,7,30,23,35,43,61,20,232,0,0,0,0,0,0,0,3,0,5,24,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,13,0,0,0,0,0,0,0,0,0,3,3,0,12,0,0,0,0,0,0,6,4,0,5,4,0,18,0,0
801061130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061131,113,8,347,0,0,0,0,0,5,4,3,0,0,4,0,18,0,0,0,0,0,0,14,12,14,13,14,3,61,0,0,0,0,0,0,0,5,3,0,7,3,12,0,0,0,0,0,8,18,11,3,9,18,0,69,0,0,0,6,6,3,3,6,4,3,5,0,30,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,15,22,16,6,3,10,0,80,0,0,0,0,0,0,0,0,0,3,0,62,62,4,0,0,5,5,33,74,84,109,136,163,75,687,0,0,0,0,0,0,6,0,8,18,30,4,66,0,0,0,0,0,0,3,0,0,0,4,0,11,0,0,0,0,0,0,0,8,3,11,21,4,51,0,0,0,0,0,0,0,3,0,10,16,0,28,0,0,0,0,0,0,5,6,0,15,14,0,37,0,0
801071071,19,6,160,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,4,21,15,4,3,10,0,54,0,0,0,0,0,0,4,0,0,5,3,0,8,0,0,0,0,0,3,10,12,4,3,3,0,34,0,0,0,4,0,3,0,6,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,21,20,19,7,3,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,13,26,36,73,77,47,63,30,34,392,0,0,0,0,0,0,14,35,49,69,66,20,248,0,0,0,0,0,4,0,0,5,0,8,0,20,0,0,0,0,0,4,44,45,39,34,34,14,213,0,0,0,0,0,0,3,11,19,10,4,0,41,0,0,0,0,0,12,34,23,15,13,9,4,113,0,0
801071072,9,0,94,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,8,8,12,3,0,3,39,0,0,0,0,0,0,4,3,3,3,5,0,15,0,0,0,0,0,8,14,4,5,5,5,0,41,0,0,0,5,8,8,6,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,9,20,25,24,6,3,0,0,6,88,0,0,0,0,0,0,0,0,0,0,0,16,18,5,0,0,12,30,39,70,38,46,50,23,21,333,0,0,0,0,0,3,6,19,13,53,52,9,162,0,0,0,0,0,5,0,3,4,5,0,0,19,0,0,0,0,0,4,18,17,31,35,22,6,134,0,0,0,0,0,0,3,10,5,15,7,5,47,0,0,0,0,3,11,27,14,4,7,3,7,73,0,0
801071073,36,4,189,0,0,0,0,0,9,0,4,0,0,0,0,11,0,0,0,0,0,0,16,13,8,12,4,0,65,0,0,0,0,0,0,0,4,7,3,0,0,14,0,0,0,0,0,7,16,19,10,8,7,0,70,0,0,0,3,3,6,12,4,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,19,34,17,15,3,0,5,3,111,0,0,0,0,0,0,0,0,0,0,0,29,35,0,0,0,12,29,62,88,93,73,72,54,37,518,0,0,0,0,0,5,14,21,37,71,80,17,240,0,0,0,0,0,0,4,7,4,8,0,3,24,0,0,0,0,0,10,24,49,47,63,38,11,239,0,0,0,0,0,0,3,9,6,17,11,7,55,0,0,0,0,0,12,38,23,6,18,10,5,114,0,0
801071074,26,0,162,0,0,0,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,7,16,17,8,13,0,0,69,0,0,0,0,0,0,4,0,3,4,0,0,10,0,0,0,0,3,8,14,13,11,3,3,0,54,0,0,0,6,5,3,10,0,0,0,0,0,30,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,12,18,33,33,9,6,4,5,0,117,0,0,0,0,0,0,0,0,0,0,0,16,18,5,3,3,14,25,60,106,82,56,63,31,26,475,0,0,0,0,0,0,9,22,24,67,66,16,209,0,0,0,0,0,3,4,3,0,7,5,5,25,0,0,0,0,0,5,31,28,38,38,30,9,177,0,0,0,0,0,0,4,4,8,8,18,3,48,0,0,0,0,0,10,36,24,10,16,10,8,108,0,0
801071075,17,0,107,0,0,0,0,0,0,4,6,4,0,0,0,15,0,0,0,0,0,4,14,7,13,6,3,0,41,0,0,0,0,0,0,0,0,0,3,5,0,16,0,0,0,0,0,5,10,13,6,5,0,0,45,0,0,0,0,0,5,3,0,0,3,0,0,15,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,4,13,23,30,17,3,0,0,0,3,113,0,0,0,0,0,0,0,0,0,0,0,19,19,3,0,6,13,27,53,71,43,41,48,40,30,381,0,0,0,0,0,0,10,33,44,87,88,20,293,0,0,0,0,0,3,4,0,5,7,0,0,26,0,0,0,0,0,0,27,36,42,53,29,14,207,0,0,0,0,0,0,4,6,3,9,7,4,44,0,0,0,0,0,3,30,13,15,13,20,5,100,0,0
801071076,31,0,69,0,0,0,0,0,0,5,0,4,4,4,0,7,0,0,0,0,0,0,11,3,4,10,0,0,36,0,0,0,0,0,0,0,4,4,0,0,0,5,0,0,0,0,0,0,8,4,7,9,11,0,37,0,0,0,0,0,5,10,5,11,5,4,0,33,0,0,0,0,0,0,0,5,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,4,12,20,32,18,5,6,3,0,108,0,0,0,0,0,0,0,0,0,0,0,19,19,3,0,0,4,11,26,63,38,46,56,60,24,342,0,0,0,0,0,0,0,11,12,41,83,7,150,0,0,0,0,0,0,0,0,5,6,3,0,13,0,0,0,0,0,0,11,12,22,35,47,14,134,0,0,0,0,0,0,0,0,0,13,10,0,28,0,0,0,0,0,0,10,10,6,3,7,4,42,0,0
801071077,6,0,91,0,0,0,0,0,0,4,3,0,0,0,0,10,0,0,0,0,0,3,6,5,8,8,4,0,30,0,0,0,0,0,0,0,6,3,0,0,0,6,0,0,0,0,0,3,8,7,5,5,4,0,34,0,0,0,0,0,0,3,4,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,8,12,13,0,3,4,0,0,55,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,4,12,9,23,39,48,46,43,14,21,249,0,0,0,0,0,0,3,16,23,35,35,8,121,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,8,19,14,30,18,4,99,0,0,0,0,0,0,0,9,6,6,5,3,23,0,0,0,0,0,3,13,11,0,9,3,0,52,0,0
801071078,37,0,193,0,0,0,0,0,3,3,0,0,3,0,0,17,0,0,0,0,0,0,18,13,22,13,14,3,86,0,0,0,0,0,0,4,4,0,9,0,0,19,0,0,0,0,0,11,18,21,7,9,0,3,74,0,0,0,5,4,8,10,3,3,0,0,0,34,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,15,39,55,54,16,6,0,0,3,205,0,0,0,0,0,0,0,0,0,0,0,42,47,4,4,0,19,49,90,135,97,84,91,53,55,673,0,0,0,0,0,0,18,44,46,107,121,41,385,0,0,0,0,0,7,9,0,4,5,6,0,27,0,0,0,0,0,12,32,42,60,59,53,18,267,0,0,0,0,0,3,13,13,15,13,24,3,79,0,0,0,0,0,16,29,21,14,13,18,8,124,0,0
801071079,16,0,76,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,13,6,3,5,0,40,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,16,11,7,0,0,0,33,0,0,0,0,0,5,9,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,10,22,33,12,3,6,0,4,103,0,0,0,0,0,0,0,0,0,0,0,14,13,3,0,0,11,11,28,71,53,42,36,24,16,310,0,0,0,0,0,0,9,11,8,46,44,9,119,0,0,0,0,0,0,4,0,5,3,5,0,19,0,0,0,0,0,0,12,11,24,35,29,5,117,0,0,0,0,0,0,0,8,7,4,6,6,27,0,0,0,0,0,6,10,12,4,9,13,4,52,0,0
801071080,17,3,73,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,4,12,6,3,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,9,10,4,3,4,0,39,0,0,0,3,0,6,3,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,9,22,14,8,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,8,15,39,49,38,22,23,26,18,245,0,0,0,0,0,0,0,3,6,13,8,0,36,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,3,7,11,10,5,0,41,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,17,9,3,9,7,0,51,0,0
801071081,23,4,128,0,0,0,0,0,6,0,3,0,0,0,0,15,0,0,0,0,0,6,21,11,9,0,4,0,54,0,0,0,0,0,0,0,3,0,6,0,0,10,0,0,0,0,0,6,15,10,5,4,0,0,37,0,0,0,3,5,5,5,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,8,20,32,27,4,4,0,4,8,113,0,0,0,0,0,0,0,0,0,0,0,12,10,4,6,0,12,27,57,99,68,38,38,30,23,397,0,0,0,0,0,0,12,32,35,50,39,17,185,0,0,0,0,0,8,4,5,0,0,0,0,20,0,0,0,0,0,4,33,31,35,29,14,9,161,0,0,0,0,0,0,5,9,6,3,6,0,34,0,0,0,0,0,18,28,28,10,5,4,5,96,0,0
801071082,75,6,316,0,0,0,0,4,7,15,4,9,11,5,0,43,0,0,0,0,0,0,38,27,25,29,18,0,140,0,0,0,0,0,0,10,3,11,6,9,0,40,0,0,0,0,7,14,35,28,18,21,20,4,152,0,0,3,5,4,36,42,18,3,10,9,6,138,0,0,0,0,0,4,6,7,4,9,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,8,15,3,12,41,72,144,141,59,28,12,9,15,540,0,0,0,0,3,0,4,0,0,0,0,98,104,12,0,11,51,86,212,320,209,149,176,147,124,1510,0,0,0,0,0,3,27,54,52,168,184,53,548,0,0,0,0,0,5,11,11,17,21,10,4,73,0,0,0,0,0,9,63,94,85,135,105,26,534,0,0,0,0,3,4,9,15,13,34,13,12,109,0,0,0,0,0,29,62,56,28,32,32,18,250,0,0
801071083,8,0,32,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,4,6,5,0,17,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,3,4,9,0,0,0,0,20,0,0,0,0,0,0,5,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,6,0,3,5,0,47,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,16,29,15,18,21,18,13,137,0,0,0,0,0,0,0,3,5,29,33,10,77,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,6,7,16,14,22,7,74,0,0,0,0,0,0,0,0,3,4,0,0,12,0,0,0,0,0,0,8,5,4,8,4,3,32,0,0
801071084,25,3,134,0,0,0,0,0,0,5,3,0,0,0,0,9,0,0,0,0,0,0,14,8,14,13,3,0,53,0,0,0,0,0,0,0,0,5,3,0,4,15,0,0,0,0,3,10,17,11,11,9,12,0,74,0,0,0,3,6,10,11,8,0,0,0,0,35,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,15,36,71,47,21,3,5,0,8,207,0,0,0,0,0,0,0,0,0,0,0,28,34,5,0,0,22,44,92,98,74,59,78,48,46,572,0,0,0,0,0,0,12,26,22,54,79,23,220,0,0,0,0,0,3,6,0,3,8,0,0,19,0,0,0,0,0,0,15,32,35,47,29,7,176,0,0,0,0,0,0,5,9,9,16,9,0,40,0,0,0,0,0,13,18,29,12,18,13,4,111,0,0
801071085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
