SA2_CODE_2021,C11_AP_15_19_NCB_0,C11_AP_15_19_NCB_1,C11_AP_15_19_NCB_2,C11_AP_15_19_NCB_3,C11_AP_15_19_NCB_4,C11_AP_15_19_NCB_5,C11_AP_15_19_NCB_6mor,C11_AP_15_19_NCB_NS,C11_AP_15_19_Tot,C11_AP_20_24_NCB_0,C11_AP_20_24_NCB_1,C11_AP_20_24_NCB_2,C11_AP_20_24_NCB_3,C11_AP_20_24_NCB_4,C11_AP_20_24_NCB_5,C11_AP_20_24_NCB_6mor,C11_AP_20_24_NCB_NS,C11_AP_20_24_Tot,C11_AP_25_29_NCB_0,C11_AP_25_29_NCB_1,C11_AP_25_29_NCB_2,C11_AP_25_29_NCB_3,C11_AP_25_29_NCB_4,C11_AP_25_29_NCB_5,C11_AP_25_29_NCB_6mor,C11_AP_25_29_NCB_NS,C11_AP_25_29_Tot,C11_AP_30_34_NCB_0,C11_AP_30_34_NCB_1,C11_AP_30_34_NCB_2,C11_AP_30_34_NCB_3,C11_AP_30_34_NCB_4,C11_AP_30_34_NCB_5,C11_AP_30_34_NCB_6mor,C11_AP_30_34_NCB_NS,C11_AP_30_34_Tot,C11_AP_35_39_NCB_0,C11_AP_35_39_NCB_1,C11_AP_35_39_NCB_2,C11_AP_35_39_NCB_3,C11_AP_35_39_NCB_4,C11_AP_35_39_NCB_5,C11_AP_35_39_NCB_6mor,C11_AP_35_39_NCB_NS,C11_AP_35_39_Tot,C11_AP_40_44_NCB_0,C11_AP_40_44_NCB_1,C11_AP_40_44_NCB_2,C11_AP_40_44_NCB_3,C11_AP_40_44_NCB_4,C11_AP_40_44_NCB_5,C11_AP_40_44_NCB_6mor,C11_AP_40_44_NCB_NS,C11_AP_40_44_Tot,C11_AP_45_49_NCB_0,C11_AP_45_49_NCB_1,C11_AP_45_49_NCB_2,C11_AP_45_49_NCB_3,C11_AP_45_49_NCB_4,C11_AP_45_49_NCB_5,C11_AP_45_49_NCB_6mor,C11_AP_45_49_NCB_NS,C11_AP_45_49_Tot,C11_AP_50_54_NCB_0,C11_AP_50_54_NCB_1,C11_AP_50_54_NCB_2,C11_AP_50_54_NCB_3,C11_AP_50_54_NCB_4,C11_AP_50_54_NCB_5,C11_AP_50_54_NCB_6mor,C11_AP_50_54_NCB_NS,C11_AP_50_54_Tot,C11_AP_55_59_NCB_0,C11_AP_55_59_NCB_1,C11_AP_55_59_NCB_2,C11_AP_55_59_NCB_3,C11_AP_55_59_NCB_4,C11_AP_55_59_NCB_5,C11_AP_55_59_NCB_6mor,C11_AP_55_59_NCB_NS,C11_AP_55_59_Tot,C11_AP_60_64_NCB_0,C11_AP_60_64_NCB_1,C11_AP_60_64_NCB_2,C11_AP_60_64_NCB_3,C11_AP_60_64_NCB_4,C11_AP_60_64_NCB_5,C11_AP_60_64_NCB_6mor,C11_AP_60_64_NCB_NS,C11_AP_60_64_Tot,C11_AP_65_69_NCB_0,C11_AP_65_69_NCB_1,C11_AP_65_69_NCB_2,C11_AP_65_69_NCB_3,C11_AP_65_69_NCB_4,C11_AP_65_69_NCB_5,C11_AP_65_69_NCB_6mor,C11_AP_65_69_NCB_NS,C11_AP_65_69_Tot,C11_AP_70_74_NCB_0,C11_AP_70_74_NCB_1,C11_AP_70_74_NCB_2,C11_AP_70_74_NCB_3,C11_AP_70_74_NCB_4,C11_AP_70_74_NCB_5,C11_AP_70_74_NCB_6mor,C11_AP_70_74_NCB_NS,C11_AP_70_74_Tot,C11_AP_75_79_NCB_0,C11_AP_75_79_NCB_1,C11_AP_75_79_NCB_2,C11_AP_75_79_NCB_3,C11_AP_75_79_NCB_4,C11_AP_75_79_NCB_5,C11_AP_75_79_NCB_6mor,C11_AP_75_79_NCB_NS,C11_AP_75_79_Tot,C11_AP_80_84_NCB_0,C11_AP_80_84_NCB_1,C11_AP_80_84_NCB_2,C11_AP_80_84_NCB_3,C11_AP_80_84_NCB_4,C11_AP_80_84_NCB_5,C11_AP_80_84_NCB_6mor,C11_AP_80_84_NCB_NS,C11_AP_80_84_Tot,C11_AP_85over_N_c_b_0,C11_AP_85over_N_c_b_1,C11_AP_85over_N_c_b_2,C11_AP_85over_N_c_b_3,C11_AP_85over_N_c_b_4,C11_AP_85over_N_c_b_5,C11_AP_85over_N_c_b_6mor,C11_AP_85over_N_c_b_NS,C11_AP_85over_Tot,C11_AP_Tot_NCB_0,C11_AP_Tot_NCB_1,C11_AP_Tot_NCB_2,C11_AP_Tot_NCB_3,C11_AP_Tot_NCB_4,C11_AP_Tot_NCB_5,C11_AP_Tot_N_c_b_6mor,C11_AP_Tot_NCB_NS,C11_AP_Tot_Tot,C16_AP_15_19_NCB_0,C16_AP_15_19_NCB_1,C16_AP_15_19_NCB_2,C16_AP_15_19_NCB_3,C16_AP_15_19_NCB_4,C16_AP_15_19_NCB_5,C16_AP_15_19_NCB_6mor,C16_AP_15_19_NCB_NS,C16_AP_15_19_Tot,C16_AP_20_24_NCB_0,C16_AP_20_24_NCB_1,C16_AP_20_24_NCB_2,C16_AP_20_24_NCB_3,C16_AP_20_24_NCB_4,C16_AP_20_24_NCB_5,C16_AP_20_24_NCB_6mor,C16_AP_20_24_NCB_NS,C16_AP_20_24_Tot,C16_AP_25_29_NCB_0,C16_AP_25_29_NCB_1,C16_AP_25_29_NCB_2,C16_AP_25_29_NCB_3,C16_AP_25_29_NCB_4,C16_AP_25_29_NCB_5,C16_AP_25_29_NCB_6mor,C16_AP_25_29_NCB_NS,C16_AP_25_29_Tot,C16_AP_30_34_NCB_0,C16_AP_30_34_NCB_1,C16_AP_30_34_NCB_2,C16_AP_30_34_NCB_3,C16_AP_30_34_NCB_4,C16_AP_30_34_NCB_5,C16_AP_30_34_NCB_6mor,C16_AP_30_34_NCB_NS,C16_AP_30_34_Tot,C16_AP_35_39_NCB_0,C16_AP_35_39_NCB_1,C16_AP_35_39_NCB_2,C16_AP_35_39_NCB_3,C16_AP_35_39_NCB_4,C16_AP_35_39_NCB_5,C16_AP_35_39_NCB_6mor,C16_AP_35_39_NCB_NS,C16_AP_35_39_Tot,C16_AP_40_44_NCB_0,C16_AP_40_44_NCB_1,C16_AP_40_44_NCB_2,C16_AP_40_44_NCB_3,C16_AP_40_44_NCB_4,C16_AP_40_44_NCB_5,C16_AP_40_44_NCB_6mor,C16_AP_40_44_NCB_NS,C16_AP_40_44_Tot,C16_AP_45_49_NCB_0,C16_AP_45_49_NCB_1
801061067,145,0,0,0,0,0,0,8,158,147,7,3,0,0,0,0,5,171,183,20,11,0,0,0,3,6,221,123,42,24,16,5,0,0,5,209,75,49,78,24,4,0,0,8,244,58,37,83,33,7,5,0,6,236,54,38,84,33,13,4,4,4,237,46,35,72,22,16,4,0,5,217,36,24,53,22,9,4,0,4,160,14,18,35,29,14,8,0,10,126,6,14,24,20,11,0,0,4,78,11,4,25,8,12,9,0,8,83,5,7,12,16,16,13,10,5,85,4,5,12,12,13,8,7,26,85,17,8,28,31,17,8,13,68,181,923,306,554,278,135,60,51,178,2479,150,0,0,0,0,0,0,8,163,119,3,3,0,0,0,0,12,141,136,23,9,0,0,0,0,20,193,102,55,37,4,0,0,5,25,225,64,44,70,18,9,0,3,11,227,55,41,85,37,9,4,0,16,245,41,33
801061068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061069,87,0,0,0,0,0,0,7,88,85,5,6,0,0,0,0,3,99,41,7,5,5,0,0,0,5,64,22,12,15,5,0,0,0,0,66,14,9,36,15,6,0,0,0,82,16,9,55,22,7,0,0,0,117,21,14,52,33,4,0,0,0,137,23,16,49,22,9,0,0,8,127,18,9,47,20,8,0,0,9,110,11,9,39,33,8,3,0,0,96,13,8,22,21,7,0,3,0,64,6,8,14,9,8,0,0,3,44,8,3,13,16,0,0,6,5,42,11,8,10,14,15,0,4,3,63,0,22,33,23,15,7,0,7,109,380,137,379,238,87,21,23,47,1312,102,0,0,0,0,0,0,4,102,63,3,0,0,0,0,0,8,75,48,3,3,0,0,0,0,10,70,25,11,16,6,0,0,0,14,74,14,12,27,16,9,0,0,4,79,19,12,45,19,11,0,0,9,114,13,10
801061070,69,0,0,0,0,0,0,9,84,70,4,0,0,0,0,0,4,81,57,6,4,0,0,0,0,0,73,23,10,8,3,0,0,0,0,53,17,16,23,13,0,0,0,0,67,20,10,43,14,9,6,0,0,99,27,16,46,27,9,0,0,9,132,28,17,38,25,5,0,0,3,120,28,13,43,24,10,0,0,8,126,30,19,68,28,3,0,0,8,155,9,8,32,18,5,5,0,0,88,5,7,20,17,16,3,3,0,67,5,5,14,7,4,0,0,3,45,6,6,21,12,11,0,0,0,55,4,9,10,7,11,5,0,0,42,403,138,371,203,83,14,16,55,1282,76,0,0,0,0,0,0,12,85,53,3,0,0,0,0,0,7,62,52,7,0,0,0,0,0,6,62,20,10,11,0,0,0,0,3,49,20,9,35,8,0,0,0,6,84,21,12,28,9,0,4,0,3,76,18,21
801061129,11,0,0,0,0,0,0,0,12,41,0,0,0,0,0,0,5,52,83,0,3,0,0,0,0,12,98,49,8,0,0,0,0,0,4,67,26,6,0,7,0,0,0,3,39,19,9,10,4,0,0,0,11,47,10,3,12,4,0,0,0,0,36,15,7,13,3,0,0,0,4,48,16,3,20,8,3,0,0,9,57,10,3,16,9,4,0,0,9,43,0,7,5,3,0,0,0,0,18,0,0,0,6,4,0,0,0,19,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,3,282,57,74,52,16,4,0,64,547,20,0,0,0,0,0,0,0,20,34,0,0,0,0,0,0,0,35,91,3,0,0,0,0,0,5,108,69,8,5,0,0,0,0,7,89,35,16,3,0,0,0,0,7,64,25,12,8,3,0,0,0,6,49,25,3
801061130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061131,31,0,0,0,0,0,0,10,41,120,0,0,0,0,0,0,16,134,315,14,4,0,4,3,0,27,366,171,27,3,0,0,0,0,14,216,69,13,15,5,0,0,0,13,115,33,26,17,0,0,0,0,18,96,37,16,18,6,0,0,0,6,79,20,24,21,8,4,0,6,13,91,16,9,22,24,0,0,0,6,83,7,8,28,12,3,0,0,8,66,5,10,11,10,4,0,0,0,49,5,0,10,5,5,0,3,0,24,3,4,0,3,5,0,0,0,16,0,0,5,4,0,0,0,6,22,4,0,8,11,3,0,0,5,28,842,143,165,92,29,6,9,126,1419,45,0,0,0,0,0,0,7,49,146,4,0,0,0,0,0,19,162,428,9,3,0,0,0,0,40,477,270,36,16,6,0,0,0,29,357,117,35,29,5,4,0,0,13,196,55,23,27,7,3,0,0,9,118,42,24
801071071,185,0,0,0,0,0,0,22,208,116,22,12,6,0,0,0,5,158,118,51,37,17,0,0,0,15,238,49,48,81,25,9,3,4,14,223,39,34,88,33,12,0,3,5,215,23,29,105,43,9,3,7,14,235,32,29,81,43,19,0,0,3,212,23,21,57,38,10,3,0,10,155,12,15,32,29,8,0,0,4,106,8,9,18,23,5,0,9,0,70,4,8,12,20,5,0,3,0,56,0,0,6,12,7,0,3,3,35,0,0,5,6,9,0,0,0,18,0,0,4,3,3,0,0,0,14,0,6,4,3,3,0,4,0,13,610,261,543,290,89,20,28,105,1952,185,0,0,0,0,0,0,24,210,127,20,10,0,0,0,0,11,164,93,41,45,4,3,0,0,12,195,50,50,70,27,3,3,0,11,219,31,39,86,34,11,0,0,6,211,27,24,96,37,19,0,4,8,220,18,33
801071072,153,0,0,0,0,0,0,13,167,124,19,0,0,0,0,0,9,152,100,28,18,8,0,0,0,4,154,42,34,37,12,0,0,0,6,130,25,27,51,23,11,5,0,0,140,27,24,58,39,10,5,0,3,164,27,28,70,35,14,5,0,4,183,17,20,61,36,8,3,0,4,158,18,16,43,27,14,3,0,0,117,9,10,28,18,4,3,0,0,74,5,5,19,18,7,0,0,3,56,0,4,13,5,11,8,0,0,37,0,0,8,10,9,3,0,0,26,3,3,7,3,0,3,0,0,14,0,0,0,0,0,0,0,0,12,546,223,417,231,85,25,16,46,1587,113,0,0,0,0,0,0,13,129,99,8,0,0,0,0,0,11,126,79,32,20,0,0,0,0,0,129,43,41,28,13,8,0,0,3,133,26,23,55,14,5,0,0,0,131,22,24,55,26,10,5,0,5,145,26,22
801071073,254,0,0,0,0,0,0,19,272,199,28,13,0,0,0,0,8,237,120,43,21,3,0,0,0,8,202,59,37,52,24,8,5,5,11,194,22,30,83,31,8,8,0,0,179,34,32,113,48,17,3,4,14,263,33,25,126,73,22,3,3,7,299,44,29,98,73,24,0,0,3,264,17,15,70,54,12,0,0,5,177,11,13,35,25,10,5,0,6,100,0,4,18,21,3,3,4,4,61,7,4,12,7,8,4,4,5,48,5,4,8,7,9,0,5,0,31,0,0,11,4,5,0,3,0,24,0,0,4,4,4,0,0,0,16,807,272,665,381,117,34,24,77,2372,204,0,0,0,0,0,0,16,221,189,12,7,0,0,0,0,11,220,115,39,28,6,4,0,0,6,196,49,38,60,16,7,3,0,17,189,38,28,67,31,13,6,0,12,192,25,28,90,30,0,4,5,16,199,25,20
801071074,206,3,0,0,0,0,0,11,224,195,7,14,0,0,0,0,13,229,92,35,25,17,3,0,0,12,190,52,36,58,21,6,0,0,4,180,26,27,60,35,19,3,3,0,176,29,23,92,40,15,3,0,3,196,26,25,105,64,13,3,3,4,248,23,24,104,73,17,3,0,3,250,21,17,62,30,24,9,3,3,163,10,14,38,29,13,0,5,0,118,3,10,18,11,0,3,0,0,50,6,4,5,6,6,6,0,0,33,0,3,11,6,4,0,0,0,31,0,7,4,3,3,5,3,0,22,0,0,0,0,3,0,4,0,16,693,240,599,342,133,34,22,67,2126,149,3,0,0,0,0,0,19,169,146,11,8,0,0,0,0,12,173,101,25,24,12,0,0,0,13,177,44,45,53,18,3,4,0,6,173,27,30,55,25,12,3,3,11,160,18,28,56,37,20,4,0,7,166,26,22
801071075,223,0,0,0,0,0,0,18,246,158,11,3,0,0,0,0,13,187,85,35,25,6,0,0,0,7,158,40,41,47,25,0,0,0,0,159,39,26,92,33,11,0,0,10,206,24,34,141,64,22,4,3,9,300,29,24,108,67,26,8,3,10,267,19,13,63,37,8,0,0,10,150,19,8,41,27,11,5,0,0,122,4,13,45,19,3,3,3,3,96,0,0,18,15,10,0,0,5,54,0,0,12,11,10,3,6,0,38,4,3,11,12,0,3,6,4,44,0,3,9,0,0,0,4,0,20,0,0,3,0,0,0,0,4,14,647,216,623,319,118,32,30,85,2071,203,0,0,0,0,0,0,27,228,156,11,6,0,0,0,0,17,183,76,31,21,9,0,0,0,4,152,38,38,59,17,0,4,3,12,165,21,23,58,29,6,4,9,6,156,26,25,75,31,8,0,3,3,175,22,34
801071076,109,0,0,0,0,0,0,6,112,115,3,0,0,0,0,0,3,124,45,5,0,0,0,0,0,0,54,19,12,18,9,0,0,0,0,59,8,12,38,18,4,0,0,0,82,18,9,53,22,5,0,0,0,103,19,18,81,28,13,0,0,0,154,14,18,79,39,11,0,0,0,170,14,18,66,37,12,0,0,7,162,6,17,51,37,9,0,0,0,124,3,5,24,11,0,3,0,4,51,7,0,10,8,8,0,0,0,30,0,0,9,4,5,0,3,0,22,0,0,0,4,0,0,0,0,10,0,7,3,6,0,0,0,3,16,381,122,437,214,63,11,7,29,1272,108,0,0,0,0,0,0,4,109,55,3,0,0,0,0,0,0,58,36,6,7,0,0,0,0,4,52,21,10,16,8,0,0,0,0,54,13,16,43,16,6,4,0,4,98,13,15,44,23,0,0,0,4,103,14,8
801071077,102,0,0,0,0,0,0,7,110,99,16,6,3,0,0,0,3,127,56,20,17,3,0,0,0,6,105,24,20,24,15,8,4,0,0,96,20,15,27,12,9,0,3,0,94,10,8,47,24,5,0,0,0,103,15,14,52,27,13,0,9,5,143,4,6,60,33,11,0,3,8,136,7,13,38,18,7,0,0,0,94,0,5,26,20,7,4,0,0,63,0,0,9,0,4,0,0,0,20,3,0,0,6,0,0,0,0,9,0,4,7,5,0,0,5,0,22,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,6,348,127,326,179,73,15,27,36,1125,79,0,0,0,0,0,0,6,84,67,4,4,0,0,0,0,7,83,64,11,9,11,0,0,0,3,100,38,18,34,17,3,0,0,6,110,12,15,34,19,6,0,0,4,101,15,10,33,20,7,3,4,0,96,13,9
801071078,343,0,0,0,0,0,0,38,377,249,23,9,4,0,0,0,12,301,153,64,51,6,3,0,4,10,292,72,58,78,28,5,0,0,12,253,62,61,105,46,10,8,0,8,311,48,47,143,71,18,5,3,9,347,49,38,156,86,36,9,3,19,402,33,38,109,62,14,3,0,7,263,15,18,82,49,23,8,0,3,192,20,14,69,46,15,4,0,9,174,9,6,28,35,14,0,4,3,93,3,4,18,21,14,12,0,8,80,3,0,10,13,9,0,5,6,55,4,4,3,8,9,0,0,5,32,4,5,4,4,3,0,0,0,18,1071,377,868,480,178,51,19,151,3202,271,7,0,0,0,0,0,25,299,275,19,12,0,0,0,0,18,327,142,34,27,12,4,0,0,7,232,78,65,92,24,7,7,0,13,285,41,36,84,37,15,7,0,6,226,43,51,108,44,17,7,5,14,289,45,42
801071079,105,0,0,0,0,0,0,9,110,97,5,0,4,0,0,0,5,109,55,15,6,0,0,0,0,4,86,21,29,32,7,0,0,0,8,100,13,12,34,22,10,0,0,6,90,16,20,55,32,9,3,0,6,136,13,11,44,23,4,0,0,5,99,21,16,72,40,16,0,0,7,163,10,13,61,40,9,3,0,0,143,11,7,45,32,8,4,0,0,102,8,4,16,9,3,3,0,0,46,5,6,16,16,3,0,0,0,43,0,0,5,4,3,0,3,0,30,0,0,9,5,0,0,0,0,11,0,5,0,3,0,0,0,0,16,370,150,393,230,72,23,11,44,1287,92,0,0,0,0,0,0,12,104,83,8,0,0,0,0,0,3,94,58,13,11,4,0,0,0,6,91,31,19,33,18,0,0,0,6,111,9,18,48,20,3,4,0,8,106,9,14,31,16,6,5,0,0,75,16,26
801071080,24,0,0,0,0,0,0,0,25,61,8,4,0,0,0,0,0,69,82,12,3,4,0,0,0,0,97,40,20,4,3,0,0,0,0,59,28,7,16,7,0,0,0,0,55,17,8,11,9,4,4,0,0,49,6,4,11,6,5,0,0,4,39,4,4,23,15,4,0,0,0,48,11,5,28,7,6,0,0,0,61,3,6,14,10,4,0,0,0,45,3,0,11,15,3,0,0,0,41,4,5,10,9,7,0,0,0,32,0,5,4,3,9,4,0,0,24,0,3,7,3,0,4,0,0,15,0,0,3,7,0,0,0,0,6,283,97,142,88,43,12,5,10,677,28,0,0,0,0,0,0,0,35,63,6,0,0,0,0,0,4,72,69,26,6,3,0,0,0,12,111,52,34,11,0,0,0,0,13,114,21,18,11,4,0,0,0,4,60,21,13,18,4,0,0,0,3,55,13,9
801071081,153,4,0,0,0,0,0,5,169,116,21,4,4,0,0,0,17,170,101,42,26,11,0,0,0,5,182,45,47,51,15,6,0,0,7,169,38,29,76,29,6,0,0,3,177,32,20,61,39,5,3,0,0,176,30,27,62,43,10,3,0,13,186,24,20,70,43,8,4,5,3,172,5,10,36,26,6,3,0,5,95,5,8,33,23,11,0,4,5,87,5,3,15,15,12,0,0,3,56,5,0,12,4,6,0,3,4,37,4,0,5,9,5,3,0,0,27,0,0,3,4,3,4,3,0,21,0,0,6,4,4,0,0,0,11,560,238,462,261,90,18,23,65,1728,110,0,0,0,0,0,0,20,134,106,15,3,3,0,0,0,8,132,92,30,26,3,0,0,0,13,170,40,45,67,25,7,0,0,16,198,26,31,60,8,7,0,0,4,144,26,23,61,34,3,5,0,7,160,24,22
801071082,441,0,0,0,0,0,0,30,474,344,42,11,5,0,0,0,25,434,327,89,56,15,4,0,0,17,507,206,111,139,64,9,7,0,12,547,120,95,208,74,28,9,4,11,556,85,78,206,85,40,9,6,14,532,84,58,220,127,36,14,10,20,565,87,69,225,132,41,14,11,19,599,48,54,282,204,70,18,4,13,685,56,66,223,138,68,19,14,14,602,31,35,131,89,37,13,12,3,346,23,15,61,56,35,11,10,12,214,15,10,24,28,16,9,14,5,120,6,9,22,17,7,8,9,6,83,5,14,12,14,8,0,8,5,62,1864,743,1816,1057,388,132,92,212,6320,430,3,0,0,0,0,0,39,478,289,32,4,5,0,0,0,41,376,225,61,45,20,6,0,0,26,385,133,107,131,44,14,0,0,30,466,102,78,180,82,23,11,7,37,519,96,74,236,81,33,9,5,24,561,76,78
801071083,62,0,0,0,0,0,0,0,62,50,0,0,0,0,0,0,0,49,22,4,5,0,0,0,0,0,32,11,6,15,3,4,0,0,0,38,9,8,10,7,4,0,0,3,39,6,3,23,12,3,0,0,0,48,6,3,33,13,3,0,0,0,67,14,3,29,26,7,0,3,0,84,4,5,35,19,0,0,0,0,69,0,8,13,11,0,0,3,0,33,0,0,6,4,9,0,0,0,20,0,0,0,4,0,0,0,0,4,0,0,0,0,3,0,0,0,6,0,0,0,3,0,0,0,0,6,0,0,0,0,3,0,0,0,3,174,46,184,109,34,4,6,9,567,40,0,0,0,0,0,0,0,47,43,0,0,0,0,0,0,6,54,28,6,6,0,0,0,0,3,41,16,7,14,0,0,0,0,0,45,5,14,18,11,0,0,0,0,46,5,9,10,12,5,0,0,0,45,3,7
801071084,163,0,0,0,0,0,0,14,174,174,24,4,0,0,0,0,3,202,104,17,18,0,0,0,0,0,149,56,39,32,15,3,0,0,3,149,29,22,86,27,10,7,0,4,185,23,27,84,32,7,4,3,0,176,28,30,92,43,16,0,0,0,220,23,33,114,69,22,4,3,3,274,17,15,98,54,30,0,0,0,223,18,14,56,37,11,0,6,8,143,4,12,31,30,11,0,0,5,93,4,9,22,20,17,9,7,0,83,3,0,32,16,11,6,3,6,71,6,3,26,17,15,9,3,5,88,8,14,27,19,26,5,8,0,94,659,263,723,384,182,33,32,53,2328,140,0,0,0,0,0,0,14,156,131,9,0,0,0,0,0,11,150,99,26,21,5,0,0,0,3,153,52,48,48,16,3,3,0,10,176,35,33,64,28,5,0,0,10,166,29,26,73,29,11,0,0,8,167,16,22
801071085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801071086,82,0,0,0,0,0,0,0,85,66,4,0,0,0,0,0,4,77,35,14,5,0,0,0,0,0,50,14,13,14,4,3,0,0,0,56,9,10,26,11,3,0,0,0,56,9,0,31,18,10,3,0,0,65,8,9,36,26,3,3,4,4,91,7,8,37,19,12,0,0,5,86,8,4,31,16,11,4,0,0,64,0,3,20,12,3,6,3,0,47,0,0,8,0,0,0,0,3,22,3,0,4,3,3,0,0,0,16,3,0,4,0,5,0,0,0,19,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,5,244,67,209,113,57,15,14,24,746,56,0,0,0,0,0,0,3,56,54,0,0,0,0,0,0,5,60,42,3,3,0,0,0,0,0,54,8,13,17,8,5,0,0,6,53,11,7,21,8,3,0,0,8,52,7,4,18,10,5,0,0,0,49,13,3
801071087,100,7,0,0,0,0,0,13,116,89,15,7,0,0,0,0,0,116,77,24,20,11,4,0,0,4,139,29,18,28,20,0,0,0,4,109,22,20,54,25,6,5,0,11,148,22,16,30,21,5,3,0,4,106,11,21,49,19,12,0,0,5,114,13,16,52,39,6,5,0,6,146,11,8,39,22,10,0,0,0,100,8,3,28,13,6,5,0,3,72,3,10,12,12,6,3,0,0,41,0,0,8,9,4,6,3,0,29,0,0,6,0,6,6,0,0,14,0,5,4,5,0,0,0,0,15,0,0,3,0,0,0,0,0,7,392,168,337,198,81,36,13,50,1268,68,5,0,0,0,0,0,8,79,77,15,7,0,0,0,0,10,99,71,24,24,8,0,0,0,4,138,36,23,30,14,4,0,0,4,110,26,13,32,16,9,0,0,0,100,10,19,47,29,8,4,0,9,118,9,14
801071088,180,0,0,0,0,0,0,7,187,113,19,7,0,0,0,0,3,152,74,28,24,5,4,0,0,8,142,41,21,52,17,4,0,0,0,138,25,17,66,29,4,0,0,6,154,21,15,70,33,12,5,5,6,163,25,24,78,47,12,0,4,3,197,26,18,63,43,9,3,0,5,164,9,7,42,31,10,0,0,3,113,11,3,26,14,3,0,4,4,62,0,4,7,15,0,0,0,0,31,4,0,11,8,4,3,0,0,28,0,0,6,3,0,0,0,0,10,0,0,3,4,3,0,0,0,13,0,0,0,0,0,0,0,3,9,524,173,448,253,78,20,16,52,1560,130,0,0,0,0,0,0,11,148,109,11,5,0,0,0,0,4,129,76,35,21,4,6,0,0,5,148,37,37,38,13,3,0,0,9,145,25,18,45,16,3,0,0,9,124,14,13,54,31,5,5,7,5,134,20,14
801071089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
