SA2_CODE_2021,C21_1PF_Cu15DS_MR_4000over,C21_1PF_Cu15DS_MR_NS,C21_1PF_Cu15DS_Tot,C21_1PF_CU15_NDS_MR_0_299,C21_1PF_CU15_NDS_MR_300_449,C21_1PF_CU15_NDS_MR_450_599,C21_1PF_CU15_NDS_MR_600_799,C21_1PF_CU15_NDS_MR_800_999,C21_1PF_CU15_NDS_MR_1000_1399,C21_1PF_CU15_NDS_MR_1400_1799,C21_1PF_CU15_NDS_MR_1800_2399,C21_1PF_CU15_NDS_MR_2400_2999,C21_1PF_CU15_NDS_MR_3000_3999,C21_1PF_CU15_NDS_MR_4000over,C21_1PF_CU15_NDS_MR_NS,C21_1PF_CU15_NDS_Tot,C21_1PF_NCu15DS_MR_0_299,C21_1PF_NCu15DS_MR_300_449,C21_1PF_NCu15DS_MR_450_599,C21_1PF_NCu15DS_MR_600_799,C21_1PF_NCu15DS_MR_800_999,C21_1PF_NCu15DS_MR_1000_1399,C21_1PF_NCu15DS_MR_1400_1799,C21_1PF_NCu15DS_MR_1800_2399,C21_1PF_NCu15DS_MR_2400_2999,C21_1PF_NCu15DS_MR_3000_3999,C21_1PF_NCu15DS_MR_4000over,C21_1PF_NCu15DS_MR_NS,C21_1PF_NCu15DS_Tot,C21_1PF_NDCO_MR_0_299,C21_1PF_NDCO_MR_300_449,C21_1PF_NDCO_MR_450_599,C21_1PF_NDCO_MR_600_799,C21_1PF_NDCO_MR_800_999,C21_1PF_NDCO_MR_1000_1399,C21_1PF_NDCO_MR_1400_1799,C21_1PF_NDCO_MR_1800_2399,C21_1PF_NDCO_MR_2400_2999,C21_1PF_NDCO_MR_3000_3999,C21_1PF_NDCO_MR_4000over,C21_1PF_NDCO_MR_NS,C21_1PF_NDCO_Tot,C21_1PF_Tot_MR_0_299,C21_1PF_Tot_MR_300_449,C21_1PF_Tot_MR_450_599,C21_1PF_Tot_MR_600_799,C21_1PF_Tot_MR_800_999,C21_1PF_Tot_MR_1000_1399,C21_1PF_Tot_MR_1400_1799,C21_1PF_Tot_MR_1800_2399,C21_1PF_Tot_MR_2400_2999,C21_1PF_Tot_MR_3000_3999,C21_1PF_Tot_MR_4000over,C21_1PF_Tot_MR_NS,C21_1PF_Tot_Tot,C21_Tot_MR_0_299,C21_Tot_MR_300_449,C21_Tot_MR_450_599,C21_Tot_MR_600_799,C21_Tot_MR_800_999,C21_Tot_MR_1000_1399,C21_Tot_MR_1400_1799,C21_Tot_MR_1800_2399,C21_Tot_MR_2400_2999,C21_Tot_MR_3000_3999,C21_Tot_MR_4000over,C21_Tot_MR_NS,C21_Tot_Tot
801081093,0,0,0,0,0,0,0,0,6,3,4,5,0,0,4,23,0,0,0,0,0,0,4,4,0,0,0,0,6,0,5,0,0,0,3,4,0,0,0,0,0,20,4,3,0,0,0,6,3,11,3,4,0,4,47,22,6,5,3,9,36,37,93,100,74,32,23,436
801081094,0,0,4,0,0,0,0,0,6,4,12,0,3,0,0,20,0,0,0,0,0,0,0,4,5,0,0,0,6,0,0,4,0,0,0,3,4,0,0,0,0,14,0,0,4,0,0,7,5,15,4,3,0,6,49,19,0,3,4,3,37,29,97,65,67,26,15,380
801081095,0,0,10,0,0,0,0,0,0,0,8,5,0,0,0,19,4,0,0,0,0,3,3,0,4,0,0,0,17,0,0,0,0,0,3,4,3,0,0,0,0,14,0,0,0,4,0,9,12,13,5,3,0,0,56,16,4,3,15,10,48,53,127,93,42,34,10,451
801081096,0,0,0,0,0,0,0,0,0,4,6,8,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,9,6,3,0,0,0,20,13,7,4,0,0,16,17,44,36,40,23,6,207
801081097,0,0,0,0,0,0,0,0,9,4,3,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,8,6,8,5,3,0,0,30,13,3,4,0,9,33,41,85,71,54,28,15,348
801081098,0,0,4,0,0,0,0,0,6,0,8,0,6,4,0,25,0,0,0,0,0,0,0,6,5,3,0,0,14,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,4,4,10,3,13,9,12,4,0,58,18,7,3,9,9,35,50,97,78,91,56,23,481
801081133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801091099,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,3,4,6,3,9,8,0,0,31,14,0,0,12,8,14,17,48,66,57,24,12,267
801091100,0,0,7,0,0,0,0,0,0,5,11,3,3,5,0,28,0,0,0,0,0,0,7,0,6,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,0,12,0,3,3,0,0,7,6,10,9,4,8,5,62,33,14,8,9,16,46,48,82,84,140,140,20,618
801091101,0,0,4,0,0,0,0,0,0,0,0,9,0,0,0,16,0,0,0,0,0,0,0,0,0,0,4,4,13,0,0,0,0,0,0,0,5,0,0,0,0,11,0,0,0,0,0,0,4,11,9,6,9,3,41,18,3,7,7,7,43,23,62,79,101,91,24,458
801091102,0,0,3,6,0,0,0,0,0,4,6,3,4,0,0,18,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,5,10,0,7,6,0,33,20,6,7,5,7,23,24,52,39,68,91,15,352
801091103,5,0,4,4,0,0,0,0,0,0,7,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,3,0,0,0,11,3,0,0,0,0,4,3,5,8,0,6,4,38,24,5,6,4,7,21,18,40,60,85,79,10,367
801091104,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,8,0,4,6,3,0,21,19,0,3,0,3,18,20,41,34,43,41,3,240
801091105,0,0,0,0,0,0,0,0,0,3,3,6,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,4,7,8,4,0,0,27,11,0,3,3,12,14,22,33,44,69,43,9,258
801091106,0,0,3,0,0,0,0,0,0,5,4,4,0,0,0,20,0,0,0,0,0,3,0,5,0,0,0,0,12,5,0,0,0,3,0,0,0,5,0,0,0,14,4,0,0,0,6,3,5,8,3,8,0,0,40,18,0,4,5,14,31,28,66,54,66,30,14,321
801091107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,6,0,0,3,0,3,9,9,5,13,41,3,92
801091108,0,0,8,0,0,0,0,0,3,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,6,4,0,0,0,0,3,4,5,7,0,0,6,31,17,5,4,10,7,20,22,51,51,60,51,15,322
801091109,0,0,11,0,0,0,0,0,4,8,10,0,0,0,0,23,0,0,0,0,0,0,6,3,0,0,0,0,7,0,0,0,0,0,4,9,3,3,0,0,0,16,0,0,0,6,0,12,16,13,9,5,0,0,58,8,3,4,11,8,72,130,115,42,23,12,11,429
801091110,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,3,5,0,0,3,0,0,20,14,4,0,3,10,21,17,50,49,54,51,14,294
801101134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801101135,0,0,12,0,0,0,0,5,0,10,20,8,7,3,0,48,0,0,0,0,0,0,3,5,3,0,0,0,18,0,0,0,0,0,0,4,10,0,3,0,0,16,0,0,0,0,7,5,21,28,15,12,3,0,92,20,0,6,5,13,62,151,243,122,131,83,23,863
801101136,0,0,0,0,0,0,0,0,0,3,5,5,0,0,3,23,0,0,0,0,0,0,0,4,0,0,5,0,11,0,0,0,0,0,0,4,5,0,3,0,0,10,0,0,0,0,4,0,8,6,9,6,6,3,37,5,0,0,9,5,32,66,119,75,142,137,20,613
801101137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801101139,0,0,4,0,0,0,0,4,4,6,5,4,4,0,0,26,0,0,0,0,0,3,4,7,0,0,0,0,21,0,0,0,0,0,4,5,3,0,3,0,0,20,0,0,0,3,3,7,14,16,7,5,3,0,70,15,4,0,12,11,56,82,123,84,125,76,27,610
801101145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801101146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801111140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,7,3,0,0,0,0,3,13,23,15,10,7,7,90
801111141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
897979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899999499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
