SA2_CODE_2021,Afghanistan_C11_M,Afghanistan_C11_F,Afghanistan_C11_P,Afghanistan_C16_M,Afghanistan_C16_F,Afghanistan_C16_P,Afghanistan_C21_M,Afghanistan_C21_F,Afghanistan_C21_P,Aust_C11_M,Aust_C11_F,Aust_C11_P,Aust_C16_M,Aust_C16_F,Aust_C16_P,Aust_C21_M,Aust_C21_F,Aust_C21_P,Bangladesh_C11_M,Bangladesh_C11_F,Bangladesh_C11_P,Bangladesh_C16_M,Bangladesh_C16_F,Bangladesh_C16_P,Bangladesh_C21_M,Bangladesh_C21_F,Bangladesh_C21_P,Canada_C11_M,Canada_C11_F,Canada_C11_P,Canada_C16_M,Canada_C16_F,Canada_C16_P,Canada_C21_M,Canada_C21_F,Canada_C21_P,China_C11_M,China_C11_F,China_C11_P,China_C16_M,China_C16_F,China_C16_P,China_C21_M,China_C21_F,China_C21_P,Croatia_C11_M,Croatia_C11_F,Croatia_C11_P,Croatia_C16_M,Croatia_C16_F,Croatia_C16_P,Croatia_C21_M,Croatia_C21_F,Croatia_C21_P,Egypt_C11_M,Egypt_C11_F,Egypt_C11_P,Egypt_C16_M,Egypt_C16_F,Egypt_C16_P,Egypt_C21_M,Egypt_C21_F,Egypt_C21_P,Fiji_C11_M,Fiji_C11_F,Fiji_C11_P,Fiji_C16_M,Fiji_C16_F,Fiji_C16_P,Fiji_C21_M,Fiji_C21_F,Fiji_C21_P,Germany_C11_M,Germany_C11_F,Germany_C11_P,Germany_C16_M,Germany_C16_F,Germany_C16_P,Germany_C21_M,Germany_C21_F,Germany_C21_P,Greece_C11_M,Greece_C11_F,Greece_C11_P,Greece_C16_M,Greece_C16_F,Greece_C16_P,Greece_C21_M,Greece_C21_F,Greece_C21_P,Hong_Kong_C11_M,Hong_Kong_C11_F,Hong_Kong_C11_P,Hong_Kong_C16_M,Hong_Kong_C16_F,Hong_Kong_C16_P,Hong_Kong_C21_M,Hong_Kong_C21_F,Hong_Kong_C21_P,India_C11_M,India_C11_F,India_C11_P,India_C16_M,India_C16_F,India_C16_P,India_C21_M,India_C21_F,India_C21_P,Indonesia_C11_M,Indonesia_C11_F,Indonesia_C11_P,Indonesia_C16_M,Indonesia_C16_F,Indonesia_C16_P,Indonesia_C21_M,Indonesia_C21_F,Indonesia_C21_P,Iran_C11_Cens_M,Iran_C11_Cens_F,Iran_C11_Cens_P,Iran_C16_Cens_M,Iran_C16_Cens_F,Iran_C16_Cens_P,Iran_C21_Cens_M,Iran_C21_Cens_F,Iran_C21_Cens_P,Iraq_C11_M,Iraq_C11_F,Iraq_C11_P,Iraq_C16_M,Iraq_C16_F,Iraq_C16_P,Iraq_C21_M,Iraq_C21_F,Iraq_C21_P,Ireland_C11_M,Ireland_C11_F,Ireland_C11_P,Ireland_C16_M,Ireland_C16_F,Ireland_C16_P,Ireland_C21_M,Ireland_C21_F,Ireland_C21_P,Italy_C11_M,Italy_C11_F,Italy_C11_P,Italy_C16_M,Italy_C16_F,Italy_C16_P,Italy_C21_M,Italy_C21_F,Italy_C21_P,Japan_C11_M,Japan_C11_F,Japan_C11_P,Japan_C16_M,Japan_C16_F,Japan_C16_P,Japan_C21_M,Japan_C21_F,Japan_C21_P,Korea_C11_M,Korea_C11_F,Korea_C11_P,Korea_C16_M,Korea_C16_F,Korea_C16_P,Korea_C21_M,Korea_C21_F,Korea_C21_P,Lebanon_C11_M,Lebanon_C11_F,Lebanon_C11_P,Lebanon_C16_M,Lebanon_C16_F,Lebanon_C16_P,Lebanon_C21_M,Lebanon_C21_F,Lebanon_C21_P,Malaysia_C11_M,Malaysia_C11_F,Malaysia_C11_P,Malaysia_C16_M,Malaysia_C16_F,Malaysia_C16_P,Malaysia_C21_M,Malaysia_C21_F,Malaysia_C21_P,Nepal_C11_M,Nepal_C11_F,Nepal_C11_P,Nepal_C16_M,Nepal_C16_F,Nepal_C16_P,Nepal_C21_M,Nepal_C21_F,Nepal_C21_P,Netherlands_C11_M,Netherlands_C11_F
801011011,0,0,0,0,3,3,3,4,0,1211,1233,2447,1221,1220,2438,1279,1262,2543,4,0,0,0,0,0,3,4,3,3,6,12,3,3,7,4,6,4,43,41,84,29,38,73,27,30,63,9,15,20,11,6,16,7,16,22,0,0,0,0,0,0,6,0,7,5,7,10,4,8,8,6,6,12,6,12,16,4,13,15,0,13,12,6,11,16,11,12,23,5,7,15,7,9,19,10,10,21,9,6,19,14,17,33,17,9,27,18,15,32,4,4,5,10,9,18,4,9,13,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,0,0,5,0,5,6,0,9,22,17,35,19,16,33,10,16,30,0,6,6,0,7,7,0,4,10,6,7,13,8,15,19,8,10,20,0,3,6,0,6,9,4,3,7,4,5,11,3,9,15,0,3,8,0,0,0,3,0,3,4,5,3,10,6
801011012,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,0,0,0,0,3,5,3,0,4,1002,1004,2008,1062,1023,2087,1053,1092,2147,22,19,43,8,12,20,18,15,31,0,4,7,6,0,4,3,3,6,23,26,53,21,27,45,19,28,48,5,5,8,4,3,11,3,0,8,0,0,0,0,0,0,0,0,0,0,3,3,3,0,6,0,3,3,8,8,14,5,19,19,6,10,16,14,11,19,11,9,20,13,9,24,8,6,10,5,4,8,0,7,10,27,28,56,41,28,65,43,33,74,4,3,9,0,0,3,3,4,3,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,3,3,5,4,6,0,0,6,10,12,23,9,11,22,12,7,23,0,3,0,5,0,0,0,6,4,5,0,8,9,0,11,0,0,4,0,0,0,0,0,4,0,0,0,7,13,21,8,15,30,11,17,27,0,0,5,0,0,3,23,20,38,0,4
801011014,0,0,0,0,0,0,4,0,4,1154,1149,2304,1132,1100,2229,1232,1234,2458,11,3,14,4,0,3,6,3,5,8,0,8,5,0,8,0,5,7,13,19,39,35,38,65,14,22,39,5,4,12,3,3,4,5,0,5,0,0,4,0,0,0,3,0,10,11,5,19,5,4,10,8,8,14,14,9,26,12,11,26,13,17,32,10,11,26,7,5,16,3,9,13,0,5,5,0,0,0,0,5,6,8,9,23,11,11,20,26,25,50,5,4,6,3,7,5,4,5,9,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,7,7,13,8,3,13,4,3,11,5,4,10,10,9,18,7,3,9,4,5,9,6,6,10,7,8,13,4,0,4,0,3,4,4,11,13,0,0,0,0,0,4,3,0,3,6,4,10,0,5,8,11,5,10,0,0,4,0,3,3,3,3,9,10,3
801011015,0,0,0,5,4,5,4,0,6,1705,1888,3592,1606,1761,3370,1997,2031,4029,6,3,10,9,9,18,15,7,24,3,7,10,5,13,15,8,9,19,16,28,47,15,26,42,19,31,55,9,10,13,8,0,10,7,7,9,0,5,10,6,3,9,0,0,3,4,8,14,4,5,13,7,13,17,22,23,44,16,23,33,17,27,45,3,5,12,3,3,12,3,0,8,4,3,8,9,3,10,5,6,10,30,22,50,41,44,84,97,89,183,4,5,8,3,3,14,10,9,17,0,0,5,6,3,6,10,10,14,0,0,3,0,0,0,0,8,7,10,7,14,8,7,12,9,6,19,9,4,15,4,7,12,10,9,15,0,8,8,0,9,12,0,8,8,0,0,0,3,4,11,4,10,15,0,0,3,0,4,0,0,0,0,10,11,23,12,8,16,7,5,18,0,0,0,3,0,4,34,34,67,9,12
801011016,3,0,3,0,4,8,19,0,19,2661,2536,5195,2521,2394,4913,2699,2512,5210,21,10,28,14,7,19,11,10,16,16,5,19,13,10,22,16,17,30,114,131,250,138,172,314,156,138,294,31,36,64,24,27,55,17,39,56,0,0,3,7,0,5,3,4,4,4,6,11,10,3,14,12,7,15,23,23,49,21,30,42,19,26,44,17,24,40,16,31,48,19,27,44,14,5,21,7,12,15,18,13,29,55,42,93,71,67,135,105,87,192,12,16,24,12,17,24,8,11,17,6,5,13,10,6,17,9,4,19,0,0,0,0,0,0,0,0,0,3,0,3,5,0,8,8,0,10,33,41,78,31,37,72,26,31,61,0,11,15,3,0,3,3,9,10,15,17,28,11,11,23,10,5,15,6,8,11,8,8,11,7,7,13,25,24,51,18,25,42,22,28,49,0,0,4,0,0,0,30,22,52,12,14
801011017,0,0,0,0,0,0,0,0,0,1398,1400,2796,1382,1392,2781,1433,1443,2882,6,3,5,0,0,0,7,6,6,6,7,10,0,4,6,5,3,10,13,22,31,31,24,56,15,27,45,4,3,10,0,4,3,0,3,6,0,0,0,0,0,0,0,0,0,0,3,4,3,3,4,0,0,8,6,11,14,8,10,17,10,6,13,7,5,15,5,6,6,5,7,8,7,4,6,8,6,10,5,5,8,12,7,11,12,15,29,38,28,68,4,7,12,5,6,7,0,6,6,0,0,0,0,0,7,3,0,7,0,3,3,4,0,4,3,3,7,5,4,10,0,7,7,8,5,10,15,21,31,10,13,27,10,7,23,0,8,10,0,3,8,0,5,7,6,4,10,0,0,3,3,6,5,0,0,0,0,0,0,0,0,0,5,9,13,4,5,9,6,3,11,0,0,0,0,0,0,6,3,7,11,17
801011018,0,0,0,0,0,0,5,0,5,0,0,0,36,23,53,613,594,1205,0,0,0,3,4,6,13,14,24,0,0,0,0,0,0,4,4,11,0,0,0,19,9,29,189,192,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,3,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,24,0,0,0,8,3,14,136,85,219,0,0,0,0,3,3,4,5,15,0,0,0,0,0,0,4,6,11,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,26,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,36,0,0,0,5,3,11,39,34,80,0,0
801011019,3,0,5,11,11,14,19,24,39,2001,2062,4061,2384,2499,4887,2487,2538,5020,24,20,45,30,23,50,32,24,53,4,8,11,6,16,22,4,11,19,47,58,104,67,60,125,42,46,85,8,6,8,4,4,4,3,4,4,7,0,7,9,0,11,4,4,12,10,14,22,6,10,20,9,13,22,16,12,28,16,11,26,17,13,33,11,8,12,10,11,17,7,14,18,3,3,11,3,0,8,0,3,3,59,46,105,111,109,218,159,143,306,7,14,15,10,9,20,4,14,17,5,11,13,0,4,3,3,5,3,6,4,12,6,9,11,12,12,19,8,8,12,9,6,7,0,0,4,5,6,10,8,11,14,8,11,17,4,3,13,7,12,17,3,10,18,4,0,4,0,4,3,5,8,12,3,5,4,3,0,3,4,0,8,7,14,24,13,23,34,14,20,37,11,9,19,13,7,24,25,33,60,11,6
801011020,0,0,0,4,4,4,0,5,4,859,885,1743,848,916,1761,962,1038,2000,11,6,14,9,3,10,5,3,11,3,3,10,0,4,7,8,4,11,56,54,107,57,49,102,25,53,76,8,3,11,3,4,14,3,5,6,0,0,0,0,0,0,0,0,0,5,0,4,3,3,14,8,5,7,14,10,19,5,7,15,9,9,20,9,6,10,4,0,3,4,3,8,7,10,17,7,8,14,4,5,8,17,12,30,35,26,57,51,28,80,9,0,11,0,0,4,8,9,20,0,0,0,4,0,11,3,9,13,0,0,0,3,0,3,0,3,3,0,0,5,6,4,3,6,0,6,10,4,22,12,12,21,11,6,22,0,0,0,0,0,0,0,4,3,6,7,14,7,8,19,5,9,16,0,0,0,0,0,0,0,0,0,0,5,9,5,10,15,8,5,9,0,0,0,0,0,0,9,20,32,6,4
801011021,0,0,0,0,0,0,0,0,0,949,979,1924,900,930,1828,918,909,1823,0,0,0,0,0,0,0,0,0,4,6,3,0,4,4,3,5,6,36,31,66,39,44,79,35,41,71,23,23,47,14,17,30,15,21,34,0,0,4,4,5,3,3,4,3,3,4,9,4,0,8,0,6,5,9,5,14,5,6,9,7,6,11,11,13,17,6,14,17,13,11,27,5,7,8,6,4,11,0,3,11,19,19,42,21,18,44,31,31,58,4,0,5,3,13,14,5,6,8,0,0,0,0,0,0,0,0,3,0,0,5,0,0,4,3,0,8,0,0,0,0,0,0,3,4,4,23,21,46,24,22,49,24,20,40,0,3,0,0,6,3,0,4,5,7,4,10,7,9,10,4,10,13,0,5,6,5,4,12,0,7,3,0,13,13,3,11,12,5,13,15,0,0,0,0,0,0,8,3,15,0,0
801011022,3,4,6,0,5,6,4,8,10,1201,1260,2462,1144,1206,2347,1277,1287,2558,0,0,3,0,0,0,0,0,0,0,3,6,3,4,6,4,3,7,9,32,42,25,22,45,22,28,56,8,5,14,4,0,4,3,0,3,0,0,0,0,0,0,5,0,7,0,3,5,0,7,7,0,3,4,10,18,26,10,18,31,10,17,26,14,6,20,13,9,23,8,8,13,4,3,13,4,4,6,8,7,10,13,14,25,15,14,30,26,17,44,5,5,6,9,4,14,4,4,10,0,0,0,0,0,0,3,3,3,7,0,3,7,0,8,6,0,4,6,0,13,5,3,6,6,4,6,9,9,22,8,9,16,8,3,13,3,0,3,7,5,6,5,0,5,3,0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,3,3,0,9,11,0,0,5,6,8,12,0,0,0,0,0,0,9,6,14,8,0
801011023,5,0,4,6,6,7,8,0,16,920,1097,2018,895,1041,1938,920,1046,1963,13,6,20,4,5,8,5,3,10,0,3,3,0,0,3,4,3,6,26,31,53,37,55,90,32,31,62,6,5,7,3,6,9,3,8,11,0,0,4,0,0,4,4,3,6,8,6,14,5,4,10,0,4,8,9,19,32,10,21,31,7,14,21,3,4,4,0,7,9,9,6,13,5,5,8,0,4,3,5,9,9,23,23,52,44,41,82,57,44,101,10,12,17,10,11,17,5,8,13,0,0,0,5,5,9,3,4,8,0,0,0,10,5,15,8,5,10,7,0,9,3,10,16,3,3,10,13,14,27,11,16,30,13,11,22,0,4,4,0,3,3,0,7,7,5,4,4,6,6,7,3,3,4,0,0,0,0,0,0,6,0,6,0,10,10,0,5,5,7,10,19,0,0,3,0,0,3,23,22,43,3,11
801011024,4,0,9,6,5,9,4,3,10,1004,1017,2019,1024,980,2005,1091,1064,2156,19,10,26,6,4,14,15,11,21,0,3,9,3,6,12,7,3,14,26,29,54,31,43,72,17,31,50,0,3,0,0,0,0,3,0,3,0,0,0,0,3,9,4,3,11,3,4,7,4,6,8,4,4,12,15,19,29,7,10,20,9,11,17,7,5,12,0,5,6,0,0,5,6,5,13,0,8,10,3,3,8,38,25,65,41,31,69,38,37,73,5,5,7,4,4,0,3,5,4,0,0,0,3,0,0,3,7,12,3,0,8,3,3,5,3,0,0,6,5,6,4,4,4,8,8,10,8,10,13,9,9,15,8,4,10,0,0,3,5,7,10,0,12,9,4,4,6,6,6,13,4,3,6,0,0,0,0,0,0,0,0,0,3,9,12,7,10,16,3,9,9,8,3,7,0,0,4,23,17,40,6,4
801011025,0,0,0,0,0,0,0,0,0,1012,1009,2015,983,1039,2022,1048,1035,2080,0,0,0,0,0,0,0,0,0,5,0,5,0,0,3,5,5,11,3,5,12,3,11,16,3,16,24,7,4,9,5,7,15,3,5,11,6,4,6,3,4,3,0,4,3,0,3,4,3,9,11,3,4,8,11,7,22,8,8,16,9,6,22,5,6,9,3,3,9,4,3,7,0,0,0,0,0,0,0,0,0,3,0,4,0,5,7,4,4,13,3,0,3,3,4,9,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,6,3,6,3,8,7,4,6,8,6,5,13,8,5,12,6,4,7,0,0,0,0,0,0,0,3,3,0,0,0,5,0,5,0,0,0,0,3,3,0,0,0,0,0,0,5,4,11,5,5,7,6,8,11,0,0,0,0,0,0,0,0,0,0,4
801011026,0,0,0,0,0,0,0,0,0,949,971,1922,951,959,1914,1031,1040,2071,5,0,4,8,5,6,0,0,0,8,3,11,6,7,12,3,5,3,15,20,30,34,32,60,26,27,53,4,4,10,5,7,11,3,3,9,0,0,0,5,0,5,0,0,0,0,0,4,5,4,6,4,5,10,9,10,16,7,3,9,0,9,6,16,14,34,12,10,20,7,7,16,7,5,12,9,7,13,6,6,9,17,11,24,21,15,40,40,20,62,4,5,10,3,0,0,6,3,4,0,4,4,0,4,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15,20,38,10,20,28,10,14,25,5,8,13,3,6,6,0,0,3,0,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,9,6,10,4,5,9,4,5,12,0,0,0,0,0,0,28,17,39,0,0
801011111,0,0,0,0,0,0,0,0,0,4,10,6,3,0,7,5,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011143,0,0,0,0,0,0,0,0,0,0,0,6,7,0,9,144,185,329,0,0,0,0,0,0,5,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,26,0,0
801011144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801031031,0,0,0,0,0,0,0,0,0,215,16,231,307,25,331,300,20,321,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801031032,0,0,0,0,0,0,0,0,0,23,13,34,18,17,31,8,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801031113,0,0,0,4,0,4,11,0,13,373,248,624,324,206,532,332,220,554,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,4,6,12,0,0,0,5,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,3,7,4,0,5,4,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,4
801031114,0,0,0,0,0,0,0,0,0,35,26,58,45,30,76,38,35,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
801031115,0,0,0,0,0,0,0,0,0,78,73,150,59,62,123,117,80,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041034,6,3,10,6,7,7,5,0,10,2032,2205,4239,2076,2131,4206,2163,2221,4384,10,7,19,7,5,14,11,8,13,9,16,19,7,10,15,8,12,22,31,49,79,39,58,102,51,52,111,21,29,53,25,21,48,14,21,39,0,3,3,3,8,10,15,10,26,4,7,15,4,7,17,7,11,18,9,22,29,9,16,25,4,10,18,0,0,0,0,0,5,0,0,3,6,6,11,9,3,17,3,9,18,62,52,114,87,70,160,132,113,245,0,11,13,4,0,5,8,7,10,6,7,11,4,0,3,8,5,11,0,0,0,0,0,0,7,0,5,3,0,9,4,9,8,3,5,9,13,12,21,13,9,19,14,8,18,4,6,9,0,6,9,3,0,5,3,7,11,3,14,22,24,20,43,4,0,4,0,0,0,0,0,0,9,16,25,14,18,29,13,19,35,0,0,0,5,0,6,17,13,29,10,5
801041035,0,0,0,10,13,20,9,10,25,439,482,922,1874,1966,3840,2007,2135,4142,15,11,23,44,39,87,37,35,77,0,0,0,9,0,7,7,5,18,19,20,34,63,89,154,60,78,133,6,4,9,7,12,21,12,15,24,4,0,9,14,12,20,14,14,27,0,3,9,15,21,32,18,17,32,0,5,3,6,10,10,4,3,11,0,0,0,0,0,0,5,7,8,3,4,10,17,16,27,10,16,23,48,40,85,335,304,638,416,356,772,0,0,6,8,19,30,11,16,25,0,3,4,11,14,19,10,9,17,0,0,0,6,3,9,0,5,5,8,0,8,11,3,9,6,0,9,0,0,0,4,7,9,8,3,13,0,0,7,0,3,3,0,4,4,0,3,6,14,25,44,27,34,57,0,0,0,0,0,0,0,0,3,0,3,9,18,15,36,12,18,28,4,10,11,12,10,24,61,48,109,0,0
801041036,0,0,0,0,0,5,8,8,15,523,530,1055,1887,1984,3870,2105,2159,4261,0,0,5,20,20,39,28,28,57,4,0,5,5,5,13,6,5,7,15,13,30,87,87,174,81,105,185,3,0,6,10,4,16,7,7,20,0,0,0,6,6,7,8,4,12,11,9,19,18,12,34,12,12,27,0,5,5,3,7,9,0,5,5,4,0,4,4,0,4,4,5,6,4,4,7,11,11,24,9,12,23,18,16,41,118,114,227,234,208,448,0,4,4,6,9,17,4,16,22,0,0,0,9,4,18,8,11,18,0,0,0,4,0,0,7,4,9,0,0,4,11,7,15,3,5,12,4,0,3,4,3,11,10,4,13,0,0,0,3,10,6,0,10,12,4,11,9,18,23,44,17,16,37,0,0,0,0,0,0,8,3,8,3,0,3,20,13,27,11,11,21,0,0,3,17,19,32,27,24,47,0,0
801041037,0,0,0,6,6,16,11,12,21,171,190,357,1286,1308,2595,1433,1499,2927,0,0,0,40,30,70,41,31,71,0,3,6,6,10,13,7,10,12,11,16,29,203,201,404,171,186,352,0,0,0,14,8,21,5,10,17,0,0,0,0,0,0,6,8,12,0,0,0,5,11,18,8,11,19,0,0,0,3,3,7,0,10,12,0,0,0,0,0,0,0,0,3,0,8,10,18,22,41,17,18,34,16,12,30,146,135,280,171,144,311,0,0,0,3,7,11,0,3,9,0,4,3,12,3,13,12,4,9,0,0,0,0,0,0,3,0,6,0,0,0,14,5,16,5,4,11,0,0,0,5,5,10,3,6,16,0,0,3,0,11,8,0,10,10,0,0,4,12,16,28,17,22,40,0,0,0,0,0,0,5,0,9,0,3,4,14,18,33,20,18,35,0,0,0,14,16,25,17,18,37,0,0
