SA2_CODE_2021,C16_850_949_Oth_lan_typ,C16_850_949_LLT_NS,C16_850_949_Tot,C16_950over_REA,C16_950over_ST_HA,C16_950over_Co_ho_pr,C16_950over_Pe_no_sa_ho,C16_950over_Oth_lan_typ,C16_950over_LLT_NS,C16_950over_Tot,C16_R_NS_REA,C16_R_NS_ST_HA,C16_R_NS_Co_ho_pr,C16_R_NS_Pe_no_sa_ho,C16_R_NS_Oth_lan_typ,C16_R_NS_Land_typ_ns,C16_Rent_not_statd_Tot,C16_Tot_REA,C16_Tot_ST_HA,C16_Tot_Co_ho_pr,C16_Tot_Pe_no_sa_ho,C16_Tot_Oth_lan_typ,C16_Tot_LLT_NS,C16_Tot_Tot,C21_1_74_REA,C21_1_74_ST_HA,C21_1_74_Co_ho_pr,C21_1_74_Per_no_sa_ho,C21_1_74_Oth_land_typ,C21_1_74_LLT_NS,C21_1_74_Tot,C21_75_99_REA,C21_75_99_ST_HA,C21_75_99_Co_ho_pr,C21_75_99_Pe_no_sa_ho,C21_75_99_Oth_lan_typ,C21_75_99_Lan_type_ns,C21_75_99_Tot,C21_100_149_REA,C21_100_149_ST_HA,C21_100_149_Co_ho_pr,C21_100_149_Pe_no_sa_ho,C21_100_149_Ot_lan_ty,C21_100_149_Lan_typ_ns,C21_100_149_Tot,C21_150_199_REA,C21_150_199_ST_HA,C21_150_199_Co_ho_pr,C21_150_199_Pe_no_sa_ho,C21_150_199_Ot_lan_ty,C21_150_199_Lan_ty_ns,C21_150_199_Tot,C21_200_224_REA,C21_200_224_ST_HA,C21_200_224_Co_ho_pr,C21_200_224_Pe_no_sa_ho,C21_200_224_Ot_lan_ty,C21_200_224_Lan_ty_ns,C21_200_224_Tot,C21_225_274_REA,C21_225_274_ST_HA,C21_225_274_Co_ho_pr,C21_225_274_Pe_no_sa_ho,C21_225_274_Ot_la_typ,C21_225_274_Lan_ty_ns,C21_225_274_Tot,C21_275_349_REA,C21_275_349_ST_HA,C21_275_349_Co_ho_pr,C21_275_349_Pe_no_sa_ho,C21_275_349_Ot_lan_ty,C21_275_349_Lan_ty_ns,C21_275_349_Tot,C21_350_449_REA,C21_350_449_ST_HA,C21_350_449_Co_ho_pr,C21_350_449_Pe_no_sa_ho,C21_350_449_Ot_lan_ty,C21_350_449_Lan_ty_ns,C21_350_449_Tot,C21_450_549_REA,C21_450_549_ST_HA,C21_450_549_Co_ho_pr,C21_450_549_Pe_no_sa_ho,C21_450_549_Oth_lan_typ,C21_450_549_Lan_ty_ns,C21_450_549_Tot,C21_550_649_REA,C21_550_649_ST_HA,C21_550_649_Co_ho_pr,C21_550_649_Pe_no_sa_ho,C21_550_649_Ot_lan_ty,C21_550_649_Lan_ty_ns,C21_550_649_Tot,C21_650_749_REA,C21_650_749_ST_HA,C21_650_749_Co_ho_pr,C21_650_749_Pe_no_sa_ho,C21_650_749_Oth_lan_typ,C21_650_749_LLT_NS,C21_650_749_Tot,C21_750_849_REA,C21_750_849_ST_HA,C21_750_849_Co_ho_pr,C21_750_849_Pe_no_sa_ho,C21_750_849_Oth_lan_typ,C21_750_849_LLT_NS,C21_750_849_Tot,C21_850_950_REA,C21_850_949_ST_HA,C21_850_949_Co_ho_pr,C21_850_949_Pe_no_sa_ho,C21_850_949_Oth_lan_typ,C21_850_949_LLT_NS,C21_850_949_Tot,C21_950over_REA,C21_950over_ST_HA,C21_950over_Co_ho_pr,C21_950over_Pe_no_sa_ho,C21_950over_Oth_lan_typ,C21_950over_LLT_NS,C21_950over_Tot,C21_R_NS_REA,C21_R_NS_ST_HA,C21_R_NS_Co_ho_pr,C21_R_NS_Pe_no_sa_ho,C21_R_NS_Oth_lan_typ,C21_R_NS_Land_typ_ns,C21_Rent_not_statd_Tot,C21_Tot_REA,C21_Tot_ST_HA,C21_Tot_Co_ho_pr,C21_Tot_Pe_no_sa_ho,C21_Tot_Oth_lan_typ,C21_Tot_LLT_NS,C21_Tot_Tot
801041121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,3,0,0,0,0,3,0,18,0,0,0,0,27,0,10,0,0,0,0,15,0,4,0,0,0,0,6,0,3,0,0,8,0,13,0,3,0,0,5,0,16,4,0,0,5,3,0,17,4,0,0,0,0,0,9,8,0,0,0,0,0,13,20,0,0,0,0,0,21,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,0,13,46,60,6,17,25,0,156
801041122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,3,0,0,0,0,3,0,12,0,0,0,0,12,0,12,0,0,0,0,11,0,0,0,0,0,0,3,0,3,0,0,7,0,15,0,0,0,0,11,0,19,0,3,0,5,13,0,16,0,0,0,4,0,0,3,23,0,0,8,0,0,26,22,0,0,6,3,0,28,3,0,0,6,0,0,13,3,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,3,0,5,50,36,5,27,44,0,165
801051049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051050,0,0,3,5,0,0,7,0,0,13,0,24,4,5,0,0,34,194,332,42,133,9,3,710,0,20,0,0,0,0,22,0,20,0,0,0,0,20,0,132,5,0,0,0,139,0,41,0,3,0,0,46,0,11,0,0,0,0,17,4,21,0,4,0,0,26,7,12,7,9,0,0,35,10,14,6,17,0,0,49,19,14,7,16,3,0,59,50,4,0,21,0,0,76,44,0,0,19,0,0,64,26,0,0,10,0,0,32,15,0,0,4,0,0,16,30,0,0,9,0,0,36,6,17,0,0,3,4,29,200,306,33,115,10,9,668
801051051,0,0,6,10,0,0,9,0,0,14,8,16,0,14,5,0,46,1054,229,26,350,36,10,1704,0,11,0,3,0,0,12,0,10,13,0,0,4,24,0,66,10,3,0,0,89,4,13,9,6,0,0,32,3,6,6,10,0,0,23,8,4,4,26,18,0,60,19,3,4,17,0,0,49,236,11,0,75,4,0,337,583,0,0,107,8,0,696,325,0,0,75,6,0,401,159,0,0,27,0,0,186,37,0,0,24,0,0,60,28,0,0,14,0,0,39,23,0,0,18,0,0,41,19,8,0,15,11,4,50,1452,137,44,428,56,9,2120
801051053,0,0,17,22,0,0,3,0,0,28,19,0,0,4,5,0,33,626,4,0,170,13,4,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,4,6,0,0,8,4,0,19,17,0,0,15,0,0,37,71,0,0,35,0,0,108,320,0,0,53,3,0,375,244,0,0,51,0,0,303,153,0,0,29,3,0,186,41,0,0,15,4,0,52,23,0,0,8,0,0,30,33,0,0,19,3,0,49,16,0,0,3,3,7,33,920,4,7,243,25,4,1199
801051054,0,0,0,3,0,0,0,0,0,3,4,3,0,6,4,0,11,242,68,5,123,14,0,452,0,3,0,0,0,0,7,0,4,0,0,0,0,4,0,25,0,4,0,0,28,4,7,0,3,0,0,13,4,5,0,0,0,0,11,0,10,0,7,0,0,18,13,9,0,18,4,0,39,109,0,0,31,4,0,147,100,0,0,27,5,0,137,115,0,0,33,0,0,149,41,0,0,15,0,0,52,22,0,0,9,0,0,34,10,0,0,0,0,0,10,10,0,0,6,0,0,14,0,3,0,0,0,0,8,428,68,8,153,14,3,673
801051055,0,0,3,0,3,0,5,0,0,10,4,3,0,6,0,0,9,219,134,0,148,13,0,519,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,68,0,7,0,0,72,3,14,0,11,3,0,31,0,10,0,5,0,0,15,7,13,0,13,0,0,32,28,5,3,16,5,0,65,37,10,6,30,3,0,90,53,5,0,26,4,0,86,67,0,0,37,4,0,109,33,0,0,5,5,0,44,15,0,0,8,0,0,21,5,0,0,0,0,0,6,0,0,0,0,0,0,3,7,7,0,10,0,3,21,239,143,17,164,27,5,600
801051056,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,148,67,5,71,5,0,288,0,0,0,0,0,0,4,0,8,0,0,0,0,3,0,24,0,0,0,0,24,0,8,0,4,0,0,18,0,6,0,0,0,0,5,0,3,0,4,0,0,8,40,3,0,7,3,0,54,26,0,3,10,0,0,41,32,6,0,0,0,0,32,14,0,0,13,0,0,26,17,0,0,0,0,0,15,14,0,0,0,0,0,14,6,0,0,0,0,0,6,0,0,0,4,0,0,8,4,0,0,10,0,0,11,150,56,9,56,6,6,278
801051057,0,0,4,5,0,0,0,0,0,8,13,22,5,8,0,0,42,668,214,13,231,43,3,1180,0,17,0,3,5,0,27,0,13,0,3,0,0,13,3,95,5,4,0,0,109,5,15,5,3,3,0,29,5,9,5,10,3,0,26,10,11,5,16,0,0,46,54,17,3,28,12,0,113,213,9,0,83,15,0,315,195,6,0,48,10,0,258,111,0,0,43,0,0,159,49,0,0,8,0,0,62,22,0,0,6,0,0,30,6,0,0,0,0,0,6,12,0,0,5,0,0,14,6,12,0,9,8,3,37,677,203,19,274,59,6,1236
801051058,0,0,3,5,0,0,3,0,0,9,0,12,0,0,0,0,21,370,223,17,207,17,4,845,0,18,0,0,0,0,13,0,9,4,0,0,0,14,0,92,0,3,0,0,102,3,19,9,3,0,0,34,4,24,5,9,0,0,31,7,6,3,3,0,0,24,11,17,7,17,0,0,54,73,3,0,42,7,0,125,90,9,0,45,0,0,149,74,0,0,39,5,0,117,53,0,0,28,0,0,77,29,0,0,13,4,0,45,10,0,0,8,0,0,18,17,0,0,10,0,0,28,3,7,0,13,0,4,28,364,211,30,228,21,5,866
801051060,0,0,4,3,0,0,0,0,0,8,5,9,0,10,5,0,27,664,233,5,242,27,0,1168,0,9,0,0,0,0,14,0,3,0,0,0,0,3,0,64,0,3,0,0,66,0,5,0,0,0,0,12,0,9,0,6,0,0,17,3,11,0,14,7,0,35,6,5,0,26,0,0,41,165,9,0,63,5,0,237,261,0,0,54,6,0,321,184,0,0,32,3,0,223,74,0,0,27,0,0,99,32,0,0,17,0,0,45,18,0,0,5,0,0,25,8,0,0,5,0,0,14,4,9,0,3,3,0,25,759,120,3,256,35,0,1182
801051061,0,0,0,5,0,0,0,0,0,8,0,6,0,4,0,3,20,507,148,10,202,51,11,921,0,11,0,0,0,0,8,0,9,0,0,0,0,9,0,59,3,3,0,0,65,0,8,3,6,0,0,17,0,9,3,8,0,0,21,7,14,0,7,12,0,36,48,4,0,27,7,0,90,135,9,0,51,22,0,218,154,0,0,52,7,0,216,68,3,4,20,0,0,96,42,0,0,13,0,0,62,19,0,0,7,0,0,23,4,0,0,0,0,0,5,6,0,0,3,0,0,8,4,14,0,3,0,0,24,481,134,10,210,61,5,901
801051123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051124,0,0,16,7,0,0,0,0,0,7,5,0,0,0,0,0,10,255,18,3,64,19,3,362,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,13,0,4,9,0,0,0,18,0,0,0,0,0,0,5,7,5,0,3,9,0,25,54,0,0,12,3,0,72,49,0,0,19,3,0,71,88,0,0,17,3,0,110,88,0,0,18,5,0,107,62,0,0,10,0,0,70,49,0,0,12,0,0,60,25,0,0,4,0,0,29,44,0,0,5,0,0,50,6,3,0,6,3,0,18,474,22,17,98,35,0,643
801051125,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,5,0,7,0,0,125,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,9,0,0,52,0,56,0,3,0,0,42,0,46,0,0,0,0,13,0,13,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,16,0,0,124,0,146
801051126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051127,0,0,3,6,0,0,0,0,0,6,3,4,0,0,0,0,12,149,181,13,72,6,0,426,0,15,0,0,0,0,15,0,12,0,0,0,0,12,0,42,0,0,0,0,54,0,10,0,0,0,0,11,0,5,0,7,0,0,11,0,5,0,3,0,0,6,3,3,0,6,0,0,16,34,4,0,11,0,0,48,56,0,0,17,3,0,75,25,0,0,8,0,0,31,5,0,0,4,0,0,13,6,0,0,5,0,0,14,3,0,0,0,0,0,7,4,0,0,4,0,0,8,0,0,0,3,0,0,11,140,96,8,72,11,0,325
801051128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061062,0,0,5,14,0,0,3,0,0,21,0,3,0,0,0,0,10,137,47,0,60,5,0,255,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,19,0,0,0,0,19,0,6,0,0,0,0,9,0,0,0,0,0,0,4,0,9,0,0,0,0,12,5,0,0,0,0,0,12,13,5,4,10,0,0,23,25,0,0,14,0,0,45,22,0,0,10,0,0,40,20,0,0,5,0,0,30,12,0,0,5,0,0,15,13,0,0,3,0,0,11,28,0,0,3,0,0,33,4,0,0,0,3,0,9,149,41,9,56,8,0,257
801061063,0,0,5,25,0,0,4,0,0,25,5,0,0,0,0,0,3,172,11,0,27,4,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,4,28,0,0,10,0,0,32,45,0,0,5,0,0,57,50,0,0,9,0,0,59,24,0,0,4,0,0,27,8,0,0,0,0,0,13,3,0,0,5,0,0,4,22,0,0,4,0,0,27,4,0,0,6,0,0,14,193,13,0,42,10,0,244
801061064,0,0,5,15,0,0,4,0,0,24,3,10,0,0,4,0,17,536,170,0,130,22,9,867,0,4,0,0,0,0,4,0,8,0,0,0,0,15,0,64,0,3,0,0,69,0,12,0,4,0,0,10,3,8,0,6,0,0,13,10,0,0,3,18,0,33,17,4,0,12,4,0,39,167,7,0,39,3,0,220,231,0,0,48,5,0,283,136,0,0,16,3,0,151,53,0,0,10,0,0,66,20,0,0,3,0,0,23,12,0,0,0,0,0,15,24,0,0,7,5,0,39,3,0,0,12,10,0,26,675,104,0,159,48,4,995
801061066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061067,0,0,7,12,0,0,4,0,0,14,3,21,3,4,3,0,39,378,272,49,189,24,7,916,0,8,0,0,5,0,14,0,18,0,0,0,0,24,0,95,4,0,0,0,105,0,38,23,0,0,0,71,0,16,14,3,0,0,29,0,13,8,5,0,0,29,18,16,3,12,0,0,50,65,11,5,43,5,3,128,122,10,0,43,9,0,188,89,5,0,20,0,0,117,39,0,0,11,0,0,49,26,0,0,3,0,0,26,14,0,0,4,0,0,11,18,0,0,0,0,0,25,8,12,9,11,0,0,33,400,244,65,158,16,12,892
801061068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061069,0,0,12,11,0,0,3,0,0,16,3,0,0,4,0,0,12,143,82,11,66,9,0,311,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,14,3,0,7,0,0,18,35,7,0,12,0,0,51,14,0,0,10,0,0,27,6,0,0,5,0,0,15,15,0,0,3,0,0,23,10,0,0,5,0,0,23,16,0,0,0,0,0,21,25,0,0,3,0,0,26,5,0,0,0,0,0,9,142,23,0,56,6,0,221
801061070,0,0,12,8,0,0,4,0,0,17,0,3,0,0,0,0,9,136,71,9,60,3,0,278,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,30,0,0,0,0,30,0,11,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,4,0,0,3,15,5,0,8,0,0,27,16,0,0,3,3,0,25,9,0,0,12,0,0,30,23,3,0,13,0,0,35,14,0,0,8,0,0,20,27,0,0,7,0,0,36,7,0,0,4,0,0,12,30,0,0,3,0,0,34,0,0,0,0,0,0,9,155,60,9,56,7,0,289
801061129,0,0,8,4,0,0,4,0,0,4,3,0,0,0,3,0,14,306,0,0,61,13,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,8,0,0,0,0,0,0,8,25,6,0,11,3,0,42,150,0,0,31,0,0,189,89,0,0,16,0,0,100,68,0,0,5,0,0,69,22,0,0,3,0,0,30,11,0,0,0,0,0,11,6,0,0,14,0,0,17,3,0,0,3,0,0,9,381,4,0,84,15,0,479
801061130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,8,0,0,11
801061131,0,0,24,18,0,0,10,0,0,21,19,0,0,4,4,0,30,977,59,3,247,25,0,1308,0,5,0,4,0,0,11,0,0,0,0,0,0,0,0,21,0,6,0,0,20,0,5,0,4,0,0,10,0,6,0,7,0,0,17,6,9,0,3,10,0,23,10,6,0,13,4,0,40,166,0,0,47,5,0,225,540,5,0,81,8,0,631,326,0,0,56,9,0,390,145,0,0,27,0,0,170,53,0,0,11,0,0,71,34,0,0,7,0,0,42,49,0,0,22,0,0,71,15,7,0,6,6,0,34,1352,56,3,291,45,0,1753
801071071,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,11,159,67,10,77,16,0,331,0,4,0,0,0,0,4,0,8,0,0,0,0,8,0,14,0,0,0,0,17,0,12,0,0,0,0,10,0,6,0,3,0,0,11,0,3,3,3,6,0,24,6,7,0,8,6,0,23,32,10,0,24,0,0,74,74,3,0,16,5,0,95,13,0,0,5,0,0,22,0,0,0,0,0,0,5,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,9,0,3,17,138,77,6,75,21,3,316
801071072,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,14,200,103,0,113,22,3,448,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,47,0,0,0,0,52,0,15,0,0,0,0,15,0,9,0,4,0,0,11,0,9,0,0,0,0,15,0,11,0,3,7,0,29,36,4,0,26,9,0,76,84,0,0,22,3,0,116,41,0,0,16,0,0,58,7,0,0,0,0,0,10,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,11,175,105,0,99,20,0,401
801071073,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,189,57,3,115,8,4,369,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,22,0,3,0,0,25,0,6,0,6,0,0,8,0,7,0,3,0,0,8,0,6,0,3,0,0,8,0,4,0,4,0,0,10,51,8,0,27,0,0,82,69,0,0,32,0,0,100,28,0,0,4,0,0,29,5,0,0,3,0,0,9,3,0,0,0,0,0,3,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,161,51,4,79,3,0,301
801071074,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,10,102,142,7,96,10,0,356,0,3,6,0,0,0,8,0,7,0,0,0,0,7,0,66,0,0,0,0,66,0,18,0,0,0,0,21,0,11,0,6,0,0,18,0,13,0,4,0,0,15,0,10,0,0,0,0,11,18,12,0,30,0,0,60,45,3,0,24,3,0,82,36,0,0,12,0,0,44,7,0,0,0,0,0,11,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,6,0,0,19,116,149,4,93,6,0,372
801071075,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,119,107,11,70,29,4,338,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,22,5,4,0,0,28,0,19,19,4,0,0,38,0,11,4,3,0,0,15,0,10,3,0,3,0,17,0,6,0,4,8,0,19,29,7,0,20,15,0,67,44,0,0,20,0,0,73,17,0,0,7,0,0,26,7,0,0,0,0,0,8,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,113,80,33,60,27,0,312
801071076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,59,0,0,12,4,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,14,16,0,0,6,0,0,25,9,0,0,6,0,0,15,8,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,20,4,0,70
801071077,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,96,95,5,46,3,0,239,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,18,0,0,0,0,21,0,9,0,0,0,0,9,0,9,0,0,0,0,9,0,10,0,0,0,0,14,0,12,0,4,0,0,17,23,13,0,7,0,0,45,28,4,0,17,0,0,48,24,0,0,9,0,0,42,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,88,85,0,42,0,0,214
801071078,0,0,0,0,0,0,0,0,0,0,3,5,0,5,4,4,16,282,150,20,128,24,4,607,0,6,0,0,0,0,0,0,4,0,0,0,0,4,0,71,0,0,4,0,74,3,30,0,0,0,0,32,0,11,0,0,0,0,14,0,12,0,0,0,0,15,0,9,0,4,10,0,27,74,10,4,59,3,0,152,104,5,0,35,0,0,141,43,0,0,17,0,0,57,13,0,0,0,0,0,12,0,0,0,0,0,0,4,7,0,0,0,0,0,7,0,0,0,0,0,0,0,7,6,0,4,0,0,19,251,154,6,116,21,0,555
801071079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,65,70,0,35,4,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,0,5,0,0,0,0,10,0,0,0,0,0,0,9,0,4,0,3,0,0,12,0,3,0,0,0,0,4,10,8,0,12,0,0,25,16,6,0,14,0,0,34,19,0,0,9,0,0,25,14,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,5,61,69,0,46,0,0,177
801071080,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,307,35,0,81,10,0,440,0,10,0,0,0,0,10,0,4,0,0,0,0,4,0,35,0,0,0,0,41,0,7,0,5,0,0,12,4,4,0,3,0,0,12,6,0,0,6,0,0,11,3,5,4,10,0,0,22,209,3,0,58,0,0,281,227,0,0,47,0,0,275,86,0,0,9,0,0,96,27,0,0,4,0,0,29,3,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,3,10,7,0,6,0,0,18,580,72,8,143,11,5,819
801071081,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,168,44,0,122,15,5,352,0,0,0,0,0,0,5,0,3,0,0,0,0,3,0,6,0,0,0,0,9,0,3,0,4,0,0,10,0,3,0,0,0,0,4,5,0,0,6,0,0,15,4,3,0,9,0,0,15,39,7,0,36,4,0,91,65,4,0,38,9,0,111,26,0,0,10,0,0,33,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,4,0,16,155,41,5,106,16,0,316
801071082,0,0,5,0,0,0,0,0,0,0,3,31,0,15,0,0,51,390,497,13,273,13,0,1191,0,22,0,4,0,0,19,0,25,0,0,0,0,27,0,162,4,6,0,0,174,3,81,11,8,3,0,95,3,47,0,5,0,0,56,4,40,4,7,0,0,61,8,23,0,25,0,0,65,88,45,0,78,6,0,223,169,20,0,57,6,0,248,92,0,0,31,4,0,130,39,0,0,7,0,0,50,12,0,0,4,0,0,16,3,0,0,0,0,0,10,3,0,0,0,0,0,3,7,38,6,19,0,4,75,439,503,31,237,33,9,1246
801071083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,6,0,14,0,0,46,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,4,6,0,0,10,0,0,12,10,0,0,3,0,0,12,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,15,0,0,48
