SA2_CODE_2021,C21_75_99_CF_CU15_NDS,C21_75_99_CF_NCU15_DS,C21_75_99_CF_NDCO,C21_75_99_Tot,C21_100_149_CF_NC,C21_100_149_CF_Cu15DS_,C21_100_149_CF_CU15_NDS,C21_100_149_CF_NCU15_DS,C21_100_149_CF_NDCO,C21_100_149_Tot,C21_150_199_CF_NC,C21_150_199_CF_Cu15DS_,C21_150_199_CF_CU15_NDS,C21_150_199_CF_NCU15_DS,C21_150_199_CF_NDCO,C21_150_199_Tot,C21_200_224_CF_NC,C21_200_224_CF_Cu15DS_,C21_200_224_CF_CU15_NDS,C21_200_224_CF_NCU15_DS,C21_200_224_CF_NDCO,C21_200_224_Tot,C21_225_274_CF_NC,C21_225_274_CF_Cu15DS_,C21_225_274_CF_CU15_NDS,C21_225_274_CF_NCU15_DS,C21_225_274_CF_NDCO,C21_225_274_Tot,C21_275_349_CF_NC,C21_275_349_CF_Cu15DS_,C21_275_349_CF_CU15_NDS,C21_275_349_CF_NCU15_DS,C21_275_349_CF_NDCO,C21_275_349_Tot,C21_350_449_CF_NC,C21_350_449_CF_Cu15DS_,C21_350_449_CF_CU15_NDS,C21_350_449_CF_NCU15_DS,C21_350_449_CF_NDCO,C21_350_449_Tot,C21_450_549_CF_NC,C21_450_549_CF_Cu15DS_,C21_450_549_CF_CU15_NDS,C21_450_549_CF_NCU15_DS,C21_450_549_CF_NDCO,C21_450_549_Tot,C21_550_649_CF_NC,C21_550_649_CF_Cu15DS_,C21_550_649_CF_CU15_NDS,C21_550_649_CF_NCU15_DS,C21_550_649_CF_NDCO,C21_550_649_Tot,C21_650_749_CF_NC,C21_650_749_CF_Cu15DS_,C21_650_749_CF_CU15_NDS,C21_650_749_CF_NCU15_DS,C21_650_749_CF_NDCO,C21_650_749_Tot,C21_750_849_CF_NC,C21_750_849_CF_Cu15DS_,C21_750_849_CF_CU15_NDS,C21_750_849_CF_NCU15_DS,C21_750_849_CF_NDCO,C21_750_849_Tot,C21_850_949_CF_NC,C21_850_949_CF_Cu15DS_,C21_850_949_CF_CU15_NDS,C21_850_949_CF_NCU15_DS,C21_850_949_CF_NDCO,C21_850_949_Tot,C21_950over_CF_NC,C21_950over_CF_Cu15DS_,C21_950over_CF_CU15_NDS,C21_950over_CF_NCU15_DS,C21_950over_CF_NDCO,C21_950over_Tot,C21_Rns_CF_NC,C21_Rns_CF_Cu15DS_,C21_Rns_CF_CU15_NDS,C21_Rns_CF_NCU15_DS,C21_Rns_CF_NDCO,C21_Rns_Tot,C21_Tot_CF_NC,C21_Tot_CF_Cu15DS_,C21_Tot_CF_CU15_NDS,C21_Tot_CF_NCU15_DS,C21_Tot_CF_NDCO,C21_Tot_Tot
801051055,0,0,0,0,0,0,0,0,0,8,8,0,4,0,0,8,0,0,3,0,0,4,12,0,0,0,0,10,13,0,11,0,0,27,26,0,18,0,0,46,24,4,12,0,0,41,25,0,24,3,0,53,13,0,8,0,0,22,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,125,11,92,5,5,230
801051056,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14,0,6,0,0,24,12,0,6,0,4,24,7,0,7,0,0,12,10,0,4,0,0,11,0,0,7,0,0,8,5,0,5,0,0,7,0,0,0,0,0,5,0,0,3,0,0,8,0,0,0,0,0,3,53,5,42,3,0,105
801051057,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,5,5,0,0,0,0,12,19,5,16,0,0,36,96,0,18,4,3,124,99,0,33,5,0,139,33,4,18,3,0,62,22,0,9,0,0,33,7,0,4,0,0,11,3,0,0,0,0,0,3,0,0,0,0,4,5,0,0,0,0,9,301,12,110,11,11,446
801051058,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,11,3,0,0,0,0,4,0,0,0,0,0,7,7,0,10,0,0,13,37,0,15,0,0,55,57,4,13,0,0,68,33,0,12,0,5,46,11,0,3,0,0,16,3,0,6,3,0,19,4,0,0,0,0,4,3,0,8,0,0,16,0,0,0,0,0,0,174,7,72,9,11,277
801051060,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,3,3,0,0,0,0,3,10,0,0,0,0,10,8,0,8,0,0,17,72,0,7,0,0,85,115,0,16,0,0,130,64,0,17,0,0,83,32,0,6,0,0,33,11,0,6,0,0,15,6,0,0,0,0,9,3,0,0,0,0,3,7,0,0,0,0,7,334,0,65,0,3,400
801051061,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,5,3,0,4,0,0,7,11,0,10,0,0,16,26,3,5,0,0,30,63,7,30,3,0,104,69,5,41,5,0,122,20,6,27,0,0,55,14,7,11,0,6,32,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,214,18,141,15,3,392
801051123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,3,18,0,0,0,0,22,14,0,5,0,0,23,43,0,4,0,0,47,38,0,10,0,0,49,19,0,10,0,0,30,10,0,10,0,0,19,9,0,3,0,0,13,7,3,9,8,0,27,0,0,0,0,0,0,154,14,50,9,3,232
801051125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,18,4,27,0,0,53,18,0,21,0,0,40,3,0,8,0,0,12,0,0,0,0,0,4,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,4,55,8,4,122
801051126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
