SA2_CODE_2021,Netherlands_C11_P,Netherlands_C16_M,Netherlands_C16_F,Netherlands_C16_P,Netherlands_C21_M,Netherlands_C21_F,Netherlands_C21_P,New_Zealand_C11_M,New_Zealand_C11_F,New_Zealand_C11_P,New_Zealand_C16_M,New_Zealand_C16_F,New_Zealand_C16_P,New_Zealand_C21_M,New_Zealand_C21_F,New_Zealand_C21_P,Pakistan_C11_M,Pakistan_C11_F,Pakistan_C11_P,Pakistan_C16_M,Pakistan_C16_F,Pakistan_C16_P,Pakistan_C21_M,Pakistan_C21_F,Pakistan_C21_P,Philippines_C11_M,Philippines_C11_F,Philippines_C11_P,Philippines_C16_M,Philippines_C16_F,Philippines_C16_P,Philippines_C21_M,Philippines_C21_F,Philippines_C21_P,Poland_C11_M,Poland_C11_F,Poland_C11_P,Poland_C16_M,Poland_C16_F,Poland_C16_P,Poland_C21_M,Poland_C21_F,Poland_C21_P,Singapore_C11_M,Singapore_C11_F,Singapore_C11_P,Singapore_C16_M,Singapore_C16_F,Singapore_C16_P,Singapore_C21_M,Singapore_C21_F,Singapore_C21_P,South_Africa_C11_M,South_Africa_C11_F,South_Africa_C11_P,South_Africa_C16_M,South_Africa_C16_F,South_Africa_C16_P,South_Africa_C21_M,South_Africa_C21_F,South_Africa_C21_P,Sri_Lanka_C11_M,Sri_Lanka_C11_F,Sri_Lanka_C11_P,Sri_Lanka_C16_M,Sri_Lanka_C16_F,Sri_Lanka_C16_P,Sri_Lanka_C21_M,Sri_Lanka_C21_F,Sri_Lanka_C21_P,Taiwan_C11_M,Taiwan_C11_F,Taiwan_C11_P,Taiwan_C16_M,Taiwan_C16_F,Taiwan_C16_P,Taiwan_C21_M,Taiwan_C21_F,Taiwan_C21_P,Thailand_C11_M,Thailand_C11_F,Thailand_C11_P,Thailand_C16_M,Thailand_C16_F,Thailand_C16_P,Thailand_C21_M,Thailand_C21_F,Thailand_C21_P,Unitd_Kingdom_C11_M,Unitd_Kingdom_C11_F,Unitd_Kingdom_C11_P,Unitd_Kingdom_C16_M,Unitd_Kingdom_C16_F,Unitd_Kingdom_C16_P,Unitd_Kingdom_C21_M,Unitd_Kingdom_C21_F,Unitd_Kingdom_C21_P,Unit_Sts_Amer_C11_M,Unit_Sts_Amer_C11_F,Unit_Sts_Amer_C11_P,Unit_Sts_Amer_C16_M,Unit_Sts_Amer_C16_F,Unit_Sts_Amer_C16_P,Unit_Sts_Amer_C21_M,Unit_Sts_Amer_C21_F,Unit_Sts_Amer_C21_P,Vietnam_C11_M,Vietnam_C11_F,Vietnam_C11_P,Vietnam_C16_M,Vietnam_C16_F,Vietnam_C16_P,Vietnam_C21_M,Vietnam_C21_F,Vietnam_C21_P,Born_elsewhere_C11_M,Born_elsewhere_C11_F,Born_elsewhere_C11_P,Born_elsewhere_C16_M,Born_elsewhere_C16_F,Born_elsewhere_C16_P,Born_elsewhere_C21_M,Born_elsewhere_C21_F,Born_elsewhere_C21_P,Country_birt_ns_C11_M,Country_birt_ns_C11_F,Country_birt_ns_C11_P,Country_birt_ns_C16_M,Country_birt_ns_C16_F,Country_birt_ns_C16_P,Country_birt_ns_C21_M,Country_birt_ns_C21_F,Country_birt_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
801081097,12,9,7,13,5,8,12,12,16,29,16,14,28,13,13,31,0,5,9,0,4,4,3,0,0,3,10,13,12,20,32,11,15,24,4,3,9,5,7,14,3,5,12,0,0,0,0,4,8,0,3,3,8,6,21,11,7,18,5,14,19,0,7,9,6,3,14,5,7,14,0,0,0,0,0,0,0,0,0,0,5,6,0,4,4,0,0,4,73,67,137,59,56,119,55,53,107,5,12,23,11,10,17,7,12,20,0,0,3,0,0,0,0,0,0,65,62,123,55,52,110,54,65,125,76,54,133,70,72,145,58,57,117,1288,1307,2596,1290,1340,2627,1355,1422,2785
801081098,15,12,7,15,9,4,11,12,16,27,17,16,32,30,19,47,3,3,3,14,12,25,12,4,18,3,10,11,7,19,25,14,17,32,4,5,13,5,4,10,4,7,10,8,6,5,4,3,4,6,6,11,7,6,15,10,13,22,15,13,19,0,0,5,13,4,19,14,12,26,0,0,0,0,0,4,0,6,7,0,0,0,3,4,4,7,4,13,98,108,208,96,76,172,83,73,156,11,11,25,11,12,19,16,14,28,6,3,10,7,5,14,4,11,13,70,63,136,80,79,165,89,105,194,62,60,127,134,216,351,71,71,140,1559,1692,3254,1703,1872,3580,1933,2067,4000
801081133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,12,0,0,4,0,0,0
801091099,10,3,4,3,0,5,4,9,13,25,12,14,25,10,15,25,6,6,10,10,15,27,7,11,19,11,9,18,18,12,28,17,23,38,0,6,11,0,4,5,5,7,8,7,8,8,0,4,6,4,0,7,3,0,9,3,3,3,4,4,4,16,11,27,9,9,17,8,3,19,0,0,0,0,0,0,0,0,0,5,3,3,10,9,17,0,4,4,56,55,108,34,47,76,49,37,92,6,3,16,6,8,15,3,9,12,4,12,12,6,14,20,4,9,13,55,63,118,57,68,125,77,101,178,43,42,82,57,54,117,37,34,73,1253,1228,2490,1186,1219,2407,1291,1390,2680
801091100,11,8,3,12,4,7,8,32,37,68,25,25,53,34,35,74,3,4,9,6,3,8,11,11,15,0,11,17,14,34,48,9,33,40,5,8,15,3,8,8,9,4,14,0,3,3,0,0,5,3,6,12,8,9,19,7,8,17,8,16,28,19,15,37,16,12,26,10,17,28,0,4,4,0,0,3,5,4,6,0,9,8,10,12,18,5,12,11,174,162,339,157,139,295,142,123,258,21,22,43,31,32,59,26,32,60,4,5,14,11,9,15,9,7,15,85,96,190,82,100,179,119,142,259,67,63,130,126,121,243,75,73,148,2466,2710,5174,2502,2729,5234,2701,2871,5569
801091101,9,4,6,9,5,8,9,22,22,51,18,18,41,29,24,54,13,8,14,15,9,15,13,10,19,9,13,20,5,13,21,8,12,21,3,5,11,0,4,4,0,5,6,8,3,13,6,7,4,6,10,15,3,9,11,11,8,20,3,16,19,4,16,22,7,8,17,0,6,10,0,0,0,0,5,5,0,0,0,4,13,17,10,10,13,0,8,11,99,105,200,82,81,171,96,100,196,14,17,24,8,10,16,22,18,38,7,8,14,5,0,10,4,11,12,70,70,138,60,59,119,79,76,155,59,48,107,55,59,110,76,77,148,1629,1730,3362,1587,1638,3224,1869,1924,3787
801091102,7,4,8,8,4,5,13,34,24,57,28,25,52,21,27,47,8,7,12,7,8,15,12,9,28,16,25,40,29,29,55,11,33,47,3,10,14,5,8,13,6,9,12,6,3,8,8,3,17,10,9,15,7,7,13,4,10,13,4,6,17,20,21,43,15,20,35,15,19,33,0,10,9,3,7,4,3,6,11,3,8,11,0,7,7,7,9,10,98,101,194,88,93,185,98,75,168,17,11,26,15,17,34,22,19,35,3,9,7,8,3,9,9,13,12,81,91,172,90,100,190,70,87,156,43,40,81,167,138,304,75,83,159,1538,1661,3203,1695,1800,3499,1768,1937,3706
801091103,10,6,9,15,4,6,11,30,31,58,26,25,54,33,26,64,0,5,7,0,0,0,0,0,0,5,13,19,10,11,18,11,7,16,3,10,16,0,0,4,3,4,6,0,4,10,0,7,7,0,6,6,16,7,20,14,8,19,9,7,12,14,9,19,7,3,12,5,4,8,0,3,4,0,4,4,0,4,4,6,8,12,4,8,10,6,7,13,80,111,189,86,94,181,68,83,156,11,9,20,15,21,42,21,21,36,5,7,13,7,7,13,5,4,10,45,60,100,48,75,133,77,93,170,64,63,130,94,100,190,46,59,106,1364,1590,2949,1400,1589,2993,1520,1691,3210
801091104,12,3,7,11,0,10,5,9,16,23,12,17,32,12,13,29,3,0,6,3,5,6,5,0,7,7,12,20,0,6,12,4,14,16,5,4,12,8,10,18,4,7,14,0,3,9,3,3,10,9,9,15,9,11,20,8,10,25,3,10,9,24,28,53,30,32,65,27,33,61,0,0,0,3,3,5,0,0,0,3,6,8,4,9,12,0,6,6,62,64,127,61,62,121,51,44,96,20,14,34,10,10,17,14,6,18,16,10,25,15,8,25,8,14,25,66,86,159,75,77,160,63,83,145,38,38,73,33,44,78,36,30,64,1127,1229,2352,1099,1242,2345,1149,1230,2379
801091105,3,0,3,9,3,3,8,18,13,36,21,18,41,22,12,36,6,8,10,4,8,14,12,16,23,10,15,17,24,32,56,10,35,53,4,11,10,6,5,7,5,5,5,5,6,10,3,5,12,0,4,7,8,6,17,14,13,24,15,12,22,16,13,26,8,11,17,16,17,36,0,5,5,0,3,3,0,3,3,0,0,3,0,3,8,4,5,11,60,69,135,68,55,122,76,57,131,9,6,14,9,12,21,9,15,24,8,9,17,3,7,15,10,7,19,91,101,195,108,117,225,126,132,257,88,56,144,141,116,258,71,66,137,1399,1333,2732,1561,1530,3089,1605,1663,3271
