SA2_CODE_2021,Netherlands_C11_P,Netherlands_C16_M,Netherlands_C16_F,Netherlands_C16_P,Netherlands_C21_M,Netherlands_C21_F,Netherlands_C21_P,New_Zealand_C11_M,New_Zealand_C11_F,New_Zealand_C11_P,New_Zealand_C16_M,New_Zealand_C16_F,New_Zealand_C16_P,New_Zealand_C21_M,New_Zealand_C21_F,New_Zealand_C21_P,Pakistan_C11_M,Pakistan_C11_F,Pakistan_C11_P,Pakistan_C16_M,Pakistan_C16_F,Pakistan_C16_P,Pakistan_C21_M,Pakistan_C21_F,Pakistan_C21_P,Philippines_C11_M,Philippines_C11_F,Philippines_C11_P,Philippines_C16_M,Philippines_C16_F,Philippines_C16_P,Philippines_C21_M,Philippines_C21_F,Philippines_C21_P,Poland_C11_M,Poland_C11_F,Poland_C11_P,Poland_C16_M,Poland_C16_F,Poland_C16_P,Poland_C21_M,Poland_C21_F,Poland_C21_P,Singapore_C11_M,Singapore_C11_F,Singapore_C11_P,Singapore_C16_M,Singapore_C16_F,Singapore_C16_P,Singapore_C21_M,Singapore_C21_F,Singapore_C21_P,South_Africa_C11_M,South_Africa_C11_F,South_Africa_C11_P,South_Africa_C16_M,South_Africa_C16_F,South_Africa_C16_P,South_Africa_C21_M,South_Africa_C21_F,South_Africa_C21_P,Sri_Lanka_C11_M,Sri_Lanka_C11_F,Sri_Lanka_C11_P,Sri_Lanka_C16_M,Sri_Lanka_C16_F,Sri_Lanka_C16_P,Sri_Lanka_C21_M,Sri_Lanka_C21_F,Sri_Lanka_C21_P,Taiwan_C11_M,Taiwan_C11_F,Taiwan_C11_P,Taiwan_C16_M,Taiwan_C16_F,Taiwan_C16_P,Taiwan_C21_M,Taiwan_C21_F,Taiwan_C21_P,Thailand_C11_M,Thailand_C11_F,Thailand_C11_P,Thailand_C16_M,Thailand_C16_F,Thailand_C16_P,Thailand_C21_M,Thailand_C21_F,Thailand_C21_P,Unitd_Kingdom_C11_M,Unitd_Kingdom_C11_F,Unitd_Kingdom_C11_P,Unitd_Kingdom_C16_M,Unitd_Kingdom_C16_F,Unitd_Kingdom_C16_P,Unitd_Kingdom_C21_M,Unitd_Kingdom_C21_F,Unitd_Kingdom_C21_P,Unit_Sts_Amer_C11_M,Unit_Sts_Amer_C11_F,Unit_Sts_Amer_C11_P,Unit_Sts_Amer_C16_M,Unit_Sts_Amer_C16_F,Unit_Sts_Amer_C16_P,Unit_Sts_Amer_C21_M,Unit_Sts_Amer_C21_F,Unit_Sts_Amer_C21_P,Vietnam_C11_M,Vietnam_C11_F,Vietnam_C11_P,Vietnam_C16_M,Vietnam_C16_F,Vietnam_C16_P,Vietnam_C21_M,Vietnam_C21_F,Vietnam_C21_P,Born_elsewhere_C11_M,Born_elsewhere_C11_F,Born_elsewhere_C11_P,Born_elsewhere_C16_M,Born_elsewhere_C16_F,Born_elsewhere_C16_P,Born_elsewhere_C21_M,Born_elsewhere_C21_F,Born_elsewhere_C21_P,Country_birt_ns_C11_M,Country_birt_ns_C11_F,Country_birt_ns_C11_P,Country_birt_ns_C16_M,Country_birt_ns_C16_F,Country_birt_ns_C16_P,Country_birt_ns_C21_M,Country_birt_ns_C21_F,Country_birt_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
801091106,9,4,0,0,5,6,5,18,19,33,16,15,32,13,17,31,11,11,18,16,7,22,11,7,25,14,26,40,26,37,64,36,48,74,3,5,6,0,4,7,5,4,13,6,0,7,0,4,6,3,7,14,10,9,16,11,13,19,6,8,12,15,14,25,16,13,33,16,7,23,5,5,7,5,3,13,0,3,3,8,7,17,11,17,21,0,19,20,81,70,155,79,72,149,62,52,115,5,10,15,10,14,23,12,17,25,4,3,9,8,9,17,7,4,13,94,111,208,102,124,230,126,144,270,80,62,145,80,74,152,70,65,133,1455,1468,2920,1582,1669,3254,1680,1755,3440
801091107,0,0,0,0,0,0,0,4,0,4,5,4,13,3,5,4,0,0,4,0,4,5,3,4,12,0,0,0,0,3,3,0,0,5,3,4,9,3,0,3,0,0,0,0,5,3,3,5,8,5,0,4,4,5,7,5,3,9,0,8,5,14,14,32,13,17,23,13,17,29,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,43,16,15,35,16,15,31,7,9,13,17,15,32,5,5,10,12,15,20,9,7,16,5,12,16,26,33,56,42,42,79,36,35,72,4,4,5,38,29,71,19,16,34,426,439,867,492,499,990,451,476,928
801091108,8,3,3,10,0,9,6,23,23,42,23,17,42,17,16,38,4,5,9,0,0,0,0,0,7,5,5,13,9,4,14,8,13,23,3,0,6,3,5,8,0,7,8,0,4,3,0,7,11,0,3,3,4,4,4,4,13,17,5,3,12,7,10,21,7,7,16,8,9,14,0,0,0,0,0,0,0,0,0,6,7,12,0,0,0,0,8,8,65,76,138,64,66,131,63,62,121,6,10,12,6,7,14,12,12,23,0,0,0,0,9,10,0,7,10,67,73,139,54,63,118,63,64,131,43,38,82,66,62,128,42,40,84,1264,1281,2541,1291,1286,2582,1340,1348,2687
801091109,10,5,0,10,10,0,11,10,12,25,14,8,28,42,28,69,0,0,4,13,8,18,22,8,26,21,32,55,45,83,131,108,154,263,3,4,8,4,8,8,0,3,7,3,6,14,8,6,15,11,14,27,6,13,16,7,4,16,5,14,24,12,10,29,15,22,31,20,25,50,0,4,4,4,5,7,3,8,9,0,7,5,0,11,13,9,15,21,57,58,111,59,51,108,78,51,134,10,9,13,5,15,13,12,20,36,0,4,8,7,4,8,3,8,15,55,50,108,115,123,232,170,185,352,51,47,101,123,128,248,120,90,206,1010,1072,2078,1415,1520,2935,2515,2678,5197
801091110,0,0,0,3,0,0,7,18,21,33,11,7,23,14,8,22,0,0,0,4,7,8,3,6,12,5,13,13,6,12,21,11,15,29,3,0,4,0,5,6,0,8,10,4,6,5,0,7,10,0,4,6,0,0,4,3,4,3,8,12,16,12,11,25,7,14,24,8,17,26,0,0,0,0,6,11,0,0,3,0,4,4,0,3,4,0,3,3,40,56,99,48,46,92,50,43,95,9,7,16,9,9,16,5,5,17,0,0,3,0,0,3,0,0,0,48,58,105,48,58,108,46,63,107,47,27,79,41,32,75,45,40,88,1141,1140,2283,1097,1108,2206,1215,1205,2424
801101134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,5,0,0,0,0,3,10,9,5,13
801101135,0,3,0,3,4,0,4,0,0,0,13,4,15,20,10,24,0,0,0,6,5,18,41,45,86,0,0,0,24,27,53,62,80,139,0,0,0,4,0,5,7,4,6,0,0,0,0,0,3,6,10,11,0,0,0,4,3,10,4,5,10,0,0,0,11,14,27,24,24,51,0,0,0,0,0,0,5,8,15,0,0,0,0,5,5,4,15,21,0,0,0,20,30,46,49,56,103,0,0,0,6,4,8,15,9,26,0,0,0,6,6,16,8,15,29,0,0,0,45,39,81,167,184,348,0,0,0,64,66,132,69,65,141,0,0,0,892,914,1810,2399,2455,4851
801101136,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,18,0,0,0,0,0,0,11,9,16,0,0,0,0,0,0,32,34,68,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,6,9,15,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,29,32,67,0,0,0,0,0,0,4,6,6,0,0,0,0,0,0,5,6,12,0,0,0,0,0,0,31,37,62,0,0,0,0,0,0,6,10,14,0,0,0,0,0,0,6,14,22,0,0,0,0,0,0,65,63,128,0,0,0,0,0,0,24,44,70,0,0,0,0,0,0,1382,1379,2759
801101137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801101139,0,0,0,4,0,6,8,0,0,0,22,17,36,27,20,48,0,0,0,13,3,16,18,16,38,0,0,0,20,18,44,35,37,74,0,0,0,3,0,5,0,5,4,0,0,0,8,10,17,6,5,13,0,0,0,0,4,3,7,7,10,0,0,0,17,20,42,31,25,51,0,0,0,0,0,5,0,3,6,0,0,0,4,6,7,9,20,27,0,0,0,44,44,90,42,40,85,0,0,0,5,8,18,22,34,54,0,0,0,6,6,11,9,11,19,0,0,0,50,53,106,105,117,223,0,0,0,98,109,203,59,61,126,0,6,3,1337,1421,2755,1820,1989,3808
801101145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
801101146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,5,7
801111140,0,0,0,0,0,0,0,6,3,8,6,0,9,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,17,7,12,13,9,12,19,0,5,6,3,3,5,0,3,3,0,0,0,0,0,0,0,0,0,4,10,14,6,12,13,4,13,11,10,11,25,24,23,46,17,16,28,250,213,460,294,263,561,285,274,556
801111141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,4,3,10,5,16,17,11,36,20,16,41,42,26,63
897979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899999499,0,0,0,0,0,0,0,3,13,20,4,5,8,9,13,24,0,0,0,3,0,3,0,0,0,0,6,9,0,4,9,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,3,0,0,5,19,15,34,10,8,22,7,3,13,3,8,10,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,15,17,32,15,17,32,14,12,26,29,14,41,47,21,66,75,30,110,323,306,631,313,232,541,336,273,605
