SA2_CODE_2021,C21_Chr_Ch_nfd_0_14,C21_Chr_Ch_nfd_15_24,C21_Chr_Ch_nfd_25_34,C21_Chr_Ch_nfd_35_44,C21_Chr_Ch_nfd_45_54,C21_Chr_Ch_nfd_55_64,C21_Chr_Ch_nfd_65_74,C21_Chr_Ch_nfd_75_84,C21_Chr_Ch_nfd_85ov,C21_Chr_Ch_nfd_Tot,C21_Chr_Oth_Ch_0_14,C21_Chr_Oth_Ch_15_24,C21_Chr_Oth_Ch_25_34,C21_Chr_Oth_Ch_35_44,C21_Chr_Oth_Ch_45_54,C21_Chr_Oth_Ch_55_64,C21_Chr_Oth_Ch_65_74,C21_Chr_Oth_Ch_75_84,C21_Chr_Oth_Ch_85ov,C21_Chr_Oth_Ch_Tot,C21_Christ_Tot_0_14,C21_Christ_Tot_15_24,C21_Christ_Tot_25_34,C21_Christ_Tot_35_44,C21_Christ_Tot_45_54,C21_Christ_Tot_55_64,C21_Christ_Tot_65_74,C21_Christ_Tot_75_84,C21_Christ_Tot_85ov,C21_Christ_Tot_Tot,C21_Hinduism_0_14,C21_Hinduism_15_24,C21_Hinduism_25_34,C21_Hinduism_35_44,C21_Hinduism_45_54,C21_Hinduism_55_64,C21_Hinduism_65_74,C21_Hinduism_75_84,C21_Hinduism_85ov,C21_Hinduism_Tot,C21_Islam_0_14,C21_Islam_15_24,C21_Islam_25_34,C21_Islam_35_44,C21_Islam_45_54,C21_Islam_55_64,C21_Islam_65_74,C21_Islam_75_84,C21_Islam_85ov,C21_Islam_Tot,C21_Judaism_0_14,C21_Judaism_15_24,C21_Judaism_25_34,C21_Judaism_35_44,C21_Judaism_45_54,C21_Judaism_55_64,C21_Judaism_65_74,C21_Judaism_75_84,C21_Judaism_85ov,C21_Judaism_Tot,C21_OR_AusAborTrad_0_14,C21_OR_AusAborTrad15_24,C21_OR_AusAborTrad25_34,C21_OR_AusAborTrad35_44,C21_OR_AusAborTrad45_54,C21_OR_AusAborTrad55_64,C21_OR_AusAborTrad65_74,C21_OR_AusAborTrad75_84,C21_OR_AusAborTrad85ov,C21_OR_AusAborTrade_Tot,C21_OR_Sikhism_0_14,C21_OR_Sikhism_15_24,C21_OR_Sikhism_25_34,C21_OR_Sikhism_35_44,C21_OR_Sikhism_45_54,C21_OR_Sikhism_55_64,C21_OR_Sikhism_65_74,C21_OR_Sikhism_75_84,C21_OR_Sikhism_85ov,C21_OR_Sikhism_Tot,C21_OR_Ot_Re_Gr_0_14,C21_OR_Ot_Re_Gr_15_24,C21_OR_Ot_Re_Gr_25_34,C21_OR_Ot_Re_Gr_35_44,C21_OR_Ot_Re_Gr_45_54,C21_OR_Ot_Re_Gr_55_64,C21_OR_Ot_Re_Gr_65_74,C21_OR_Ot_Re_Gr_75_84,C21_OR_Ot_Re_Gr_85ov,C21_OR_Ot_Re_Gr_Tot,C21_Oth_Rel_Tot_0_14,C21_Oth_Rel_Tot_15_24,C21_Oth_Rel_Tot_25_34,C21_Oth_Rel_Tot_35_44,C21_Oth_Rel_Tot_45_54,C21_Oth_Rel_Tot_55_64,C21_Oth_Rel_Tot_65_74,C21_Oth_Rel_Tot_75_84,C21_Oth_Rel_Tot_85ov,C21_Oth_Rel_Tot_Tot,C21_SBOSB_No_RA_0_14,C21_SBOSB_No_RA_15_24,C21_SBOSB_No_RA_25_34,C21_SBOSB_No_RA_35_44,C21_SBOSB_No_RA_45_54,C21_SBOSB_No_RA_55_64,C21_SBOSB_No_RA_65_74,C21_SBOSB_No_RA_75_84,C21_SBOSB_No_RA_85ov,C21_SBOSB_No_RA_Tot,C21_Rel_aff_ns_0_14,C21_Rel_aff_ns_15_24,C21_Rel_aff_ns_25_34,C21_Rel_aff_ns_35_44,C21_Rel_aff_ns_45_54,C21_Rel_aff_ns_55_64,C21_Rel_aff_ns_65_74,C21_Rel_aff_ns_75_84,C21_Rel_aff_ns_85ov,C21_Rel_aff_ns_Tot,C21_Tot_0_14,C21_Tot_15_24,C21_Tot_25_34,C21_Tot_35_44,C21_Tot_45_54,C21_Tot_55_64,C21_Tot_65_74,C21_Tot_75_84,C21_Tot_85ov,C21_Tot_Tot
801081097,16,9,3,17,9,12,0,4,0,80,0,0,0,0,0,0,0,0,0,4,194,89,91,143,157,118,138,142,35,1096,13,5,18,15,4,0,0,0,0,56,15,0,5,11,0,0,9,0,0,40,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,12,0,3,4,0,8,0,3,0,0,16,3,3,0,3,5,3,3,0,0,23,324,168,197,218,181,118,93,44,11,1361,29,18,33,21,12,18,16,13,5,159,579,286,359,421,359,266,263,201,50,2785
801081098,10,5,6,13,9,15,6,0,0,67,0,0,0,0,0,0,0,0,0,3,264,144,89,176,232,142,210,219,119,1597,14,13,20,17,9,7,3,0,0,84,40,16,14,34,14,6,4,0,0,131,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,3,9,3,0,0,0,0,0,18,0,0,0,3,3,4,0,0,0,16,6,3,14,7,4,5,0,0,0,35,394,196,259,289,260,178,150,111,31,1865,34,9,18,25,18,18,29,32,27,207,760,397,420,568,547,372,402,367,175,4000
801081133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801091099,7,7,6,8,8,9,4,0,0,54,0,0,0,0,0,0,0,0,0,0,138,87,118,131,145,133,113,119,37,1016,37,17,107,31,9,0,3,0,0,206,4,10,4,11,4,10,5,0,0,48,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,20,0,0,0,0,3,3,0,0,0,15,0,0,13,10,7,3,0,0,0,37,216,168,195,190,135,107,72,46,13,1140,20,12,19,13,23,15,11,10,0,123,431,303,503,405,329,269,202,174,54,2680
801091100,16,6,10,12,13,11,11,0,0,84,0,0,0,0,0,3,0,0,0,3,398,203,128,300,328,306,241,218,126,2253,29,16,72,29,14,8,4,0,0,173,7,11,13,8,3,5,0,0,0,48,3,4,0,0,4,5,0,0,0,12,5,0,0,0,0,0,0,0,0,5,4,0,5,0,0,0,0,0,0,18,4,3,3,4,4,0,5,0,0,24,10,3,7,3,7,3,4,0,0,39,582,340,313,368,369,321,181,127,56,2664,37,27,31,30,41,25,21,17,10,251,1090,612,593,783,780,682,460,366,196,5569
801091101,19,4,15,12,8,12,7,3,0,74,0,0,0,0,0,0,0,0,0,3,278,166,94,160,221,228,179,238,121,1686,26,13,35,23,11,0,4,0,0,115,40,12,12,19,8,7,0,0,0,104,5,0,0,0,0,0,3,4,0,21,0,0,0,0,0,0,0,0,0,0,5,0,8,3,0,0,0,0,0,18,4,0,0,0,6,5,0,0,0,14,7,0,8,8,9,3,0,3,0,35,301,210,179,223,224,162,115,104,38,1553,24,26,25,12,37,21,21,24,30,215,683,435,372,455,512,431,334,369,191,3787
801091102,14,6,7,10,6,0,12,3,0,68,0,0,0,0,0,0,0,0,0,0,213,135,92,159,192,208,187,196,109,1489,105,14,50,103,19,5,10,9,0,319,53,11,12,36,9,4,0,0,0,121,0,0,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,9,5,0,0,0,0,0,7,3,0,0,6,7,3,0,0,0,16,6,0,9,6,7,3,0,0,0,23,351,175,155,223,210,136,110,67,23,1447,23,15,25,37,22,28,27,32,3,219,766,353,350,583,485,390,342,301,140,3706
801091103,19,5,9,3,8,13,5,5,8,72,0,0,0,0,0,0,0,0,0,6,222,124,85,150,159,179,119,134,131,1315,14,13,39,24,13,6,0,3,0,109,13,0,5,3,3,4,0,0,0,35,3,4,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,4,0,0,4,0,0,0,10,308,186,153,199,210,169,138,62,44,1466,18,14,19,23,27,8,26,15,22,162,598,353,321,417,426,384,290,214,207,3210
801091104,19,9,3,18,18,11,6,4,3,92,0,0,0,0,0,0,0,0,0,0,165,81,58,121,141,189,184,165,48,1148,28,8,8,18,15,22,25,8,4,148,9,18,10,13,16,11,4,0,0,85,0,0,5,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,3,0,0,12,0,0,0,3,0,3,3,0,0,8,6,0,8,3,0,3,8,0,0,23,124,101,102,99,88,117,89,54,9,785,12,9,11,7,17,22,19,13,8,112,346,230,206,271,290,383,342,243,67,2379
801091105,15,12,6,9,17,8,9,7,3,85,0,0,0,0,0,5,0,0,0,3,160,101,110,108,162,124,102,152,78,1106,38,41,158,33,8,3,6,0,0,285,31,10,16,25,10,4,3,0,0,97,4,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,9,0,17,10,0,0,0,0,0,36,0,0,0,0,4,0,0,0,0,13,9,6,23,8,4,0,0,0,0,47,259,168,223,217,183,122,73,66,23,1327,29,23,27,28,23,22,16,16,10,185,548,363,621,476,408,294,211,239,109,3271
