SA2_CODE_2021,C16_P_AdD_DL_15_19,C16_P_AdD_DL_20_24,C16_P_AdD_DL_25_34,C16_P_AdD_DL_35_44,C16_P_AdD_DL_45_54,C16_P_AdD_DL_55_64,C16_P_AdD_DL_65_74,C16_P_AdD_DL_75_84,C16_P_AdD_DL_85over,C16_P_AdD_DL_Tot,C16_P_CL_C_III_IV_15_19,C16_P_CL_C_III_IV_20_24,C16_P_CL_C_III_IV_25_34,C16_P_CL_C_III_IV_35_44,C16_P_CL_C_III_IV_45_54,C16_P_CL_C_III_IV_55_64,C16_P_CL_C_III_IV_65_74,C16_P_CL_C_III_IV_75_84,C16_P_CL_C_III_IV_85over,C16_P_CL_C_III_IV_Tot,C16_P_CL_C_I_II_15_19,C16_P_CL_C_I_II_20_24,C16_P_CL_C_I_II_25_34,C16_P_CL_C_I_II_35_44,C16_P_CL_C_I_II_45_54,C16_P_CL_C_I_II_55_64,C16_P_CL_C_I_II_65_74,C16_P_CL_C_I_II_75_84,C16_P_CL_C_I_II_85over,C16_P_CL_C_I_II_Tot,C16_P_CL_CL_nfd_15_19,C16_P_CL_CL_nfd_20_24,C16_P_CL_CL_nfd_25_34,C16_P_CL_CL_nfd_35_44,C16_P_CL_CL_nfd_45_54,C16_P_CL_CL_nfd_55_64,C16_P_CL_CL_nfd_65_74,C16_P_CL_CL_nfd_75_84,C16_P_CL_CL_nfd_85over,C16_P_CL_CL_nfd_Tot,C16_P_CL_Tot_15_19,C16_P_CL_Tot_20_24,C16_P_CL_Tot_25_34,C16_P_CL_Tot_35_44,C16_P_CL_Tot_45_54,C16_P_CL_Tot_55_64,C16_P_CL_Tot_65_74,C16_P_CL_Tot_75_84,C16_P_CL_Tot_85over,C16_P_CL_Tot_Tot,C16_P_LE_ID_15_19,C16_P_LE_ID_20_24,C16_P_LE_ID_25_34,C16_P_LE_ID_35_44,C16_P_LE_ID_45_54,C16_P_LE_ID_55_64,C16_P_LE_ID_65_74,C16_P_LE_ID_75_84,C16_P_LE_ID_85over,C16_P_LE_ID_Tot,C16_P_LE_NS_15_19,C16_P_LE_NS_20_24,C16_P_LE_NS_25_34,C16_P_LE_NS_35_44,C16_P_LE_NS_45_54,C16_P_LE_NS_55_64,C16_P_LE_NS_65_74,C16_P_LE_NS_75_84,C16_P_LE_NS_85over,C16_P_LE_NS_Tot,C16_P_Tot_15_19_yrs,C16_P_Tot_20_24_yrs,C16_P_Tot_25_34_yrs,C16_P_Tot_35_44_yrs,C16_P_Tot_45_54_yrs,C16_P_Tot_55_64_yrs,C16_P_Tot_65_74_yrs,C16_P_Tot_75_84_yrs,C16_P_Tot_85over,C16_P_Tot_Tot,C21_P_Post_Deg_15_19_yrs,C21_P_Post_Deg_20_24_yrs,C21_P_Post_Deg_25_34_yrs,C21_P_Post_Deg_35_44_yrs,C21_P_Post_Deg_45_54_yrs,C21_P_Post_Deg_55_64_yrs,C21_P_Post_Deg_65_74_yrs,C21_P_Post_Deg_75_84_yrs,C21_P_Post_Deg_85over,C21_P_Post_Deg_Tot,C21_P_GrDip_GrCe_15_19,C21_P_GrDip_GrCe_20_24,C21_P_GrDip_GrCe_25_34,C21_P_GrDip_GrCe_35_44,C21_P_GrDip_GrCe_45_54,C21_P_GrDip_GrCe_55_64,C21_P_GrDip_GrCe_65_74,C21_P_GrDip_GrCe_75_84,C21_P_GrDip_GrCe_85over,C21_P_GrDip_GrCe_Tot,C21_P_BD_15_19,C21_P_BD_20_24,C21_P_BD_25_34,C21_P_BD_35_44,C21_P_BD_45_54,C21_P_BD_55_64,C21_P_BD_65_74,C21_P_BD_75_84,C21_P_BD_85over,C21_P_BD_Tot,C21_P_AdD_DL_15_19,C21_P_AdD_DL_20_24,C21_P_AdD_DL_25_34,C21_P_AdD_DL_35_44,C21_P_AdD_DL_45_54,C21_P_AdD_DL_55_64,C21_P_AdD_DL_65_74,C21_P_AdD_DL_75_84,C21_P_AdD_DL_85over,C21_P_AdD_DL_Tot,C21_P_CL_C_III_IV_15_19,C21_P_CL_C_III_IV_20_24,C21_P_CL_C_III_IV_25_34,C21_P_CL_C_III_IV_35_44,C21_P_CL_C_III_IV_45_54,C21_P_CL_C_III_IV_55_64,C21_P_CL_C_III_IV_65_74,C21_P_CL_C_III_IV_75_84,C21_P_CL_C_III_IV_85over,C21_P_CL_C_III_IV_Tot,C21_P_CL_C_I_II_15_19,C21_P_CL_C_I_II_20_24,C21_P_CL_C_I_II_25_34,C21_P_CL_C_I_II_35_44,C21_P_CL_C_I_II_45_54,C21_P_CL_C_I_II_55_64,C21_P_CL_C_I_II_65_74,C21_P_CL_C_I_II_75_84,C21_P_CL_C_I_II_85over,C21_P_CL_C_I_II_Tot,C21_P_CL_CL_nfd_15_19,C21_P_CL_CL_nfd_20_24,C21_P_CL_CL_nfd_25_34,C21_P_CL_CL_nfd_35_44,C21_P_CL_CL_nfd_45_54,C21_P_CL_CL_nfd_55_64,C21_P_CL_CL_nfd_65_74,C21_P_CL_CL_nfd_75_84,C21_P_CL_CL_nfd_85over,C21_P_CL_CL_nfd_Tot,C21_P_CL_Tot_15_19,C21_P_CL_Tot_20_24,C21_P_CL_Tot_25_34,C21_P_CL_Tot_35_44,C21_P_CL_Tot_45_54,C21_P_CL_Tot_55_64,C21_P_CL_Tot_65_74,C21_P_CL_Tot_75_84,C21_P_CL_Tot_85over,C21_P_CL_Tot_Tot,C21_P_LE_ID_15_19,C21_P_LE_ID_20_24,C21_P_LE_ID_25_34,C21_P_LE_ID_35_44,C21_P_LE_ID_45_54,C21_P_LE_ID_55_64,C21_P_LE_ID_65_74,C21_P_LE_ID_75_84,C21_P_LE_ID_85over,C21_P_LE_ID_Tot,C21_P_LE_NS_15_19,C21_P_LE_NS_20_24,C21_P_LE_NS_25_34,C21_P_LE_NS_35_44,C21_P_LE_NS_45_54,C21_P_LE_NS_55_64,C21_P_LE_NS_65_74,C21_P_LE_NS_75_84,C21_P_LE_NS_85over,C21_P_LE_NS_Tot,C21_P_Tot_15_19_yrs,C21_P_Tot_20_24_yrs,C21_P_Tot_25_34_yrs,C21_P_Tot_35_44_yrs,C21_P_Tot_45_54_yrs,C21_P_Tot_55_64_yrs,C21_P_Tot_65_74_yrs,C21_P_Tot_75_84_yrs,C21_P_Tot_85over,C21_P_Tot_Tot
801071071,4,25,88,117,99,48,28,3,5,410,13,69,190,164,145,66,20,15,0,687,6,4,11,9,0,6,6,0,0,51,0,6,3,13,19,23,13,5,0,77,17,78,208,191,168,94,39,19,0,814,0,0,0,7,11,3,0,0,0,29,25,10,53,36,39,29,10,14,4,221,54,136,516,545,466,283,119,44,13,2176,0,0,27,43,33,50,7,7,0,167,0,0,19,29,26,21,16,0,0,114,0,44,149,129,122,66,38,16,6,566,0,22,91,111,122,76,31,3,0,456,17,71,198,209,173,115,45,12,0,837,4,13,8,10,7,10,0,0,0,55,0,0,4,19,27,23,11,5,0,89,27,80,212,235,207,146,52,16,6,979,0,0,0,0,9,8,6,3,0,22,11,10,38,40,16,18,19,17,5,167,41,151,540,591,536,379,168,66,10,2480
801071072,0,11,68,66,80,58,27,9,0,328,13,42,108,84,87,75,27,8,3,445,9,6,9,13,10,0,0,0,0,52,0,0,6,4,21,22,3,3,0,53,22,51,113,95,117,98,36,10,3,554,0,0,4,7,7,8,3,0,0,29,8,15,23,11,20,25,21,15,0,134,30,113,409,391,403,319,136,48,8,1852,0,0,38,64,48,34,23,10,0,215,0,6,28,18,20,33,18,6,0,117,0,45,136,136,118,81,54,17,4,584,9,13,55,76,75,67,44,15,3,351,12,26,95,96,96,79,34,12,5,453,4,5,11,5,3,7,3,0,0,43,0,6,10,11,10,15,15,10,0,74,16,36,113,115,108,106,57,19,8,567,0,6,3,4,4,6,0,0,0,23,13,12,22,28,33,12,17,7,8,140,35,110,383,429,402,341,206,67,13,1996
801071073,0,42,102,112,147,112,24,13,0,548,24,84,201,160,154,126,44,15,0,813,6,12,12,9,7,15,0,0,0,62,5,0,7,16,26,29,14,5,0,105,36,98,222,187,188,165,61,17,0,973,0,0,4,4,6,15,8,0,3,43,21,25,37,46,52,53,32,28,31,316,51,209,569,559,644,551,185,75,42,2889,0,0,41,55,62,65,28,8,0,261,0,6,22,44,37,40,11,0,0,156,0,47,184,161,175,153,67,23,4,813,0,22,88,98,122,127,56,21,14,545,12,70,224,155,130,132,67,20,4,821,8,3,15,13,11,10,3,0,0,59,0,4,9,13,17,40,18,7,0,103,25,83,246,183,153,177,88,28,8,979,0,0,4,3,10,8,10,0,0,35,7,15,29,40,17,29,21,30,13,204,35,179,620,582,574,593,281,94,40,2998
801071074,5,23,86,86,113,97,34,12,0,452,10,69,205,138,130,138,44,11,0,747,3,6,8,9,11,3,5,0,0,55,0,11,18,15,17,17,9,0,0,82,19,88,235,155,159,163,53,15,4,886,0,0,7,3,3,7,8,0,0,32,27,22,35,41,33,51,24,14,4,259,46,161,528,468,484,506,176,43,8,2422,0,0,32,57,62,46,33,11,0,236,0,3,28,32,25,30,20,6,0,146,0,20,123,145,103,119,65,12,0,594,0,18,89,100,85,112,57,13,0,473,13,49,200,154,146,148,77,20,0,792,8,3,12,9,8,4,4,0,0,52,0,3,3,16,19,22,14,0,0,86,21,60,211,176,175,176,96,20,0,931,0,0,13,3,4,8,3,3,0,29,17,10,39,30,12,22,21,14,0,171,37,118,532,548,462,512,286,78,11,2590
801071075,3,23,63,86,161,70,14,3,0,429,22,68,160,100,185,86,35,19,11,685,11,9,10,3,8,8,5,3,0,64,7,5,0,13,35,16,12,0,0,89,37,84,182,118,223,108,50,23,7,836,3,0,3,0,7,0,6,0,0,25,28,28,30,38,54,42,26,23,3,268,62,178,408,443,664,371,136,68,21,2346,0,0,46,55,52,37,27,7,0,216,0,6,10,27,36,27,20,6,0,126,0,51,119,149,154,102,52,18,4,653,0,15,61,109,139,94,27,7,4,450,16,51,164,146,137,140,43,8,8,718,9,7,8,4,9,11,4,0,0,54,0,6,8,4,25,23,5,0,0,82,17,68,181,154,165,179,56,17,8,849,0,0,4,3,6,0,0,0,0,19,11,14,23,35,23,33,19,10,8,170,27,153,446,538,582,472,192,63,18,2483
801071076,0,8,18,52,82,62,39,4,0,272,6,22,36,45,46,56,28,7,0,241,6,3,4,3,7,0,0,0,0,21,0,0,3,4,7,17,9,0,0,44,11,20,46,50,58,76,36,5,0,307,0,0,0,0,3,9,4,0,0,18,0,0,3,10,22,30,28,3,0,102,15,59,167,329,381,444,234,40,6,1672,0,0,33,94,74,79,48,11,0,335,0,0,10,32,43,42,28,8,0,153,0,29,66,132,127,125,90,32,5,603,3,12,16,50,67,67,49,8,0,269,3,17,44,51,36,53,37,11,4,252,11,4,4,0,0,4,0,0,0,27,0,5,0,9,4,10,13,3,4,44,10,21,51,56,42,64,46,17,6,323,0,0,0,3,3,0,6,0,0,10,10,10,3,9,5,10,19,5,3,66,17,65,179,378,356,385,281,86,15,1762
801071077,0,12,46,51,45,48,22,3,0,223,8,44,104,89,71,60,21,5,3,409,3,9,13,6,0,6,0,0,0,32,0,0,0,8,13,5,3,0,0,30,15,46,119,104,83,68,24,5,3,474,0,0,0,0,3,6,3,0,0,13,4,12,29,12,35,20,15,6,6,141,19,87,287,267,250,213,99,21,14,1249,0,0,18,27,17,23,14,0,0,101,0,4,12,17,8,24,14,0,0,75,0,15,77,94,54,49,33,11,0,330,0,5,28,60,54,53,23,12,0,242,3,23,108,85,76,77,31,4,0,405,3,6,3,10,3,10,0,0,0,21,3,0,8,4,12,12,6,0,0,40,13,33,116,95,87,101,38,3,0,478,0,0,0,0,0,0,0,0,0,3,5,0,13,16,12,17,14,0,0,71,14,63,260,309,233,255,136,34,7,1301
801071078,0,49,116,149,192,123,46,10,3,683,21,93,218,203,201,138,64,32,7,977,8,13,19,10,12,9,5,5,0,80,0,10,12,19,28,24,17,11,5,124,31,119,251,227,242,177,80,45,9,1180,0,0,13,7,9,3,6,3,0,46,33,30,37,60,81,43,43,28,7,352,67,258,662,722,858,541,262,123,26,3515,0,0,55,97,87,77,30,7,0,349,0,7,30,37,53,47,15,4,0,197,0,59,238,218,187,168,84,34,12,1003,0,29,127,152,201,169,70,29,6,790,16,108,270,211,207,199,78,26,13,1121,12,6,19,15,8,11,4,4,0,71,4,12,14,7,22,37,16,12,0,130,29,126,298,234,240,246,94,44,12,1324,0,0,10,7,5,6,0,0,3,37,15,14,28,31,41,32,42,42,36,286,45,228,786,788,806,754,341,167,73,3990
801071079,3,14,51,55,59,71,28,8,3,290,7,33,76,81,58,63,23,9,0,357,3,6,5,3,0,6,4,0,0,36,0,0,4,0,9,12,12,0,0,43,9,42,89,92,68,83,35,14,3,432,0,0,0,3,3,7,6,0,0,21,11,8,10,14,22,26,33,13,4,152,19,90,284,296,295,352,176,51,10,1577,0,0,43,49,32,44,34,0,0,200,0,0,19,22,18,21,20,0,0,100,0,22,96,129,95,71,80,21,0,511,0,10,50,70,44,60,47,13,4,296,9,19,84,74,62,61,43,22,0,380,7,0,5,9,4,11,3,0,0,37,0,3,0,4,8,9,15,7,0,46,16,22,87,91,77,75,60,27,6,460,0,0,0,0,3,0,3,5,0,14,8,3,27,19,10,7,7,6,0,86,22,67,319,379,269,279,250,73,12,1663
801071080,0,5,39,27,34,23,22,3,5,164,0,24,42,35,30,15,14,4,3,170,0,4,0,4,4,0,0,0,0,12,0,0,3,0,9,6,13,4,0,33,0,34,40,40,44,19,29,7,3,218,0,0,0,0,4,3,4,3,0,24,3,9,36,15,18,18,17,5,3,122,8,72,398,221,152,147,119,48,16,1176,0,9,160,97,39,32,23,18,3,387,0,5,35,22,23,25,16,14,0,147,0,75,309,178,90,63,79,56,12,856,0,23,106,59,75,50,49,22,9,393,0,59,161,83,55,58,48,21,11,495,0,10,13,7,7,3,0,0,0,51,0,3,7,9,11,11,9,4,3,56,4,69,188,91,71,76,55,30,16,607,0,3,0,3,0,4,0,6,9,19,6,20,59,28,12,26,26,40,16,225,5,202,863,487,312,270,252,184,66,2639
801071081,0,16,82,91,78,67,30,12,5,376,11,50,158,92,109,104,37,23,0,586,7,4,8,4,7,5,0,0,0,38,3,0,12,10,22,9,7,4,0,65,20,61,181,107,134,119,50,29,4,699,0,0,4,0,0,0,0,0,0,16,27,14,52,26,41,21,35,40,9,259,48,129,491,416,374,318,161,96,22,2046,0,0,45,52,36,27,13,9,0,177,0,0,19,17,15,21,8,0,0,89,0,33,150,143,89,71,41,12,3,552,0,8,82,97,65,63,37,14,3,377,11,55,156,113,97,111,46,23,10,616,12,7,13,5,4,10,4,0,0,53,0,5,5,20,7,27,14,4,3,81,19,65,179,130,110,141,61,31,15,752,0,3,3,6,4,3,6,4,0,27,4,7,28,20,29,21,25,22,11,173,30,125,499,471,347,352,187,92,43,2139
801071082,7,44,184,266,281,243,206,57,10,1291,23,118,370,333,289,264,189,58,8,1652,18,16,28,20,14,14,14,6,0,139,3,11,24,45,41,65,75,10,4,274,40,150,418,406,345,344,278,74,12,2066,0,0,8,10,17,26,18,13,4,96,45,54,105,132,113,135,128,62,15,792,90,328,1263,1623,1457,1384,1098,318,50,7625,0,0,164,263,216,160,127,64,4,1003,0,8,65,113,119,104,104,30,0,543,0,110,483,541,474,378,403,134,26,2551,0,44,189,269,284,250,229,86,15,1372,33,132,368,376,319,258,223,116,21,1837,16,23,36,24,21,19,22,6,0,163,13,4,15,33,54,46,74,33,6,273,62,160,418,428,394,314,314,158,21,2276,0,0,10,17,14,15,12,4,0,73,40,28,97,107,101,58,109,57,28,621,103,354,1421,1739,1601,1282,1303,529,100,8438
801071083,0,6,20,29,28,35,12,0,0,131,8,14,50,37,37,34,19,6,0,198,0,6,0,0,0,4,0,0,0,5,0,0,3,3,0,5,3,0,0,17,9,23,50,36,37,39,22,6,0,222,0,0,0,0,3,0,4,0,0,8,3,5,5,5,19,16,7,0,3,66,10,58,140,149,176,182,74,16,3,805,0,0,11,21,18,25,15,4,0,91,0,0,8,12,9,9,13,0,0,63,0,5,48,61,61,41,31,0,3,248,0,3,18,24,27,35,21,4,0,135,0,17,37,48,27,23,19,10,0,181,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,10,0,16,37,50,27,28,28,8,0,197,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,0,3,0,0,23,6,28,128,172,144,142,115,23,4,760
801071084,0,17,87,78,109,103,57,20,8,480,4,51,127,109,120,135,62,39,21,673,6,12,7,11,9,3,0,3,0,51,0,8,4,14,17,44,20,17,3,124,19,67,141,131,143,191,84,58,21,853,0,3,12,7,4,3,10,4,10,48,13,5,22,33,40,42,41,89,137,429,31,145,484,503,520,577,273,203,201,2925,0,0,60,73,54,70,34,15,4,308,0,0,14,32,26,54,21,9,0,166,0,36,172,214,156,124,100,37,21,861,0,12,68,102,110,111,86,44,26,554,8,39,110,116,111,127,77,42,17,660,0,4,5,7,3,3,0,0,0,34,0,0,7,16,8,29,28,18,12,119,11,48,130,142,126,165,108,61,31,812,0,0,9,4,4,9,11,4,0,34,5,8,14,24,20,35,40,44,30,216,15,101,466,585,496,567,397,219,114,2955
801071085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801071086,0,4,25,21,37,29,10,0,0,134,10,23,35,29,46,28,11,3,0,187,0,0,5,3,6,3,0,0,0,19,0,0,5,0,0,9,0,0,0,20,6,27,38,36,56,42,14,3,3,224,0,0,0,0,0,0,0,0,0,3,6,5,6,9,17,16,6,9,0,81,11,52,144,143,177,186,82,24,3,810,0,0,16,20,20,20,19,3,0,96,0,0,9,11,17,9,7,0,0,58,0,16,50,58,40,47,44,8,0,263,0,10,14,32,24,40,23,6,0,151,4,16,57,28,49,41,16,5,3,223,6,9,0,0,0,0,6,0,0,25,0,0,3,0,0,4,6,0,0,21,6,27,62,34,49,53,27,7,3,267,0,0,0,0,0,0,6,0,0,3,8,8,11,10,14,7,9,4,0,70,14,49,162,163,161,184,129,26,5,901
801071087,0,16,48,57,40,40,24,0,0,220,5,41,132,81,82,72,18,9,0,441,0,6,9,4,8,3,0,0,0,38,0,4,7,14,11,9,3,0,0,59,6,57,144,100,102,88,25,15,6,537,0,0,5,5,5,0,5,4,0,26,10,8,17,26,25,32,18,11,9,159,23,95,314,283,233,229,88,33,6,1301,0,0,35,34,6,16,7,4,0,106,0,0,18,15,17,10,5,0,0,55,0,22,85,70,63,39,33,8,0,312,0,13,46,61,63,47,33,6,0,260,4,44,126,88,83,64,50,9,4,472,12,0,8,7,7,8,0,0,0,39,0,5,8,3,13,13,4,0,0,48,13,53,139,103,96,87,55,12,4,567,0,0,4,0,0,4,4,0,0,10,7,7,30,24,17,24,14,4,0,125,26,89,351,308,263,227,144,27,9,1430
801071088,0,16,73,68,87,81,25,5,0,351,10,66,157,111,118,68,21,6,0,557,0,7,15,4,3,0,5,0,0,39,0,6,12,5,10,17,7,0,0,60,10,81,179,120,134,85,26,10,3,654,0,4,0,10,11,5,0,0,0,24,14,15,32,20,30,24,15,5,0,151,26,145,397,349,399,309,96,25,6,1753,0,0,31,40,34,35,22,4,0,166,0,3,14,14,15,26,8,0,0,77,0,28,108,109,82,77,50,9,0,468,0,13,66,68,94,98,32,4,0,376,10,49,150,106,112,79,35,11,0,561,7,4,5,9,6,5,8,0,0,44,0,4,6,6,10,15,13,0,0,59,20,62,168,114,132,102,52,11,4,660,0,0,9,0,4,0,0,0,0,12,12,7,20,21,19,17,11,3,0,112,29,111,409,369,378,364,164,39,5,1872
801071089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,4,0,0,6,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,5,0,0,9,0,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,0,0,5,7,9,12,0,0,31
801071090,0,19,109,130,118,150,89,17,3,647,15,65,168,163,128,144,91,32,4,804,8,9,21,8,10,14,6,0,0,73,0,5,5,27,15,47,24,11,4,127,21,79,198,202,156,198,111,41,5,1011,0,0,6,7,9,12,12,4,0,60,26,21,37,53,53,85,62,23,3,368,45,181,679,815,690,798,473,133,21,3841,0,3,106,152,104,86,75,18,0,559,0,5,36,54,54,57,47,8,0,259,0,65,291,336,236,185,187,56,8,1362,0,25,86,147,123,117,111,32,0,650,16,58,180,175,157,133,114,34,5,872,4,16,13,7,9,9,7,0,0,72,0,3,18,19,16,35,31,13,0,138,20,74,210,199,183,177,153,48,13,1079,3,4,0,6,0,0,9,5,3,36,17,17,45,45,35,42,57,29,6,299,37,188,783,938,743,670,643,201,31,4245
801071132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,4
801081091,0,5,14,31,42,50,45,20,8,216,0,13,22,31,45,22,27,13,7,183,0,0,0,0,0,0,3,0,0,6,0,0,0,3,10,11,13,5,0,46,4,18,24,38,55,30,39,18,11,236,0,0,3,3,0,4,9,0,0,20,4,7,8,8,15,19,34,15,7,110,12,65,125,280,349,298,314,113,31,1590,0,0,18,77,84,81,59,31,0,343,0,0,3,18,37,36,43,7,4,157,0,21,63,135,147,117,100,65,11,660,0,4,12,36,53,45,28,26,5,212,8,9,23,29,37,36,37,25,10,204,6,3,0,0,0,4,8,4,4,22,0,0,3,3,4,4,8,9,0,39,7,12,22,33,43,42,53,35,12,263,0,0,0,3,0,0,3,0,0,16,0,7,5,11,3,7,17,22,9,87,8,42,131,308,374,338,296,195,42,1741
801081092,0,6,24,57,65,44,22,16,5,241,3,16,48,64,56,37,33,16,3,285,7,0,9,6,7,6,0,0,0,21,0,0,0,9,16,3,14,0,0,54,9,21,51,73,82,47,53,17,11,361,0,0,6,0,0,7,3,0,0,18,13,8,16,27,26,22,22,11,6,150,24,50,250,387,399,279,218,79,24,1717,0,0,69,101,86,64,35,14,3,373,0,0,17,28,37,43,22,10,0,160,0,38,128,154,124,95,63,43,14,667,0,7,29,55,83,49,29,26,5,282,5,27,52,49,76,45,28,19,3,309,3,0,6,4,3,10,0,3,0,35,0,4,0,4,11,3,10,9,4,40,10,27,67,52,89,56,37,34,3,381,0,0,0,3,0,3,5,0,0,18,5,10,12,16,18,20,15,14,6,117,13,90,318,413,446,335,199,137,37,1990
801081093,0,15,30,66,56,30,41,18,4,259,3,34,60,45,54,40,32,16,6,297,3,0,3,8,0,0,5,0,0,19,0,0,8,3,0,5,16,9,5,54,10,31,72,54,60,45,47,23,13,364,0,0,6,3,0,3,0,3,3,20,7,7,35,31,32,21,16,21,15,182,16,67,298,385,303,224,174,109,53,1642,0,0,48,86,70,34,31,20,3,286,0,0,19,34,33,19,11,6,0,125,0,19,131,155,129,68,47,31,11,594,0,7,33,58,67,50,37,28,6,283,4,16,48,43,48,42,39,26,5,272,3,0,3,0,0,0,3,0,4,20,0,0,0,6,16,7,9,13,4,57,7,22,55,50,63,47,50,37,12,342,0,0,0,3,6,3,5,4,0,21,3,9,21,23,10,11,8,22,10,132,10,56,312,406,379,228,194,151,46,1782
801081094,0,8,16,44,51,30,31,20,7,221,3,15,44,41,42,30,26,15,6,223,0,3,4,4,0,0,3,0,0,18,0,0,0,10,3,5,7,5,0,39,3,23,42,51,50,32,42,19,4,276,0,0,0,3,5,0,6,7,0,26,7,0,13,21,13,10,17,21,3,107,11,49,225,353,286,203,204,106,21,1463,0,0,50,84,59,50,26,18,0,295,0,0,22,37,38,19,24,4,0,142,0,18,115,155,126,72,70,42,11,598,0,9,25,44,56,43,23,18,14,239,4,17,50,34,34,31,21,17,9,222,0,4,4,0,5,5,0,0,0,21,0,0,4,4,9,6,12,3,0,35,7,22,57,39,47,38,34,25,9,275,0,0,4,0,4,3,0,0,0,15,9,4,13,15,18,14,21,4,0,90,14,57,282,366,342,243,194,123,38,1657
801081095,0,10,33,62,48,38,41,18,0,252,3,24,61,58,50,34,45,20,10,294,3,0,8,0,4,0,6,0,0,22,0,0,0,13,4,13,16,0,0,53,9,26,70,69,55,47,67,19,10,372,0,0,3,4,3,0,4,5,0,26,6,4,34,28,34,23,37,20,0,181,17,44,339,401,286,240,245,77,11,1667,0,0,68,86,50,45,23,12,3,281,0,0,25,31,35,26,26,5,0,148,0,27,130,161,102,58,68,33,3,581,0,7,25,55,59,39,40,23,4,259,5,22,59,52,65,39,36,30,11,321,4,0,3,4,0,7,0,0,0,22,0,0,5,4,13,11,16,6,0,52,13,23,67,59,76,55,59,36,14,397,0,0,0,0,5,0,3,3,0,11,17,11,22,33,25,15,18,15,3,162,26,74,340,427,356,231,235,127,29,1833
801081096,0,8,13,29,33,23,30,15,4,152,0,22,32,25,35,25,28,23,0,195,0,0,5,5,0,0,5,0,0,12,0,0,0,3,9,10,7,0,3,47,0,27,41,33,38,39,40,22,8,247,0,0,0,0,0,0,6,0,0,15,9,9,10,16,13,31,22,36,38,187,8,53,138,230,191,188,185,110,62,1164,0,0,20,48,41,32,31,4,9,184,0,0,10,17,13,19,10,6,0,74,0,14,70,74,89,55,57,26,10,405,0,3,17,33,41,19,32,14,5,169,5,6,28,33,27,27,25,23,7,178,6,0,8,3,5,3,4,0,0,21,0,0,4,0,4,10,18,3,5,40,6,8,30,35,34,41,42,29,13,244,0,0,0,0,0,0,3,5,0,8,8,0,15,18,8,9,11,13,14,101,14,29,160,228,231,182,179,110,49,1185
