SA2_CODE_2021,C16_SH_3b_NPFH_4,C16_SH_3b_NPFH_5,C16_SH_3b_NPFH_6_mor,C16_SH_3b_Tot,C16_SH_4mb_NPFH_2,C16_SH_4mb_NPFH_3,C16_SH_4mb_NPFH_4,C16_SH_4mb_NPFH_5,C16_SH_4mb_NPFH_6_mor,C16_SH_4mb_Tot,C16_SH_NB_NS_NPFH_2,C16_SH_NB_NS_NPFH_3,C16_SH_NB_NS_NPFH_4,C16_SH_NB_NS_NPFH_5,C16_SH_NB_NS_NPFH_6_mor,C16_SH_NB_NS_Tot,C16_SH_Tot_NPFH_2,C16_SH_Tot_NPFH_3,C16_SH_Tot_NPFH_4,C16_SH_Tot_NPFH_5,C16_SH_Tot_NPFH_6_mor,C16_SH_Tot_Tot,C16_SDRTHT_0b_s_a_b_NPFH_2,C16_SDRTHT_0b_s_a_b_NPFH_3,C16_SDRTHT_0b_s_a_b_NPFH_4,C16_SDRTHT_0b_s_a_b_NPFH_5,C16_SDRTHT_0b_s_a_b_NPFH_6mor,C16_SDRTHT_0b_s_a_b_Tot,C16_SDRTHT_1b_NPFH_2,C16_SDRTHT_1b_NPFH_3,C16_SDRTHT_1b_NPFH_4,C16_SDRTHT_1b_NPFH_5,C16_SDRTHT_1b_NPFH_6_mor,C16_SDRTHT_1b_Tot,C16_SDRTHT_2b_NPFH_2,C16_SDRTHT_2b_NPFH_3,C16_SDRTHT_2b_NPFH_4,C16_SDRTHT_2b_NPFH_5,C16_SDRTHT_2b_NPFH_6_mor,C16_SDRTHT_2b_Tot,C16_SDRTHT_3b_NPFH_2,C16_SDRTHT_3b_NPFH_3,C16_SDRTHT_3b_NPFH_4,C16_SDRTHT_3b_NPFH_5,C16_SDRTHT_3b_NPFH_6_mor,C16_SDRTHT_3b_Tot,C16_SDRTHT_4mb_NPFH_2,C16_SDRTHT_4mb_NPFH_3,C16_SDRTHT_4mb_NPFH_4,C16_SDRTHT_4mb_NPFH_5,C16_SDRTHT_4mb_NPFH_6_mor,C16_SDRTHT_4mb_Tot,C16_SDRTHT_NB_NS_NPFH_2,C16_SDRTHT_NB_NS_NPFH_3,C16_SDRTHT_NB_NS_NPFH_4,C16_SDRTHT_NB_NS_NPFH_5,C16_SDRTHT_NB_NS_NPFH_6_mor,C16_SDRTHT_NB_NS_Tot,C16_SDRTHT_Tot_NPFH_2,C16_SDRTHT_Tot_NPFH_3,C16_SDRTHT_Tot_NPFH_4,C16_SDRTHT_Tot_NPFH_5,C16_SDRTHT_Tot_NPFH_6_mor,C16_SDRTHT_Tot_Tot,C16_F_a_0b_s_a_b_NPFH_2,C16_F_a_0b_s_a_b_NPFH_3,C16_F_a_0b_s_a_b_NPFH_4,C16_F_a_0b_s_a_b_NPFH_5,C16_F_a_0b_s_a_b_NPFH_6_mor,C16_F_a_0b_s_a_b_Tot,C16_F_a_1b_NPFH_2,C16_F_a_1b_NPFH_3,C16_F_a_1b_NPFH_4,C16_F_a_1b_NPFH_5,C16_F_a_1b_NPFH_6_mor,C16_F_a_1b_Tot,C16_F_a_2b_NPFH_2,C16_F_a_2b_NPFH_3,C16_F_a_2b_NPFH_4,C16_F_a_2b_NPFH_5,C16_F_a_2b_NPFH_6_mor,C16_F_a_2b_Tot,C16_F_a_3b_NPFH_2,C16_F_a_3b_NPFH_3,C16_F_a_3b_NPFH_4,C16_F_a_3b_NPFH_5,C16_F_a_3b_NPFH_6_mor,C16_F_a_3b_Tot,C16_F_a_4mb_NPFH_2,C16_F_a_4mb_NPFH_3,C16_F_a_4mb_NPFH_4,C16_F_a_4mb_NPFH_5,C16_F_a_4mb_NPFH_6_mor,C16_F_a_4mb_Tot,C16_F_a_NB_NS_NPFH_2,C16_F_a_NB_NS_NPFH_3,C16_F_a_NB_NS_NPFH_4,C16_F_a_NB_NS_NPFH_5,C16_F_a_NB_NS_NPFH_6_mor,C16_F_a_NB_NS_Tot,C16_F_a_Tot_NPFH_2,C16_F_a_Tot_NPFH_3,C16_F_a_Tot_NPFH_4,C16_F_a_Tot_NPFH_5,C16_F_a_Tot_NPFH_6_mor,C16_F_a_Tot_Tot,C16_OD_0b_s_a_b_NPFH_2,C16_OD_0b_s_a_b_NPFH_3,C16_OD_0b_s_a_b_NPFH_4,C16_OD_0b_s_a_b_NPFH_5,C16_OD_0b_s_a_b_NPFH_6_mor,C16_OD_0b_s_a_b_Tot,C16_OD_1b_NPFH_2,C16_OD_1b_NPFH_3,C16_OD_1b_NPFH_4,C16_OD_1b_NPFH_5,C16_OD_1b_NPFH_6_mor,C16_OD_1b_Tot,C16_OD_2b_NPFH_2,C16_OD_2b_NPFH_3,C16_OD_2b_NPFH_4,C16_OD_2b_NPFH_5,C16_OD_2b_NPFH_6_mor,C16_OD_2b_Tot,C16_OD_3b_NPFH_2,C16_OD_3b_NPFH_3,C16_OD_3b_NPFH_4,C16_OD_3b_NPFH_5,C16_OD_3b_NPFH_6_mor,C16_OD_3b_Tot,C16_OD_4mb_NPFH_2,C16_OD_4mb_NPFH_3,C16_OD_4mb_NPFH_4,C16_OD_4mb_NPFH_5,C16_OD_4mb_NPFH_6_mor,C16_OD_4mb_Tot,C16_OD_NB_NS_NPFH_2,C16_OD_NB_NS_NPFH_3,C16_OD_NB_NS_NPFH_4,C16_OD_NB_NS_NPFH_5,C16_OD_NB_NS_NPFH_6_mor,C16_OD_NB_NS_Tot,C16_OD_Tot_NPFH_2,C16_OD_Tot_NPFH_3,C16_OD_Tot_NPFH_4,C16_OD_Tot_NPFH_5,C16_OD_Tot_NPFH_6_mor,C16_OD_Tot_Tot,C16_DS_NS_NPFH_2,C16_DS_NS_NPFH_3,C16_DS_NS_NPFH_4,C16_DS_NS_NPFH_5,C16_DS_NS_NPFH_6_mor,C16_DS_NS_Tot,C16_Tot_NPFH_2,C16_Tot_NPFH_3,C16_Tot_NPFH_4,C16_Tot_NPFH_5,C16_Tot_NPFH_6_mor,C16_Tot_Tot,C21_SH_0b_s_a_b_NPFH_2,C21_SH_0b_s_a_b_NPFH_3,C21_SH_0b_s_a_b_NPFH_4,C21_SH_0b_s_a_b_NPFH_5,C21_SH_0b_s_a_b_NPFH_6_mor,C21_SH_0b_s_a_b_Tot,C21_SH_1b_NPFH_2,C21_SH_1b_NPFH_3,C21_SH_1b_NPFH_4,C21_SH_1b_NPFH_5,C21_SH_1b_NPFH_6_mor,C21_SH_1b_Tot,C21_SH_2b_NPFH_2,C21_SH_2b_NPFH_3,C21_SH_2b_NPFH_4,C21_SH_2b_NPFH_5,C21_SH_2b_NPFH_6_mor,C21_SH_2b_Tot,C21_SH_3b_NPFH_2,C21_SH_3b_NPFH_3,C21_SH_3b_NPFH_4,C21_SH_3b_NPFH_5,C21_SH_3b_NPFH_6_mor,C21_SH_3b_Tot,C21_SH_4mb_NPFH_2,C21_SH_4mb_NPFH_3,C21_SH_4mb_NPFH_4,C21_SH_4mb_NPFH_5,C21_SH_4mb_NPFH_6_mor,C21_SH_4mb_Tot,C21_SH_NB_NS_NPFH_2,C21_SH_NB_NS_NPFH_3,C21_SH_NB_NS_NPFH_4,C21_SH_NB_NS_NPFH_5,C21_SH_NB_NS_NPFH_6_mor,C21_SH_NB_NS_Tot,C21_SH_Tot_NPFH_2,C21_SH_Tot_NPFH_3,C21_SH_Tot_NPFH_4,C21_SH_Tot_NPFH_5
801061068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061069,26,6,0,133,151,92,140,67,30,479,0,0,4,0,0,4,223,128,173,72,33,626,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,14,29,6,14,4,0,53,7,0,3,3,0,12,0,0,0,0,0,0,37,13,22,4,0,77,0,0,0,0,0,0,5,0,0,0,0,5,21,4,6,0,0,36,5,3,3,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,34,8,3,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,151,206,78,31,762,0,0,0,0,0,0,6,0,0,0,0,5,8,0,0,0,0,8,69,22,32,8,0,133,161,96,168,69,28,527,4,0,0,0,0,7,242,123,203,77
801061070,29,3,0,203,133,53,90,46,12,333,4,3,3,0,0,10,276,102,132,46,10,568,0,0,0,0,0,0,3,0,0,0,0,3,31,5,0,0,0,31,86,27,21,4,0,129,22,14,7,5,0,45,4,0,0,0,0,4,139,37,25,5,0,212,0,0,0,0,0,0,13,4,0,0,0,13,8,0,0,0,0,13,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,25,6,4,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,142,164,54,13,820,0,0,0,0,0,0,0,0,0,0,0,0,24,6,3,0,0,28,115,32,30,0,0,178,145,76,112,56,21,414,3,0,0,0,0,0,290,111,139,61
801061129,0,0,0,15,13,4,3,4,0,27,0,0,0,0,0,0,23,11,8,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,10,0,0,0,0,0,0,71,4,0,0,0,75,98,27,6,0,0,131,55,15,8,3,0,72,0,0,0,0,0,0,0,0,0,0,0,0,220,40,16,6,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,52,22,9,4,345,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,11,0,3,0,0,18,10,3,6,0,0,28,0,0,0,0,0,0,24,9,14,0
801061130,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
801061131,10,0,0,33,0,0,0,0,0,8,0,0,0,0,0,0,21,11,13,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,14,3,3,0,0,17,41,14,15,0,0,73,12,8,5,8,0,30,0,0,0,0,0,0,68,20,22,8,7,123,0,0,0,0,0,0,153,4,0,0,0,152,386,88,23,0,0,495,104,47,25,5,3,185,0,0,3,0,0,4,3,0,0,0,0,5,644,143,55,4,0,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,733,175,85,14,6,1014,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,19,5,3,4,0,36,9,3,5,10,0,32,0,0,0,0,0,0,31,14,11,12
801071071,138,39,15,555,128,116,188,83,39,548,0,0,0,3,0,7,365,258,329,125,48,1126,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,9,65,54,27,6,3,151,6,5,9,0,0,29,0,0,0,0,0,0,83,64,36,12,0,197,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,7,6,4,4,0,22,0,0,5,0,0,5,0,0,0,0,0,0,12,6,6,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,328,374,134,55,1349,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,17,204,129,134,34,12,521,159,133,198,78,47,618,4,0,0,0,0,3,378,270,333,115
801071072,69,17,7,313,136,116,139,48,26,469,4,0,0,0,0,4,297,189,209,69,35,797,0,0,0,0,0,0,7,0,0,0,0,7,34,0,0,0,0,38,64,47,29,4,0,146,14,6,7,8,0,42,0,3,0,0,0,3,110,60,37,13,0,227,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,255,250,80,43,1035,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,103,54,44,14,8,229,148,88,131,57,33,454,3,0,4,0,0,5,265,142,181,75
801071073,136,29,12,597,242,144,229,109,46,773,11,3,5,0,0,16,536,305,373,140,58,1409,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,13,47,31,19,9,0,106,0,0,0,0,0,0,0,0,0,0,0,5,61,37,24,9,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,342,397,148,63,1536,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,14,269,133,137,37,9,578,268,192,207,109,40,818,3,0,0,0,0,6,554,328,343,148
801071074,157,41,10,690,202,125,161,85,52,628,5,7,3,5,3,22,522,318,330,129,65,1361,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,12,6,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,23,4,0,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,541,327,325,134,65,1393,0,0,0,0,0,0,0,0,0,0,0,0,13,9,3,0,0,31,290,178,163,40,13,680,240,147,156,82,58,682,8,0,0,0,0,8,548,330,324,120
801071075,95,24,6,377,190,179,255,95,32,760,10,3,5,0,0,13,351,297,354,124,38,1167,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,5,41,16,12,3,0,70,12,7,12,4,4,40,0,0,0,0,0,3,59,26,28,4,5,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,18,4,0,3,54,0,4,0,5,3,9,0,0,0,0,0,0,38,20,6,3,5,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449,342,388,132,52,1365,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,162,95,89,25,5,373,243,180,249,104,55,825,3,0,3,0,0,10,414,276,343,130
801071076,29,3,0,154,243,146,175,82,26,671,4,0,0,0,0,5,347,179,203,85,26,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,6,7,3,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,187,207,85,26,845,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,76,34,25,3,0,146,277,120,200,96,27,710,6,0,0,0,0,6,362,153,227,98
801071077,63,20,12,311,104,89,92,44,28,362,5,0,3,0,0,12,253,174,161,69,41,699,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,9,14,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,22,14,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,189,168,73,41,740,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,12,139,82,79,20,6,321,125,82,95,53,27,386,3,4,0,0,0,8,281,166,173,72
801071078,130,28,6,580,291,212,288,152,61,1008,9,7,4,0,0,17,575,377,421,180,70,1625,0,0,0,0,0,0,0,0,0,0,0,0,58,9,0,0,0,70,187,83,55,22,9,360,8,7,0,0,0,18,6,3,0,0,0,12,259,105,66,20,7,454,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835,479,486,203,83,2090,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,11,271,163,141,25,12,604,326,232,299,141,70,1060,10,0,0,4,0,15,615,397,440,164
801071079,71,13,10,343,196,106,133,53,19,501,3,0,0,0,0,8,364,195,205,68,32,864,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,194,210,68,32,874,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,8,155,87,67,26,3,337,217,113,148,55,33,560,0,0,0,0,0,7,383,199,213,77
801071080,4,0,0,30,0,0,0,0,0,3,0,0,0,0,0,0,23,6,4,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,0,35,93,51,26,4,6,178,30,12,12,3,0,63,3,0,0,0,0,3,147,66,47,11,4,271,0,0,0,0,0,0,34,9,0,0,0,49,74,35,15,0,0,120,8,5,0,0,0,22,0,4,0,0,0,10,0,0,0,0,0,0,121,54,15,3,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,124,65,12,9,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,0,0,0,37,3,0,0,0,0,0,0,0,0,0,0,0,30,7,0,0
801071081,125,38,8,519,94,81,136,57,34,402,5,0,4,0,0,14,316,231,263,96,49,952,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0,15,68,40,27,11,0,149,8,0,0,3,0,7,0,0,0,0,0,0,86,48,33,7,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,32,32,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,440,278,303,106,46,1173,0,0,0,0,0,0,3,0,0,0,0,3,5,5,0,0,0,10,219,151,110,31,17,533,124,96,118,59,36,435,0,0,0,0,0,4,355,255,228,96
801071082,349,87,38,1616,740,412,496,237,106,1994,20,10,3,0,0,40,1567,821,853,332,147,3718,0,0,0,0,0,0,0,0,0,0,0,0,60,27,5,0,0,95,92,53,29,7,3,181,23,0,7,5,0,38,0,0,0,0,0,0,175,79,48,12,3,317,0,0,0,0,0,0,3,0,0,0,0,3,16,3,0,0,0,17,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,13,7,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1757,908,900,340,156,4059,0,0,0,0,0,0,8,0,0,0,0,8,39,9,0,0,0,52,822,392,300,92,36,1642,811,434,573,274,105,2198,11,4,6,3,5,23,1681,848,882,370
801071083,16,6,4,110,94,75,89,28,7,292,0,0,0,0,0,5,139,104,103,39,10,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,104,106,39,10,410,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,36,27,28,3,0,94,125,58,91,30,8,313,0,0,0,0,0,3,160,86,120,38
801071084,88,24,14,502,257,145,218,86,32,739,5,4,4,0,0,13,516,291,310,111,52,1274,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,35,79,32,22,3,0,133,0,0,0,0,0,0,3,0,0,0,0,5,114,39,19,3,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,329,328,117,52,1455,0,0,0,0,0,0,4,0,0,0,0,8,40,0,3,0,0,46,260,116,102,36,10,532,297,163,208,84,43,789,5,0,0,0,0,4,603,284,314,117
801071085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801071086,37,9,3,189,80,51,61,22,20,235,0,0,0,0,0,5,171,110,99,38,22,440,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,17,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,113,101,43,23,472,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,12,79,49,38,10,4,186,95,55,57,24,19,257,0,0,5,0,0,5,190,104,96,35
801071087,106,31,17,525,70,48,72,41,19,250,4,3,4,0,0,14,297,219,178,66,34,805,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,11,8,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,17,8,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,229,184,75,34,829,0,0,0,0,0,0,0,0,0,3,0,3,7,3,0,0,0,13,217,144,114,26,17,516,85,48,68,46,15,271,3,0,3,0,0,4,316,197,180,79
801071088,116,34,13,463,125,117,151,67,34,496,3,5,0,0,0,10,321,253,268,110,46,982,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,8,17,7,4,4,0,30,0,0,0,0,0,5,0,0,0,0,0,0,23,10,8,4,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,259,275,106,48,1027,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,12,193,128,112,41,11,490,156,108,152,55,34,509,4,0,0,0,0,5,368,243,265,95
801071089,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
