SA2_CODE_2021,C11_PI_S_R225_274,C11_PI_S_R275_349,C11_PI_S_R350_449,C11_PI_S_R450_549,C11_PI_S_R550_649,C11_PI_S_R650more,C11_PI_S_R_NS,C11_PI_S_R_Tot,C11_AI_NS_R1_74,C11_AI_NS_R75_99,C11_AI_NS_R100_149,C11_AI_NS_R150_199,C11_AI_NS_R200_224,C11_AI_NS_R225_274,C11_AI_NS_R275_349,C11_AI_NS_R350_449,C11_AI_NS_R450_549,C11_AI_NS_R550_649,C11_AI_NS_R650more,C11_AI_NS_R_NS,C11_AI_NS_R_Tot,C11_Tot_R1_74,C11_Tot_R75_99,C11_Tot_R100_149,C11_Tot_R150_199,C11_Tot_R200_224,C11_Tot_R225_274,C11_Tot_R275_349,C11_Tot_R350_449,C11_Tot_R450_549,C11_Tot_R550_649,C11_Tot_R650more,C11_Tot_R_NS,C11_Tot_R_Tot,C16_Neg_Ni_inc_R1_74,C16_Neg_Ni_inc_R75_99,C16_Neg_Ni_inc_R100_149,C16_Neg_Ni_inc_R150_199,C16_Neg_Ni_inc_R200_224,C16_Neg_Ni_inc_R225_274,C16_Neg_Ni_inc_R275_349,C16_Neg_Ni_inc_R350_449,C16_Neg_Ni_inc_R450_549,C16_Neg_Ni_inc_R550_649,C16_Neg_Ni_inc_R650more,C16_Neg_Ni_inc_R_NS,C16_Neg_Ni_inc_R_Tot,C16_1_149_R1_74,C16_1_149_R75_99,C16_1_149_R100_149,C16_1_149_R150_199,C16_1_149_R200_224,C16_1_149_R225_274,C16_1_149_R275_349,C16_1_149_R350_449,C16_1_149_R450_549,C16_1_149_R550_649,C16_1_149_R650more,C16_1_149_R_NS,C16_1_149_R_Tot,C16_150_299_R1_74,C16_150_299_R75_99,C16_150_299_R100_149,C16_150_299_R150_199,C16_150_299_R200_224,C16_150_299_R225_274,C16_150_299_R275_349,C16_150_299_R350_449,C16_150_299_R450_549,C16_150_299_R550_649,C16_150_299_R650more,C16_150_299_R_NS,C16_150_299_R_Tot,C16_300_399_R1_74,C16_300_399_R75_99,C16_300_399_R100_149,C16_300_399_R150_199,C16_300_399_R200_224,C16_300_399_R225_274,C16_300_399_R275_349,C16_300_399_R350_449,C16_300_399_R450_549,C16_300_399_R550_649,C16_300_399_R650more,C16_300_399_R_NS,C16_300_399_R_Tot,C16_400_499_R1_74,C16_400_499_R75_99,C16_400_499_R100_149,C16_400_499_R150_199,C16_400_499_R200_224,C16_400_499_R225_274,C16_400_499_R275_349,C16_400_499_R350_449,C16_400_499_R450_549,C16_400_499_R550_649,C16_400_499_R650more,C16_400_499_R_NS,C16_400_499_R_Tot,C16_500_649_R1_74,C16_500_649_R75_99,C16_500_649_R100_149,C16_500_649_R150_199,C16_500_649_R200_224,C16_500_649_R225_274,C16_500_649_R275_349,C16_500_649_R350_449,C16_500_649_R450_549,C16_500_649_R550_649,C16_500_649_R650more,C16_500_649_R_NS,C16_500_649_R_Tot,C16_650_799_R1_74,C16_650_799_R75_99,C16_650_799_R100_149,C16_650_799_R150_199,C16_650_799_R200_224,C16_650_799_R225_274,C16_650_799_R275_349,C16_650_799_R350_449,C16_650_799_R450_549,C16_650_799_R550_649,C16_650_799_R650more,C16_650_799_R_NS,C16_650_799_R_Tot,C16_800_999_R1_74,C16_800_999_R75_99,C16_800_999_R100_149,C16_800_999_R150_199,C16_800_999_R200_224,C16_800_999_R225_274,C16_800_999_R275_349,C16_800_999_R350_449,C16_800_999_R450_549,C16_800_999_R550_649,C16_800_999_R650more,C16_800_999_R_NS,C16_800_999_R_Tot,C16_1000_1249_R1_74,C16_1000_1249_R75_99,C16_1000_1249_R100_149,C16_1000_1249_R150_199,C16_1000_1249_R200_224,C16_1000_1249_R225_274,C16_1000_1249_R275_349,C16_1000_1249_R350_449,C16_1000_1249_R450_549,C16_1000_1249_R550_649,C16_1000_1249_R650more,C16_1000_1249_R_NS,C16_1000_1249_R_Tot,C16_1250_1499_R1_74,C16_1250_1499_R75_99,C16_1250_1499_R100_149,C16_1250_1499_R150_199,C16_1250_1499_R200_224,C16_1250_1499_R225_274,C16_1250_1499_R275_349,C16_1250_1499_R350_449,C16_1250_1499_R450_549,C16_1250_1499_R550_649,C16_1250_1499_R650more,C16_1250_1499_R_NS,C16_1250_1499_R_Tot,C16_1500_1999_R1_74,C16_1500_1999_R75_99,C16_1500_1999_R100_149,C16_1500_1999_R150_199,C16_1500_1999_R200_224,C16_1500_1999_R225_274,C16_1500_1999_R275_349,C16_1500_1999_R350_449,C16_1500_1999_R450_549,C16_1500_1999_R550_649,C16_1500_1999_R650more,C16_1500_1999_R_NS,C16_1500_1999_R_Tot,C16_2000_2499_R1_74,C16_2000_2499_R75_99,C16_2000_2499_R100_149,C16_2000_2499_R150_199,C16_2000_2499_R200_224,C16_2000_2499_R225_274,C16_2000_2499_R275_349,C16_2000_2499_R350_449,C16_2000_2499_R450_549,C16_2000_2499_R550_649,C16_2000_2499_R650more,C16_2000_2499_R_NS,C16_2000_2499_R_Tot,C16_2500_2999_R1_74,C16_2500_2999_R75_99,C16_2500_2999_R100_149,C16_2500_2999_R150_199,C16_2500_2999_R200_224,C16_2500_2999_R225_274,C16_2500_2999_R275_349,C16_2500_2999_R350_449,C16_2500_2999_R450_549,C16_2500_2999_R550_649
801091103,0,0,5,0,0,0,0,7,0,4,0,4,0,0,0,0,0,0,0,0,8,11,20,21,22,19,30,32,47,37,20,18,12,288,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,15,0,0,9,0,0,0,0,0,0,0,0,0,9,0,4,7,0,0,0,0,0,0,0,0,0,16,0,0,4,0,4,0,6,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,3,0,0,3,0,0,0,0,9,0,3,0,0,0,3,5,4,0,0,0,5,20,0,0,0,0,0,10,5,0,3,0,0,0,16,0,0,0,0,0,5,6,11,9,0,0,0,30,0,0,0,0,3,3,4,7,6,8,0,0,24,0,0,0,0,0,0,0,0,4,3
801091104,0,0,6,0,0,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,12,3,4,7,6,46,44,19,23,3,178,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,0,0,0,0,4,0,4,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,15,9,3,3,0,24,0,0,0,0,0,0,0,12,11,4,3,0,31,0,0,0,0,0,0,0,5,9,0
801091105,3,11,8,4,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,8,10,30,39,21,33,21,61,116,86,70,20,9,11,514,6,0,0,0,0,3,7,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,8,7,3,0,3,0,0,0,0,0,0,0,0,16,0,7,11,3,0,4,4,0,0,0,0,3,31,0,7,10,0,0,0,3,3,0,0,0,0,35,0,0,5,5,3,0,6,3,0,0,0,0,25,0,6,5,4,3,3,3,6,0,0,0,0,31,0,0,0,0,0,7,8,4,0,0,0,4,36,0,0,3,4,6,8,15,7,3,0,0,3,52,0,0,0,0,3,4,19,12,5,3,0,0,60,0,0,0,5,6,8,29,14,16,0,0,0,80,0,0,0,0,3,6,24,19,11,3,0,0,67,0,0,0,0,0,0,0,10,8,7
801091106,6,0,4,13,4,0,0,25,0,0,0,0,0,3,0,0,0,0,0,0,14,9,26,23,26,16,46,114,96,75,26,14,16,481,0,0,0,0,0,0,4,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,0,0,0,3,0,0,0,0,0,14,0,3,8,0,0,0,0,0,0,0,0,0,17,0,9,4,3,3,0,0,0,0,0,0,0,28,0,0,6,0,0,3,3,0,3,0,0,0,17,0,0,6,3,0,10,8,4,0,0,0,0,33,0,0,0,6,3,4,18,0,0,4,0,0,41,0,0,0,0,0,8,11,14,6,0,0,0,45,0,0,0,0,6,3,19,14,4,0,0,5,52,0,0,0,0,5,9,17,21,17,0,0,0,70,0,0,0,0,5,5,8,18,22,4,0,0,62,0,0,0,0,0,3,3,7,13,3
801091107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0
801091108,0,0,11,9,0,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,5,5,41,12,11,3,12,26,77,52,25,9,4,277,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,3,6,0,0,0,0,0,0,0,0,0,15,0,16,10,0,0,0,4,0,0,0,0,0,28,0,3,3,0,0,5,0,0,0,0,0,0,8,0,0,3,4,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,4,5,0,0,0,4,18,0,0,0,0,0,0,8,4,0,0,0,0,21,0,0,0,0,0,0,4,3,7,0,0,0,23,0,0,0,0,0,4,0,14,8,0,0,0,31,0,0,0,0,0,0,0,11,11,7,0,0,28,0,0,0,0,0,0,4,8,0,0
801091109,3,3,18,9,5,0,3,31,0,0,0,0,0,0,0,0,0,0,0,0,6,23,29,22,12,6,25,98,319,98,13,7,14,658,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,8,0,0,0,4,0,0,0,0,0,19,0,6,5,0,0,0,0,0,0,0,0,0,20,0,0,4,4,0,0,3,3,0,0,0,0,11,0,0,3,3,3,0,6,4,0,0,0,0,26,0,0,0,0,0,0,13,19,3,0,0,0,37,0,0,0,0,0,5,25,26,8,0,0,0,69,0,0,0,0,4,0,30,39,3,0,0,0,81,0,0,0,0,3,0,54,103,6,3,3,4,179,0,0,0,6,0,0,38,80,15,0,0,4,152,0,0,0,0,0,0,20,46,13,0
801091110,0,0,4,6,4,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,4,4,19,16,11,8,14,24,64,39,13,8,7,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,10,0,4,4,0,0,0,0,9,0,0,0,0,15,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,3,0,0,6,4,0,0,0,0,12,0,0,0,0,0,0,4,5,0,0,0,0,10,0,0,0,3,0,0,4,11,6,0,0,0,27,0,0,0,0,0,0,5,18,7,0,3,0,33,0,0,0,0,0,0,0,9,3,0
801101134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801101135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,7,0,6,0,18,0,0,0,0,0,3,0,0,0,0
