SA2_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
801011017,11,6,27,35,0,0,0,57,65,122,15,12,31,0,0,0,0,4,8,10,11,18,0,0,0,27,29,55,11,3,18,0,0,0,3,3,8,3,4,9,0,0,0,18,19,32,713,725,1440,45,44,88,107,184,288,30,84,115,538,514,1061,1436,1551,2981
801011018,0,0,4,4,0,0,0,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,445,437,882,23,27,47,28,59,89,0,22,22,722,634,1352,1212,1177,2386
801011019,12,11,31,35,4,0,3,66,77,146,22,11,23,0,0,0,0,5,4,4,18,17,0,0,0,22,33,55,10,0,12,0,0,0,0,0,0,3,12,17,0,0,3,13,16,32,1366,1372,2730,64,81,150,167,301,466,41,124,163,947,882,1827,2580,2755,5335
801011020,27,9,28,36,3,0,9,72,73,144,26,12,38,3,0,4,3,4,7,6,19,26,0,0,0,38,40,77,15,5,22,0,0,0,0,5,4,10,21,31,0,0,0,28,28,60,562,553,1113,52,40,88,86,143,230,30,100,131,558,481,1037,1288,1311,2595
801011021,7,3,10,10,6,0,4,41,39,80,15,16,26,0,0,0,3,4,8,0,15,15,0,0,0,19,28,50,18,3,22,0,0,0,0,3,4,3,10,12,0,0,0,24,17,45,627,636,1259,24,36,58,59,105,157,22,63,86,379,344,723,1106,1174,2284
801011022,18,5,16,22,3,6,3,66,67,135,25,25,55,0,0,0,5,5,7,9,11,20,0,0,0,40,43,87,12,5,11,0,0,0,0,0,0,9,9,23,0,0,0,19,16,35,671,670,1339,29,42,76,83,145,233,33,71,98,477,413,891,1296,1338,2635
801011023,20,10,31,45,3,9,11,68,93,161,27,28,56,0,0,0,6,17,21,10,59,63,0,0,0,42,98,146,48,39,89,0,0,0,5,4,14,29,110,140,0,4,7,89,160,246,525,518,1040,22,45,71,104,158,258,64,224,290,481,440,912,1192,1386,2572
801011024,12,6,9,12,6,0,4,50,45,96,12,9,22,0,0,0,3,3,10,8,9,17,0,0,0,23,28,48,7,3,9,0,0,0,0,0,6,3,10,17,4,0,4,19,16,31,553,570,1120,43,48,88,95,130,226,19,52,72,491,433,923,1196,1232,2427
801011025,11,0,17,12,0,0,0,34,38,71,25,13,38,0,0,0,0,5,7,4,4,5,0,0,0,34,28,53,10,7,11,0,0,0,0,4,3,4,4,11,0,0,0,12,16,26,514,511,1022,20,35,58,67,125,186,14,54,64,384,350,739,998,1070,2068
801011026,5,4,10,11,0,0,0,65,64,132,33,30,57,0,0,0,0,5,5,8,14,21,0,0,0,40,44,81,27,11,41,0,0,0,0,0,0,11,26,35,0,0,0,39,41,77,664,663,1332,18,28,37,42,69,113,24,72,100,384,311,695,1132,1145,2276
801011111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,11,12,9,6,10
801011142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011143,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,154,302,0,4,3,12,16,20,0,11,8,86,111,203,244,290,541
801011144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,0,0,0,0,0,0,0,0,0,0,7,10,8,10,19
801031031,6,0,0,0,3,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,10,116,17,0,14,6,0,10,0,0,0,234,16,246,361,22,390
801031032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12,0,0,0,0,0,0,0,0,0,5,4,6,9,11,22
