SA2_CODE_2021,C21_650_799_CF_1C,C21_650_799_CF_2C,C21_650_799_CF_3C,C21_650_799_CF_4mC,C21_650_799_Tot,C21_800_999_CF_1C,C21_800_999_CF_2C,C21_800_999_CF_3C,C21_800_999_CF_4mC,C21_800_999_Tot,C21_1000_1499_CF_1C,C21_1000_1499_CF_2C,C21_1000_1499_CF_3C,C21_1000_1499_CF_4mC,C21_1000_1499_Tot,C21_1500_1999_CF_1C,C21_1500_1999_CF_2C,C21_1500_1999_CF_3C,C21_1500_1999_CF_4mC,C21_1500_1999_Tot,C21_2000_2499_CF_1C,C21_2000_2499_CF_2C,C21_2000_2499_CF_3C,C21_2000_2499_CF_4mC,C21_2000_2499_Tot,C21_2500_2999_CF_1C,C21_2500_2999_CF_2C,C21_2500_2999_CF_3C,C21_2500_2999_CF_4mC,C21_2500_2999_Tot,C21_3000_3999_CF_1C,C21_3000_3999_CF_2C,C21_3000_3999_CF_3C,C21_3000_3999_CF_4mC,C21_3000_3999_Tot,C21_4000more_CF_1C,C21_4000more_CF_2C,C21_4000more_CF_3C,C21_4000more_Cou_fa_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_CF_1C,C21_Par_inc_st_CF_2C,C21_Par_inc_st_CF_3C,C21_Par_inc_st_CF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_CF_1Ch,C21_All_inc_ns_CF_2C,C21_All_inc_ns_CF_3C,C21_All_inc_ns_CF_4mC,C21_All_inc_ns_Tot,C21_Tot_CF_1C,C21_Tot_CF_2C,C21_Tot_CF_3C,C21_Tot_CF_4mC,C21_Tot_Tot
801061062,0,0,0,0,0,0,0,0,0,0,4,3,3,0,7,0,4,0,0,7,11,6,3,0,16,9,5,3,0,16,15,14,6,0,39,94,136,34,5,267,13,5,8,0,30,0,0,0,0,0,143,171,59,14,387
801061063,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,3,0,0,0,4,4,4,0,0,9,9,6,0,0,14,12,4,0,0,11,50,54,21,5,125,7,5,3,0,16,0,0,0,0,0,90,73,23,7,189
801061064,0,0,0,0,0,0,0,0,0,4,3,0,0,0,4,10,9,0,0,17,15,9,0,0,24,19,3,0,0,27,32,26,11,6,70,111,147,66,3,329,12,22,0,0,35,0,0,0,0,3,211,219,78,10,514
801061066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061067,4,0,0,0,3,9,3,0,0,6,16,11,4,0,30,19,10,4,0,31,29,15,4,0,48,14,19,3,0,35,52,60,13,5,128,115,203,61,7,392,8,27,5,0,44,4,0,0,0,4,271,349,92,18,733
801061068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061069,0,3,0,0,3,3,0,0,0,3,4,6,0,0,10,0,3,0,0,8,4,9,0,0,8,9,5,3,0,18,21,15,5,0,41,81,165,56,17,318,7,12,6,0,25,0,0,0,0,0,134,217,74,21,443
801061070,0,0,0,0,0,0,0,0,0,0,6,4,0,0,4,4,0,0,0,7,9,4,6,0,21,9,7,0,4,14,12,14,9,3,37,81,120,44,8,254,7,14,4,0,21,0,5,0,0,6,128,164,60,12,366
801061129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,0,0,0,6,3,6,0,0,13,9,7,0,0,13,31,19,5,0,58,4,6,0,0,3,0,0,0,0,0,51,42,5,0,103
801061130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
801061131,0,0,0,0,6,0,0,0,0,0,3,0,0,0,14,9,3,0,0,13,13,7,0,0,23,15,8,0,0,19,42,24,0,0,71,119,65,5,3,190,8,3,0,0,16,5,0,0,0,0,211,118,12,5,353
801071071,0,0,0,0,0,0,0,0,0,0,19,16,6,4,38,21,19,8,5,50,34,28,13,4,77,33,60,18,4,112,59,96,27,3,187,63,106,22,15,206,12,23,8,0,42,0,8,0,0,6,244,348,107,33,730
801071072,0,0,4,0,3,0,0,0,0,0,14,4,5,0,22,15,9,6,0,29,26,17,20,6,68,19,26,3,3,51,33,56,13,0,109,48,78,26,7,157,14,16,3,4,35,0,0,0,0,0,165,217,72,19,479
801071073,0,0,0,0,0,0,0,0,0,0,19,11,6,4,38,19,13,5,0,47,35,32,11,0,80,36,46,11,8,97,73,80,21,6,181,105,130,32,9,284,16,21,13,3,54,0,3,0,0,3,301,341,103,42,786
801071074,0,0,0,0,0,0,5,0,0,4,19,9,3,6,35,16,21,4,3,45,30,37,15,7,93,39,28,19,6,100,70,74,30,9,178,74,79,24,14,197,16,16,9,7,40,0,0,0,0,0,270,278,106,47,697
801071075,0,0,0,0,7,3,3,0,0,6,4,4,3,0,11,18,17,9,3,53,27,35,11,0,70,28,21,12,5,70,78,81,22,8,194,79,146,31,10,265,11,24,7,0,44,0,0,0,0,6,257,342,95,28,727
801071076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,4,11,6,6,4,0,17,11,13,0,0,27,21,44,19,8,95,77,126,38,4,251,16,13,10,3,42,0,0,0,0,0,140,209,85,21,454
801071077,0,4,0,0,4,0,0,0,0,4,13,3,0,0,15,12,6,10,0,30,19,18,10,0,41,22,13,9,0,43,42,46,10,0,100,33,67,15,0,112,6,9,4,0,17,0,0,0,0,0,141,161,62,11,374
801071078,0,7,4,0,14,3,0,0,4,3,15,10,9,5,40,24,32,3,5,70,34,42,18,6,97,58,42,20,4,124,106,140,27,14,283,128,146,49,14,346,14,32,15,0,66,3,0,0,0,4,398,455,143,46,1050
801071079,0,0,0,0,4,0,0,0,0,0,9,4,4,0,10,6,7,0,4,21,12,14,5,0,34,23,14,8,0,49,30,58,18,0,109,65,83,25,0,179,9,13,6,3,31,0,0,0,0,0,157,196,64,14,437
801071080,0,0,0,0,0,4,0,0,0,7,15,7,0,0,20,20,11,3,0,36,35,9,0,0,43,12,8,4,0,28,20,20,0,0,42,46,33,4,0,89,6,3,4,0,17,0,0,0,0,0,165,93,16,0,274
801071081,0,0,0,0,5,5,0,0,0,5,18,7,5,3,33,14,25,7,0,50,36,30,6,7,73,25,37,13,0,80,56,75,13,7,151,50,63,16,4,132,9,10,5,3,38,0,0,0,0,4,222,254,72,29,581
801071082,6,5,5,3,15,3,0,3,0,8,34,25,9,5,76,43,33,20,13,111,89,67,25,12,193,81,82,36,9,204,152,221,72,18,462,195,344,120,23,680,35,49,18,5,103,3,5,0,0,9,654,833,299,89,1878
801071083,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,10,8,7,0,0,18,6,13,8,0,27,17,40,9,6,62,34,42,13,6,99,6,11,0,0,13,0,0,0,0,0,79,108,29,10,222
801071084,3,0,0,0,7,4,0,0,0,3,10,7,7,0,21,12,9,12,4,35,24,29,8,3,68,31,35,15,0,81,77,73,31,3,182,79,121,37,4,238,13,18,9,0,39,0,3,0,0,3,249,297,109,29,690
801071085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801071086,0,0,0,0,0,0,0,0,0,0,7,0,4,0,12,4,3,0,0,8,8,3,3,4,18,13,11,4,0,29,25,29,11,0,58,26,31,14,6,70,7,3,0,5,16,0,0,0,0,6,90,86,29,8,220
801071087,0,0,0,0,0,0,0,0,0,6,10,8,0,0,16,16,15,8,0,42,22,21,12,0,55,20,34,4,3,59,42,35,15,4,95,30,36,10,3,81,11,3,4,6,21,0,0,0,0,5,150,151,53,16,371
801071088,0,0,0,0,0,0,0,0,0,0,14,6,0,3,20,17,16,10,5,41,21,22,9,0,49,31,31,12,0,68,47,65,16,7,138,67,73,27,8,171,13,15,5,4,34,0,0,0,0,0,210,229,69,26,536
801071089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
801071090,3,0,0,0,0,3,4,0,0,7,18,11,0,0,32,29,27,14,0,72,44,30,22,4,94,50,50,13,3,122,85,108,43,9,245,98,183,49,26,350,11,26,10,8,60,0,4,0,0,4,339,448,158,53,998
801071132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801081091,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,5,0,3,8,0,4,0,12,10,11,0,0,17,23,23,8,0,57,69,130,49,8,259,5,13,3,3,35,0,0,0,0,5,130,188,75,9,401
801081092,0,0,0,0,0,0,0,0,0,0,6,0,6,0,11,13,9,0,0,29,21,12,0,7,40,11,12,9,0,36,34,39,16,0,93,56,125,40,10,220,6,13,5,0,23,0,0,0,0,0,145,224,76,13,462
801081093,0,0,0,0,0,0,5,0,0,8,6,6,3,0,13,3,8,6,0,19,9,18,3,0,31,14,18,8,0,31,43,45,15,3,104,54,88,33,11,187,11,15,11,0,29,0,0,0,0,0,136,201,72,13,422
