SA2_CODE_2021,C11_CFC_SMS_MRM_NDC_UR_1,C11_CFC_SMS_MRM_NDC_UR_2,C11_CFC_SMS_MRM_NDC_UR_3,C11_CFC_SMS_MRM_NDC_UR_4mo,C11_CFC_SMS_MRM_NDC_UR_Total,C11_CFC_SMS_M_DfM_NDC_UR_1,C11_CFC_SMS_M_DfM_NDC_UR_2,C11_CFC_SMS_M_DfM_NDC_UR_3,C11_CFC_SMS_M_DfM_NDC_UR_4mo,C11_CFC_SMS_M_DfM_NDC_UR_Tot,C11_CFC_SMS_Tot_NDC_UR_1,C11_CFC_SMS_Tot_NDC_UR_2,C11_CFC_SMS_Tot_NDC_UR_3,C11_CFC_SMS_Tot_NDC_UR_4mo,C11_CFC_SMS_Tot_NDC_UR_Tot,C11_1PF_NDC_UR_1,C11_1PF_NDC_UR_2,C11_1PF_NDC_UR_3,C11_1PF_NDC_UR_4mo,C11_1PF_NDC_UR_Tot,C11_Tot_NDC_UR_1,C11_Tot_NDC_UR_2,C11_Tot_NDC_UR_3,C11_Tot_NDC_UR_4mo,C11_Tot_NDC_UR_Tot,C16_CFC_SMS_MRM_NDC_UR_1,C16_CFC_SMS_MRM_NDC_UR_2,C16_CFC_SMS_MRM_NDC_UR_3,C16_CFC_SMS_MRM_NDC_UR_4mo,C16_CFC_SMS_MRM_NDC_UR_Tot,C16_CFC_SMS_M_DfM_NDC_UR_1,C16_CFC_SMS_M_DfM_NDC_UR_2,C16_CFC_SMS_M_DfM_NDC_UR_3,C16_CFC_SMS_M_DfM_NDC_UR_4mo,C16_CFC_SMS_M_DfM_NDC_UR_Tot,C16_CFC_SMS_Tot_NDC_UR_1,C16_CFC_SMS_Tot_NDC_UR_2,C16_CFC_SMS_Tot_NDC_UR_3,C16_CFC_SMS_Tot_NDC_UR_4mo,C16_CFC_SMS_Tot_NDC_UR_Tot,C16_1PF_NDC_UR_1,C16_1PF_NDC_UR_2,C16_1PF_NDC_UR_3,C16_1PF_NDC_UR_4mo,C16_1PF_NDC_UR_Tot,C16_Tot_NDC_UR_1,C16_Tot_NDC_UR_2,C16_Tot_NDC_UR_3,C16_Tot_NDC_UR_4mo,C16_Tot_NDC_UR_Tot,C21_CFC_SMS_MRM_NDC_UR_1,C21_CFC_SMS_MRM_NDC_UR_2,C21_CFC_SMS_MRM_NDC_UR_3,C21_CFC_SMS_MRM_NDC_UR_4mo,C21_CFC_SMS_MRM_NDC_UR_Tot,C21_CFC_SMS_M_DfM_NDC_UR_1,C21_CFC_SMS_M_DfM_NDC_UR_2,C21_CFC_SMS_M_DfM_NDC_UR_3,C21_CFC_SMS_M_DfM_NDC_UR_4mo,C21_CFC_SMS_M_DfM_NDC_UR_Tot,C21_CFC_SMS_Tot_NDC_UR_1,C21_CFC_SMS_Tot_NDC_UR_2,C21_CFC_SMS_Tot_NDC_UR_3,C21_CFC_SMS_Tot_NDC_UR_4mo,C21_CFC_SMS_Tot_NDC_UR_Tot,C21_1PF_NDC_UR_1,C21_1PF_NDC_UR_2,C21_1PF_NDC_UR_3,C21_1PF_NDC_UR_4mo,C21_1PF_NDC_UR_Tot,C21_Tot_NDC_UR_1,C21_Tot_NDC_UR_2,C21_Tot_NDC_UR_3,C21_Tot_NDC_UR_4mo,C21_Tot_NDC_UR_Tot
801071076,127,147,54,15,347,8,20,4,0,30,136,168,56,15,380,35,12,3,0,54,171,188,59,15,434,100,155,53,15,320,12,11,3,0,30,118,162,54,16,348,22,15,4,0,36,138,179,61,14,390,98,156,62,12,328,14,18,6,4,43,110,173,70,17,370,23,21,3,0,46,134,193,70,13,417
801071077,103,107,41,15,272,27,12,3,0,47,133,121,47,15,316,43,45,22,7,118,179,165,65,25,435,83,90,43,15,233,13,18,6,3,47,102,111,50,19,280,34,33,14,3,86,135,143,70,22,365,70,116,38,8,231,27,21,6,0,52,101,135,45,7,282,34,29,13,4,80,134,162,57,14,364
801071078,296,364,127,36,820,57,53,26,0,137,347,418,152,41,962,136,77,30,12,249,486,494,187,48,1213,288,307,97,33,720,39,45,15,7,109,326,351,110,41,827,140,88,21,9,253,466,438,136,50,1086,259,309,97,31,694,61,57,18,3,135,319,361,112,34,829,125,93,25,3,254,443,452,144,42,1083
801071079,112,122,43,7,285,24,11,3,0,39,136,138,48,14,324,48,42,15,3,100,180,178,60,16,430,81,135,41,15,276,27,23,7,5,55,105,163,47,19,337,51,31,15,3,97,161,186,64,21,433,102,148,50,5,310,28,13,8,4,52,128,169,57,9,366,33,35,6,5,79,166,200,62,14,443
801071080,38,21,8,0,70,12,0,0,0,13,54,24,8,0,83,28,18,10,0,53,84,41,15,0,136,79,36,0,0,121,10,3,0,0,15,85,45,4,0,135,26,20,4,0,50,113,65,14,0,184,112,71,14,3,201,29,11,0,0,42,142,86,12,0,244,80,47,10,0,144,221,131,29,6,388
801071081,154,172,70,18,414,34,26,12,0,74,184,205,76,19,492,92,55,22,4,171,275,257,104,28,657,158,188,55,13,414,39,32,9,8,77,192,220,61,25,498,74,53,17,7,146,266,271,78,28,640,129,188,59,18,388,34,36,5,3,76,162,221,60,17,463,70,53,12,16,147,234,278,72,29,615
801071082,456,586,192,67,1307,108,93,35,15,254,563,680,223,93,1557,263,183,41,18,503,827,863,271,108,2064,371,591,217,62,1247,119,88,40,11,255,486,683,257,72,1498,241,163,45,17,464,730,844,303,95,1964,368,619,206,56,1240,99,113,42,12,268,470,733,250,65,1507,223,196,49,10,472,686,923,293,79,1984
801071083,64,76,25,7,171,4,5,0,4,20,68,79,25,9,183,16,16,3,0,37,79,97,29,9,218,53,64,21,6,147,6,3,0,0,16,63,72,29,6,163,15,7,4,0,25,71,80,28,6,190,50,88,21,8,165,7,3,4,0,16,57,94,23,8,181,12,10,0,4,29,74,106,25,8,212
801071084,182,248,65,16,512,22,28,7,3,65,202,275,72,27,575,83,48,17,0,153,286,319,93,26,725,174,206,55,19,457,24,30,12,4,62,197,234,67,19,518,86,48,14,7,149,281,279,81,29,670,147,211,83,21,463,51,30,11,0,85,199,235,91,21,546,72,45,18,8,140,264,285,112,29,687
801071085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
