SA2_CODE_2021,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus,C16_Aus_Bplace_NS,C16_Aus_Tot_resp,C16_Aus_Ab_BP_B_OS,C16_Aus_Ab_Fa_O_B_OS,C16_Aus_Ab_Mo_O_B_OS,C16_Aus_Ab_BP_B_Aus,C16_Aus_Abor_Bplace_NS,C16_Aus_Abor_Tot_resp,C16_Chi_BP_B_OS,C16_Chi_Fa_O_B_OS,C16_Chi_Mo_O_B_OS,C16_Chi_BP_B_Aus,C16_Chi_Bplace_NS,C16_Chi_Tot_resp,C16_Cro_BP_B_OS,C16_Cro_Fa_O_B_OS,C16_Cro_Mo_O_B_OS,C16_Cro_BP_B_Aus,C16_Cro_Bplace_NS,C16_Cro_Tot_resp,C16_Dut_BP_B_OS,C16_Dut_Fa_O_B_OS,C16_Dut_Mo_O_B_OS,C16_Dut_BP_B_Aus,C16_Dut_Bplace_NS,C16_Dut_Tot_resp,C16_Eng_BP_B_OS,C16_Eng_Fa_O_B_OS,C16_Eng_Mo_O_B_OS,C16_Eng_BP_B_Aus,C16_Eng_Bplace_NS,C16_Eng_Tot_resp,C16_Fil_BP_B_OS,C16_Fil_Fa_O_B_OS,C16_Fil_Mo_O_B_OS,C16_Fil_BP_B_Aus,C16_Fil_Bplace_NS,C16_Fil_Tot_resp,C16_Fre_BP_B_OS,C16_Fre_Fa_O_B_OS,C16_Fre_Mo_O_B_OS,C16_Fre_BP_B_Aus,C16_Fre_Bplace_NS,C16_Fre_Tot_resp,C16_Ger_BP_B_OS,C16_Ger_Fa_O_B_OS,C16_Ger_Mo_O_B_OS,C16_Ger_BP_B_Aus,C16_Ger_Bplace_NS,C16_Ger_Tot_resp,C16_Gre_BP_B_OS,C16_Gre_Fa_O_B_OS,C16_Gre_Mo_O_B_OS,C16_Gre_BP_B_Aus,C16_Gre_Bplace_NS,C16_Gre_Tot_resp,C16_Hun_BP_B_OS,C16_Hun_Fa_O_B_OS,C16_Hun_Mo_O_B_OS,C16_Hun_BP_B_Aus,C16_Hun_Bplace_NS,C16_Hun_Tot_resp,C16_Ind_BP_B_OS,C16_Ind_Fa_O_B_OS,C16_Ind_Mo_O_B_OS,C16_Ind_BP_B_Aus,C16_Ind_Bplace_NS,C16_Ind_Tot_resp,C16_Iri_BP_B_OS,C16_Iri_Fa_O_B_OS,C16_Iri_Mo_O_B_OS,C16_Iri_BP_B_Aus,C16_Iri_Bplace_NS,C16_Iri_Tot_resp,C16_Ita_BP_B_OS,C16_Ita_Fa_O_B_OS,C16_Ita_Mo_O_B_OS,C16_Ita_BP_B_Aus,C16_Ita_Bplace_NS,C16_Ita_Tot_resp,C16_Kor_BP_B_OS,C16_Kor_Fa_O_B_OS,C16_Kor_Mo_O_B_OS,C16_Kor_BP_B_Aus,C16_Kor_Bplace_NS,C16_Kor_Tot_resp,C16_Leb_BP_B_OS,C16_Leb_Fa_O_B_OS,C16_Leb_Mo_O_B_OS,C16_Leb_BP_B_Aus,C16_Leb_Bplace_NS,C16_Leb_Tot_resp,C16_Mac_BP_B_OS,C16_Mac_Fa_O_B_OS,C16_Mac_Mo_O_B_OS,C16_Mac_BP_B_Aus,C16_Mac_Bplace_NS,C16_Mac_Tot_resp,C16_Mal_BP_B_OS,C16_Mal_Fa_O_B_OS,C16_Mal_Mo_O_B_OS,C16_Mal_BP_B_Aus,C16_Mal_Bplace_NS,C16_Mal_Tot_resp,C16_Mao_BP_B_OS,C16_Mao_Fa_O_B_OS,C16_Mao_Mo_O_B_OS,C16_Mao_BP_B_Aus,C16_Mao_Bplace_NS,C16_Mao_Tot_resp,C16_NZ_BP_B_OS,C16_NZ_Fa_O_B_OS,C16_NZ_Mo_O_B_OS,C16_NZ_BP_B_Aus,C16_NZ_Bplace_NS,C16_NZ_Tot_resp,C16_Pol_BP_B_OS,C16_Pol_Fa_O_B_OS,C16_Pol_Mo_O_B_OS,C16_Pol_BP_B_Aus,C16_Pol_Bplace_NS,C16_Pol_Tot_resp,C16_Rus_BP_B_OS,C16_Rus_Fa_O_B_OS,C16_Rus_Mo_O_B_OS,C16_Rus_BP_B_Aus,C16_Rus_Birthplac_ns,C16_Rus_Tot_resp,C16_Sam_BP_B_OS,C16_Sam_Fa_O_B_OS,C16_Sam_Mo_O_B_OS,C16_Sam_BP_B_Aus,C16_Sam_Birthplac_ns,C16_Sam_Tot_resp,C16_Sco_BP_B_OS,C16_Sco_Fa_O_B_OS,C16_Sco_Mo_O_B_OS,C16_Sco_BP_B_Aus,C16_Sco_Birthplac_ns,C16_Sco_Tot_resp,C16_Ser_BP_B_OS,C16_Ser_Fa_O_B_OS,C16_Ser_Mo_O_B_OS,C16_Ser_BP_B_Aus,C16_Ser_Bplace_NS,C16_Ser_Tot_resp,C16_SAf_BP_B_OS,C16_SAf_Fa_O_B_OS,C16_SAf_Mo_O_B_OS,C16_SAf_BP_B_Aus,C16_SAf_Bplace_NS,C16_SAf_Tot_resp,C16_Span_BP_B_OS,C16_Span_Fa_O_B_OS,C16_Span_Mo_O_B_OS,C16_Span_BP_B_Aus,C16_Span_Bplace_NS,C16_Span_Tot_resp,C16_SriL_BP_B_OS,C16_SriL_Fa_O_B_OS,C16_SriL_Mo_O_B_OS,C16_SriL_BP_B_Aus,C16_SriL_Bplace_NS,C16_SriL_Tot_resp,C16_Viet_BP_B_OS,C16_Viet_Fa_O_B_OS,C16_Viet_Mo_O_B_OS,C16_Viet_BP_B_Aus,C16_Viet_Bplace_NS,C16_Viet_Tot_resp,C16_Wel_BP_B_OS,C16_Wel_Fa_O_B_OS,C16_Wel_Mo_O_B_OS,C16_Wel_BP_B_Aus,C16_Wel_Bplace_NS,C16_Wel_Tot_resp,C16_Oth_BP_B_OS,C16_Oth_Fa_O_B_OS,C16_Oth_Mo_O_B_OS,C16_Oth_BP_B_Aus,C16_Oth_Bplace_NS,C16_Oth_Tot_resp,C16_Anc_ns_BP_B_OS,C16_Anc_ns_Fa_O_B_OS,C16_Anc_ns_Mo_O_B_OS,C16_Anc_ns_BP_B_Aus,C16_Anc_ns_Bplace_NS,C16_Anc_NS_Tot_resp,C16_Tot_P_BP_B_OS,C16_Tot_P_Fa_O_B_OS,C16_Tot_P_Mo_O_B_OS,C16_Tot_P_BP_B_Aus,C16_Tot_P_Bplace_NS,C16_Tot_P_Tot_resp,C21_Aus_BP_B_OS,C21_Aus_Fa_O_B_OS,C21_Aus_Mo_O_B_OS,C21_Aus_BP_B_Aus
801091102,84,689,12,931,0,0,0,9,0,9,158,7,7,7,7,188,13,0,0,9,0,24,18,4,9,11,0,43,224,108,87,600,13,1033,59,0,0,0,0,57,14,0,0,3,0,23,48,7,19,81,0,152,39,8,4,21,0,64,8,0,4,0,0,11,280,0,5,0,0,288,52,42,21,322,9,433,39,7,7,21,3,78,24,0,0,0,0,26,0,8,0,0,0,10,4,0,0,0,0,9,9,0,0,0,0,11,3,0,0,0,0,3,9,12,7,6,0,34,22,0,5,3,0,34,27,0,6,3,0,35,14,0,0,0,0,14,69,21,30,185,0,307,8,0,0,0,0,10,9,3,0,3,0,14,8,0,0,0,0,10,25,0,0,0,0,25,17,0,0,0,0,21,6,0,6,3,0,14,358,41,13,32,0,451,0,0,0,16,268,283,1383,229,181,1407,304,3499,48,124,136,696
801091103,122,713,7,996,0,0,0,4,0,0,50,3,7,3,0,66,10,0,0,0,0,15,25,7,3,9,0,41,233,126,116,697,12,1182,25,3,0,0,0,27,13,0,6,15,0,33,35,13,6,73,5,137,7,3,0,14,0,25,6,0,3,5,0,23,52,10,0,0,0,64,60,41,11,326,3,438,31,8,0,26,0,67,14,4,0,0,0,21,0,0,0,4,0,3,0,0,0,0,0,0,3,0,0,6,0,10,8,0,0,0,0,10,16,4,7,0,0,25,18,3,0,9,0,33,9,0,0,0,0,15,0,3,0,0,0,3,71,24,23,211,3,333,6,0,4,0,0,7,8,0,0,0,0,8,3,0,0,0,0,4,10,0,0,0,0,10,22,0,0,0,0,22,15,3,0,17,0,37,219,37,25,34,4,322,3,0,6,13,209,228,803,248,214,1486,238,2993,26,161,139,835
801091104,63,397,3,572,0,0,0,3,0,3,167,4,9,0,0,192,20,0,0,6,0,24,21,6,5,4,0,42,149,85,47,427,12,717,22,0,0,0,0,22,7,3,0,3,0,20,28,10,0,54,0,91,27,4,3,13,3,48,8,0,0,0,0,10,124,0,6,3,3,133,39,24,16,175,3,255,53,16,8,28,0,97,6,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,7,9,0,0,0,0,14,0,0,0,0,0,4,4,0,4,3,0,15,36,3,7,6,0,47,8,0,5,0,0,15,4,0,0,0,0,4,45,14,9,113,0,187,4,3,0,0,0,9,20,0,0,0,0,20,15,0,0,4,0,16,43,0,0,0,0,48,25,0,0,0,0,25,13,3,0,9,0,27,317,25,19,10,0,379,0,0,0,3,58,70,1099,168,122,875,80,2345,22,79,76,396
801091105,81,625,6,828,0,4,0,8,0,11,131,0,4,8,4,147,15,4,0,7,0,26,17,7,6,21,0,53,194,113,76,600,9,988,55,3,5,0,0,57,11,6,0,13,0,28,58,16,10,69,0,161,22,6,0,9,0,35,6,3,0,4,0,14,124,0,0,0,0,128,39,40,29,282,0,387,40,12,4,47,0,99,28,0,0,4,0,31,5,0,0,0,0,5,3,0,0,4,0,3,0,0,0,5,0,4,0,0,7,0,0,8,0,6,0,6,0,15,16,4,0,7,0,31,10,0,0,0,0,11,22,6,0,0,0,23,66,23,19,195,0,301,12,4,0,0,0,17,23,0,0,0,0,20,20,0,0,0,0,29,8,0,0,3,0,12,26,0,0,0,0,26,0,0,0,7,0,11,403,30,15,39,0,493,5,5,4,9,234,253,1160,216,145,1302,258,3089,52,118,90,656
801091106,116,692,5,958,0,0,0,11,0,11,138,3,17,7,0,167,20,0,0,7,0,28,14,6,0,5,0,26,190,109,90,592,11,994,65,0,5,0,0,74,12,8,4,5,0,28,41,5,3,56,0,105,13,8,0,12,0,37,8,5,4,0,0,15,243,4,0,0,0,244,45,33,25,320,4,424,42,16,3,36,0,102,14,0,0,0,0,14,3,5,3,4,0,11,10,0,0,0,0,7,10,0,3,7,0,25,3,0,0,0,0,4,8,3,3,4,0,16,19,0,0,5,0,29,13,5,4,3,0,22,4,0,0,0,0,4,54,20,21,209,0,303,19,3,3,0,0,26,12,3,0,0,0,19,15,0,0,0,0,20,23,0,3,0,0,27,21,0,0,0,0,17,5,0,0,6,0,15,417,28,33,31,7,518,11,0,3,13,128,150,1310,213,199,1367,161,3254,25,132,122,623
801091107,18,99,0,142,0,0,0,0,0,0,88,3,3,0,0,98,25,9,5,3,0,29,7,0,0,5,0,12,56,20,13,117,0,214,3,0,0,0,0,3,0,0,0,0,0,0,14,0,0,5,0,21,33,8,0,14,0,61,0,0,0,0,0,0,43,3,3,0,0,46,19,6,3,74,0,104,40,3,0,18,0,66,0,0,0,0,0,4,0,0,0,5,0,6,4,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,13,7,0,3,0,0,8,0,0,0,0,0,0,6,8,0,29,0,50,8,0,0,4,0,10,0,0,0,0,0,0,8,4,0,10,0,24,16,0,0,0,0,16,22,0,0,0,0,22,5,0,0,0,0,5,190,7,0,9,0,200,8,0,0,0,62,68,549,54,39,278,69,990,7,17,15,109
801091108,94,666,5,881,0,0,0,6,0,7,55,3,0,11,0,67,21,3,0,15,0,40,17,4,0,13,5,34,152,92,78,533,8,866,17,0,0,0,0,15,8,0,0,3,0,20,26,6,10,53,0,101,25,0,3,17,0,53,8,3,0,0,0,11,82,0,4,0,0,87,35,29,30,317,5,409,55,12,10,51,0,134,9,0,0,0,0,9,4,3,0,0,0,10,7,0,0,0,0,8,6,0,0,0,0,12,16,0,0,0,0,16,9,9,4,3,0,21,14,3,0,0,0,12,9,0,0,0,0,7,0,0,0,0,0,0,61,41,18,197,3,314,9,4,0,0,0,15,12,0,0,0,0,12,9,0,0,0,0,14,8,3,0,0,0,14,9,0,7,0,0,13,3,3,0,3,0,9,216,29,23,28,0,295,10,7,3,6,114,141,759,196,168,1322,133,2582,26,100,85,659
801091109,68,345,0,518,0,0,0,3,0,8,195,4,7,9,6,215,10,0,4,3,0,15,18,3,0,13,0,40,136,77,41,393,5,653,136,0,3,0,0,143,4,0,0,3,0,14,22,8,5,60,0,100,7,4,0,10,0,21,6,5,0,0,0,16,500,0,0,0,0,504,30,16,14,205,3,272,22,5,0,19,0,54,50,0,5,0,0,58,0,4,0,0,0,10,4,0,0,0,0,5,0,0,5,3,0,7,0,0,0,0,0,0,3,0,5,0,0,4,20,0,0,6,0,28,8,0,0,0,0,8,0,0,0,0,0,0,49,24,10,130,5,217,13,0,0,0,0,13,3,0,0,0,0,12,12,4,0,3,0,18,26,0,0,0,0,29,18,0,0,0,0,19,4,3,0,6,0,17,424,27,18,29,8,507,13,0,0,3,248,263,1604,156,100,810,268,2935,50,162,126,721
801091110,97,567,4,785,0,0,0,7,0,7,96,3,10,0,0,109,9,6,0,8,0,23,8,3,0,3,0,21,122,73,53,457,7,713,19,0,3,0,0,28,3,3,0,11,0,22,17,14,0,59,0,97,26,9,0,7,0,46,4,0,0,5,0,11,63,4,3,4,0,71,33,35,13,297,0,381,49,4,6,35,0,97,6,0,0,0,0,6,0,0,0,4,0,4,16,0,0,0,0,16,7,0,0,5,0,13,0,0,0,0,0,0,3,3,0,0,0,11,11,0,0,3,0,18,9,0,0,0,0,16,0,0,0,0,0,0,40,13,12,136,0,200,6,0,0,0,0,6,4,3,4,0,0,8,8,11,0,0,0,25,13,0,5,0,0,13,3,0,0,0,0,3,5,6,0,7,0,12,185,19,19,25,6,252,10,0,0,9,65,76,692,161,147,1129,85,2206,27,96,101,588
801101134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,5,6,10,0,0,0,5
801101135,51,327,4,468,0,0,0,6,0,6,122,0,0,7,0,131,9,0,0,3,0,14,4,7,5,3,0,18,70,51,45,249,4,421,56,0,4,0,0,62,5,0,4,6,4,18,13,4,5,25,0,49,6,0,0,7,0,10,3,0,0,0,0,6,183,0,0,3,0,191,12,20,10,109,0,147,20,4,4,22,0,52,21,0,0,0,0,25,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,4,5,3,0,0,8,5,4,0,0,0,17,3,0,4,0,0,10,0,0,0,0,0,0,11,16,20,67,0,119,13,0,0,4,0,18,3,0,0,0,0,5,6,0,0,3,0,14,20,0,0,0,0,26,23,0,0,0,0,27,7,3,0,13,0,20,282,13,14,24,0,328,13,0,0,12,119,148,853,109,102,605,137,1810,90,129,126,693
801101136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,93,67,394
801101137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801101139,88,601,8,831,0,0,0,0,0,0,182,0,3,3,0,195,14,3,0,11,0,29,15,5,6,22,0,43,138,89,77,475,9,780,38,0,4,0,0,43,10,0,0,0,0,13,14,11,6,72,6,110,10,7,6,11,0,31,6,3,0,0,0,10,215,4,0,0,0,224,28,15,13,210,3,268,14,14,14,43,5,75,23,3,4,0,0,28,8,9,3,0,0,24,5,0,0,0,0,7,0,0,0,6,0,11,0,7,0,0,0,4,17,9,5,0,0,34,16,4,3,11,0,34,7,0,0,4,0,13,0,0,0,0,0,8,41,28,20,135,0,222,5,3,0,0,0,14,5,3,0,0,0,7,10,0,0,0,0,9,41,3,0,0,0,46,24,0,5,3,0,31,4,0,0,5,0,9,296,32,29,33,0,382,4,5,0,7,187,208,1050,214,163,1117,212,2755,47,155,107,721
801101145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801101146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0
801111140,24,206,0,254,0,0,0,0,0,0,6,0,6,0,0,8,0,0,0,0,0,0,3,0,0,0,0,5,29,18,24,141,3,208,0,0,0,0,0,0,0,0,0,0,0,5,10,0,6,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,7,3,3,52,0,69,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,15,42,0,71,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,9,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,3,0,3,25,0,6,4,0,39,0,0,0,3,49,60,83,27,52,353,56,561,3,21,22,221
801111141,0,20,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,32,3,41,0,3,0,24
897979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899999499,16,104,3,153,0,0,0,7,0,7,22,0,0,0,0,28,0,0,0,0,0,0,6,0,0,0,0,11,19,25,7,99,10,160,3,0,0,0,0,8,0,0,0,0,0,0,5,3,3,12,0,23,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,9,8,4,7,37,0,55,3,0,0,6,0,10,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,6,0,0,0,0,0,6,0,0,0,0,7,8,0,0,0,0,3,0,0,0,0,0,0,0,7,6,25,0,41,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,5,39,0,7,5,3,52,7,0,0,0,100,103,146,39,29,218,111,541,0,24,7,143
