SA2_CODE_2021,C21_P_35_39_Tot_LF,C21_P_35_39_Not_LF,C21_P_35_39_LF_NS,C21_P_35_39_Tot,C21_P_40_44_Em_FT,C21_P_40_44_Em_PT,C21_P_40_44_Em_AFW,C21_P_40_44_Em_Hrs_NS,C21_P_40_44_Em_Tot,C21_P_40_44_Unem_Look_FT,C21_P_40_44_Unem_Look_PT,C21_P_40_44_Unem_Tot,C21_P_40_44_Tot_LF,C21_P_40_44_Not_LF,C21_P_40_44_LF_NS,C21_P_40_44_Tot,C21_P_45_49_Em_FT,C21_P_45_49_Em_PT,C21_P_45_49_Em_AFW,C21_P_45_49_Em_Hrs_NS,C21_P_45_49_Em_Tot,C21_P_45_49_Unem_Look_FT,C21_P_45_49_Unem_Look_PT,C21_P_45_49_Unem_Tot,C21_P_45_49_Tot_LF,C21_P_45_49_Not_LF,C21_P_45_49_LF_NS,C21_P_45_49_Tot,C21_P_50_54_Em_FT,C21_P_50_54_Em_PT,C21_P_50_54_Em_AFW,C21_P_50_54_Em_Hrs_NS,C21_P_50_54_Em_Tot,C21_P_50_54_Unem_Look_FT,C21_P_50_54_Unem_Look_PT,C21_P_50_54_Unem_Tot,C21_P_50_54_Tot_LF,C21_P_50_54_Not_LF,C21_P_50_54_LF_NS,C21_P_50_54_Tot,C21_P_55_59_Em_FT,C21_P_55_59_Em_PT,C21_P_55_59_Em_AFW,C21_P_55_59_Em_Hrs_NS,C21_P_55_59_Em_Tot,C21_P_55_59_Unem_Look_FT,C21_P_55_59_Unem_Look_PT,C21_P_55_59_Unem_Tot,C21_P_55_59_Tot_LF,C21_P_55_59_Not_LF,C21_P_55_59_LF_NS,C21_P_55_59_Tot,C21_P_60_64_Em_FT,C21_P_60_64_Em_PT,C21_P_60_64_Em_AFW,C21_P_60_64_Em_Hrs_NS,C21_P_60_64_Em_Tot,C21_P_60_64_Unem_Look_FT,C21_P_60_64_Unem_Look_PT,C21_P_60_64_Unem_Tot,C21_P_60_64_Tot_LF,C21_P_60_64_Not_LF,C21_P_60_64_LF_NS,C21_P_60_64_Tot,C21_P_65_69_Em_FT,C21_P_65_69_Em_PT,C21_P_65_69_Em_AFW,C21_P_65_69_Em_Hrs_NS,C21_P_65_69_Em_Tot,C21_P_65_69_Unem_Look_FT,C21_P_65_69_Unem_Look_PT,C21_P_65_69_Unem_Tot,C21_P_65_69_Tot_LF,C21_P_65_69_Not_LF,C21_P_65_69_LF_NS,C21_P_65_69_Tot,C21_P_70_74_Em_FT,C21_P_70_74_Em_PT,C21_P_70_74_Em_AFW,C21_P_70_74_Em_Hrs_NS,C21_P_70_74_Em_Tot,C21_P_70_74_Unem_Look_FT,C21_P_70_74_Unem_Look_PT,C21_P_70_74_Unem_Tot,C21_P_70_74_Tot_LF,C21_P_70_74_Not_LF,C21_P_70_74_LF_NS,C21_P_70_74_Tot,C21_P_75over_Emp_Wor_ft,C21_P_75over_Em_Work_pt,C21_P_75over_Em_Aw_fr_w,C21_P_75over_Emp_Hou_w_ns,C21_P_75over_Em_Tot,C21_P_75over_Unem_Lo_ft_w,C21_P_75over_Unem_Lo_pt_w,C21_P_75over_Unemp_Tot,C21_P_75over_Tot_lab_for,C21_P_75over_N_lab_forc,C21_P_75over_LF_NS,C21_P_75over_Tot,C21_P_Tot_Em_FT,C21_P_Tot_Em_PT,C21_P_Tot_Em_AFW,C21_P_Tot_Em_Hrs_NS,C21_P_Tot_Em_Tot,C21_P_Tot_Unem_Look_FT,C21_P_Tot_Unem_Look_PT,C21_P_Tot_Unem_Tot,C21_P_Tot_Tot_labo_for,C21_P_Tot_Not_LF,C21_P_Tot_LF_NS,C21_P_Tot_Tot
801041036,744,60,27,832,460,107,20,5,585,3,4,9,593,28,14,636,325,69,15,0,409,3,0,3,414,31,11,449,200,34,0,0,236,0,0,0,235,27,0,261,132,32,8,3,168,3,4,11,178,43,3,225,80,23,3,4,112,3,6,9,116,64,13,195,17,27,0,0,44,0,0,0,44,85,9,141,0,8,0,0,9,0,0,0,11,72,5,86,0,0,0,0,3,0,0,0,3,67,0,67,2643,918,168,44,3772,59,71,135,3904,757,143,4797
801041037,554,35,13,595,342,71,8,5,428,3,3,6,432,20,3,461,239,53,5,4,297,4,3,7,308,16,0,324,161,31,3,0,200,0,0,0,198,23,3,224,101,28,7,3,132,0,4,9,136,36,4,176,44,19,3,0,64,0,0,0,68,40,3,108,10,5,0,0,18,0,0,0,18,97,0,116,3,6,0,0,9,0,0,0,9,86,6,101,4,0,0,0,6,0,0,0,6,171,8,179,1913,644,113,29,2707,45,37,78,2785,739,87,3607
801041038,391,26,8,432,338,85,10,8,437,4,3,5,442,20,12,471,327,65,7,0,393,0,0,10,401,17,13,437,236,42,7,5,292,0,0,0,295,17,9,325,118,28,3,0,154,0,0,0,153,23,5,175,50,22,0,0,77,0,0,0,77,57,3,136,12,14,5,0,33,0,0,0,31,64,7,106,0,7,0,0,7,0,0,0,9,66,4,77,0,0,0,0,3,0,0,0,3,64,0,69,1777,647,73,21,2524,27,43,70,2592,548,111,3252
801041039,733,78,30,848,421,123,10,9,561,10,3,14,578,41,19,640,351,79,12,0,447,5,4,12,459,52,22,533,213,54,10,0,279,3,0,6,285,42,6,327,152,28,6,4,187,3,5,9,197,47,6,246,61,27,6,0,87,0,0,0,94,73,3,166,9,7,0,0,26,0,0,0,25,102,10,133,0,4,0,0,8,0,0,0,9,72,3,88,4,0,0,0,4,0,0,0,4,65,3,72,3085,1291,127,55,4554,104,86,187,4740,984,243,5971
801041040,661,85,33,775,374,118,13,14,523,8,15,20,541,74,22,635,347,84,13,5,452,8,0,6,454,55,20,533,282,63,16,0,365,13,4,12,382,56,22,457,194,53,11,3,257,11,0,11,270,68,5,340,87,52,10,0,152,9,5,13,162,114,8,282,21,25,15,0,60,0,0,0,61,144,10,218,9,7,0,0,9,0,0,0,14,127,0,143,6,0,0,0,4,0,0,0,4,166,15,180,3424,1565,158,68,5226,119,132,253,5481,1454,277,7213
801041043,10,0,0,11,8,3,0,0,15,0,0,0,15,4,0,18,17,12,0,0,28,0,0,0,28,0,0,25,13,6,0,0,21,0,0,0,21,4,0,25,11,8,0,5,21,0,0,0,22,8,0,22,5,5,0,0,10,0,0,0,10,6,0,18,0,0,0,0,8,0,0,0,8,18,0,25,0,0,0,0,4,0,0,0,7,18,6,25,0,0,0,0,4,0,0,0,4,24,0,25,82,60,3,5,147,0,9,9,156,92,5,251
801041044,780,67,25,873,500,126,24,15,661,10,4,15,672,52,24,751,444,96,12,6,561,10,7,18,575,39,19,630,292,78,15,4,389,0,0,5,395,37,10,441,167,37,9,7,214,7,4,12,220,53,3,278,72,24,3,3,110,0,0,3,111,85,4,204,15,10,0,0,27,0,0,6,31,95,0,131,3,5,0,0,11,0,0,0,11,90,0,99,0,7,0,0,3,0,0,0,3,90,4,103,3336,1285,170,84,4878,99,97,197,5074,1057,216,6354
801041045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,6
801041046,897,98,37,1031,517,169,25,8,724,12,3,15,734,73,29,839,452,112,17,5,589,11,3,11,601,68,25,694,408,114,29,8,557,8,3,9,567,69,16,653,271,97,16,0,387,6,3,9,394,128,8,530,125,77,17,3,225,6,4,9,239,167,6,412,63,51,3,0,115,5,0,4,121,214,8,341,11,20,0,0,33,0,0,4,36,296,12,341,4,7,5,0,13,0,0,0,13,470,20,506,3967,1705,278,63,6017,119,115,236,6249,2061,277,8585
801041047,308,25,5,341,249,83,7,4,347,6,3,5,354,23,3,385,342,93,14,3,458,0,0,3,466,37,10,506,444,94,24,0,566,5,8,9,574,62,6,643,313,92,16,0,420,0,6,5,428,122,11,562,167,81,17,0,264,3,3,12,273,183,6,455,60,52,9,0,116,3,3,3,123,255,9,383,20,36,4,0,57,0,0,0,57,264,9,328,5,11,0,0,10,0,0,0,10,375,5,394,2429,1094,174,25,3731,49,74,127,3854,1589,93,5535
