SA2_CODE_2021,Med_age_persns_C2011,Med_age_persns_C2016,Med_age_persns_C2021,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_mortg_rep_mon_C2021,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_person_inc_we_C2021,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_rent_weekly_C2021,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Med_Famly_inc_we_C2021,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Avg_num_p_per_brm_C2021,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Med_tot_hh_inc_wee_C2021,Average_hh_size_C2011,Average_hh_size_C2016,Average_hh_size_C2021
801051124,40,42,38,2600,2534,2400,1061,1223,1592,369,365,550,2970,3444,3969,0.8,0.8,0.8,2470,2369,3048,2.4,2.4,2.3
801051125,20,21,21,0,0,0,751,867,962,220,250,270,2355,2460,3250,0.8,0.8,0.8,2250,2516,3100,3,3.1,2.8
801051126,60,46,32,0,0,0,924,1199,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051127,38,39,40,2166,2206,2300,873,1014,1335,174,330,430,2454,2759,3301,0.9,0.9,0.9,1382,1503,2272,2,1.9,2
801051128,0,48,0,0,0,0,0,1625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061062,43,45,45,2600,3000,3180,1152,1363,1577,465,500,560,2993,3588,4211,0.8,0.8,0.7,2521,2582,3117,2.4,2.4,2.4
801061063,42,44,47,3017,2620,2520,1454,1576,1816,555,510,570,3490,3767,4532,0.8,0.8,0.8,2950,3145,3363,2.5,2.3,2.2
801061064,39,40,38,2500,2200,2118,1174,1362,1572,400,380,462,2886,3083,3649,0.8,0.8,0.9,2176,2155,2542,2.2,2.1,2.1
801061066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061067,39,41,40,2253,2167,2392,972,1085,1250,391,385,440,2472,2679,3223,0.8,0.8,0.8,1810,2045,2353,2.3,2.4,2.4
801061068,30,53,82,0,0,0,0,79500,824,0,0,178,0,0,0,0,0,1,0,0,1375,1,0,2
801061069,42,41,42,2871,3000,3500,953,1195,1469,369,380,500,2981,3684,4667,0.8,0.8,0.8,2537,2842,3938,2.6,2.7,2.8
801061070,46,49,50,2600,2700,3425,1130,1347,1591,405,465,547,2921,3451,4506,0.8,0.7,0.7,2556,2579,3327,2.5,2.4,2.4
801061129,37,38,39,2570,2037,2015,1479,1576,1775,520,480,525,3076,3157,3524,1,1,1,2679,2356,2462,1.9,1.8,1.7
801061130,34,42,37,0,0,3033,566,489,599,254,350,323,1374,2999,2249,1,1.2,1,1375,2249,1374,2.9,3,1.8
801061131,32,33,35,2437,2167,1950,1379,1545,1777,450,450,510,2836,3027,3557,0.9,0.9,0.9,2503,2328,2469,1.9,1.8,1.8
801071071,30,33,35,2167,2000,2000,948,1012,1168,370,380,424,2141,2335,2741,0.8,0.8,0.8,1975,2148,2419,2.9,2.8,2.8
801071072,33,37,38,2058,1989,1950,943,969,1135,395,400,445,2243,2311,2562,0.8,0.8,0.8,1975,1967,2223,2.7,2.6,2.6
801071073,33,36,37,2022,2000,2000,940,999,1192,376,390,448,2321,2450,2842,0.8,0.8,0.8,2080,2225,2460,2.8,2.8,2.7
801071074,33,36,37,2000,2000,2000,851,919,1088,360,360,410,2190,2291,2570,0.8,0.8,0.8,1959,2028,2292,2.9,2.7,2.7
801071075,32,35,37,2100,2087,2148,903,946,1179,360,360,390,2298,2479,2907,0.8,0.8,0.8,2133,2226,2574,3,2.9,2.8
