SA2_CODE_2021,C11_M_Post_Deg_15_19_yrs,C11_M_Post_Deg_20_24_yrs,C11_M_Post_Deg_25_34_yrs,C11_M_Post_Deg_35_44_yrs,C11_M_Post_Deg_45_54_yrs,C11_M_Post_Deg_55_64_yrs,C11_M_Post_Deg_65_74_yrs,C11_M_Post_Deg_75_84_yrs,C11_M_Post_Deg_85over,C11_M_Post_Deg_Tot,C11_M_GrDip_GrCe_15_19,C11_M_GrDip_GrCe_20_24,C11_M_GrDip_GrCe_25_34,C11_M_GrDip_GrCe_35_44,C11_M_GrDip_GrCe_45_54,C11_M_GrDip_GrCe_55_64,C11_M_GrDip_GrCe_65_74,C11_M_GrDip_GrCe_75_84,C11_M_GrDip_GrCe_85over,C11_M_GrDip_GrCe_Tot,C11_M_BD_15_19,C11_M_BD_20_24,C11_M_BD_25_34,C11_M_BD_35_44,C11_M_BD_45_54,C11_M_BD_55_64,C11_M_BD_65_74,C11_M_BD_75_84,C11_M_BD_85over,C11_M_BD_Tot,C11_M_AdD_DL_15_19,C11_M_AdD_DL_20_24,C11_M_AdD_DL_25_34,C11_M_AdD_DL_35_44,C11_M_AdD_DL_45_54,C11_M_AdD_DL_55_64,C11_M_AdD_DL_65_74,C11_M_AdD_DL_75_84,C11_M_AdD_DL_85over,C11_M_AdD_DL_Tot,C11_M_CL_C_III_IV_15_19,C11_M_CL_C_III_IV_20_24,C11_M_CL_C_III_IV_25_34,C11_M_CL_C_III_IV_35_44,C11_M_CL_C_III_IV_45_54,C11_M_CL_C_III_IV_55_64,C11_M_CL_C_III_IV_65_74,C11_M_CL_C_III_IV_75_84,C11_M_CL_C_III_IV_85over,C11_M_CL_C_III_IV_Tot,C11_M_CL_C_I_II_15_19,C11_M_CL_C_I_II_20_24,C11_M_CL_C_I_II_25_34,C11_M_CL_C_I_II_35_44,C11_M_CL_C_I_II_45_54,C11_M_CL_C_I_II_55_64,C11_M_CL_C_I_II_65_74,C11_M_CL_C_I_II_75_84,C11_M_CL_C_I_II_85over,C11_M_CL_C_I_II_Tot,C11_M_CL_CL_nfd_15_19,C11_M_CL_CL_nfd_20_24,C11_M_CL_CL_nfd_25_34,C11_M_CL_CL_nfd_35_44,C11_M_CL_CL_nfd_45_54,C11_M_CL_CL_nfd_55_64,C11_M_CL_CL_nfd_65_74,C11_M_CL_CL_nfd_75_84,C11_M_CL_CL_nfd_85over,C11_M_CL_CL_nfd_Tot,C11_M_CL_Tot_15_19,C11_M_CL_Tot_20_24,C11_M_CL_Tot_25_34,C11_M_CL_Tot_35_44,C11_M_CL_Tot_45_54,C11_M_CL_Tot_55_64,C11_M_CL_Tot_65_74,C11_M_CL_Tot_75_84,C11_M_CL_Tot_85over,C11_M_CL_Tot_Tot,C11_M_LE_ID_15_19,C11_M_LE_ID_20_24,C11_M_LE_ID_25_34,C11_M_LE_ID_35_44,C11_M_LE_ID_45_54,C11_M_LE_ID_55_64,C11_M_LE_ID_65_74,C11_M_LE_ID_75_84,C11_M_LE_ID_85over,C11_M_LE_ID_Tot,C11_M_LE_NS_15_19,C11_M_LE_NS_20_24,C11_M_LE_NS_25_34,C11_M_LE_NS_35_44,C11_M_LE_NS_45_54,C11_M_LE_NS_55_64,C11_M_LE_NS_65_74,C11_M_LE_NS_75_84,C11_M_LE_NS_85over,C11_M_LE_NS_Tot,C11_M_Tot_15_19_yrs,C11_M_Tot_20_24_yrs,C11_M_Tot_25_34_yrs,C11_M_Tot_35_44_yrs,C11_M_Tot_45_54_yrs,C11_M_Tot_55_64_yrs,C11_M_Tot_65_74_yrs,C11_M_Tot_75_84_yrs,C11_M_Tot_85over,C11_M_Tot_Tot,C16_M_Post_Deg_15_19_yrs,C16_M_Post_Deg_20_24_yrs,C16_M_Post_Deg_25_34_yrs,C16_M_Post_Deg_35_44_yrs,C16_M_Post_Deg_45_54_yrs,C16_M_Post_Deg_55_64_yrs,C16_M_Post_Deg_65_74_yrs,C16_M_Post_Deg_75_84_yrs,C16_M_Post_Deg_85over,C16_M_Post_Deg_Tot,C16_M_GrDip_GrCe_15_19,C16_M_GrDip_GrCe_20_24,C16_M_GrDip_GrCe_25_34,C16_M_GrDip_GrCe_35_44,C16_M_GrDip_GrCe_45_54,C16_M_GrDip_GrCe_55_64,C16_M_GrDip_GrCe_65_74,C16_M_GrDip_GrCe_75_84,C16_M_GrDip_GrCe_85over,C16_M_GrDip_GrCe_Tot,C16_M_BD_15_19,C16_M_BD_20_24,C16_M_BD_25_34,C16_M_BD_35_44,C16_M_BD_45_54,C16_M_BD_55_64,C16_M_BD_65_74,C16_M_BD_75_84,C16_M_BD_85over,C16_M_BD_Tot,C16_M_AdD_DL_15_19,C16_M_AdD_DL_20_24,C16_M_AdD_DL_25_34,C16_M_AdD_DL_35_44,C16_M_AdD_DL_45_54,C16_M_AdD_DL_55_64,C16_M_AdD_DL_65_74,C16_M_AdD_DL_75_84,C16_M_AdD_DL_85over,C16_M_AdD_DL_Tot,C16_M_CL_C_III_IV_15_19,C16_M_CL_C_III_IV_20_24,C16_M_CL_C_III_IV_25_34,C16_M_CL_C_III_IV_35_44,C16_M_CL_C_III_IV_45_54,C16_M_CL_C_III_IV_55_64,C16_M_CL_C_III_IV_65_74,C16_M_CL_C_III_IV_75_84,C16_M_CL_C_III_IV_85over,C16_M_CL_C_III_IV_Tot,C16_M_CL_C_I_II_15_19,C16_M_CL_C_I_II_20_24,C16_M_CL_C_I_II_25_34,C16_M_CL_C_I_II_35_44,C16_M_CL_C_I_II_45_54,C16_M_CL_C_I_II_55_64,C16_M_CL_C_I_II_65_74,C16_M_CL_C_I_II_75_84,C16_M_CL_C_I_II_85over,C16_M_CL_C_I_II_Tot,C16_M_CL_CL_nfd_15_19,C16_M_CL_CL_nfd_20_24,C16_M_CL_CL_nfd_25_34,C16_M_CL_CL_nfd_35_44,C16_M_CL_CL_nfd_45_54,C16_M_CL_CL_nfd_55_64,C16_M_CL_CL_nfd_65_74,C16_M_CL_CL_nfd_75_84,C16_M_CL_CL_nfd_85over,C16_M_CL_CL_nfd_Tot,C16_M_CL_Tot_15_19,C16_M_CL_Tot_20_24,C16_M_CL_Tot_25_34,C16_M_CL_Tot_35_44,C16_M_CL_Tot_45_54,C16_M_CL_Tot_55_64,C16_M_CL_Tot_65_74,C16_M_CL_Tot_75_84,C16_M_CL_Tot_85over,C16_M_CL_Tot_Tot,C16_M_LE_ID_15_19,C16_M_LE_ID_20_24,C16_M_LE_ID_25_34,C16_M_LE_ID_35_44,C16_M_LE_ID_45_54,C16_M_LE_ID_55_64,C16_M_LE_ID_65_74,C16_M_LE_ID_75_84,C16_M_LE_ID_85over,C16_M_LE_ID_Tot
801041122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051049,0,10,91,23,9,3,0,0,0,133,0,0,7,0,0,0,0,0,0,13,0,89,87,11,5,0,0,0,0,195,4,22,6,0,0,0,0,0,0,30,5,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,9,17,38,20,0,0,0,0,0,0,83,33,176,222,33,11,8,0,0,0,479,0,8,83,24,3,0,0,0,0,119,0,0,9,0,0,0,0,0,0,8,0,86,103,11,0,0,5,0,0,199,0,11,3,0,0,0,0,0,0,17,3,4,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,6,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
801051050,0,0,58,74,81,59,18,12,5,301,0,3,19,24,23,22,10,0,0,97,0,46,101,120,117,58,19,20,6,485,0,0,17,27,26,22,10,9,7,106,4,12,35,32,39,32,15,22,12,204,0,5,4,0,0,0,0,0,0,12,0,0,0,5,3,0,0,0,0,13,4,26,39,34,43,36,13,30,15,230,0,0,5,4,0,0,0,6,7,17,5,12,21,17,23,16,17,16,21,162,13,83,250,300,308,212,89,88,54,1399,0,0,45,80,76,61,34,16,7,328,0,0,15,21,25,20,11,6,0,94,0,29,97,89,102,86,43,26,7,471,0,4,18,28,26,20,16,10,6,125,5,10,27,17,33,28,27,12,13,179,3,0,0,0,0,0,0,0,0,8,0,0,0,3,0,7,3,0,4,12,8,15,29,23,33,36,32,18,15,205,0,0,0,0,0,0,0,0,0,17
801051051,0,8,167,72,41,25,8,4,0,338,0,0,29,14,11,9,0,0,0,75,0,108,374,81,37,34,19,4,3,658,0,22,49,27,20,8,5,3,0,134,3,22,40,15,13,10,3,9,0,116,0,6,3,0,0,0,0,0,0,13,0,0,4,0,3,0,0,0,0,15,9,30,48,19,17,10,3,5,0,145,0,3,3,3,0,3,0,0,0,15,10,55,131,56,31,22,22,0,4,332,17,228,818,272,163,112,52,17,5,1696,0,11,200,92,54,41,12,4,0,418,0,10,51,20,22,15,0,0,0,112,0,120,449,87,62,39,25,7,4,793,0,14,73,26,27,11,6,4,0,163,3,27,66,19,19,15,9,0,3,156,0,3,3,3,0,0,4,0,0,18,0,4,6,0,4,4,0,0,0,19,3,36,72,29,24,16,9,7,3,197,0,0,4,0,0,0,0,4,0,21
801051053,0,4,65,34,29,24,0,0,0,167,0,5,16,5,8,0,0,0,0,35,3,94,157,44,13,19,3,0,0,333,0,23,27,19,0,9,0,3,0,81,0,7,15,9,8,5,5,3,0,52,6,4,3,0,0,0,0,0,0,12,0,0,0,4,0,3,3,0,0,10,3,16,22,7,8,6,0,3,0,68,5,13,0,0,0,0,0,0,0,20,23,61,64,23,17,11,0,0,7,199,30,211,343,131,82,73,11,14,10,906,0,12,126,64,33,34,11,0,0,281,0,3,33,9,10,9,4,0,0,57,4,130,235,50,29,24,17,3,0,485,0,24,27,19,13,10,9,0,0,97,4,12,15,10,3,0,4,0,0,60,0,3,0,0,0,0,0,0,0,9,3,0,6,3,0,4,0,0,0,12,11,21,21,13,3,5,8,0,0,83,0,11,5,0,0,0,4,0,0,23
801051054,0,5,33,31,15,12,6,4,0,116,0,0,6,8,10,4,3,0,0,26,0,40,107,33,38,21,8,3,3,249,0,6,13,16,4,8,3,0,3,48,0,22,22,10,12,8,9,12,5,99,4,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,6,7,20,28,10,15,14,9,12,5,117,0,0,0,5,0,0,6,0,0,7,5,6,23,6,15,6,0,3,0,66,8,78,205,113,101,62,34,27,9,634,0,4,42,42,25,20,12,3,5,147,0,0,17,4,0,5,3,0,0,32,0,42,87,42,36,11,8,4,3,240,0,7,16,8,6,5,0,4,4,49,0,10,19,14,6,10,5,10,6,81,0,4,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,8,0,13,17,22,7,14,5,10,6,94,0,0,0,0,0,0,3,0,0,5
801051055,0,6,37,55,37,24,9,3,0,174,0,0,9,12,20,4,4,0,0,48,0,33,111,63,49,28,11,7,0,307,0,3,23,24,13,15,5,0,0,90,5,14,33,35,23,19,16,13,9,161,0,0,8,4,0,0,0,0,0,16,0,0,0,0,3,5,0,0,0,13,3,18,35,40,32,20,20,13,9,191,0,0,7,8,3,0,0,0,0,22,8,7,27,20,13,10,4,10,6,97,12,64,248,219,170,110,56,42,19,926,0,0,56,52,43,24,19,4,0,202,0,0,14,12,10,7,8,0,0,49,0,42,104,88,61,26,24,8,5,354,0,3,26,20,30,14,3,0,0,99,9,18,40,23,27,16,13,19,9,175,4,0,0,3,5,0,0,0,0,16,0,4,0,6,4,0,4,0,0,20,12,25,41,29,33,17,17,21,9,210,0,0,5,0,0,0,0,0,0,13
801051056,0,0,34,52,37,26,18,11,3,187,0,0,8,20,3,17,5,0,0,47,0,13,67,75,58,43,24,22,4,304,0,9,7,15,15,12,5,3,3,64,0,11,19,20,19,12,21,15,3,120,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,5,3,3,0,20,6,12,18,22,20,15,22,16,7,143,0,0,3,0,4,3,0,0,0,13,3,0,3,9,5,0,3,6,0,33,4,36,143,186,151,116,86,63,14,794,0,0,36,62,46,25,19,12,9,213,0,0,6,18,14,14,13,0,0,62,0,10,60,64,73,40,26,10,5,289,0,6,9,15,13,7,3,4,0,58,0,8,18,21,27,16,9,12,0,120,0,6,0,5,0,0,0,0,0,10,0,0,0,7,6,0,4,0,6,19,7,9,20,32,29,17,11,15,9,149,0,0,0,3,4,0,0,0,0,5
801051057,0,3,80,73,53,42,19,6,4,280,0,6,6,14,11,15,4,0,0,56,0,50,187,79,57,56,12,14,9,460,0,10,27,11,24,18,8,7,0,99,0,13,46,31,30,29,14,15,14,182,0,6,8,5,0,0,0,0,0,17,0,0,3,0,5,5,0,0,0,12,0,14,50,33,38,34,10,11,14,210,0,0,4,0,0,3,3,3,0,23,13,41,42,30,36,33,19,27,11,259,13,115,405,241,226,204,86,68,35,1384,0,0,91,90,70,37,30,15,0,344,0,4,35,17,19,12,9,3,0,96,0,79,240,93,64,51,33,8,8,577,0,9,43,20,24,14,11,7,6,133,0,11,50,27,26,39,27,15,10,199,0,0,3,0,0,5,0,0,0,13,0,0,4,0,4,3,5,0,4,25,0,13,55,33,30,40,29,22,9,236,0,0,4,0,4,4,3,0,0,12
801051058,0,3,70,113,96,78,36,16,0,414,0,0,22,27,26,19,5,0,0,99,0,64,178,112,107,76,24,10,0,576,0,7,23,42,20,24,3,4,0,119,0,8,33,27,32,22,13,17,9,171,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,13,0,12,42,29,36,24,13,17,4,192,0,6,0,11,5,0,0,0,0,19,6,13,32,15,14,7,9,12,4,111,7,111,370,343,306,223,86,54,22,1528,0,0,83,87,104,88,51,10,0,428,0,0,28,20,24,31,9,0,0,112,0,75,204,100,109,90,39,12,3,630,0,15,20,28,32,18,9,0,8,123,0,19,26,26,22,28,13,10,9,155,3,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,4,0,0,3,3,21,34,32,22,28,21,10,9,175,0,0,4,0,0,0,0,0,0,19
801051060,0,3,118,61,41,41,33,14,0,297,0,3,39,17,16,12,0,0,0,90,0,77,239,58,54,29,17,10,4,493,0,12,41,20,16,19,5,0,0,116,3,14,35,20,16,14,7,0,0,113,0,6,0,4,0,0,0,0,0,9,0,4,0,5,0,0,4,0,0,13,7,29,40,29,20,9,8,0,0,132,0,0,5,0,3,5,0,0,0,13,0,27,57,35,20,14,13,4,6,177,10,157,532,213,168,122,75,32,8,1323,0,4,162,84,37,41,30,15,3,389,0,0,37,15,4,11,3,3,0,85,0,84,250,80,35,32,18,6,6,520,0,12,25,15,18,20,10,0,0,107,0,6,27,10,12,15,7,0,0,85,0,5,0,0,0,0,0,0,0,7,0,0,0,4,3,3,0,0,0,11,0,14,28,17,16,12,10,0,0,103,0,6,6,6,0,0,0,0,0,14
801051061,0,3,87,94,64,31,15,11,0,308,0,0,17,31,16,17,0,0,0,85,0,53,202,116,63,49,16,5,0,508,0,15,43,42,39,19,6,12,0,166,0,20,60,42,34,28,22,14,6,227,3,5,5,4,0,0,0,0,0,17,0,0,5,0,4,0,0,0,0,14,7,31,67,49,35,31,22,15,6,259,0,0,11,9,6,0,5,3,0,30,12,17,38,33,14,8,5,12,0,151,15,119,463,370,241,152,68,62,14,1509,0,5,85,123,85,53,25,5,0,375,0,0,32,19,33,12,4,0,0,100,0,46,202,153,72,63,24,12,4,576,0,9,56,41,42,18,8,9,0,186,4,32,66,51,32,28,17,16,4,254,0,5,3,0,0,0,0,0,0,15,0,0,0,4,0,6,4,0,0,23,8,33,76,62,38,36,20,14,4,291,0,0,5,3,0,0,5,0,0,15
801051123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051124,0,6,50,50,69,55,36,14,5,273,0,0,13,15,17,23,7,3,0,71,0,54,92,61,59,61,28,14,9,385,0,4,20,15,17,20,4,12,0,89,0,6,21,25,21,9,6,6,3,103,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,10,26,24,28,9,4,6,3,112,0,0,0,0,3,4,3,4,0,24,3,10,10,27,14,12,13,4,8,104,10,86,208,197,207,185,93,59,26,1063,0,0,66,59,74,57,48,15,5,328,0,5,3,9,14,10,8,3,0,54,0,28,79,51,53,58,47,20,12,356,0,0,14,22,19,14,6,7,5,79,0,4,18,15,18,15,0,7,0,84,0,0,0,0,5,0,0,0,0,4,0,0,3,3,3,4,0,0,0,13,0,8,18,20,23,17,7,7,0,103,0,0,0,0,0,0,6,0,4,11
801051125,0,0,0,10,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,93,62,8,0,0,0,0,0,161,0,19,14,6,3,0,0,0,0,45,22,37,15,9,0,0,0,0,0,86,16,14,0,0,0,0,0,0,0,32,0,3,4,0,0,0,0,0,0,4,39,50,23,10,0,0,0,0,0,123,0,0,4,0,0,0,0,0,0,6,13,37,8,0,0,0,0,0,0,58,54,203,104,33,12,3,0,0,0,412,0,5,16,8,4,0,0,0,0,32,0,0,4,0,4,0,0,0,0,4,0,103,58,17,4,0,0,0,0,180,6,15,19,9,4,3,0,0,0,58,16,54,32,8,7,0,0,0,0,115,12,15,0,0,0,0,0,0,0,24,0,8,0,0,0,0,0,0,0,4,29,71,35,8,5,0,0,0,0,147,0,4,3,0,0,0,0,0,0,9
801051126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051127,0,0,24,18,23,22,21,3,0,108,0,0,3,0,8,8,0,0,0,24,0,21,50,20,40,16,13,3,0,173,0,0,4,7,12,7,4,0,0,37,0,8,17,10,18,12,0,3,0,73,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,9,3,11,21,10,18,12,0,3,0,84,0,0,0,0,4,3,3,0,0,11,0,14,23,17,16,5,8,5,0,80,4,44,123,72,115,82,46,21,7,522,0,0,30,22,21,23,24,6,3,134,0,0,11,10,4,11,4,0,0,38,0,22,57,24,29,31,13,4,3,180,0,7,7,9,10,5,7,5,0,51,0,5,15,7,13,8,3,0,0,53,0,0,4,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,7,0,5,11,11,13,8,9,0,0,66,0,0,0,0,0,5,0,0,0,3
801051128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061062,0,0,18,27,38,44,24,12,7,176,0,0,7,9,11,21,4,0,0,50,0,14,53,57,77,51,31,17,17,320,0,3,10,16,18,12,14,8,9,83,0,4,14,13,14,6,7,7,0,64,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,4,14,13,17,8,13,7,0,79,0,0,3,9,0,3,4,3,5,20,7,0,9,6,9,14,4,10,0,58,5,24,113,135,169,152,91,62,37,781,0,0,16,44,55,49,42,9,14,221,0,0,3,13,17,18,7,0,0,62,0,8,42,63,77,56,38,33,17,332,0,5,5,11,14,10,15,7,5,74,5,6,13,13,20,5,8,4,0,62,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,13,0,6,15,12,17,7,8,4,4,74,0,0,0,0,4,0,0,0,6,10
801061063,0,0,10,20,33,33,15,5,0,119,0,0,3,8,3,3,0,0,0,19,0,16,48,35,34,46,23,10,0,202,0,5,0,10,12,7,3,0,0,46,0,0,10,4,7,5,4,3,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,7,5,4,3,0,41,0,0,0,0,0,6,4,0,4,12,5,7,17,6,3,11,8,8,0,62,5,28,82,80,104,105,53,23,11,494,0,0,27,20,40,20,20,10,3,139,0,0,4,3,9,6,12,0,0,31,0,11,39,29,35,39,22,13,4,197,0,0,3,3,9,6,10,0,0,40,0,0,5,3,8,0,8,0,0,39,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,6,0,0,12,10,12,6,14,0,0,51,0,0,0,0,0,0,5,0,0,8
801061064,0,5,57,61,74,49,24,13,5,288,0,0,26,12,22,13,4,0,0,70,0,36,155,85,97,80,32,16,8,500,0,3,34,15,19,16,6,3,0,101,3,14,29,21,34,32,10,9,10,158,0,0,5,5,0,0,0,0,0,6,0,0,5,0,0,3,4,0,0,12,7,14,31,22,38,33,20,9,7,180,0,5,4,3,4,0,0,0,6,25,8,12,26,24,31,17,6,4,4,131,16,79,330,213,280,211,96,52,28,1297,0,0,73,84,83,53,42,21,7,364,0,0,22,19,20,16,8,0,0,89,0,34,163,84,95,77,61,17,8,534,0,8,30,21,26,20,7,5,0,114,0,18,33,16,35,25,17,9,7,153,0,4,0,0,3,0,0,0,0,14,0,0,0,0,0,4,0,0,0,12,0,17,33,19,41,30,21,12,7,176,0,0,4,0,3,0,0,0,0,8
801061066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061067,0,3,37,88,86,40,18,0,0,278,0,0,10,14,26,15,9,0,0,75,0,43,150,124,78,74,34,14,8,523,0,10,27,34,35,28,9,7,0,155,6,23,40,47,69,37,25,19,14,271,0,3,10,3,0,0,0,0,0,12,0,3,0,3,3,3,0,4,0,26,6,25,53,56,73,43,24,20,14,311,0,3,6,6,7,0,3,3,0,32,15,11,19,29,20,20,21,29,26,182,18,96,308,351,320,223,109,69,52,1553,0,0,40,90,104,65,32,7,3,338,0,0,22,16,18,23,3,0,0,90,0,24,106,123,101,79,43,16,9,493,0,4,21,26,27,36,5,7,3,141,0,15,55,49,60,55,20,13,9,278,0,0,8,0,0,0,4,0,0,9,0,0,3,4,4,3,0,0,0,24,0,22,60,54,66,56,26,16,9,309,0,0,0,0,5,7,0,0,0,16
801061068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061069,0,0,18,41,47,51,28,8,3,200,0,0,3,6,18,14,6,0,0,51,0,22,46,53,84,76,34,14,12,341,0,4,21,11,9,9,12,8,0,75,4,6,16,17,25,8,4,8,6,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,16,17,26,8,9,8,6,104,0,0,0,0,9,3,0,0,0,13,3,6,7,13,13,16,7,7,7,76,8,47,113,139,207,184,96,43,31,859,0,0,17,34,72,49,33,11,3,217,0,0,8,15,13,16,10,0,0,62,0,20,47,53,75,73,55,13,5,347,0,0,4,16,15,10,4,3,3,57,0,8,10,7,17,17,7,4,4,86,0,0,0,5,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,3,0,8,13,11,22,18,7,3,4,95,4,0,0,0,3,0,0,0,0,13
801061070,0,0,15,30,52,74,35,18,4,236,0,0,4,4,14,24,3,0,0,51,0,23,54,56,69,80,51,11,9,350,0,5,14,10,14,21,13,3,3,86,0,5,14,15,20,14,6,7,4,92,3,0,0,3,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,13,0,7,8,18,22,21,13,7,4,106,0,0,0,0,0,6,3,8,0,19,13,4,7,12,3,10,10,11,3,60,13,38,121,130,182,219,128,63,22,917,0,0,11,46,52,56,54,21,6,261,0,0,4,8,15,18,13,0,0,49,0,11,43,48,62,58,80,20,5,336,0,0,10,9,13,12,21,7,3,79,0,9,6,13,15,11,18,5,7,87,0,4,0,0,0,0,0,0,0,7,0,0,0,0,4,4,0,0,0,14,0,12,10,16,18,18,18,5,7,104,0,0,0,0,0,0,8,0,3,11
