SA2_CODE_2021,C21_P_NatPhy_sci_15_19,C21_P_NatPhy_sci_20_24,C21_P_NatPhy_sci_25_34,C21_P_NatPhy_sci_35_44,C21_P_NatPhy_sci_45_54,C21_P_NatPhy_sci_55_64,C21_P_NatPhy_sci_65_74,C21_P_NatPhy_sci_75_84,C21_P_NatPhy_sci_85over,C21_P_NatPhy_sci_Tot,C21_P_InfTec_15_19,C21_P_InfTec_20_24,C21_P_InfTec_25_34,C21_P_InfTec_35_44,C21_P_InfTec_45_54,C21_P_InfTec_55_64,C21_P_InfTec_65_74,C21_P_InfTec_75_84,C21_P_InfTec_85over,C21_P_InfTec_Tot,C21_P_EngRT_15_19,C21_P_EngRT_20_24,C21_P_EngRT_25_34,C21_P_EngRT_35_44,C21_P_EngRT_45_54,C21_P_EngRT_55_64,C21_P_EngRT_65_74,C21_P_EngRT_75_84,C21_P_EngRT_85over,C21_P_EngRT_Tot,C21_P_ArchBuild_15_19,C21_P_ArchBuild_20_24,C21_P_ArchBuild_25_34,C21_P_ArchBuild_35_44,C21_P_ArchBuild_45_54,C21_P_ArchBuild_55_64,C21_P_ArchBuild_65_74,C21_P_ArchBuild_75_84,C21_P_ArchBuild_85over,C21_P_ArchBuild_Tot,C21_P_AgEnv_RS_15_19,C21_P_AgEnv_RS_20_24,C21_P_AgEnv_RS_25_34,C21_P_AgEnv_RS_35_44,C21_P_AgEnv_RS_45_54,C21_P_AgEnv_RS_55_64,C21_P_AgEnv_RS_65_74,C21_P_AgEnv_RS_75_84,C21_P_AgEnv_RS_85over,C21_P_AgEnv_RS_Tot,C21_P_Health_15_19,C21_P_Health_20_24,C21_P_Health_25_34,C21_P_Health_35_44,C21_P_Health_45_54,C21_P_Health_55_64,C21_P_Health_65_74,C21_P_Health_75_84,C21_P_Health_85over,C21_P_Health_Tot,C21_P_Educ_15_19,C21_P_Educ_20_24,C21_P_Educ_25_34,C21_P_Educ_35_44,C21_P_Educ_45_54,C21_P_Educ_55_64,C21_P_Educ_65_74,C21_P_Educ_75_84,C21_P_Educ_85over,C21_P_Educ_Tot,C21_P_MngtCom_15_19,C21_P_MngtCom_20_24,C21_P_MngtCom_25_34,C21_P_MngtCom_35_44,C21_P_MngtCom_45_54,C21_P_MngtCom_55_64,C21_P_MngtCom_65_74,C21_P_MngtCom_75_84,C21_P_MngtCom_85over,C21_P_MngtCom_Tot,C21_P_Soc_cult_15_19,C21_P_Soc_cult_20_24,C21_P_Soc_cult_25_34,C21_P_Soc_cult_35_44,C21_P_Soc_cult_45_54,C21_P_Soc_cult_55_64,C21_P_Soc_cult_65_74,C21_P_Soc_cult_75_84,C21_P_Soc_cult_85over,C21_P_Soc_cult_Tot,C21_P_Creative_art_15_19,C21_P_Creative_art_20_24,C21_P_Creative_art_25_34,C21_P_Creative_art_35_44,C21_P_Creative_art_45_54,C21_P_Creative_art_55_64,C21_P_Creative_art_65_74,C21_P_Creative_art_75_84,C21_P_Creative_art_85over,C21_P_Creative_art_Tot,C21_P_FoodHos_PS_15_19,C21_P_FoodHos_PS_20_24,C21_P_FoodHos_PS_25_34,C21_P_FoodHos_PS_35_44,C21_P_FoodHos_PS_45_54,C21_P_FoodHos_PS_55_64,C21_P_FoodHos_PS_65_74,C21_P_FoodHos_PS_75_84,C21_P_FoodHos_PS_85over,C21_P_FoodHos_PS_Tot,C21_P_MixFld_pr_15_19,C21_P_MixFld_pr_20_24,C21_P_MixFld_pr_25_34,C21_P_MixFld_pr_35_44,C21_P_MixFld_pr_45_54,C21_P_MixFld_pr_55_64,C21_P_MixFld_pr_65_74,C21_P_MixFld_pr_75_84,C21_P_MixFld_pr_85over,C21_P_MixFld_pr_Tot,C21_P_FldStu_ID_15_19,C21_P_FldStu_ID_20_24,C21_P_FldStu_ID_25_34,C21_P_FldStu_ID_35_44,C21_P_FldStu_ID_45_54,C21_P_FldStu_ID_55_64,C21_P_FldStu_ID_65_74,C21_P_FldStu_ID_75_84,C21_P_FldStu_ID_85over,C21_P_FldStu_ID_Tot,C21_P_FldStu_NS_15_19,C21_P_FldStu_NS_20_24,C21_P_FldStu_NS_25_34,C21_P_FldStu_NS_35_44,C21_P_FldStu_NS_45_54,C21_P_FldStu_NS_55_64,C21_P_FldStu_NS_65_74,C21_P_FldStu_NS_75_84,C21_P_FldStu_NS_85over,C21_P_FldStu_NS_Tot,C21_P_Tot_15_19,C21_P_Tot_20_24,C21_P_Tot_25_34,C21_P_Tot_35_44,C21_P_Tot_45_54,C21_P_Tot_55_64,C21_P_Tot_65_74,C21_P_Tot_75_84,C21_P_Tot_85over,C21_P_Tot_Tot
801011011,0,0,27,23,28,19,17,14,6,130,0,8,15,34,22,15,13,0,0,110,0,4,38,46,27,23,31,16,0,186,0,0,30,27,15,10,17,4,0,107,0,0,3,18,9,3,3,0,0,39,0,4,35,36,19,36,19,8,0,149,0,0,39,31,22,18,29,11,0,156,4,3,64,103,60,50,50,4,0,344,0,12,64,78,61,50,55,12,4,339,0,3,21,36,17,13,7,0,0,102,5,10,13,11,14,4,4,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,8,10,3,0,6,0,0,30,4,11,28,20,17,14,19,17,0,130,11,61,393,469,308,260,274,90,8,1874
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,0,4,16,13,36,14,28,21,0,140,6,0,25,29,29,11,9,0,0,111,0,0,22,17,36,15,20,15,5,127,0,3,8,12,10,3,10,9,0,49,0,0,7,6,4,3,10,8,0,34,0,16,27,20,12,32,37,22,0,162,0,0,19,27,36,31,30,28,8,180,0,12,65,59,83,57,48,20,8,355,0,11,49,78,71,64,59,41,8,387,0,6,25,19,16,9,8,0,0,97,4,3,13,13,9,8,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,8,5,6,3,37,8,13,30,17,10,10,5,14,0,111,19,83,303,313,347,268,266,189,42,1834
801011014,0,0,17,16,14,15,12,11,3,89,0,9,22,32,19,20,10,0,0,107,4,8,36,26,35,28,18,21,3,181,5,3,38,23,15,16,10,13,0,119,0,0,10,9,11,4,5,4,0,48,0,4,34,32,29,14,12,6,0,133,0,0,27,32,26,29,22,18,5,153,8,6,82,77,56,33,18,13,0,301,0,10,63,79,61,45,32,19,6,314,0,4,18,22,21,8,8,0,0,87,3,6,16,25,16,5,3,0,0,85,0,0,0,3,0,0,4,3,0,8,0,0,8,9,6,4,4,0,0,30,7,4,13,23,20,12,13,11,3,109,27,68,390,410,326,236,163,127,22,1758
801011015,0,6,23,32,22,12,11,4,0,113,0,14,57,68,31,13,9,3,0,198,0,14,61,43,39,33,35,22,8,251,3,14,46,34,34,8,24,5,0,158,0,0,9,12,20,11,0,6,0,54,0,25,87,58,48,35,25,11,8,295,0,4,55,60,47,28,36,20,6,264,8,23,171,133,102,62,55,28,3,586,6,30,126,160,88,57,54,30,11,557,0,9,44,47,18,12,8,4,0,133,4,8,55,33,20,7,13,0,0,136,0,0,0,0,6,0,0,0,0,11,0,3,9,18,7,11,13,3,0,58,8,18,50,42,30,14,22,21,5,208,29,160,813,737,496,286,300,165,46,3026
801011016,0,4,42,56,54,49,45,11,0,268,0,23,80,81,57,41,27,3,0,310,5,15,64,79,55,70,79,38,6,407,6,14,48,41,41,17,44,14,3,221,0,3,21,19,15,10,7,4,0,81,0,17,66,60,45,44,55,22,5,321,0,4,42,60,57,63,79,26,7,351,8,43,166,197,158,121,109,34,3,836,9,38,156,185,124,132,107,48,0,797,0,17,41,55,26,19,10,3,0,181,4,10,46,37,22,14,12,5,0,161,0,0,0,0,0,0,0,0,0,7,0,3,16,26,10,5,10,5,0,75,11,17,58,45,47,33,54,15,12,288,42,216,839,938,706,631,651,237,41,4308
801011017,0,3,19,18,16,18,6,8,0,91,0,4,16,43,24,12,9,0,0,112,0,4,41,34,39,31,33,12,0,204,0,9,32,23,28,12,7,4,0,120,0,0,14,21,10,3,5,4,0,60,0,3,42,23,22,22,14,4,3,133,0,7,23,38,38,29,22,9,3,177,3,5,79,98,89,43,41,20,0,381,0,5,59,88,65,40,42,17,0,320,0,5,14,25,14,3,11,0,0,83,5,7,28,27,11,13,7,5,0,102,0,0,0,0,0,0,3,0,0,5,0,0,9,6,5,5,4,0,0,31,6,13,40,33,20,15,19,7,4,156,24,68,418,479,387,258,222,98,20,1974
801011018,0,10,38,18,9,5,3,0,0,86,0,32,103,50,23,8,0,0,0,212,0,13,79,38,6,9,7,0,0,151,0,11,32,13,5,0,0,0,0,62,0,0,15,4,3,0,0,0,0,19,0,38,110,37,12,4,0,0,0,196,0,10,47,23,11,5,0,0,0,93,0,61,245,93,37,21,14,0,0,464,0,41,108,62,31,12,4,0,0,253,0,14,39,16,5,0,0,0,0,75,0,15,29,14,11,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,6,15,3,3,0,0,0,0,26,10,39,77,40,14,3,3,0,0,189,15,286,927,401,149,72,37,6,0,1891
801011019,0,9,34,39,35,18,14,8,0,155,0,11,75,102,38,12,12,3,0,248,0,14,74,80,67,34,42,19,4,326,0,10,54,39,26,15,17,6,0,170,0,3,17,21,20,15,0,6,0,89,0,18,97,78,43,47,17,12,0,317,0,6,65,109,49,34,35,17,0,312,3,29,188,264,140,77,51,6,0,769,4,24,141,229,117,66,61,15,3,653,0,9,44,44,19,15,4,5,0,148,6,9,48,64,32,10,10,3,0,191,0,0,0,0,0,0,0,0,0,0,0,0,10,27,21,3,4,0,0,67,8,19,38,62,18,25,16,14,3,216,33,158,878,1167,629,382,285,120,17,3666
801011020,0,5,29,32,26,23,14,6,0,151,3,17,34,46,18,13,6,5,0,137,0,5,32,27,15,15,20,10,3,132,0,0,14,11,5,7,5,13,4,61,0,0,4,7,3,11,5,4,0,37,0,15,39,27,10,15,13,15,0,141,0,5,36,18,30,19,26,16,6,168,4,18,77,75,55,40,33,16,7,318,0,24,83,90,63,44,51,31,6,391,0,12,25,24,18,11,4,4,0,98,0,5,17,10,10,6,4,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,3,5,0,0,35,6,19,46,21,27,36,13,24,0,195,14,136,456,402,293,243,197,145,29,1919
801011021,0,0,10,12,17,18,20,7,0,84,0,9,24,23,32,29,16,0,0,129,0,8,19,22,25,23,26,9,7,139,0,9,26,13,21,10,12,0,4,91,0,0,6,0,6,7,5,0,0,30,0,8,19,18,16,23,13,10,0,99,0,3,16,33,14,37,34,14,0,146,3,10,57,59,75,53,42,3,0,306,0,14,51,49,49,51,47,16,0,270,0,5,13,12,5,3,0,0,0,46,0,7,9,5,7,21,8,3,0,66,0,0,0,0,0,0,0,0,0,0,0,0,7,5,4,9,0,0,0,27,4,8,22,10,18,16,8,8,0,97,11,75,273,269,295,290,240,65,13,1536
801011022,0,6,17,24,20,10,24,16,0,113,5,13,24,28,23,17,9,3,0,117,0,8,12,30,34,27,22,18,5,159,0,4,17,20,14,12,5,6,0,84,0,3,8,14,4,3,4,3,0,43,0,3,28,20,25,24,24,13,0,135,0,3,18,43,24,23,27,18,3,169,0,14,37,96,63,64,25,26,0,329,0,21,59,88,78,37,57,22,5,372,0,8,26,32,17,7,5,4,0,100,3,10,13,12,17,7,0,4,0,69,0,0,0,0,0,0,0,0,0,0,0,0,8,14,8,4,4,3,0,33,3,15,19,11,20,18,9,11,0,120,23,105,303,425,356,253,224,138,18,1841
801011023,0,9,26,30,21,8,11,0,3,113,0,12,39,33,14,15,9,0,0,119,0,8,26,31,20,18,15,10,16,153,0,4,27,10,9,5,3,4,9,61,0,0,12,8,7,3,0,4,0,34,0,8,35,10,22,13,11,15,13,130,0,7,25,29,21,17,21,21,13,150,0,18,93,66,52,31,25,26,9,314,0,13,75,73,50,34,32,29,15,324,0,3,23,19,13,10,4,8,0,79,4,6,18,15,5,7,0,11,5,56,0,0,0,0,0,0,3,0,3,8,0,6,3,3,5,0,5,3,3,30,7,10,38,31,20,23,25,43,73,269,20,96,430,360,250,175,163,183,165,1827
801011024,0,0,23,27,21,10,4,5,3,93,3,3,35,36,32,8,5,4,0,125,0,3,35,26,20,15,15,16,3,141,0,7,31,22,14,7,6,4,0,95,0,0,9,9,12,3,0,4,0,35,0,3,35,29,15,9,14,6,0,119,0,0,36,42,24,12,19,8,0,147,0,12,55,63,52,37,30,14,0,266,0,18,72,99,63,36,26,15,0,333,0,7,16,34,26,9,3,0,0,93,0,3,13,11,11,5,0,4,0,55,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4,3,8,4,4,30,6,12,33,19,21,16,13,5,3,137,11,86,394,439,308,182,152,83,17,1673
801011025,0,0,5,15,11,15,13,8,0,68,0,5,12,19,21,13,14,0,0,89,0,4,22,31,20,20,25,8,3,131,0,3,27,25,11,12,9,0,0,88,0,0,9,11,8,5,3,0,0,35,0,3,16,19,17,17,16,3,4,110,0,11,18,26,18,7,23,14,0,119,0,3,28,58,54,28,41,8,0,228,5,6,42,65,58,25,37,13,0,262,3,3,20,23,14,8,8,0,0,83,4,3,11,8,11,4,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,0,16,9,9,23,13,13,7,18,8,0,108,18,70,230,330,266,166,213,68,12,1379
801011026,0,0,16,21,25,19,20,23,7,133,0,3,26,27,33,16,8,0,0,117,0,0,18,25,32,21,14,21,5,142,0,9,7,11,14,14,3,0,0,52,0,0,0,6,13,8,5,3,3,28,0,8,23,33,28,22,19,11,3,159,0,4,17,18,33,27,39,23,9,184,5,11,52,79,83,46,35,24,9,340,0,11,53,70,63,41,50,38,4,332,0,11,13,14,17,11,5,3,0,73,0,7,5,9,7,0,4,3,0,36,0,0,0,0,0,0,0,0,0,0,0,0,9,6,11,0,0,6,3,32,0,4,16,10,10,13,17,5,0,88,11,72,260,328,368,244,218,162,38,1708
801011111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,5,0,0,6,0,0,0,0,0,13
801011142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011143,0,0,3,7,0,0,0,0,0,11,0,0,23,22,7,0,0,0,0,57,0,4,11,8,7,0,3,0,0,30,0,3,9,7,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,6,29,15,6,0,0,0,0,63,0,0,8,7,3,0,7,0,0,29,0,6,48,36,3,5,0,0,0,96,0,8,27,25,6,4,4,0,0,65,0,0,3,0,0,0,0,0,0,14,0,0,7,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,14,0,0,7,10,8,0,0,0,0,23,0,32,183,142,45,12,6,4,0,429
801011144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,6,5,8,0,0,0,0,13
801031031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,27,19,6,3,3,0,92,0,4,28,27,19,0,3,8,0,98
801031032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,3,5,0,0,0,12
801031113,0,0,0,0,0,0,0,0,0,9,0,0,5,0,5,4,0,0,0,20,0,0,6,10,13,16,16,0,0,61,0,0,7,8,6,4,8,0,0,33,0,0,0,0,3,0,0,0,0,6,0,0,4,8,3,3,11,0,0,24,0,0,0,4,0,4,5,0,0,23,0,5,11,22,17,8,8,0,0,74,0,0,10,14,15,8,6,9,0,62,0,0,4,0,0,3,0,4,0,10,0,3,6,7,4,0,7,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,10,16,50,60,50,74,32,21,0,310,11,30,106,130,125,130,91,35,4,668
801031114,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,3,0,5,3,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,9,0,0,3,6,0,4,0,0,0,17,0,0,0,4,0,3,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,8,3,10,3,0,0,29,3,7,19,22,12,18,3,4,0,88
801031115,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,4,0,0,0,13,0,0,0,0,8,0,0,0,0,14,0,0,0,0,0,5,0,0,0,11,0,0,3,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,6,0,0,3,3,0,0,0,20,3,8,12,3,4,4,0,0,0,37,0,3,0,0,0,4,0,0,0,5,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,13,3,7,0,0,0,0,50,11,39,47,16,36,22,9,9,6,185
801041034,0,11,32,30,38,16,9,3,0,134,4,19,46,83,73,38,7,0,0,266,0,13,63,75,80,47,28,11,0,326,0,13,25,24,21,13,6,3,4,118,0,0,12,12,15,9,5,0,0,52,0,12,54,56,58,25,13,5,0,223,0,10,38,63,63,46,18,10,0,253,0,24,116,205,232,109,57,15,0,756,12,38,99,138,144,86,35,9,0,564,3,19,29,38,25,12,9,4,0,135,3,12,26,43,35,3,8,3,0,140,0,0,0,0,0,0,0,0,0,0,0,0,8,11,16,7,3,5,0,46,11,20,56,44,35,16,10,0,3,199,42,186,607,816,833,423,203,81,9,3206
801041035,0,8,44,55,42,11,6,4,0,166,5,19,116,214,83,13,5,0,0,447,0,4,61,115,59,35,18,8,0,302,0,4,40,41,30,18,5,3,0,132,0,3,10,12,6,4,0,0,0,41,0,15,78,85,40,13,14,9,3,250,0,11,44,90,64,15,16,3,0,252,0,33,227,360,179,59,24,10,0,880,6,39,117,200,136,40,23,5,0,563,4,13,37,47,24,5,0,0,0,137,4,19,52,45,29,9,3,0,0,167,0,0,0,0,0,0,0,0,0,0,0,3,13,20,8,3,9,0,0,55,21,31,81,88,39,17,11,5,5,297,46,201,914,1373,736,239,129,41,11,3687
801041036,0,3,24,41,20,21,8,5,0,127,0,8,115,160,40,17,7,0,0,350,0,13,86,101,49,19,25,6,0,298,3,11,47,50,32,15,9,0,0,167,0,5,16,9,5,3,3,0,0,29,0,22,90,85,43,17,7,4,0,271,0,8,63,71,35,18,22,3,0,220,7,32,234,337,157,84,23,6,0,889,9,28,144,192,103,48,21,3,0,547,0,4,46,57,19,3,3,0,0,144,0,15,56,57,24,6,4,0,0,165,0,3,0,0,0,0,0,0,0,7,0,0,14,19,15,9,0,0,0,52,7,12,61,61,28,29,10,0,0,207,29,162,992,1251,564,295,145,33,0,3472
801041037,0,3,34,53,40,20,16,4,0,162,4,15,74,167,58,16,3,0,0,339,0,11,56,69,31,19,20,11,3,229,0,5,29,33,17,10,3,4,0,107,0,3,9,3,6,10,0,3,0,39,0,15,53,55,36,16,10,16,0,202,0,7,41,48,24,15,22,17,0,170,0,22,206,248,130,53,41,13,0,713,4,17,113,131,78,41,29,15,3,433,0,4,35,42,12,6,0,0,3,105,0,15,35,31,13,3,3,0,0,102,0,0,0,0,0,0,0,0,0,0,0,7,7,19,8,3,0,3,0,44,4,13,38,34,21,9,5,13,4,136,13,127,727,950,476,222,143,93,25,2773
801041038,0,7,20,36,29,9,4,0,0,113,0,10,26,126,68,22,3,0,0,250,0,7,18,56,58,31,11,6,0,192,0,0,18,20,24,7,8,0,0,78,0,4,3,14,8,3,0,0,0,33,0,9,41,47,49,24,13,6,0,188,0,7,22,54,43,15,21,4,0,167,0,19,112,233,172,64,28,4,0,633,0,16,64,145,98,43,21,3,5,395,3,8,12,29,15,3,5,0,0,83,3,8,10,22,28,5,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,12,20,11,5,3,0,0,49,19,15,30,35,27,9,8,0,0,141,33,102,392,840,638,239,129,31,5,2407
801041039,0,20,77,60,33,25,12,5,0,233,0,75,266,176,80,22,4,0,0,622,0,11,128,101,65,47,20,5,0,379,0,8,54,32,11,5,0,5,0,118,0,6,13,12,7,7,0,0,0,43,0,38,115,81,48,19,11,0,0,321,0,10,57,59,29,20,14,4,0,187,4,68,470,400,194,70,37,8,0,1244,0,67,197,182,119,51,25,5,0,655,0,11,58,41,22,4,5,0,0,145,3,24,68,61,30,5,6,0,0,200,0,0,4,0,0,0,0,0,0,3,0,6,11,30,10,10,5,0,0,71,13,41,124,75,37,20,14,3,0,337,35,375,1656,1302,700,294,149,36,7,4556
801041040,0,19,86,51,43,30,14,0,0,236,0,75,284,144,74,36,9,0,0,629,0,20,172,103,67,61,18,13,4,461,4,18,48,43,29,11,7,3,0,166,0,0,11,6,7,6,3,0,0,36,6,40,133,81,47,33,19,6,0,367,0,11,106,74,50,42,15,6,4,304,3,68,600,291,196,114,56,5,0,1342,7,68,230,199,110,67,41,9,0,733,3,15,70,37,22,9,3,0,0,170,3,39,97,63,33,11,4,0,0,251,0,0,0,0,0,0,0,0,0,9,0,0,34,20,18,9,6,3,0,89,12,44,127,92,57,24,11,16,0,379,38,431,2002,1192,751,449,215,74,16,5164
801041043,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,5,0,0,0,0,4,4,4,5,0,12,0,0,3,4,4,3,3,0,0,12,0,0,0,0,6,0,3,0,0,10,0,0,0,0,7,3,0,4,0,16,0,0,3,5,3,7,6,0,0,18,0,4,0,4,3,5,7,4,0,23,0,0,5,4,13,9,8,0,0,36,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,6,7,13,21,44,33,34,16,4,170
801041044,0,17,78,68,44,28,18,0,0,251,0,33,190,182,90,32,4,0,0,545,0,14,115,140,89,44,20,9,0,434,0,13,45,32,34,7,3,3,0,139,0,0,15,17,15,8,3,0,0,56,0,33,118,95,48,17,13,0,0,329,0,14,47,66,59,19,13,14,0,229,7,54,396,427,217,90,26,9,0,1229,4,56,207,229,176,55,23,11,0,764,0,13,80,47,19,11,3,0,0,174,5,25,59,64,28,0,3,0,0,185,0,0,3,0,0,0,0,0,0,8,0,3,20,23,23,10,0,0,0,76,15,36,121,74,53,18,4,5,0,317,27,321,1492,1447,894,343,142,50,9,4721
801041045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
801041046,0,21,51,64,45,33,19,8,0,238,0,30,159,158,76,34,11,0,0,467,0,13,140,107,86,75,48,39,10,516,4,26,77,59,35,34,12,12,0,260,0,10,28,29,13,11,7,10,0,89,0,32,122,97,65,58,44,19,3,451,4,13,128,129,79,53,49,27,3,482,10,39,334,365,256,152,87,35,4,1278,10,48,232,261,188,129,65,26,0,964,4,11,69,52,29,10,9,4,5,197,10,30,85,101,63,20,8,10,0,327,0,0,0,0,0,0,0,0,0,4,0,3,28,39,17,12,5,3,0,113,24,37,102,91,57,34,37,37,9,418,61,316,1554,1555,994,660,389,244,48,5821
801041047,0,11,19,35,44,50,33,8,0,196,0,19,43,57,91,87,26,7,0,322,0,13,34,60,80,101,61,35,9,392,3,19,27,22,41,19,10,25,0,169,0,0,3,9,11,9,6,3,0,38,0,17,40,47,56,69,36,20,4,290,0,14,27,35,62,63,57,28,0,284,5,34,119,176,294,210,113,39,3,987,3,25,84,130,162,122,79,37,4,642,4,26,27,29,24,10,10,3,0,137,7,7,8,14,29,18,8,4,0,86,0,0,0,0,0,0,0,0,0,3,0,0,3,6,14,11,9,7,0,49,5,9,19,22,28,31,23,13,0,160,30,196,455,633,931,802,482,217,26,3763
801041048,0,9,29,32,34,29,26,3,0,165,0,15,53,104,49,41,19,0,0,279,0,13,57,76,50,55,36,10,7,303,0,10,27,27,19,19,17,10,0,132,0,0,15,17,10,5,0,0,0,45,0,13,65,46,38,31,22,5,0,219,0,9,54,48,54,27,25,10,0,230,4,33,112,158,134,111,52,15,0,620,0,36,136,120,105,82,61,13,4,542,3,8,35,34,22,12,3,4,0,118,0,18,29,19,23,17,11,3,0,126,0,0,0,0,0,0,0,0,0,4,0,0,11,10,10,10,7,6,0,61,10,6,50,50,42,22,21,10,0,210,19,161,676,743,590,463,302,87,17,3065
