SA2_CODE_2021,C21_F_CL_C_I_II_15_19,C21_F_CL_C_I_II_20_24,C21_F_CL_C_I_II_25_34,C21_F_CL_C_I_II_35_44,C21_F_CL_C_I_II_45_54,C21_F_CL_C_I_II_55_64,C21_F_CL_C_I_II_65_74,C21_F_CL_C_I_II_75_84,C21_F_CL_C_I_II_85over,C21_F_CL_C_I_II_Tot,C21_F_CL_CL_nfd_15_19,C21_F_CL_CL_nfd_20_24,C21_F_CL_CL_nfd_25_34,C21_F_CL_CL_nfd_35_44,C21_F_CL_CL_nfd_45_54,C21_F_CL_CL_nfd_55_64,C21_F_CL_CL_nfd_65_74,C21_F_CL_CL_nfd_75_84,C21_F_CL_CL_nfd_85over,C21_F_CL_CL_nfd_Tot,C21_F_CL_Tot_15_19,C21_F_CL_Tot_20_24,C21_F_CL_Tot_25_34,C21_F_CL_Tot_35_44,C21_F_CL_Tot_45_54,C21_F_CL_Tot_55_64,C21_F_CL_Tot_65_74,C21_F_CL_Tot_75_84,C21_F_CL_Tot_85over,C21_F_CL_Tot_Tot,C21_F_LE_ID_15_19,C21_F_LE_ID_20_24,C21_F_LE_ID_25_34,C21_F_LE_ID_35_44,C21_F_LE_ID_45_54,C21_F_LE_ID_55_64,C21_F_LE_ID_65_74,C21_F_LE_ID_75_84,C21_F_LE_ID_85over,C21_F_LE_ID_Tot,C21_F_LE_NS_15_19,C21_F_LE_NS_20_24,C21_F_LE_NS_25_34,C21_F_LE_NS_35_44,C21_F_LE_NS_45_54,C21_F_LE_NS_55_64,C21_F_LE_NS_65_74,C21_F_LE_NS_75_84,C21_F_LE_NS_85over,C21_F_LE_NS_Tot,C21_F_Tot_15_19_yrs,C21_F_Tot_20_24_yrs,C21_F_Tot_25_34_yrs,C21_F_Tot_35_44_yrs,C21_F_Tot_45_54_yrs,C21_F_Tot_55_64_yrs,C21_F_Tot_65_74_yrs,C21_F_Tot_75_84_yrs,C21_F_Tot_85over,C21_F_Tot_Tot,C11_P_Post_Deg_15_19_yrs,C11_P_Post_Deg_20_24_yrs,C11_P_Post_Deg_25_34_yrs,C11_P_Post_Deg_35_44_yrs,C11_P_Post_Deg_45_54_yrs,C11_P_Post_Deg_55_64_yrs,C11_P_Post_Deg_65_74_yrs,C11_P_Post_Deg_75_84_yrs,C11_P_Post_Deg_85over,C11_P_Post_Deg_Tot,C11_P_GrDip_GrCe_15_19,C11_P_GrDip_GrCe_20_24,C11_P_GrDip_GrCe_25_34,C11_P_GrDip_GrCe_35_44,C11_P_GrDip_GrCe_45_54,C11_P_GrDip_GrCe_55_64,C11_P_GrDip_GrCe_65_74,C11_P_GrDip_GrCe_75_84,C11_P_GrDip_GrCe_85over,C11_P_GrDip_GrCe_Tot,C11_P_BD_15_19,C11_P_BD_20_24,C11_P_BD_25_34,C11_P_BD_35_44,C11_P_BD_45_54,C11_P_BD_55_64,C11_P_BD_65_74,C11_P_BD_75_84,C11_P_BD_85over,C11_P_BD_Tot,C11_P_AdD_DL_15_19,C11_P_AdD_DL_20_24,C11_P_AdD_DL_25_34,C11_P_AdD_DL_35_44,C11_P_AdD_DL_45_54,C11_P_AdD_DL_55_64,C11_P_AdD_DL_65_74,C11_P_AdD_DL_75_84,C11_P_AdD_DL_85over,C11_P_AdD_DL_Tot,C11_P_CL_C_III_IV_15_19,C11_P_CL_C_III_IV_20_24,C11_P_CL_C_III_IV_25_34,C11_P_CL_C_III_IV_35_44,C11_P_CL_C_III_IV_45_54,C11_P_CL_C_III_IV_55_64,C11_P_CL_C_III_IV_65_74,C11_P_CL_C_III_IV_75_84,C11_P_CL_C_III_IV_85over,C11_P_CL_C_III_IV_Tot,C11_P_CL_C_I_II_15_19,C11_P_CL_C_I_II_20_24,C11_P_CL_C_I_II_25_34,C11_P_CL_C_I_II_35_44,C11_P_CL_C_I_II_45_54,C11_P_CL_C_I_II_55_64,C11_P_CL_C_I_II_65_74,C11_P_CL_C_I_II_75_84,C11_P_CL_C_I_II_85over,C11_P_CL_C_I_II_Tot,C11_P_CL_CL_nfd_15_19,C11_P_CL_CL_nfd_20_24,C11_P_CL_CL_nfd_25_34,C11_P_CL_CL_nfd_35_44,C11_P_CL_CL_nfd_45_54,C11_P_CL_CL_nfd_55_64,C11_P_CL_CL_nfd_65_74,C11_P_CL_CL_nfd_75_84,C11_P_CL_CL_nfd_85over,C11_P_CL_CL_nfd_Tot,C11_P_CL_Tot_15_19,C11_P_CL_Tot_20_24,C11_P_CL_Tot_25_34,C11_P_CL_Tot_35_44,C11_P_CL_Tot_45_54,C11_P_CL_Tot_55_64,C11_P_CL_Tot_65_74,C11_P_CL_Tot_75_84,C11_P_CL_Tot_85over,C11_P_CL_Tot_Tot,C11_P_LE_ID_15_19,C11_P_LE_ID_20_24,C11_P_LE_ID_25_34,C11_P_LE_ID_35_44,C11_P_LE_ID_45_54,C11_P_LE_ID_55_64,C11_P_LE_ID_65_74,C11_P_LE_ID_75_84,C11_P_LE_ID_85over,C11_P_LE_ID_Tot,C11_P_LE_NS_15_19,C11_P_LE_NS_20_24,C11_P_LE_NS_25_34,C11_P_LE_NS_35_44,C11_P_LE_NS_45_54,C11_P_LE_NS_55_64,C11_P_LE_NS_65_74,C11_P_LE_NS_75_84,C11_P_LE_NS_85over,C11_P_LE_NS_Tot,C11_P_Tot_15_19_yrs,C11_P_Tot_20_24_yrs,C11_P_Tot_25_34_yrs,C11_P_Tot_35_44_yrs,C11_P_Tot_45_54_yrs,C11_P_Tot_55_64_yrs,C11_P_Tot_65_74_yrs,C11_P_Tot_75_84_yrs,C11_P_Tot_85over,C11_P_Tot_Tot,C16_P_Post_Deg_15_19_yrs,C16_P_Post_Deg_20_24_yrs,C16_P_Post_Deg_25_34_yrs,C16_P_Post_Deg_35_44_yrs,C16_P_Post_Deg_45_54_yrs,C16_P_Post_Deg_55_64_yrs,C16_P_Post_Deg_65_74_yrs,C16_P_Post_Deg_75_84_yrs,C16_P_Post_Deg_85over,C16_P_Post_Deg_Tot,C16_P_GrDip_GrCe_15_19,C16_P_GrDip_GrCe_20_24,C16_P_GrDip_GrCe_25_34,C16_P_GrDip_GrCe_35_44,C16_P_GrDip_GrCe_45_54,C16_P_GrDip_GrCe_55_64,C16_P_GrDip_GrCe_65_74,C16_P_GrDip_GrCe_75_84,C16_P_GrDip_GrCe_85over,C16_P_GrDip_GrCe_Tot,C16_P_BD_15_19,C16_P_BD_20_24,C16_P_BD_25_34,C16_P_BD_35_44,C16_P_BD_45_54,C16_P_BD_55_64,C16_P_BD_65_74,C16_P_BD_75_84,C16_P_BD_85over,C16_P_BD_Tot
801081095,0,0,0,3,0,7,0,0,0,9,0,0,0,0,4,6,16,5,0,36,3,13,22,25,24,25,24,12,3,154,0,0,0,0,0,0,3,0,0,6,8,7,11,22,14,10,13,8,3,84,9,40,170,233,181,122,132,56,14,945,0,0,30,42,42,21,10,3,0,154,0,0,24,26,28,26,6,4,0,109,0,12,158,136,74,74,46,3,6,506,0,16,38,65,60,53,28,9,0,273,3,10,52,64,41,41,40,17,0,260,7,5,9,8,6,4,0,0,0,32,0,0,5,15,7,16,3,3,0,42,7,14,59,89,49,61,41,19,0,339,0,4,5,7,9,14,12,3,0,55,18,8,17,21,20,27,20,17,11,152,21,56,333,377,285,272,167,56,16,1592,0,0,34,66,35,35,14,6,0,191,0,0,26,38,28,26,15,3,0,129,0,10,146,138,76,63,63,11,0,515
801081096,0,0,0,0,0,3,0,0,0,17,0,0,0,0,3,3,11,0,0,25,4,6,16,13,15,15,13,7,0,95,0,0,0,0,0,0,3,0,0,11,0,4,4,9,4,5,9,7,9,53,5,19,86,117,115,105,85,56,21,613,0,4,21,40,44,31,10,11,0,151,0,0,16,19,13,20,6,0,0,66,0,26,72,78,75,65,24,10,5,357,0,8,17,40,26,25,20,4,8,150,3,23,32,33,35,40,23,7,4,196,0,0,7,0,0,5,4,0,0,23,0,0,3,0,8,3,0,0,0,19,8,28,41,37,40,43,23,11,4,234,0,0,3,8,6,9,8,0,0,33,8,0,9,10,9,15,4,8,0,64,10,72,167,225,205,214,94,46,19,1051,0,0,23,46,25,30,24,12,5,156,0,0,9,17,12,12,8,3,0,66,0,15,44,85,63,61,54,19,17,353
801081097,0,0,4,0,0,0,0,0,0,11,0,0,0,0,9,0,5,3,0,18,6,13,16,20,30,18,7,9,3,120,0,0,4,4,0,0,3,0,0,7,0,3,11,12,4,5,8,13,5,59,6,39,153,194,161,95,93,55,16,800,0,0,33,50,29,28,9,5,0,158,0,0,19,23,21,27,10,0,0,92,0,19,137,127,60,52,50,21,11,478,0,11,34,61,34,34,21,10,4,197,0,23,43,48,43,23,42,17,4,243,0,7,5,0,0,0,5,0,0,16,0,0,0,5,10,10,3,0,0,27,3,28,49,55,52,34,48,19,3,291,0,0,6,7,0,10,6,3,3,41,14,11,13,27,28,13,15,16,9,149,18,69,294,339,226,199,161,83,28,1406,0,0,24,68,42,32,18,11,4,191,0,0,15,19,17,20,17,4,0,102,0,14,114,121,83,62,35,30,5,458
801081098,3,5,0,0,3,0,4,0,0,12,0,6,0,0,3,4,8,13,0,41,8,18,14,8,36,26,26,14,5,147,0,0,0,0,0,0,0,0,0,3,3,0,9,10,3,9,24,47,55,160,9,44,182,269,236,164,153,127,73,1269,0,0,29,61,55,50,32,5,3,234,0,0,14,33,36,39,15,4,0,136,0,21,134,151,109,90,66,26,6,600,0,4,26,65,48,39,43,23,10,256,3,14,58,55,37,34,36,19,4,261,0,0,0,3,0,0,6,0,0,15,0,0,9,3,16,7,7,3,0,43,8,19,66,65,53,40,49,18,11,327,0,0,9,6,6,4,9,8,0,40,6,11,11,19,7,11,36,64,73,253,11,55,292,398,318,281,247,148,99,1849,0,0,45,90,67,60,36,14,0,314,0,0,20,37,40,28,24,3,0,149,0,9,134,181,122,78,84,36,9,657
801081133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801091099,0,0,0,0,3,0,4,0,0,9,0,0,0,4,4,7,4,0,0,23,4,10,13,19,17,18,12,7,0,94,0,0,0,0,0,0,0,8,0,10,4,3,10,6,8,6,8,3,4,46,6,48,225,197,143,105,84,44,7,866,0,0,55,50,40,18,10,4,0,182,0,0,10,25,17,23,7,6,0,91,0,33,159,129,92,58,32,9,0,508,0,16,29,40,30,22,19,5,0,168,0,23,45,41,34,18,31,19,0,219,0,0,3,4,0,0,0,4,0,18,0,0,8,9,3,9,6,3,0,33,0,23,58,53,42,27,37,26,0,272,0,0,3,7,0,6,19,3,0,40,13,9,18,16,5,10,19,15,4,113,15,89,343,320,229,159,140,63,11,1370,0,5,54,58,47,26,15,3,0,214,0,0,17,21,24,18,17,0,0,101,0,21,167,101,80,65,42,22,3,505
801091100,4,5,4,0,7,0,3,4,0,25,0,0,0,3,4,7,13,11,9,47,11,21,17,27,37,32,27,15,11,189,0,0,0,0,4,0,0,3,3,16,8,7,8,11,12,10,12,17,6,96,13,78,256,384,366,279,202,130,49,1744,0,0,68,128,157,105,35,19,5,519,0,4,29,65,74,46,17,4,3,242,0,69,215,261,247,150,111,53,6,1116,0,15,54,61,90,65,39,34,14,375,6,34,47,65,68,35,50,34,18,352,3,12,0,4,8,0,0,0,0,28,0,3,3,11,10,9,11,9,4,56,9,47,52,78,82,48,62,45,14,442,0,4,6,6,11,13,12,14,10,67,23,7,19,26,26,17,32,22,13,192,36,145,455,633,681,441,308,194,68,2951,0,3,81,169,167,125,66,22,8,644,0,0,15,55,61,55,29,9,0,219,0,69,225,247,251,183,117,76,16,1195
801091101,0,0,5,0,0,0,0,3,0,13,0,0,0,3,7,6,7,8,3,28,0,6,17,22,20,21,15,15,5,133,0,0,0,3,0,0,0,7,0,11,3,0,11,10,11,8,14,17,24,88,9,42,144,223,237,178,120,135,62,1143,0,0,27,67,82,52,40,11,3,280,0,0,11,32,46,30,26,4,0,149,0,29,104,125,134,115,71,45,20,639,0,18,23,45,63,41,45,19,10,265,3,29,34,42,51,23,32,24,4,246,4,0,4,0,0,0,0,0,0,22,0,0,4,7,15,10,5,3,0,49,11,35,37,52,63,37,43,30,4,314,0,0,3,3,10,7,14,10,3,53,13,12,5,12,16,17,9,21,16,123,24,96,207,333,420,303,235,134,54,1810,0,0,29,78,80,57,47,15,5,310,0,0,10,29,41,28,25,9,5,144,0,29,92,122,122,108,77,45,16,622
801091102,0,0,0,3,4,3,4,0,0,20,0,0,0,3,4,3,3,3,7,27,5,11,12,22,23,12,14,9,11,111,0,0,0,8,0,4,0,0,0,17,0,0,12,14,12,16,16,18,10,111,6,35,171,296,232,171,140,99,41,1184,0,7,46,76,103,50,39,9,4,326,0,0,11,36,27,28,8,6,0,120,0,73,209,155,145,117,73,41,14,817,0,15,21,44,59,39,38,17,3,248,4,21,30,27,27,19,33,14,3,181,0,3,0,0,0,0,0,0,0,10,0,0,0,5,9,4,8,5,0,35,4,28,34,31,34,27,40,21,8,225,0,0,3,10,11,10,8,12,10,52,14,8,7,13,19,16,17,37,47,179,20,128,336,372,389,287,222,137,84,1967,0,0,64,124,102,66,46,20,0,428,0,0,20,25,32,26,15,4,0,121,0,43,147,180,153,108,81,46,15,774
801091103,3,0,0,0,0,4,0,0,0,5,0,0,6,0,5,6,3,4,0,24,3,3,16,10,9,21,9,8,7,90,0,0,0,0,0,0,0,0,5,5,3,4,11,7,12,8,8,11,27,84,8,43,147,203,185,176,112,85,85,1038,0,0,35,96,97,65,23,29,6,355,0,0,11,25,39,27,14,0,3,123,0,31,130,129,147,107,40,37,20,641,0,7,20,33,38,35,24,10,10,185,0,19,27,27,24,15,16,24,5,148,0,3,0,4,3,0,0,0,0,19,0,0,0,10,7,5,3,0,3,27,0,14,29,31,34,20,16,28,10,190,0,0,0,4,4,10,3,14,11,52,14,15,12,25,19,14,10,36,63,213,16,70,243,358,374,274,139,157,125,1763,0,4,38,89,106,68,54,19,14,394,0,0,13,31,32,27,22,12,0,136,0,24,110,124,139,113,55,44,30,648
801091104,3,0,0,0,0,3,0,0,0,9,0,0,0,0,8,3,9,4,0,31,3,8,8,13,10,17,23,11,4,102,0,0,0,4,0,3,0,6,0,15,0,0,5,4,5,11,5,9,0,38,3,29,86,134,122,157,132,77,15,764,0,0,21,35,73,66,32,9,0,241,0,0,5,17,28,25,14,3,0,86,0,17,74,76,117,111,62,31,8,500,0,14,20,25,43,45,34,20,0,198,4,13,13,18,25,25,15,19,0,127,0,0,0,0,0,0,0,0,5,15,0,0,3,6,4,7,4,6,0,34,5,12,17,23,30,33,23,25,7,177,0,0,0,7,8,13,8,3,4,40,8,6,14,4,11,7,21,15,13,99,14,50,153,189,306,295,188,108,27,1336,0,0,22,40,74,62,48,20,3,263,0,3,3,24,21,25,22,0,0,96,0,38,71,79,88,89,79,31,14,492
801091105,9,0,0,0,0,0,0,0,4,23,0,0,0,3,8,7,4,5,0,22,8,15,21,20,19,16,8,10,3,119,0,0,0,0,0,0,0,0,0,15,4,5,10,7,11,10,13,10,9,78,11,58,283,194,184,108,77,80,23,1023,0,6,56,55,53,27,21,3,0,219,0,4,12,19,27,17,6,0,0,80,0,47,172,115,78,63,27,23,5,522,3,16,48,37,33,20,32,12,0,197,0,13,45,32,49,16,29,24,11,227,0,6,3,3,0,0,0,0,0,29,0,0,5,6,4,0,13,4,0,27,5,28,50,49,51,16,44,24,11,277,0,0,3,8,6,3,8,9,0,37,8,18,31,25,23,17,15,26,7,169,22,110,372,303,267,162,152,92,20,1505,0,8,76,69,60,46,22,19,10,296,0,0,23,24,26,22,10,3,0,108,0,36,185,117,97,56,39,28,8,562
801091106,0,5,4,0,3,0,0,0,0,12,0,0,0,3,6,0,7,4,0,26,10,14,21,17,26,16,16,13,6,130,0,0,3,0,0,0,0,0,0,10,0,3,16,11,0,5,12,10,4,71,7,57,253,251,179,158,105,79,21,1108,0,0,57,49,47,39,28,11,3,236,0,0,16,17,30,14,7,3,0,85,0,43,169,104,103,73,59,32,15,594,0,9,43,46,64,41,46,14,4,262,6,30,53,42,59,31,24,17,3,259,3,4,10,3,4,4,6,0,0,31,0,3,8,4,10,5,3,0,0,33,8,36,65,48,69,44,28,21,3,325,0,4,3,3,9,3,14,3,0,48,11,16,27,18,25,7,13,35,8,168,21,109,380,292,333,229,197,127,34,1718,0,0,66,81,55,43,23,19,7,301,0,0,17,21,12,33,11,10,0,108,0,42,196,158,93,102,65,40,12,710
801091107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,3,7,7,6,0,34,0,0,0,0,0,0,5,0,0,0,0,0,0,3,5,5,6,0,0,17,0,15,22,30,77,59,51,20,8,281,0,0,4,19,38,18,14,0,0,96,0,0,4,0,13,3,3,0,0,20,0,6,20,33,49,40,17,8,4,175,0,0,3,12,15,11,9,3,4,60,0,3,10,3,9,10,15,0,0,49,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,5,0,0,0,13,0,3,10,11,12,12,15,0,0,64,0,0,3,4,0,3,0,0,0,17,0,6,0,0,5,5,3,4,0,23,0,16,39,75,131,98,63,19,13,451,0,0,3,14,40,33,27,3,0,125,0,0,0,7,13,3,9,5,0,36,0,14,28,41,52,53,36,11,4,231
801091108,0,0,0,0,0,0,4,3,0,13,0,3,0,0,0,4,5,4,0,20,5,10,11,15,20,23,9,8,0,98,0,0,0,0,0,0,0,0,0,8,4,3,4,9,7,10,21,6,10,60,5,44,118,159,177,143,106,75,23,845,0,0,34,51,53,49,17,11,3,210,0,0,16,20,31,22,10,0,0,93,0,34,88,114,99,86,56,27,8,508,4,6,20,52,42,35,27,15,0,195,7,28,41,42,30,15,26,11,12,207,0,0,5,3,0,0,0,0,0,17,0,0,4,8,10,14,11,7,0,38,6,26,48,49,41,33,34,14,12,265,0,0,0,12,3,12,8,3,0,39,16,7,19,16,7,13,16,17,3,111,28,73,220,306,279,240,171,89,29,1432,0,0,27,54,59,52,29,3,7,237,0,0,13,17,25,32,12,3,0,101,0,33,95,121,98,79,59,43,11,543
801091109,0,3,8,4,0,3,0,0,0,17,0,3,6,4,9,9,3,5,0,39,6,27,57,36,36,31,19,8,6,218,0,0,4,3,3,0,0,3,0,13,0,23,45,11,16,9,7,5,0,112,4,182,904,370,223,153,97,43,7,1983,0,3,86,46,17,19,9,0,0,183,0,5,29,19,17,17,4,0,0,83,0,64,322,121,55,30,13,8,6,618,0,15,61,45,24,27,21,12,5,205,3,28,49,25,27,21,7,11,5,164,0,7,8,0,0,3,0,0,0,23,0,0,4,0,0,0,0,0,0,11,4,31,55,28,32,20,7,9,5,197,0,3,7,5,6,7,3,0,0,32,7,11,33,23,21,11,4,6,4,115,10,132,592,292,166,131,67,37,10,1437,0,0,148,88,25,33,18,7,0,315,0,4,56,35,21,15,13,3,0,148,0,63,433,183,87,45,30,12,11,860
801091110,6,0,0,3,0,0,0,0,0,14,0,0,0,0,11,3,6,5,0,29,3,9,10,19,25,15,9,11,0,100,0,0,0,0,0,0,6,0,0,9,0,10,3,3,5,6,9,8,6,50,5,38,111,165,149,113,71,47,9,707,0,3,18,47,34,32,9,5,0,153,0,0,7,20,18,27,5,0,0,76,0,17,101,98,104,73,56,19,7,466,0,11,17,43,36,29,20,16,0,170,0,14,32,42,37,20,22,10,0,178,0,3,3,5,0,0,0,0,0,12,0,0,0,6,4,0,10,0,0,25,0,15,37,59,44,21,31,10,0,218,0,0,0,7,7,4,8,6,3,35,16,4,19,12,4,17,15,5,3,93,16,49,196,285,243,192,144,63,18,1204,0,0,18,50,55,33,9,7,3,179,0,0,4,13,20,21,14,0,0,81,0,22,71,109,98,74,43,23,4,444
801101134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801101135,0,4,6,0,0,3,0,0,0,14,7,0,0,3,3,6,0,0,0,20,4,22,41,29,19,15,0,0,0,139,0,0,4,5,0,0,0,0,0,9,6,11,34,18,8,3,8,0,0,84,13,100,586,471,174,78,37,12,5,1473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,89,30,15,3,0,0,195,0,6,19,24,5,6,0,0,0,63,0,30,153,122,44,11,13,3,0,377
801101136,0,3,0,0,0,0,0,0,0,3,0,0,6,3,4,0,0,0,0,9,0,11,21,16,13,7,5,0,0,70,0,0,0,3,0,0,0,0,0,4,0,4,12,17,6,3,0,0,0,45,5,51,321,300,99,47,20,3,0,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801101137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801101139,7,0,0,0,3,5,3,0,0,14,0,0,0,0,0,4,3,5,0,8,3,26,34,17,25,14,7,5,0,136,0,0,6,5,0,0,3,0,0,11,0,3,29,11,5,9,8,0,0,74,7,94,483,373,175,101,50,3,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,3,0,6,114,100,45,13,15,4,0,293,0,3,34,25,13,12,6,0,0,92,0,59,363,198,59,28,13,5,0,736
801101145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801101146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801111140,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,4,0,5,9,8,8,4,4,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,15,0,6,32,51,27,31,8,0,0,161,0,0,10,11,4,0,0,0,0,26,0,0,0,3,0,3,0,0,0,6,0,6,27,16,5,3,3,0,0,63,0,6,6,8,7,3,0,0,0,33,0,22,17,16,13,7,0,0,0,79,0,0,0,3,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,9,0,19,17,22,17,9,0,0,0,86,0,0,0,0,0,0,0,0,0,0,4,0,5,7,0,4,0,0,0,16,3,30,65,65,41,19,6,0,0,237,0,0,6,11,7,8,0,0,0,34,0,0,0,3,0,4,0,0,0,11,0,0,16,24,6,3,3,0,0,63
801111141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,3,0,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
