SA2_CODE_2021,Uses_Engl_only_C11_M,Uses_Engl_only_C11_F,Uses_Engl_only_C11_P,Uses_Engl_only_C16_M,Uses_Engl_only_C16_F,Uses_Engl_only_C16_P,Uses_Engl_only_C21_M,Uses_Engl_only_C21_F,Uses_Engl_only_C21_P,UOL_Arabic_C11_M,UOL_Arabic_C11_F,UOL_Arabic_C11_P,UOL_Arabic_C16_M,UOL_Arabic_C16_F,UOL_Arabic_C16_P,UOL_Arabic_C21_M,UOL_Arabic_C21_F,UOL_Arabic_C21_P,UOL_Aus_In_La_C11_M,UOL_Aus_In_La_C11_F,UOL_Aus_In_La_C11_P,UOL_Aus_In_La_C16_M,UOL_Aus_In_La_C16_F,UOL_Aus_In_La_C16_P,UOL_Aus_In_La_C21_M,UOL_Aus_In_La_C21_F,UOL_Aus_In_La_C21_P,UOL_Bengali_C11_M,UOL_Bengali_C11_F,UOL_Bengali_C11_P,UOL_Bengali_C16_M,UOL_Bengali_C16_F,UOL_Bengali_C16_P,UOL_Bengali_C21_M,UOL_Bengali_C21_F,UOL_Bengali_C21_P,UOL_Canton_C11_M,UOL_Canton_C11_F,UOL_Canton_C11_P,UOL_Canton_C16_M,UOL_Canton_C16_F,UOL_Canton_C16_P,UOL_Canton_C21_M,UOL_Canton_C21_F,UOL_Canton_C21_P,UOL_Mandar_C11_M,UOL_Mandar_C11_F,UOL_Mandar_C11_P,UOL_Mandar_C16_M,UOL_Mandar_C16_F,UOL_Mandar_C16_P,UOL_Mandar_C21_M,UOL_Mandar_C21_F,UOL_Mandar_C21_P,UOL_CL_Oth_C11_M,UOL_CL_Oth_C11_F,UOL_CL_Oth_C11_P,UOL_CL_Oth_C16_M,UOL_CL_Oth_C16_F,UOL_CL_Oth_C16_P,UOL_CL_Oth_C21_M,UOL_CL_Oth_C21_F,UOL_CL_Oth_C21_P,UOL_CL_Tot_C11_M,UOL_CL_Tot_C11_F,UOL_CL_Tot_C11_P,UOL_CL_Tot_C16_M,UOL_CL_Tot_C16_F,UOL_CL_Tot_C16_P,UOL_CL_Tot_C21_M,UOL_CL_Tot_C21_F,UOL_CL_Tot_C21_P,UOL_Croatian_C11_M,UOL_Croatian_C11_F,UOL_Croatian_C11_P,UOL_Croatian_C16_M,UOL_Croatian_C16_F,UOL_Croatian_C16_P,UOL_Croatian_C21_M,UOL_Croatian_C21_F,UOL_Croatian_C21_P,UOL_Filipino_C11_M,UOL_Filipino_C11_F,UOL_Filipino_C11_P,UOL_Filipino_C16_M,UOL_Filipino_C16_F,UOL_Filipino_C16_P,UOL_Filipino_C21_M,UOL_Filipino_C21_F,UOL_Filipino_C21_P,UOL_French_C11_M,UOL_French_C11_F,UOL_French_C11_P,UOL_French_C16_M,UOL_French_C16_F,UOL_French_C16_P,UOL_French_C21_M,UOL_French_C21_F,UOL_French_C21_P,UOL_German_C11_M,UOL_German_C11_F,UOL_German_C11_P,UOL_German_C16_M,UOL_German_C16_F,UOL_German_C16_P,UOL_German_C21_M,UOL_German_C21_F,UOL_German_C21_P,UOL_Gre_C11_M,UOL_Gre_C11_F,UOL_Gre_C11_P,UOL_Gre_C16_M,UOL_Gre_C16_F,UOL_Gre_C16_P,UOL_Gre_C21_M,UOL_Gre_C21_F,UOL_Gre_C21_P,UOL_Gujarati_C11_M,UOL_Gujarati_C11_F,UOL_Gujarati_C11_P,UOL_Gujarati_C16_M,UOL_Gujarati_C16_F,UOL_Gujarati_C16_P,UOL_Gujarati_C21_M,UOL_Gujarati_C21_F,UOL_Gujarati_C21_P,UOL_Hindi_C11_M,UOL_Hindi_C11_F,UOL_Hindi_C11_P,UOL_Hindi_C16_M,UOL_Hindi_C16_F,UOL_Hindi_C16_P,UOL_Hindi_C21_M,UOL_Hindi_C21_F,UOL_Hindi_C21_P,UOL_Indon_C11_M,UOL_Indon_C11_F,UOL_Indon_C11_P,UOL_Indon_C16_M,UOL_Indon_C16_F,UOL_Indon_C16_P,UOL_Indon_C21_M,UOL_Indon_C21_F,UOL_Indon_C21_P,UOL_Italian_C11_M,UOL_Italian_C11_F,UOL_Italian_C11_P,UOL_Italian_C16_M,UOL_Italian_C16_F,UOL_Italian_C16_P,UOL_Italian_C21_M,UOL_Italian_C21_F,UOL_Italian_C21_P,UOL_Japanes_C11_M,UOL_Japanes_C11_F,UOL_Japanes_C11_P,UOL_Japanes_C16_M,UOL_Japanes_C16_F,UOL_Japanes_C16_P,UOL_Japanes_C21_M,UOL_Japanes_C21_F,UOL_Japanes_C21_P,UOL_Korean_C11_M,UOL_Korean_C11_F,UOL_Korean_C11_P,UOL_Korean_C16_M,UOL_Korean_C16_F,UOL_Korean_C16_P,UOL_Korean_C21_M,UOL_Korean_C21_F,UOL_Korean_C21_P,UOL_Mac_C11_M,UOL_Mac_C11_F,UOL_Mac_C11_P,UOL_Mac_C16_M,UOL_Mac_C16_F,UOL_Mac_C16_P,UOL_Mac_C21_M,UOL_Mac_C21_F,UOL_Mac_C21_P,UOL_Malayalam_C11_M,UOL_Malayalam_C11_F,UOL_Malayalam_C11_P,UOL_Malayalam_C16_M,UOL_Malayalam_C16_F,UOL_Malayalam_C16_P,UOL_Malayalam_C21_M,UOL_Malayalam_C21_F,UOL_Malayalam_C21_P,UOL_Nepali_C11_M,UOL_Nepali_C11_F,UOL_Nepali_C11_P,UOL_Nepali_C16_M,UOL_Nepali_C16_F,UOL_Nepali_C16_P,UOL_Nepali_C21_M,UOL_Nepali_C21_F,UOL_Nepali_C21_P,UOL_Pe_ex_Da_C11_M,UOL_Pe_ex_Da_C11_F
801081092,1414,1413,2821,1324,1359,2678,1394,1402,2794,0,0,0,3,5,8,6,4,7,0,0,0,0,0,0,0,7,3,5,0,3,0,0,0,0,4,9,0,0,0,3,4,8,5,0,4,4,9,7,13,15,29,16,18,34,0,0,0,0,0,0,0,0,0,4,9,11,14,21,35,20,24,44,10,10,25,9,11,22,15,24,41,0,0,6,0,0,0,3,5,6,0,0,0,6,4,12,14,9,16,18,15,30,11,12,24,9,14,23,3,7,15,0,5,6,7,4,5,0,0,0,0,0,0,3,0,3,0,3,4,3,0,5,0,0,3,0,3,3,4,3,10,4,3,14,21,18,39,12,16,21,10,15,27,4,3,8,3,5,7,7,4,9,0,0,0,0,0,0,0,5,8,0,7,0,0,4,8,0,0,3,0,0,0,4,6,7,16,14,27,0,0,0,0,0,0,10,0,12,3,0
801081093,1250,1352,2601,1194,1275,2470,1247,1327,2573,8,9,20,3,5,6,7,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,5,12,13,14,27,11,10,25,14,18,32,16,21,44,14,19,32,0,6,5,0,0,0,0,0,5,13,34,49,31,33,69,27,34,60,6,13,14,9,12,18,6,10,14,0,0,0,0,5,3,3,10,15,5,8,13,5,9,19,11,18,26,11,11,20,11,11,25,8,10,13,16,15,27,14,12,29,9,14,21,5,0,9,0,0,0,6,6,14,3,0,5,0,4,3,5,5,13,0,0,0,0,0,0,0,0,0,14,18,27,14,9,29,13,13,23,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,6,0,6,7,0,10,0,0,0,32,40,73,0,0,0,4,4,10,23,21,43,0,3
801081094,1136,1172,2308,1054,1081,2138,1109,1161,2275,10,10,14,13,19,34,5,7,14,0,0,0,0,0,0,0,0,0,0,0,0,8,8,9,9,9,14,6,13,20,6,10,19,7,14,19,8,16,22,12,17,24,13,23,34,0,0,0,0,0,0,0,0,0,17,26,44,21,21,43,17,33,52,3,8,12,8,8,11,6,9,11,6,4,9,0,0,6,3,4,8,13,7,16,8,13,22,7,3,8,0,0,0,4,5,6,7,0,10,3,4,6,4,3,11,3,6,10,4,8,14,3,0,9,0,0,3,0,5,7,5,3,7,6,4,14,7,6,11,8,0,14,5,3,10,6,5,16,10,8,18,13,11,21,3,3,8,0,0,0,4,6,7,0,0,4,0,0,0,0,6,5,0,4,6,3,0,3,8,6,9,0,0,0,0,0,0,6,6,11,0,0,0,0,5,10,8,10,21,3,0
801081095,1284,1397,2678,1241,1372,2611,1330,1418,2740,0,0,0,7,15,26,9,11,19,0,4,4,0,0,0,0,3,3,0,5,3,4,4,11,3,0,8,5,5,11,3,0,9,3,5,9,9,11,24,12,16,27,13,17,29,0,0,0,0,0,0,0,0,0,14,22,39,19,24,42,14,25,38,11,15,26,9,12,24,3,17,22,0,4,4,0,3,3,4,0,7,12,9,18,21,7,30,21,11,34,15,15,26,10,11,25,11,12,22,3,7,13,4,6,9,4,0,7,0,0,0,3,4,7,3,0,0,0,0,3,0,5,6,9,7,18,0,0,0,0,0,0,0,0,0,3,8,8,0,3,4,3,8,6,3,0,3,6,4,12,0,0,0,0,0,0,0,5,5,0,7,10,4,3,10,6,3,8,7,3,11,0,0,0,0,0,0,10,7,20,0,0,0,3,3,6,3,4,10,4,3
801081096,798,822,1624,759,854,1612,831,894,1718,0,0,3,10,3,13,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,6,15,10,10,19,9,19,23,20,17,44,13,16,28,8,11,16,6,3,7,0,0,0,3,9,7,35,33,64,25,26,47,18,32,50,15,17,34,17,13,29,10,18,31,6,3,4,0,0,0,4,0,4,7,18,22,5,15,16,6,12,19,14,12,17,12,15,22,11,11,16,9,5,14,8,3,17,6,3,6,0,0,0,0,0,0,0,0,0,8,0,11,5,0,8,4,8,12,12,5,15,0,4,12,4,3,7,19,25,42,21,22,46,13,19,35,3,4,9,0,0,4,6,0,9,3,9,7,8,10,15,0,4,4,0,3,4,0,0,0,0,0,0,3,0,10,3,7,13,14,11,26,3,4,9,0,0,0,0,3,7,0,4
801081097,1062,1095,2154,1050,1084,2134,1096,1142,2240,6,7,17,5,4,8,6,9,12,0,0,0,0,0,0,0,0,3,6,0,7,7,9,9,3,5,10,3,3,3,10,8,12,8,8,11,4,11,15,6,14,19,9,12,17,0,6,6,0,0,0,0,3,3,6,12,20,9,16,30,16,18,33,3,11,18,6,11,18,3,10,7,0,0,0,10,6,14,6,4,9,0,3,5,6,6,7,12,13,21,7,9,14,11,4,11,3,3,9,11,7,22,4,5,13,8,10,13,0,0,0,4,7,5,3,5,15,5,0,9,4,0,7,6,7,17,0,3,3,0,3,0,3,4,5,16,14,31,19,18,43,18,12,29,0,9,7,5,10,17,5,4,7,4,4,5,4,4,5,0,0,0,4,0,4,0,0,4,0,0,5,5,0,4,3,3,10,5,11,12,0,0,0,0,0,0,10,10,21,3,5
801081098,1312,1427,2737,1314,1386,2697,1519,1586,3104,7,8,12,21,10,30,12,8,20,0,0,0,0,4,3,0,0,0,7,0,9,8,0,9,13,7,22,12,13,23,9,7,13,9,9,20,16,16,29,17,17,35,31,41,71,0,0,0,5,5,4,0,3,8,29,26,53,27,26,56,38,53,92,9,8,17,9,7,18,9,6,16,0,0,0,6,8,10,8,9,21,18,15,26,5,13,18,17,22,40,10,26,35,9,18,29,9,19,32,12,11,24,11,10,22,7,16,18,0,0,0,0,0,0,7,0,4,0,10,11,7,3,13,6,4,16,4,9,8,10,12,19,10,5,19,18,13,23,10,17,30,13,18,30,6,4,8,4,4,8,4,15,12,0,0,0,0,0,4,0,3,0,0,0,6,0,0,0,0,0,0,0,0,4,4,5,11,13,12,21,5,5,7,8,3,9,13,10,18,0,4
801081133,10,4,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801091099,918,916,1839,869,878,1753,927,982,1910,6,3,12,3,4,9,8,9,17,0,0,5,0,4,9,0,0,0,6,6,9,7,6,15,0,9,7,14,9,21,9,4,18,7,6,20,12,19,35,15,21,40,20,41,55,4,3,5,0,0,0,0,0,5,25,36,59,25,26,58,24,54,78,4,7,9,4,11,10,12,5,18,6,3,6,5,3,9,9,6,16,13,9,23,10,3,11,9,7,16,4,15,24,6,12,22,4,8,13,9,11,17,7,8,22,15,13,29,0,0,3,0,4,7,3,5,6,10,17,28,16,18,30,12,12,19,7,6,13,4,6,12,0,4,4,11,18,26,5,10,22,3,8,15,3,0,12,3,5,7,3,5,11,7,8,11,11,4,18,3,0,3,0,0,0,0,0,6,3,4,7,15,19,34,13,10,22,5,4,3,4,3,3,3,4,12,64,54,116,0,5
801091100,2122,2308,4427,2055,2164,4216,2215,2329,4542,8,3,13,7,14,28,4,5,14,0,0,0,0,5,5,0,0,0,3,6,3,3,8,11,6,3,5,9,3,14,4,6,10,14,22,33,7,22,34,18,23,37,40,42,81,0,0,5,0,5,6,0,0,9,18,29,49,23,33,56,58,65,121,8,7,14,7,6,11,0,3,11,0,4,6,8,10,18,5,8,5,19,25,48,21,32,55,24,24,50,22,22,44,14,20,35,15,6,24,15,20,33,15,22,37,22,25,45,0,0,3,0,0,5,5,4,4,11,12,23,5,9,19,10,14,24,6,7,22,7,4,16,8,3,12,23,35,56,18,44,71,22,38,58,9,9,19,15,15,30,12,12,17,6,7,9,7,10,14,9,3,12,6,5,10,0,5,9,0,0,5,7,6,11,15,21,41,14,11,25,0,0,3,15,14,27,42,38,83,0,0
