SA2_CODE_2021,Uses_Engl_only_C11_M,Uses_Engl_only_C11_F,Uses_Engl_only_C11_P,Uses_Engl_only_C16_M,Uses_Engl_only_C16_F,Uses_Engl_only_C16_P,Uses_Engl_only_C21_M,Uses_Engl_only_C21_F,Uses_Engl_only_C21_P,UOL_Arabic_C11_M,UOL_Arabic_C11_F,UOL_Arabic_C11_P,UOL_Arabic_C16_M,UOL_Arabic_C16_F,UOL_Arabic_C16_P,UOL_Arabic_C21_M,UOL_Arabic_C21_F,UOL_Arabic_C21_P,UOL_Aus_In_La_C11_M,UOL_Aus_In_La_C11_F,UOL_Aus_In_La_C11_P,UOL_Aus_In_La_C16_M,UOL_Aus_In_La_C16_F,UOL_Aus_In_La_C16_P,UOL_Aus_In_La_C21_M,UOL_Aus_In_La_C21_F,UOL_Aus_In_La_C21_P,UOL_Bengali_C11_M,UOL_Bengali_C11_F,UOL_Bengali_C11_P,UOL_Bengali_C16_M,UOL_Bengali_C16_F,UOL_Bengali_C16_P,UOL_Bengali_C21_M,UOL_Bengali_C21_F,UOL_Bengali_C21_P,UOL_Canton_C11_M,UOL_Canton_C11_F,UOL_Canton_C11_P,UOL_Canton_C16_M,UOL_Canton_C16_F,UOL_Canton_C16_P,UOL_Canton_C21_M,UOL_Canton_C21_F,UOL_Canton_C21_P,UOL_Mandar_C11_M,UOL_Mandar_C11_F,UOL_Mandar_C11_P,UOL_Mandar_C16_M,UOL_Mandar_C16_F,UOL_Mandar_C16_P,UOL_Mandar_C21_M,UOL_Mandar_C21_F,UOL_Mandar_C21_P,UOL_CL_Oth_C11_M,UOL_CL_Oth_C11_F,UOL_CL_Oth_C11_P,UOL_CL_Oth_C16_M,UOL_CL_Oth_C16_F,UOL_CL_Oth_C16_P,UOL_CL_Oth_C21_M,UOL_CL_Oth_C21_F,UOL_CL_Oth_C21_P,UOL_CL_Tot_C11_M,UOL_CL_Tot_C11_F,UOL_CL_Tot_C11_P,UOL_CL_Tot_C16_M,UOL_CL_Tot_C16_F,UOL_CL_Tot_C16_P,UOL_CL_Tot_C21_M,UOL_CL_Tot_C21_F,UOL_CL_Tot_C21_P,UOL_Croatian_C11_M,UOL_Croatian_C11_F,UOL_Croatian_C11_P,UOL_Croatian_C16_M,UOL_Croatian_C16_F,UOL_Croatian_C16_P,UOL_Croatian_C21_M,UOL_Croatian_C21_F,UOL_Croatian_C21_P,UOL_Filipino_C11_M,UOL_Filipino_C11_F,UOL_Filipino_C11_P,UOL_Filipino_C16_M,UOL_Filipino_C16_F,UOL_Filipino_C16_P,UOL_Filipino_C21_M,UOL_Filipino_C21_F,UOL_Filipino_C21_P,UOL_French_C11_M,UOL_French_C11_F,UOL_French_C11_P,UOL_French_C16_M,UOL_French_C16_F,UOL_French_C16_P,UOL_French_C21_M,UOL_French_C21_F,UOL_French_C21_P,UOL_German_C11_M,UOL_German_C11_F,UOL_German_C11_P,UOL_German_C16_M,UOL_German_C16_F,UOL_German_C16_P,UOL_German_C21_M,UOL_German_C21_F,UOL_German_C21_P,UOL_Gre_C11_M,UOL_Gre_C11_F,UOL_Gre_C11_P,UOL_Gre_C16_M,UOL_Gre_C16_F,UOL_Gre_C16_P,UOL_Gre_C21_M,UOL_Gre_C21_F,UOL_Gre_C21_P,UOL_Gujarati_C11_M,UOL_Gujarati_C11_F,UOL_Gujarati_C11_P,UOL_Gujarati_C16_M,UOL_Gujarati_C16_F,UOL_Gujarati_C16_P,UOL_Gujarati_C21_M,UOL_Gujarati_C21_F,UOL_Gujarati_C21_P,UOL_Hindi_C11_M,UOL_Hindi_C11_F,UOL_Hindi_C11_P,UOL_Hindi_C16_M,UOL_Hindi_C16_F,UOL_Hindi_C16_P,UOL_Hindi_C21_M,UOL_Hindi_C21_F,UOL_Hindi_C21_P,UOL_Indon_C11_M,UOL_Indon_C11_F,UOL_Indon_C11_P,UOL_Indon_C16_M,UOL_Indon_C16_F,UOL_Indon_C16_P,UOL_Indon_C21_M,UOL_Indon_C21_F,UOL_Indon_C21_P,UOL_Italian_C11_M,UOL_Italian_C11_F,UOL_Italian_C11_P,UOL_Italian_C16_M,UOL_Italian_C16_F,UOL_Italian_C16_P,UOL_Italian_C21_M,UOL_Italian_C21_F,UOL_Italian_C21_P,UOL_Japanes_C11_M,UOL_Japanes_C11_F,UOL_Japanes_C11_P,UOL_Japanes_C16_M,UOL_Japanes_C16_F,UOL_Japanes_C16_P,UOL_Japanes_C21_M,UOL_Japanes_C21_F,UOL_Japanes_C21_P,UOL_Korean_C11_M,UOL_Korean_C11_F,UOL_Korean_C11_P,UOL_Korean_C16_M,UOL_Korean_C16_F,UOL_Korean_C16_P,UOL_Korean_C21_M,UOL_Korean_C21_F,UOL_Korean_C21_P,UOL_Mac_C11_M,UOL_Mac_C11_F,UOL_Mac_C11_P,UOL_Mac_C16_M,UOL_Mac_C16_F,UOL_Mac_C16_P,UOL_Mac_C21_M,UOL_Mac_C21_F,UOL_Mac_C21_P,UOL_Malayalam_C11_M,UOL_Malayalam_C11_F,UOL_Malayalam_C11_P,UOL_Malayalam_C16_M,UOL_Malayalam_C16_F,UOL_Malayalam_C16_P,UOL_Malayalam_C21_M,UOL_Malayalam_C21_F,UOL_Malayalam_C21_P,UOL_Nepali_C11_M,UOL_Nepali_C11_F,UOL_Nepali_C11_P,UOL_Nepali_C16_M,UOL_Nepali_C16_F,UOL_Nepali_C16_P,UOL_Nepali_C21_M,UOL_Nepali_C21_F,UOL_Nepali_C21_P,UOL_Pe_ex_Da_C11_M,UOL_Pe_ex_Da_C11_F
801091101,1346,1410,2759,1301,1283,2583,1466,1494,2963,3,11,13,16,12,29,13,20,31,4,0,5,0,0,0,0,0,0,6,7,14,4,9,5,6,6,11,10,15,30,10,15,26,10,18,29,15,15,29,12,23,38,29,28,52,5,5,10,0,0,0,0,0,0,27,38,64,25,42,66,39,40,79,5,6,5,0,4,5,10,4,14,0,6,6,3,8,7,0,5,5,13,13,21,16,24,43,14,26,38,16,15,29,15,11,27,10,9,19,19,23,36,11,20,36,17,18,33,0,0,0,3,4,7,0,0,0,6,6,9,6,12,19,22,14,36,4,4,16,4,5,15,6,9,13,24,23,41,22,22,36,16,16,31,0,0,0,0,9,14,3,4,4,4,4,11,6,4,12,8,6,14,0,0,0,0,0,0,0,0,0,3,5,10,10,6,17,3,8,12,0,0,0,0,0,6,27,19,49,0,3
801091102,1168,1264,2429,1100,1173,2273,1187,1286,2474,15,7,17,14,15,25,6,11,17,0,4,4,0,0,3,0,0,3,8,10,15,0,3,3,14,23,39,9,16,28,5,12,18,8,16,23,43,46,84,61,60,120,56,58,113,3,0,6,0,5,4,5,0,5,52,59,120,67,77,143,65,80,144,9,5,9,3,4,12,8,9,12,8,8,19,9,17,28,5,4,10,7,8,14,11,20,31,12,14,22,19,14,32,12,20,36,13,7,23,26,21,45,22,15,37,21,20,41,0,0,0,0,0,0,4,4,12,5,7,14,15,26,35,23,29,52,6,10,15,8,11,20,13,5,18,9,16,22,10,16,27,8,14,21,9,11,23,7,11,20,3,16,19,4,12,11,9,10,20,3,9,13,3,3,9,5,5,8,4,7,11,15,13,22,69,66,136,52,41,87,6,8,15,11,7,17,16,27,45,4,3
801091103,1092,1297,2389,1119,1270,2393,1238,1362,2599,4,6,11,9,5,15,7,0,12,0,0,0,0,0,0,0,0,0,14,7,15,8,4,11,3,0,9,5,14,22,10,7,14,10,12,27,9,12,12,7,9,22,7,19,30,0,0,0,3,3,8,0,0,0,13,21,37,17,22,40,27,28,54,6,0,6,0,4,4,3,8,11,5,0,4,3,4,4,0,3,8,17,11,26,16,26,37,22,24,44,7,13,20,6,8,14,5,7,11,13,7,21,8,3,10,4,6,14,0,3,4,0,0,0,5,5,8,8,14,21,7,5,15,10,6,13,27,14,40,8,10,16,5,10,14,10,12,21,11,11,21,6,4,13,0,3,3,4,4,5,0,8,12,11,9,24,0,4,12,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,10,6,22,5,3,11,0,0,5,4,0,9,26,20,47,0,5
801091104,763,830,1597,731,809,1540,773,799,1578,16,18,33,12,15,26,5,6,8,0,0,0,0,0,0,0,0,3,5,12,19,5,12,16,8,10,20,41,31,69,31,23,56,28,31,60,19,23,46,31,49,74,37,48,86,4,6,5,0,3,4,3,4,10,55,65,123,61,78,138,72,87,153,10,7,23,6,11,20,5,10,13,4,0,3,0,0,0,0,0,0,3,3,5,3,3,6,3,0,7,16,19,33,12,10,22,11,11,17,18,15,31,12,16,32,15,21,33,0,4,3,6,0,4,3,0,9,13,15,27,17,14,30,15,22,38,7,6,14,0,0,0,4,0,6,12,16,32,13,20,32,5,9,17,3,3,3,0,5,10,5,3,8,0,3,7,0,0,0,0,0,8,0,0,5,6,0,7,3,5,8,10,4,9,22,20,39,19,12,32,3,6,8,7,10,14,3,4,3,8,11
801091105,992,975,1965,1070,991,2062,1076,1081,2165,12,15,22,16,12,34,12,5,13,0,0,0,5,0,0,0,0,0,10,7,16,12,15,24,15,11,29,13,7,20,7,13,20,9,14,19,21,31,54,35,50,89,22,26,51,8,0,8,0,6,4,0,4,6,38,41,81,40,66,109,33,46,74,0,0,4,3,4,5,0,4,6,0,0,5,7,9,18,4,13,18,7,6,16,9,14,21,7,10,26,11,15,28,16,19,33,11,14,20,5,15,22,4,9,12,11,12,15,0,0,4,0,0,0,4,0,4,25,20,46,9,16,24,15,29,38,4,17,17,4,8,15,8,9,11,17,19,37,14,17,29,18,18,36,0,0,3,0,0,0,0,5,3,9,10,10,15,12,23,4,3,9,0,0,0,0,0,0,0,3,3,8,4,5,4,4,12,0,6,6,6,3,14,8,7,15,109,89,193,4,0
801091106,1089,1076,2175,1055,1115,2166,1126,1157,2281,12,11,29,21,18,36,8,8,22,0,0,0,0,0,0,4,0,4,7,9,12,10,11,23,9,16,31,8,20,26,13,16,27,6,11,22,18,17,37,65,63,126,50,59,106,0,6,7,0,0,0,0,0,3,28,44,71,77,80,153,58,72,130,7,11,20,8,8,14,4,6,11,12,18,31,7,22,36,23,25,41,7,12,24,5,16,22,12,16,30,9,8,15,3,3,6,8,4,5,14,20,26,9,12,21,9,8,17,0,4,5,3,3,10,6,0,7,19,12,32,24,29,49,18,10,26,8,3,12,6,3,10,0,3,0,11,9,26,17,23,40,11,19,25,0,3,3,5,5,10,9,0,6,3,10,9,7,9,9,9,13,20,6,8,8,0,5,3,0,3,0,13,12,26,29,22,52,10,20,35,4,5,11,13,17,26,71,73,150,0,0
801091107,259,254,511,264,258,517,257,234,491,10,7,16,16,21,37,13,12,25,0,0,0,0,0,0,0,0,0,0,3,9,11,11,22,8,10,15,17,12,26,19,15,35,16,14,26,9,8,18,18,25,41,21,27,46,5,6,8,0,0,0,0,0,0,35,24,53,36,37,74,37,39,80,13,11,18,12,9,24,16,8,29,0,0,0,0,0,0,0,0,0,4,4,9,5,4,7,4,6,7,0,4,3,0,0,0,0,0,0,27,26,54,15,20,37,12,32,42,0,0,0,0,0,0,0,0,0,7,9,16,5,9,10,9,15,23,0,0,0,0,0,4,0,3,5,20,18,37,17,18,31,8,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,19,5,0,4,8,8,11,0,0,0,4,0,4,0,0,5,0,0,0,0,0,0,0,0,4,4,0
801091108,1015,1027,2042,1025,992,2020,1063,1046,2113,3,9,6,3,7,13,7,11,18,0,0,0,0,0,0,0,7,3,6,0,4,13,0,11,3,4,6,11,9,20,4,12,16,7,5,14,9,13,19,13,16,28,15,23,30,3,0,4,0,0,0,0,0,0,23,22,42,18,24,42,17,21,43,0,8,6,9,8,16,7,4,16,0,3,5,0,4,4,0,6,6,14,9,23,4,7,12,4,4,9,7,3,11,3,7,6,4,6,7,19,21,40,18,12,27,13,16,25,0,0,0,0,0,3,7,4,6,14,11,25,9,10,16,21,15,37,4,7,14,6,4,13,0,3,0,31,22,53,17,30,53,18,25,44,0,5,11,4,0,4,4,5,6,3,4,6,9,5,8,3,4,11,10,3,15,4,9,7,4,10,16,5,12,11,20,24,39,12,14,24,3,0,3,5,4,12,22,12,33,0,0
801091109,639,679,1319,701,730,1429,1419,1459,2877,17,14,31,13,14,27,30,31,62,0,0,4,0,0,0,0,4,5,6,10,12,6,8,17,22,24,47,8,11,21,27,27,53,40,37,82,19,35,55,31,47,78,67,112,181,0,0,0,5,4,6,4,9,11,34,45,81,59,74,137,109,160,270,0,3,5,0,0,0,6,4,9,10,19,25,17,28,50,42,55,101,8,10,16,7,3,14,12,17,21,3,3,6,0,3,3,0,0,3,5,5,13,4,0,10,11,11,24,7,4,12,8,8,12,9,7,19,14,11,29,20,25,49,32,31,66,9,4,6,3,9,12,0,9,6,0,6,3,8,8,13,14,11,21,10,3,16,13,8,26,22,15,36,5,4,10,20,24,50,29,42,74,0,0,0,0,4,4,4,9,10,59,78,136,170,190,358,113,134,247,7,0,4,6,5,10,164,148,307,0,7
801091110,927,922,1853,864,841,1706,953,914,1869,0,0,0,12,11,24,8,7,17,0,0,0,0,0,5,0,0,0,0,0,0,7,0,8,9,8,7,12,8,16,6,8,17,4,10,8,15,21,41,26,43,70,17,36,54,0,7,4,0,0,0,0,0,0,23,38,66,39,49,89,22,42,64,0,0,4,4,6,7,7,0,6,0,7,9,3,0,4,7,8,13,3,3,7,0,6,5,9,3,6,4,11,13,5,5,12,3,4,8,20,21,43,7,17,28,6,13,20,0,0,0,4,0,7,5,0,0,5,7,6,3,5,8,5,7,15,0,0,4,4,8,6,0,0,0,23,21,45,15,16,28,18,19,32,0,0,0,0,0,0,4,3,7,10,7,11,0,5,7,0,5,4,4,4,7,5,11,13,5,7,13,0,3,7,9,8,16,9,10,22,0,3,4,0,3,0,8,3,5,0,3
801101134,0,0,0,0,0,5,4,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801101135,0,0,0,495,513,1007,1199,1227,2431,0,0,0,20,17,38,47,53,101,0,0,0,0,0,4,0,0,0,0,0,0,15,15,34,46,42,85,0,0,0,11,11,25,37,48,86,0,0,0,35,29,60,74,98,171,0,0,0,5,5,10,4,16,20,0,0,0,51,48,101,122,157,279,0,0,0,6,5,12,9,4,8,0,0,0,12,12,30,26,33,59,0,0,0,4,7,9,20,8,28,0,0,0,4,6,9,4,3,3,0,0,0,0,0,0,13,6,14,0,0,0,10,3,12,10,18,30,0,0,0,8,13,25,43,37,82,0,0,0,3,4,8,9,10,13,0,0,0,6,8,7,11,10,23,0,0,0,0,4,8,14,7,19,0,0,0,9,11,17,33,37,75,0,0,0,0,0,0,4,0,4,0,0,0,33,46,79,54,73,124,0,0,0,17,13,31,141,110,250,0,0
801101136,0,0,0,0,0,0,727,708,1436,0,0,0,0,0,0,24,12,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,30,62,0,0,0,0,0,0,22,14,38,0,0,0,0,0,0,112,104,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,125,255,0,0,0,0,0,0,19,11,31,0,0,0,0,0,0,11,12,19,0,0,0,0,0,0,5,9,21,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,26,0,0,0,0,0,0,44,48,91,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,13,23,43,0,0,0,0,0,0,3,5,10,0,0,0,0,0,0,26,29,55,0,0,0,0,0,0,8,7,19,0,0
801101137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801101139,0,6,3,861,919,1776,1065,1183,2246,0,0,0,18,25,40,36,34,73,0,0,0,0,0,0,0,0,0,0,0,0,24,23,45,30,23,49,0,0,0,21,29,50,27,37,63,0,0,0,41,48,89,51,71,117,0,0,0,0,3,5,0,0,0,0,0,0,67,75,143,75,111,183,0,0,0,5,0,6,7,7,17,0,0,0,5,16,26,17,23,45,0,0,0,6,13,17,12,13,26,0,0,0,0,0,5,3,6,10,0,0,0,3,9,10,7,3,11,0,0,0,3,0,3,10,4,9,0,0,0,19,16,37,49,48,98,0,0,0,3,4,13,5,4,10,0,0,0,4,5,10,3,7,7,0,0,0,7,7,11,3,5,12,0,0,0,10,14,25,11,14,32,0,0,0,5,3,4,0,0,0,0,0,0,12,15,26,54,50,98,0,0,0,6,10,20,56,55,114,0,0
801101145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801101146,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801111140,223,187,412,250,223,475,268,243,511,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,0,5,4,0,4,4,0,0,0,0,0,0,0,0,0,4,5,6,0,5,4,0,4,4,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801111141,16,13,27,17,14,35,31,23,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
897979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899999499,246,235,474,191,158,354,201,196,400,5,0,3,9,6,14,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,3,0,6,0,6,6,15,5,21,7,5,16,5,5,8,0,0,0,0,0,0,0,0,0,15,10,23,12,7,20,5,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,6,3
