SA2_CODE_2021,C11_Neg_Ni_inc_1PF_1C,C11_Neg_Ni_inc_1PF_2C,C11_Neg_Ni_inc_1PF_3C,C11_Neg_Ni_inc_1PF_4mor_c,C11_Neg_Ni_inc_Tot,C11_1_149_1PF_1C,C11_1_149_1PF_2C,C11_1_149_1PF_3C,C11_1_149_1PF_4mC,C11_1_149_Tot,C11_150_299_1PF_1C,C11_150_299_1PF_2C,C11_150_299_1PF_3C,C11_150_299_1PF_4mC,C11_150_299_Tot,C11_300_399_1PF_1C,C11_300_399_1PF_2C,C11_300_399_1PF_3C,C11_300_399_1PF_4mC,C11_300_399_Tot,C11_400_499_1PF_1C,C11_400_499_1PF_2C,C11_400_499_1PF_3C,C11_400_499_1PF_4mC,C11_400_499_Tot,C11_500_649_1PF_1C,C11_500_649_1PF_2C,C11_500_649_1PF_3C,C11_500_649_1PF_4mC,C11_500_649_Tot,C11_650_799_1PF_1C,C11_650_799_1PF_2C,C11_650_799_1PF_3C,C11_650_799_1PF_4mC,C11_650_799_Tot,C11_800_999_1PF_1C,C11_800_999_1PF_2C,C11_800_999_1PF_3C,C11_800_999_1PF_4mC,C11_800_999_Tot,C11_1000_1499_1PF_1C,C11_1000_1499_1PF_2C,C11_1000_1499_1PF_3C,C11_1000_1499_1PF_4mC,C11_1000_1499_Tot,C11_1500_1999_1PF_1C,C11_1500_1999_1PF_2C,C11_1500_1999_1PF_3C,C11_1500_1999_1PF_4mC,C11_1500_1999_Tot,C11_2000_2499_1PF_1C,C11_2000_2499_1PF_2C,C11_2000_2499_1PF_3C,C11_2000_2499_1PF_4mC,C11_2000_2499_Tot,C11_2500_2999_1PF_1C,C11_2500_2999_1PF_2C,C11_2500_2999_1PF_3C,C11_2500_2999_1PF_4mC,C11_2500_2999_Tot,C11_3000_3999_1PF_1C,C11_3000_3999_1PF_2C,C11_3000_3999_1PF_3C,C11_3000_3999_1PF_4mC,C11_3000_3999_Tot,C11_4000more_1PF_1C,C11_4000more_1PF_2C,C11_4000more_1PF_3C,C11_4000more_1PF_4mo_ch,C11_4000more_Tot,C11_Par_inc_st_1PF_1C,C11_Par_inc_st_1PF_2C,C11_Par_inc_st_1PF_3C,C11_Par_inc_st_1PF_4mC,C11_Par_inc_st_Tot,C11_All_inc_ns_1PF_1Ch,C11_All_inc_ns_1PF_2C,C11_All_inc_ns_1PF_3C,C11_All_inc_ns_1PF_4mC,C11_All_inc_ns_Tot,C11_Tot_1PF_1C,C11_Tot_1PF_2C,C11_Tot_1PF_3C,C11_Tot_1PF_4mC,C11_Tot_Tot,C16_Neg_Ni_inc_1PF_1C,C16_Neg_Ni_inc_1PF_2C,C16_Neg_Ni_inc_1PF_3C,C16_Neg_Ni_inc_1PF_4mor_c,C16_Neg_Ni_inc_Tot,C16_1_149_1PF_1C,C16_1_149_1PF_2C,C16_1_149_1PF_3C,C16_1_149_1PF_4mC,C16_1_149_Tot,C16_150_299_1PF_1C,C16_150_299_1PF_2C,C16_150_299_1PF_3C,C16_150_299_1PF_4mC,C16_150_299_Tot,C16_300_399_1PF_1C,C16_300_399_1PF_2C,C16_300_399_1PF_3C,C16_300_399_1PF_4mC,C16_300_399_Tot,C16_400_499_1PF_1C,C16_400_499_1PF_2C,C16_400_499_1PF_3C,C16_400_499_1PF_4mC,C16_400_499_Tot,C16_500_649_1PF_1C,C16_500_649_1PF_2C,C16_500_649_1PF_3C,C16_500_649_1PF_4mC,C16_500_649_Tot,C16_650_799_1PF_1C,C16_650_799_1PF_2C,C16_650_799_1PF_3C,C16_650_799_1PF_4mC,C16_650_799_Tot,C16_800_999_1PF_1C,C16_800_999_1PF_2C,C16_800_999_1PF_3C,C16_800_999_1PF_4mC,C16_800_999_Tot,C16_1000_1499_1PF_1C,C16_1000_1499_1PF_2C,C16_1000_1499_1PF_3C,C16_1000_1499_1PF_4mC,C16_1000_1499_Tot,C16_1500_1999_1PF_1C,C16_1500_1999_1PF_2C,C16_1500_1999_1PF_3C,C16_1500_1999_1PF_4mC,C16_1500_1999_Tot,C16_2000_2499_1PF_1C,C16_2000_2499_1PF_2C,C16_2000_2499_1PF_3C,C16_2000_2499_1PF_4mC,C16_2000_2499_Tot,C16_2500_2999_1PF_1C,C16_2500_2999_1PF_2C,C16_2500_2999_1PF_3C,C16_2500_2999_1PF_4mC,C16_2500_2999_Tot,C16_3000_3999_1PF_1C,C16_3000_3999_1PF_2C,C16_3000_3999_1PF_3C,C16_3000_3999_1PF_4mC,C16_3000_3999_Tot,C16_4000more_1PF_1C,C16_4000more_1PF_2C,C16_4000more_1PF_3C,C16_4000more_1PF_4mo_ch,C16_4000more_Tot,C16_Par_inc_st_1PF_1C,C16_Par_inc_st_1PF_2C,C16_Par_inc_st_1PF_3C,C16_Par_inc_st_1PF_4mC,C16_Par_inc_st_Tot,C16_All_inc_ns_1PF_1Ch,C16_All_inc_ns_1PF_2C,C16_All_inc_ns_1PF_3C,C16_All_inc_ns_1PF_4mC,C16_All_inc_ns_Tot,C16_Tot_1PF_1C,C16_Tot_1PF_2C,C16_Tot_1PF_3C,C16_Tot_1PF_4mC,C16_Tot_Tot,C21_Neg_Ni_inc_1PF_1C,C21_Neg_Ni_inc_1PF_2C,C21_Neg_Ni_inc_1PF_3C,C21_Neg_Ni_inc_1PF_4mor_c,C21_Neg_Ni_inc_Tot,C21_1_149_1PF_1C,C21_1_149_1PF_2C,C21_1_149_1PF_3C,C21_1_149_1PF_4mC,C21_1_149_Tot,C21_150_299_1PF_1C,C21_150_299_1PF_2C,C21_150_299_1PF_3C,C21_150_299_1PF_4mC,C21_150_299_Tot,C21_300_399_1PF_1C,C21_300_399_1PF_2C,C21_300_399_1PF_3C,C21_300_399_1PF_4mC,C21_300_399_Tot,C21_400_499_1PF_1C,C21_400_499_1PF_2C,C21_400_499_1PF_3C,C21_400_499_1PF_4mC,C21_400_499_Tot,C21_500_649_1PF_1C,C21_500_649_1PF_2C,C21_500_649_1PF_3C,C21_500_649_1PF_4mC,C21_500_649_Tot
801011011,0,0,0,0,0,0,0,0,0,0,5,3,0,0,9,0,0,0,0,5,4,4,4,0,9,4,0,0,0,5,5,0,0,0,5,8,0,0,0,10,12,4,3,0,26,10,3,3,0,15,9,4,0,0,17,11,5,0,0,9,0,0,0,0,4,0,0,0,0,0,0,4,6,0,9,0,0,0,0,0,70,32,18,0,120,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,4,0,4,0,9,0,0,0,0,4,4,0,4,0,9,7,4,0,0,8,0,0,0,0,7,11,5,0,4,17,12,8,0,0,28,12,6,0,3,17,3,0,0,0,3,0,4,0,0,5,0,0,0,0,0,5,3,0,0,6,0,0,0,0,0,62,32,11,11,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,10
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,5,0,0,5,3,3,0,0,9,0,3,0,0,9,13,0,0,0,16,0,3,0,0,7,13,5,0,0,16,0,0,0,0,3,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,53,28,3,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,7,0,7,0,0,9,7,0,0,0,10,5,0,0,0,5,10,0,0,0,18,13,3,0,3,21,15,5,0,0,15,5,0,0,0,5,3,5,0,0,6,0,0,0,3,0,5,8,0,0,9,0,0,0,0,0,62,29,7,8,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,0,0,3
801011014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,12,0,0,0,15,4,0,0,0,4,6,3,3,0,11,11,3,0,6,16,19,6,3,0,34,15,9,0,0,23,6,0,0,0,9,3,5,0,0,7,3,5,0,0,7,0,0,0,0,0,3,4,3,4,9,0,0,0,0,0,86,37,16,8,140,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,9,4,4,0,0,8,10,4,3,0,15,10,0,0,0,9,13,3,0,0,23,11,5,0,0,14,14,7,0,0,21,3,3,0,0,9,4,0,3,0,6,0,3,0,0,4,4,6,0,0,15,0,0,0,0,0,82,32,16,3,132,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3
801011015,6,0,0,0,6,0,0,0,0,0,9,4,3,0,8,8,3,0,0,13,13,8,5,0,29,8,0,0,0,7,14,4,5,0,23,16,8,5,0,30,39,13,3,0,49,17,8,0,0,28,17,0,0,0,16,6,3,0,0,8,0,0,0,0,4,0,0,0,0,0,16,8,4,0,26,0,0,0,0,0,161,65,26,8,255,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,5,0,0,0,10,8,9,3,0,18,10,0,3,0,12,13,4,3,0,19,9,4,0,0,15,38,12,4,0,54,14,11,0,0,27,9,7,0,0,17,11,3,0,0,12,4,4,0,0,4,0,0,0,0,4,3,12,0,0,16,0,0,0,3,3,134,67,21,4,227,0,4,0,0,4,0,0,0,0,0,5,0,0,0,3,0,0,0,0,3,3,0,4,0,6,12,6,3,0,18
801011016,0,0,0,0,0,3,0,0,0,3,0,0,0,0,8,6,4,0,0,12,0,3,3,0,12,12,0,0,0,10,9,0,5,0,13,20,3,0,0,25,29,17,6,0,53,24,13,3,0,40,18,9,4,0,31,10,4,0,0,16,7,6,0,0,15,0,4,0,0,7,14,15,5,0,30,0,5,0,0,6,161,80,29,0,269,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,5,0,0,0,7,6,3,0,0,14,3,3,0,0,9,10,3,4,0,14,13,3,0,0,17,34,14,3,6,47,12,11,0,0,27,22,6,4,0,32,15,7,0,0,16,9,4,0,0,15,8,0,3,0,8,7,13,3,0,28,0,0,0,0,3,137,71,14,14,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,4,3,0,0,11
801011017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,9,6,10,3,0,21,4,0,0,0,4,3,10,0,0,16,7,3,3,0,15,19,10,6,0,34,17,6,0,0,26,4,3,0,0,12,5,7,0,0,7,0,0,0,0,3,0,0,0,0,4,9,7,3,0,23,0,4,0,0,3,99,61,16,5,180,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,4,4,0,0,3,8,5,0,0,7,3,0,5,3,16,0,3,0,0,7,12,6,0,0,18,15,8,3,3,29,10,9,0,0,21,9,3,0,0,12,4,7,0,0,15,8,0,0,0,3,0,0,0,0,0,4,3,0,0,6,0,0,0,0,0,89,44,16,5,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,7,3,0,0,6,3,0,0,0,7
801011018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,5
801011019,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,4,4,0,0,7,4,7,0,5,14,0,0,0,0,4,7,4,0,0,9,14,6,0,0,19,32,11,9,0,49,25,13,0,0,35,15,0,0,0,18,0,7,7,0,17,0,0,0,0,4,0,0,0,0,0,6,13,3,4,19,0,0,0,0,0,113,68,20,12,214,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,10,9,5,5,0,16,3,16,7,0,22,12,4,0,3,19,29,20,4,4,57,42,17,5,0,63,13,11,5,0,23,8,0,0,0,14,4,0,0,0,9,0,0,0,0,0,4,14,4,0,23,3,0,0,0,3,144,96,31,11,281,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,3,0,7,3,3,0,0,11
801011020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,5,6,0,0,10,6,4,0,0,15,3,0,0,0,5,8,4,0,0,7,3,0,0,0,6,33,5,0,0,38,10,4,0,0,12,0,4,0,0,6,6,9,0,0,16,4,0,0,0,0,0,0,0,0,0,5,0,0,0,12,0,0,0,0,0,84,41,5,3,131,0,0,0,0,4,0,0,0,0,0,7,5,0,0,8,0,0,0,0,0,5,0,0,0,7,0,4,0,0,4,8,3,0,0,9,3,0,0,0,5,9,9,0,0,21,6,9,0,0,19,10,9,4,0,19,4,0,0,0,3,0,0,0,0,4,0,0,0,0,0,5,9,0,3,11,0,5,0,0,5,69,43,6,6,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,11,4,9,0,0,10
801011021,0,0,0,0,3,0,0,0,0,4,0,0,0,5,3,6,0,0,0,7,6,4,0,0,3,0,0,0,0,3,4,4,0,0,10,4,0,0,0,7,4,3,0,0,11,10,13,0,0,20,3,5,0,0,11,7,4,0,0,11,3,6,0,0,10,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,56,45,10,8,109,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,3,0,0,0,0,8,9,3,0,0,15,12,6,0,0,19,7,3,0,0,16,0,0,0,0,0,10,0,0,0,6,9,0,0,0,6,3,8,4,4,17,0,0,0,0,0,60,37,5,6,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,9,0,3,0,0,4
801011022,0,0,0,0,0,0,0,0,0,6,0,6,0,0,3,4,7,0,0,4,3,5,0,0,3,0,3,0,0,0,7,0,0,0,12,5,4,0,0,10,13,5,0,0,20,12,6,0,0,17,10,6,0,0,13,6,8,0,0,14,0,0,0,0,3,0,0,0,0,0,7,8,0,5,22,0,6,0,0,0,67,47,12,3,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,9,8,4,4,0,14,0,0,5,0,4,0,4,0,0,3,11,4,0,0,9,10,6,0,4,19,11,0,0,0,18,4,10,0,0,15,4,0,0,0,4,0,4,0,0,6,0,0,0,0,3,3,3,0,0,8,0,0,0,0,0,60,43,12,10,121,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,5,0,0,3,9
801011023,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,7,3,0,0,0,8,0,0,0,0,0,8,3,0,0,13,7,3,4,0,19,12,8,3,0,22,10,0,0,0,10,5,0,0,0,8,4,0,0,0,4,4,4,0,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,60,35,7,0,106,0,0,0,0,0,0,0,0,0,5,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,7,0,0,8,6,0,0,0,4,0,0,0,0,11,15,8,3,0,26,8,4,0,0,17,6,5,0,0,6,6,0,0,0,8,0,0,0,0,6,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,64,24,15,6,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,3,0,0,0,5
801011024,0,7,0,0,0,3,0,0,0,3,4,0,0,0,4,3,9,0,0,14,3,4,0,0,12,4,0,0,0,3,11,5,0,0,14,8,0,0,0,9,14,7,0,0,24,15,8,7,0,28,10,0,3,0,11,3,4,0,0,12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,83,37,12,6,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,7,0,0,0,0,5,4,3,5,0,14,3,4,0,0,10,7,6,0,0,15,6,8,0,0,24,15,3,3,0,29,8,5,4,0,15,0,0,0,0,0,4,3,0,0,6,0,0,0,0,0,4,4,0,0,7,0,0,0,0,3,72,40,22,5,136,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,0,0,0,0,0,4,0,5,0,0,6
801011025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,4,0,9,0,5,3,0,10,3,0,0,0,8,6,7,0,4,13,3,0,0,0,3,11,4,3,0,21,13,3,0,4,13,5,0,0,0,8,4,0,0,0,11,0,0,0,0,3,0,0,0,0,0,4,5,0,0,6,0,0,0,0,0,57,24,14,8,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,3,0,5,0,8,5,3,0,0,7,0,4,0,0,12,7,0,4,0,13,12,7,0,0,16,18,5,3,0,26,3,7,0,0,13,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,8,6,0,17,0,0,0,0,0,59,36,18,5,113,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,5,3,0,0,0,7,0,0,0,0,0
801011026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,5,0,0,0,4,0,0,0,0,0,8,0,0,0,3,0,3,0,0,5,6,0,0,0,10,3,3,0,0,11,0,3,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,27,12,6,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,3,0,0,9,12,0,0,0,11,6,4,0,0,8,0,0,0,0,3,3,0,0,0,5,0,0,0,0,4,4,0,0,0,8,0,0,0,0,0,34,17,5,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
801011111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801031031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801031032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801031113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,7,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,9,0,0,0,9,5,0,0,0,5,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,22,6,6,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,8,0,0,0,8,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
801031114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801031115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041034,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,5,0,0,10,13,4,4,0,15,4,0,0,0,3,4,0,0,0,9,9,6,3,0,12,15,19,4,0,40,18,13,7,0,37,9,7,0,0,13,13,9,3,0,24,6,0,0,0,8,0,3,0,0,7,3,7,0,3,11,0,0,0,0,0,103,67,29,9,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,4,0,0,0,3,6,8,5,0,13,5,4,0,0,13,4,0,0,0,10,12,10,0,0,28,19,7,6,5,33,20,12,0,0,35,8,3,4,0,17,4,3,0,0,9,5,3,0,0,9,6,10,4,0,15,0,0,0,0,0,95,72,19,8,193,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,0,0,5,4,0,0,0,6
801041035,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,6,0,0,4,3,0,0,3,8,6,5,0,0,10,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,11,0,0,0,0,0,16,15,5,3,45,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,5,0,0,0,5,3,6,3,5,12,3,6,0,3,9,5,3,0,3,13,16,19,5,4,45,16,8,6,0,27,16,10,0,0,19,4,0,0,0,13,0,3,0,0,6,0,0,0,0,4,6,7,0,0,17,0,0,0,0,0,77,65,26,23,183,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,7,0,5,0,0,4
