SA2_CODE_2021,C11_F_CL_Tot_15_19,C11_F_CL_Tot_20_24,C11_F_CL_Tot_25_34,C11_F_CL_Tot_35_44,C11_F_CL_Tot_45_54,C11_F_CL_Tot_55_64,C11_F_CL_Tot_65_74,C11_F_CL_Tot_75_84,C11_F_CL_Tot_85over,C11_F_CL_Tot_Tot,C11_F_LE_ID_15_19,C11_F_LE_ID_20_24,C11_F_LE_ID_25_34,C11_F_LE_ID_35_44,C11_F_LE_ID_45_54,C11_F_LE_ID_55_64,C11_F_LE_ID_65_74,C11_F_LE_ID_75_84,C11_F_LE_ID_85over,C11_F_LE_ID_Tot,C11_F_LE_NS_15_19,C11_F_LE_NS_20_24,C11_F_LE_NS_25_34,C11_F_LE_NS_35_44,C11_F_LE_NS_45_54,C11_F_LE_NS_55_64,C11_F_LE_NS_65_74,C11_F_LE_NS_75_84,C11_F_LE_NS_85over,C11_F_LE_NS_Tot,C11_F_Tot_15_19_yrs,C11_F_Tot_20_24_yrs,C11_F_Tot_25_34_yrs,C11_F_Tot_35_44_yrs,C11_F_Tot_45_54_yrs,C11_F_Tot_55_64_yrs,C11_F_Tot_65_74_yrs,C11_F_Tot_75_84_yrs,C11_F_Tot_85over,C11_F_Tot_Tot,C16_F_Post_Deg_15_19_yrs,C16_F_Post_Deg_20_24_yrs,C16_F_Post_Deg_25_34_yrs,C16_F_Post_Deg_35_44_yrs,C16_F_Post_Deg_45_54_yrs,C16_F_Post_Deg_55_64_yrs,C16_F_Post_Deg_65_74_yrs,C16_F_Post_Deg_75_84_yrs,C16_F_Post_Deg_85over,C16_F_Post_Deg_Tot,C16_F_GrDip_GrCe_15_19,C16_F_GrDip_GrCe_20_24,C16_F_GrDip_GrCe_25_34,C16_F_GrDip_GrCe_35_44,C16_F_GrDip_GrCe_45_54,C16_F_GrDip_GrCe_55_64,C16_F_GrDip_GrCe_65_74,C16_F_GrDip_GrCe_75_84,C16_F_GrDip_GrCe_85over,C16_F_GrDip_GrCe_Tot,C16_F_BD_15_19,C16_F_BD_20_24,C16_F_BD_25_34,C16_F_BD_35_44,C16_F_BD_45_54,C16_F_BD_55_64,C16_F_BD_65_74,C16_F_BD_75_84,C16_F_BD_85over,C16_F_BD_Tot,C16_F_AdD_DL_15_19,C16_F_AdD_DL_20_24,C16_F_AdD_DL_25_34,C16_F_AdD_DL_35_44,C16_F_AdD_DL_45_54,C16_F_AdD_DL_55_64,C16_F_AdD_DL_65_74,C16_F_AdD_DL_75_84,C16_F_AdD_DL_85over,C16_F_AdD_DL_Tot,C16_F_CL_C_III_IV_15_19,C16_F_CL_C_III_IV_20_24,C16_F_CL_C_III_IV_25_34,C16_F_CL_C_III_IV_35_44,C16_F_CL_C_III_IV_45_54,C16_F_CL_C_III_IV_55_64,C16_F_CL_C_III_IV_65_74,C16_F_CL_C_III_IV_75_84,C16_F_CL_C_III_IV_85over,C16_F_CL_C_III_IV_Tot,C16_F_CL_C_I_II_15_19,C16_F_CL_C_I_II_20_24,C16_F_CL_C_I_II_25_34,C16_F_CL_C_I_II_35_44,C16_F_CL_C_I_II_45_54,C16_F_CL_C_I_II_55_64,C16_F_CL_C_I_II_65_74,C16_F_CL_C_I_II_75_84,C16_F_CL_C_I_II_85over,C16_F_CL_C_I_II_Tot,C16_F_CL_CL_nfd_15_19,C16_F_CL_CL_nfd_20_24,C16_F_CL_CL_nfd_25_34,C16_F_CL_CL_nfd_35_44,C16_F_CL_CL_nfd_45_54,C16_F_CL_CL_nfd_55_64,C16_F_CL_CL_nfd_65_74,C16_F_CL_CL_nfd_75_84,C16_F_CL_CL_nfd_85over,C16_F_CL_CL_nfd_Tot,C16_F_CL_Tot_15_19,C16_F_CL_Tot_20_24,C16_F_CL_Tot_25_34,C16_F_CL_Tot_35_44,C16_F_CL_Tot_45_54,C16_F_CL_Tot_55_64,C16_F_CL_Tot_65_74,C16_F_CL_Tot_75_84,C16_F_CL_Tot_85over,C16_F_CL_Tot_Tot,C16_F_LE_ID_15_19,C16_F_LE_ID_20_24,C16_F_LE_ID_25_34,C16_F_LE_ID_35_44,C16_F_LE_ID_45_54,C16_F_LE_ID_55_64,C16_F_LE_ID_65_74,C16_F_LE_ID_75_84,C16_F_LE_ID_85over,C16_F_LE_ID_Tot,C16_F_LE_NS_15_19,C16_F_LE_NS_20_24,C16_F_LE_NS_25_34,C16_F_LE_NS_35_44,C16_F_LE_NS_45_54,C16_F_LE_NS_55_64,C16_F_LE_NS_65_74,C16_F_LE_NS_75_84,C16_F_LE_NS_85over,C16_F_LE_NS_Tot,C16_F_Tot_15_19_yrs,C16_F_Tot_20_24_yrs,C16_F_Tot_25_34_yrs,C16_F_Tot_35_44_yrs,C16_F_Tot_45_54_yrs,C16_F_Tot_55_64_yrs,C16_F_Tot_65_74_yrs,C16_F_Tot_75_84_yrs,C16_F_Tot_85over,C16_F_Tot_Tot,C21_F_Post_Deg_15_19_yrs,C21_F_Post_Deg_20_24_yrs,C21_F_Post_Deg_25_34_yrs,C21_F_Post_Deg_35_44_yrs,C21_F_Post_Deg_45_54_yrs,C21_F_Post_Deg_55_64_yrs,C21_F_Post_Deg_65_74_yrs,C21_F_Post_Deg_75_84_yrs,C21_F_Post_Deg_85over,C21_F_Post_Deg_Tot,C21_F_GrDip_GrCe_15_19,C21_F_GrDip_GrCe_20_24,C21_F_GrDip_GrCe_25_34,C21_F_GrDip_GrCe_35_44,C21_F_GrDip_GrCe_45_54,C21_F_GrDip_GrCe_55_64,C21_F_GrDip_GrCe_65_74,C21_F_GrDip_GrCe_75_84,C21_F_GrDip_GrCe_85over,C21_F_GrDip_GrCe_Tot,C21_F_BD_15_19,C21_F_BD_20_24,C21_F_BD_25_34,C21_F_BD_35_44,C21_F_BD_45_54,C21_F_BD_55_64,C21_F_BD_65_74,C21_F_BD_75_84,C21_F_BD_85over,C21_F_BD_Tot,C21_F_AdD_DL_15_19,C21_F_AdD_DL_20_24,C21_F_AdD_DL_25_34,C21_F_AdD_DL_35_44,C21_F_AdD_DL_45_54,C21_F_AdD_DL_55_64,C21_F_AdD_DL_65_74,C21_F_AdD_DL_75_84,C21_F_AdD_DL_85over,C21_F_AdD_DL_Tot,C21_F_CL_C_III_IV_15_19,C21_F_CL_C_III_IV_20_24,C21_F_CL_C_III_IV_25_34,C21_F_CL_C_III_IV_35_44,C21_F_CL_C_III_IV_45_54,C21_F_CL_C_III_IV_55_64,C21_F_CL_C_III_IV_65_74,C21_F_CL_C_III_IV_75_84,C21_F_CL_C_III_IV_85over,C21_F_CL_C_III_IV_Tot
801091101,4,14,14,21,23,18,14,8,0,115,0,0,3,0,5,3,12,10,0,35,0,7,0,6,11,9,9,12,16,65,13,51,113,185,212,140,120,59,34,919,0,0,20,35,33,19,16,4,0,132,0,0,3,16,27,9,16,4,0,91,0,18,50,82,66,57,40,27,5,340,0,6,21,26,42,34,18,20,7,179,0,8,17,21,14,13,7,6,0,80,0,0,0,0,6,0,4,3,0,11,0,0,4,0,4,5,6,10,4,33,0,10,15,19,20,19,19,13,4,126,0,0,0,4,0,0,4,3,0,16,0,5,7,0,10,5,6,9,18,69,6,35,121,196,209,141,114,78,38,943,0,3,35,54,53,29,15,16,0,202,0,0,4,27,26,21,11,10,0,98,0,18,63,87,84,64,47,41,6,430,0,7,12,19,41,36,24,27,14,181,0,6,13,18,17,11,10,9,4,84
801091102,6,11,13,20,12,12,12,6,3,90,0,0,3,6,6,6,7,3,5,38,4,6,3,3,9,12,8,22,39,108,7,78,175,196,199,145,110,69,56,1035,0,0,46,61,49,27,19,7,0,206,0,0,13,21,20,17,9,5,0,80,0,26,83,104,83,52,35,16,10,409,0,3,12,27,20,21,32,20,0,138,0,0,10,12,12,8,8,4,0,48,0,0,0,0,0,0,0,0,0,8,0,0,0,6,3,8,9,11,4,26,0,0,9,14,17,18,12,9,9,84,0,0,0,0,3,3,0,0,0,15,3,6,16,18,25,21,23,20,39,166,3,35,172,241,214,159,138,87,52,1097,0,0,46,94,58,34,23,17,5,285,0,0,4,16,35,17,13,8,0,99,0,12,78,104,78,55,50,31,11,426,0,3,14,29,23,25,18,17,11,141,0,5,5,15,17,6,8,3,0,64
801091103,0,3,12,21,14,12,5,15,7,82,0,0,0,5,4,7,3,6,8,35,6,6,5,12,4,5,4,27,59,135,6,36,126,188,192,129,72,84,89,933,0,4,21,37,57,27,14,5,0,175,0,0,9,16,18,13,10,12,0,83,0,14,66,76,71,70,32,24,10,358,0,9,9,15,22,30,13,16,14,123,0,11,8,8,12,5,9,5,3,54,0,3,0,3,0,0,0,0,0,7,0,0,0,7,3,6,0,8,5,25,0,10,7,15,16,9,10,10,3,91,0,0,0,0,0,0,0,0,4,9,5,3,7,17,17,19,18,19,27,127,0,40,112,176,198,160,101,91,65,950,0,0,38,66,55,41,15,11,8,227,0,0,10,25,23,16,20,5,0,99,0,28,62,78,65,66,52,26,18,404,0,5,12,17,19,20,16,23,22,129,0,0,12,11,8,8,0,5,10,56
801091104,0,9,3,14,14,21,5,8,6,79,0,0,3,5,3,7,10,0,4,31,7,3,6,0,4,3,9,13,8,52,4,22,74,110,159,151,88,54,18,677,0,0,15,30,33,24,14,6,0,118,0,3,0,18,13,16,13,0,0,55,0,23,44,42,53,46,34,17,6,265,0,0,10,19,24,26,22,10,4,113,0,4,4,6,10,4,11,0,0,45,0,0,0,0,0,5,0,0,0,9,0,3,3,4,9,8,14,4,4,40,0,9,3,8,16,17,29,8,3,99,0,0,0,3,4,0,5,0,0,21,5,3,3,3,4,7,14,10,5,52,6,35,78,116,141,131,140,48,15,712,0,0,20,42,29,38,20,8,7,154,0,0,3,16,11,15,13,8,0,66,0,18,53,51,49,59,45,26,3,300,0,0,0,8,14,24,29,11,3,92,0,7,9,11,7,10,11,0,0,58
801091105,0,7,21,15,16,8,8,3,0,94,0,0,5,5,0,0,9,4,0,24,5,8,10,13,5,4,13,19,6,78,11,58,179,153,119,72,75,40,11,726,0,4,50,34,20,14,14,0,5,131,0,0,14,10,14,12,9,0,0,56,0,19,103,58,55,28,19,10,8,296,0,5,25,24,14,18,19,23,0,124,0,11,20,16,17,0,3,4,0,88,0,6,0,6,4,0,0,0,0,16,0,0,0,3,5,6,15,5,4,34,0,19,23,25,23,12,22,9,3,130,0,0,9,0,0,3,3,4,0,14,3,6,28,15,18,10,23,28,6,135,6,56,246,164,143,88,96,77,21,890,0,0,72,64,48,22,11,3,0,226,0,6,22,23,17,11,6,3,0,95,0,20,113,62,56,40,25,23,3,344,0,13,37,22,28,13,11,19,4,148,0,15,13,11,14,7,4,4,3,76
801091106,4,13,20,20,33,20,10,6,0,126,0,0,0,0,9,3,9,3,0,32,5,4,9,3,5,5,12,23,8,83,7,49,177,147,161,115,99,62,10,831,0,0,38,30,22,17,4,4,0,119,0,0,11,8,8,18,9,6,0,59,0,27,113,85,57,55,26,13,6,377,0,6,22,39,25,30,22,16,8,166,0,19,8,17,13,15,7,0,0,86,0,4,4,5,4,0,3,0,0,21,0,0,3,4,9,3,14,7,0,40,3,24,12,20,29,21,22,6,3,143,0,0,0,0,0,4,0,0,0,4,6,3,20,18,18,10,10,4,13,101,8,67,210,204,153,151,108,56,23,980,0,0,62,61,36,19,9,6,0,187,0,0,10,25,22,19,16,7,3,95,0,24,120,98,68,58,35,27,9,439,0,11,21,33,36,36,16,16,3,178,3,8,18,11,13,15,7,5,0,92
801091107,0,0,3,3,8,5,5,0,0,30,0,0,0,4,0,4,0,0,0,12,0,0,0,0,5,4,3,3,0,12,0,8,21,45,64,49,24,7,5,223,0,0,4,8,23,14,5,0,0,43,0,0,0,7,6,4,6,4,0,20,0,10,14,26,25,20,14,3,3,110,0,4,0,4,10,15,12,5,0,48,0,0,0,0,7,5,0,3,0,21,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,10,0,6,3,0,8,5,4,3,0,32,0,0,0,0,0,0,0,0,0,3,6,0,3,0,3,4,8,0,0,33,8,16,23,49,83,60,40,15,6,286,0,0,10,3,17,23,11,5,0,69,0,0,0,3,5,0,0,0,0,16,0,14,11,10,33,10,17,8,0,113,0,0,0,0,7,14,6,7,0,37,0,0,0,0,4,3,9,0,0,23
801091108,5,15,17,16,15,11,12,0,0,106,0,0,0,5,0,6,6,8,0,21,3,3,9,11,0,3,8,13,3,58,12,42,118,152,152,109,82,43,11,715,0,0,17,29,23,21,7,0,0,101,0,0,11,8,16,17,10,3,0,65,0,21,53,75,58,47,35,22,3,313,0,6,6,18,24,19,22,12,0,107,0,5,11,10,18,13,6,0,5,63,0,0,3,0,0,5,0,0,0,12,0,0,0,0,3,3,11,4,0,18,0,5,13,10,22,13,13,3,5,88,0,0,0,0,4,3,4,0,0,12,6,3,6,9,7,12,15,21,7,84,6,32,106,144,157,130,109,60,15,769,0,0,20,38,32,26,12,5,3,134,0,0,16,19,19,15,4,4,0,83,0,21,54,67,67,54,34,27,4,329,0,5,13,14,34,24,18,17,5,135,0,7,6,11,20,16,5,0,0,69
801091109,3,16,18,16,7,10,0,6,0,79,0,0,4,5,0,3,3,0,0,15,8,3,14,13,6,3,4,3,4,58,8,81,312,142,83,68,35,17,9,755,0,0,75,41,18,13,5,0,0,150,0,5,35,15,13,11,9,3,0,86,0,47,256,100,42,24,18,3,3,486,0,7,34,30,20,8,9,4,0,124,0,13,20,14,6,10,4,0,5,66,0,0,3,0,4,3,0,0,0,14,0,0,5,0,7,4,3,0,0,14,0,13,31,12,14,16,8,8,3,97,0,0,5,0,0,0,0,0,0,7,8,15,53,21,11,11,5,3,4,136,8,89,491,218,116,80,58,20,9,1087,0,5,246,110,51,20,14,5,0,446,0,7,71,21,17,20,13,9,0,148,0,87,412,145,65,49,33,7,4,808,0,24,65,39,39,29,19,10,3,232,6,23,44,25,23,17,11,0,4,161
801091110,0,0,15,22,16,10,11,0,0,76,0,0,0,7,3,0,4,3,0,24,9,5,7,3,0,8,9,3,0,45,9,25,104,144,119,93,71,29,10,612,0,0,11,32,22,7,8,3,0,84,0,0,0,13,12,14,5,0,0,49,0,14,36,58,56,34,27,12,3,241,0,6,14,10,29,18,17,14,0,113,0,7,6,15,8,4,7,0,0,47,0,0,0,3,0,3,0,0,0,10,0,0,0,4,0,3,3,0,0,17,4,8,10,23,11,10,9,5,0,75,0,0,0,0,0,0,0,3,0,5,0,0,0,7,7,4,12,9,5,49,5,36,80,139,145,94,75,41,6,618,0,0,15,43,35,12,3,0,0,117,0,5,5,11,15,9,8,0,4,53,0,10,51,77,51,51,23,13,3,284,0,4,13,17,14,18,13,9,0,92,0,9,8,14,13,8,0,7,0,63
801101134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801101135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,38,15,9,0,0,0,87,0,5,9,22,3,6,0,0,0,39,0,20,95,65,17,8,10,0,0,213,0,3,29,17,13,0,0,6,0,70,0,9,17,15,3,0,0,0,0,50,0,3,0,4,0,0,0,0,0,12,0,0,4,3,4,4,0,0,0,13,0,13,28,19,9,6,0,0,0,69,0,0,6,0,0,0,0,0,0,4,6,3,17,13,4,3,3,0,0,58,6,43,209,178,54,35,14,4,0,542,0,3,134,124,51,16,7,0,0,333,0,0,40,28,12,4,5,0,0,93,0,50,289,198,57,18,12,3,0,629,0,13,54,69,20,17,6,7,3,187,0,18,38,25,19,8,0,0,0,106
801101136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,91,25,10,6,0,0,215,0,0,13,18,11,5,4,0,0,61,0,30,160,131,35,15,6,4,0,378,0,7,24,22,13,10,6,0,0,78,0,10,17,13,12,5,0,0,0,54
801101137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801101139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,66,29,13,3,5,0,0,126,0,3,20,16,12,3,0,0,0,63,0,41,225,110,23,16,7,4,0,420,0,7,48,16,16,12,7,0,0,110,5,6,27,5,10,7,3,0,0,70,0,9,0,0,0,0,0,0,0,8,0,0,0,6,3,5,0,0,0,20,3,19,33,11,14,14,3,0,0,95,0,5,3,0,3,0,0,0,0,7,3,11,41,16,10,13,3,4,0,106,7,87,434,211,92,61,25,11,0,932,0,8,117,97,32,11,8,0,0,268,0,3,28,26,18,8,0,0,0,85,0,44,227,177,66,36,13,0,0,561,0,19,45,35,26,17,16,0,0,157,0,25,36,17,20,7,7,0,0,107
801101145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801101146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801111140,0,10,0,5,5,5,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,16,32,29,15,7,4,0,0,112,0,0,4,5,3,3,0,0,0,16,0,0,0,0,0,4,0,0,0,6,0,0,13,15,4,0,4,0,0,32,0,0,4,12,12,4,0,0,0,38,0,6,13,10,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,7,3,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,3,0,4,7,6,4,0,0,0,29,3,5,34,42,30,18,4,0,5,153,0,0,0,6,5,0,3,0,0,11,0,0,0,3,0,4,3,0,0,14,0,0,13,21,9,3,0,0,0,51,0,0,11,7,9,10,0,0,0,34,0,5,4,3,5,0,0,0,0,20
801111141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
897979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899999499,0,6,8,8,9,7,0,0,0,36,0,0,0,0,0,3,0,0,0,3,4,9,0,5,5,0,0,0,0,18,4,25,56,38,34,20,4,0,0,180,0,0,3,3,3,5,0,0,0,19,0,0,0,3,0,0,0,0,0,8,0,7,19,6,7,5,3,0,0,54,0,0,5,0,3,9,3,0,0,17,0,4,4,3,4,0,0,0,0,17,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,6,3,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,6,9,4,7,0,5,0,0,0,31,12,26,33,28,18,25,5,0,0,148,0,0,8,6,11,7,0,0,0,21,0,0,0,0,0,4,0,0,0,7,0,3,15,11,6,9,0,0,0,50,0,4,8,0,4,3,0,0,0,22,3,6,3,6,0,3,0,0,0,18
