SA2_CODE_2021,C16_CF_NCu15DS_MR_1000_1399,C16_CF_NCu15DS_MR_1400_1799,C16_CF_NCu15DS_MR_1800_2399,C16_CF_NCu15DS_MR_2400_2999,C16_CF_NCu15DS_MR_3000_3999,C16_CF_NCu15DS_MR_4000over,C16_CF_NCu15DS_MR_NS,C16_CF_NCu15DS_Tot,C16_CF_NDCO_MR_0_299,C16_CF_NDCO_MR_300_449,C16_CF_NDCO_MR_450_599,C16_CF_NDCO_MR_600_799,C16_CF_NDCO_MR_800_999,C16_CF_NDCO_MR_1000_1399,C16_CF_NDCO_MR_1400_1799,C16_CF_NDCO_MR_1800_2399,C16_CF_NDCO_MR_2400_2999,C16_CF_NDCO_MR_3000_3999,C16_CF_NDCO_MR_4000over,C16_CF_NDCO_MR_NS,C16_CF_NDCO_Tot,C16_CF_Tot_MR_0_299,C16_CF_Tot_MR_300_449,C16_CF_Tot_MR_450_599,C16_CF_Tot_MR_600_799,C16_CF_Tot_MR_800_999,C16_CF_Tot_MR_1000_1399,C16_CF_Tot_MR_1400_1799,C16_CF_Tot_MR_1800_2399,C16_CF_Tot_MR_2400_2999,C16_CF_Tot_MR_3000_3999,C16_CF_Tot_MR_4000over,C16_CF_Tot_MR_NS,C16_CF_Tot_Tot,C16_1PF_Cu15DS_MR_0_299,C16_1PF_Cu15DS_MR_300_449,C16_1PF_Cu15DS_MR_450_599,C16_1PF_Cu15DS_MR_600_799,C16_1PF_Cu15DS_MR_800_999,C16_1PF_Cu15DS_MR_1000_1399,C16_1PF_Cu15DS_MR_1400_1799,C16_1PF_Cu15DS_MR_1800_2399,C16_1PF_Cu15DS_MR_2400_2999,C16_1PF_Cu15DS_MR_3000_3999,C16_1PF_Cu15DS_MR_4000over,C16_1PF_Cu15DS_MR_NS,C16_1PF_Cu15DS_Tot,C16_1PF_CU15_NDS_MR_0_299,C16_1PF_CU15_NDS_MR_300_449,C16_1PF_CU15_NDS_MR_450_599,C16_1PF_CU15_NDS_MR_600_799,C16_1PF_CU15_NDS_MR_800_999,C16_1PF_CU15_NDS_MR_1000_1399,C16_1PF_CU15_NDS_MR_1400_1799,C16_1PF_CU15_NDS_MR_1800_2399,C16_1PF_CU15_NDS_MR_2400_2999,C16_1PF_CU15_NDS_MR_3000_3999,C16_1PF_CU15_NDS_MR_4000over,C16_1PF_CU15_NDS_MR_NS,C16_1PF_CU15_NDS_Tot,C16_1PF_NCu15DS_MR_0_299,C16_1PF_NCu15DS_MR_300_449,C16_1PF_NCu15DS_MR_450_599,C16_1PF_NCu15DS_MR_600_799,C16_1PF_NCu15DS_MR_800_999,C16_1PF_NCu15DS_MR_1000_1399,C16_1PF_NCu15DS_MR_1400_1799,C16_1PF_NCu15DS_MR_1800_2399,C16_1PF_NCu15DS_MR_2400_2999,C16_1PF_NCu15DS_MR_3000_3999,C16_1PF_NCu15DS_MR_4000over,C16_1PF_NCu15DS_MR_NS,C16_1PF_NCu15DS_Tot,C16_1PF_NDCO_MR_0_299,C16_1PF_NDCO_MR_300_449,C16_1PF_NDCO_MR_450_599,C16_1PF_NDCO_MR_600_799,C16_1PF_NDCO_MR_800_999,C16_1PF_NDCO_MR_1000_1399,C16_1PF_NDCO_MR_1400_1799,C16_1PF_NDCO_MR_1800_2399,C16_1PF_NDCO_MR_2400_2999,C16_1PF_NDCO_MR_3000_3999,C16_1PF_NDCO_MR_4000over,C16_1PF_NDCO_MR_NS,C16_1PF_NDCO_Tot,C16_1PF_Tot_MR_0_299,C16_1PF_Tot_MR_300_449,C16_1PF_Tot_MR_450_599,C16_1PF_Tot_MR_600_799,C16_1PF_Tot_MR_800_999,C16_1PF_Tot_MR_1000_1399,C16_1PF_Tot_MR_1400_1799,C16_1PF_Tot_MR_1800_2399,C16_1PF_Tot_MR_2400_2999,C16_1PF_Tot_MR_3000_3999,C16_1PF_Tot_MR_4000over,C16_1PF_Tot_MR_NS,C16_1PF_Tot_Tot,C16_Tot_MR_0_299,C16_Tot_MR_300_449,C16_Tot_MR_450_599,C16_Tot_MR_600_799,C16_Tot_MR_800_999,C16_Tot_MR_1000_1399,C16_Tot_MR_1400_1799,C16_Tot_MR_1800_2399,C16_Tot_MR_2400_2999,C16_Tot_MR_3000_3999,C16_Tot_MR_4000over,C16_Tot_MR_NS,C16_Tot_Tot,C21_CFNC_MR_0_299,C21_CFNC_MR_300_449,C21_CFNC_MR_450_599,C21_CFNC_MR_600_799,C21_CFNC_MR_800_999,C21_CFNC_MR_1000_1399,C21_CFNC_MR_1400_1799,C21_CFNC_MR_1800_2399,C21_CFNC_MR_2400_2999,C21_CFNC_MR_3000_3999,C21_CFNC_MR_4000over,C21_CFNC_MR_NS,C21_CFNC_Tot,C21_CF_Cu15DS_MR_0_299,C21_CF_Cu15DS_MR_300_449,C21_CF_Cu15DS_MR_450_599,C21_CF_Cu15DS_MR_600_799,C21_CF_Cu15DS_MR_800_999,C21_CF_Cu15DS_MR_1000_1399,C21_CF_Cu15DS_MR_1400_1799,C21_CF_Cu15DS_MR_1800_2399,C21_CF_Cu15DS_MR_2400_2999,C21_CF_Cu15DS_MR_3000_3999,C21_CF_Cu15DS_MR_4000over,C21_CF_Cu15DS_MR_NS,C21_CF_Cu15DS_Tot,C21_CF_Cu15NDS_MR_0_299,C21_CF_Cu15NDS_MR_300_449,C21_CF_Cu15NDS_MR_450_599,C21_CF_Cu15NDS_MR_600_799,C21_CF_Cu15NDS_MR_800_999,C21_CF_Cu15NDS_MR_1000_1399,C21_CF_Cu15NDS_MR_1400_1799,C21_CF_Cu15NDS_MR_1800_2399,C21_CF_Cu15NDS_MR_2400_2999,C21_CF_Cu15NDS_MR_3000_3999,C21_CF_Cu15NDS_MR_4000over,C21_CF_Cu15NDS_MR_NS,C21_CF_Cu15NDS_Tot,C21_CF_NCu15DS_MR_0_299,C21_CF_NCu15DS_MR_300_449,C21_CF_NCu15DS_MR_450_599,C21_CF_NCu15DS_MR_600_799,C21_CF_NCu15DS_MR_800_999,C21_CF_NCu15DS_MR_1000_1399,C21_CF_NCu15DS_MR_1400_1799,C21_CF_NCu15DS_MR_1800_2399,C21_CF_NCu15DS_MR_2400_2999,C21_CF_NCu15DS_MR_3000_3999,C21_CF_NCu15DS_MR_4000over,C21_CF_NCu15DS_MR_NS,C21_CF_NCu15DS_Tot,C21_CF_NDCO_MR_0_299,C21_CF_NDCO_MR_300_449,C21_CF_NDCO_MR_450_599,C21_CF_NDCO_MR_600_799,C21_CF_NDCO_MR_800_999,C21_CF_NDCO_MR_1000_1399,C21_CF_NDCO_MR_1400_1799,C21_CF_NDCO_MR_1800_2399,C21_CF_NDCO_MR_2400_2999,C21_CF_NDCO_MR_3000_3999,C21_CF_NDCO_MR_4000over,C21_CF_NDCO_MR_NS,C21_CF_NDCO_Tot,C21_CF_Tot_MR_0_299,C21_CF_Tot_MR_300_449,C21_CF_Tot_MR_450_599,C21_CF_Tot_MR_600_799,C21_CF_Tot_MR_800_999,C21_CF_Tot_MR_1000_1399,C21_CF_Tot_MR_1400_1799,C21_CF_Tot_MR_1800_2399,C21_CF_Tot_MR_2400_2999,C21_CF_Tot_MR_3000_3999,C21_CF_Tot_MR_4000over,C21_CF_Tot_MR_NS,C21_CF_Tot_Tot,C21_1PF_Cu15DS_MR_0_299,C21_1PF_Cu15DS_MR_300_449,C21_1PF_Cu15DS_MR_450_599,C21_1PF_Cu15DS_MR_600_799,C21_1PF_Cu15DS_MR_800_999,C21_1PF_Cu15DS_MR_1000_1399,C21_1PF_Cu15DS_MR_1400_1799,C21_1PF_Cu15DS_MR_1800_2399,C21_1PF_Cu15DS_MR_2400_2999,C21_1PF_Cu15DS_MR_3000_3999
801041048,5,13,13,9,14,3,5,75,6,0,0,3,0,8,6,13,3,3,3,4,45,9,7,0,9,6,36,64,103,60,55,26,24,402,0,0,0,0,0,3,0,0,0,0,0,0,3,4,3,0,0,0,0,6,3,8,0,0,0,26,0,0,0,0,0,3,5,0,0,0,0,0,14,0,6,0,0,0,4,4,4,3,0,0,0,23,4,9,0,0,3,15,12,12,8,4,0,0,63,29,14,6,12,19,65,93,157,97,77,35,25,641,15,0,0,9,12,22,43,59,24,17,5,12,211,3,0,0,0,0,4,3,4,5,7,5,0,36,7,0,0,5,5,23,35,89,49,35,11,6,266,0,0,0,0,0,8,9,16,8,6,7,0,72,9,0,0,0,0,9,6,6,3,6,0,0,49,17,0,0,3,7,33,60,124,68,58,21,7,410,0,0,0,0,0,0,0,4,0,0
801041116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041118,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,21,13,9,6,3,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,7,0,0,0,0,4,11,41,29,16,9,10,3,124,0,0,0,0,0,7,4,5,0,0,0,4,15,0,0,0,0,0,0,4,5,0,4,0,0,11,0,0,0,0,0,4,16,23,7,3,3,6,59,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,29,14,4,3,5,76,0,0,0,0,0,0,0,0,0,0
801041119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,3,0,20,5,0,0,0,0,14,47,48,30,31,6,18,210,0,0,0,0,0,3,10,12,16,25,6,0,68,3,0,0,4,0,26,92,162,119,96,43,26,582,0,0,0,0,0,4,7,12,4,13,7,0,49,0,0,0,0,0,4,0,0,0,4,0,4,16,7,0,0,4,3,41,108,184,150,136,55,31,717,0,0,0,0,0,0,0,3,4,0
801041121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,25,26,15,7,5,106,0,0,0,0,0,0,6,8,10,7,4,0,29,0,0,0,0,0,3,20,42,77,54,17,25,247,0,0,0,0,0,0,0,4,4,5,0,3,20,0,0,0,0,0,0,0,0,4,3,3,0,10,4,0,0,0,0,5,27,53,94,72,22,27,308,0,0,0,0,0,0,0,0,0,0
801041122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,30,17,23,10,0,97,0,0,0,0,0,0,5,0,15,18,3,0,37,6,0,0,0,0,0,7,50,70,74,48,26,277,0,0,0,0,0,0,0,0,7,8,5,0,26,0,0,0,0,0,0,0,0,4,0,0,4,10,6,0,0,0,0,4,11,59,97,97,57,25,356,0,0,0,0,0,0,0,0,0,0
801051049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051050,0,0,10,3,7,14,0,50,3,0,0,0,0,0,0,3,0,3,5,0,19,20,7,8,14,6,16,22,39,56,72,51,8,310,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,5,3,4,0,0,17,0,0,0,0,0,0,0,0,3,0,0,0,5,3,0,0,4,0,0,4,5,0,0,0,0,17,3,0,0,4,6,5,5,7,8,7,4,4,52,30,5,8,15,11,23,43,81,78,104,73,21,486,8,5,4,6,4,5,14,16,10,24,32,9,125,4,0,0,0,4,0,0,4,5,4,11,0,34,9,0,5,0,9,11,7,35,29,59,61,13,236,3,0,6,0,0,10,6,3,10,10,13,0,53,5,0,0,0,0,3,3,10,0,3,4,6,22,20,5,5,0,9,21,18,48,38,79,91,12,348,0,0,0,0,0,0,0,0,3,0
801051051,0,0,4,0,10,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,6,3,0,0,0,4,9,11,17,12,25,3,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,3,5,0,0,0,0,11,11,0,5,0,5,21,43,69,34,36,12,4,237,3,0,3,9,3,29,70,89,27,33,19,9,289,0,0,0,0,0,0,0,0,6,5,4,0,9,3,0,0,4,0,4,13,24,16,13,12,0,88,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,3,0,4,12,25,20,21,18,0,110,0,0,0,0,0,0,0,0,0,0
801051053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,6,4,7,0,9,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,3,4,16,28,27,18,19,3,119,9,0,0,5,4,13,32,48,17,10,8,4,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,4,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,3,8,5,4,4,4,0,29,0,0,0,0,0,0,0,0,0,0
801051054,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,3,9,15,17,14,6,5,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,5,0,0,0,14,14,0,0,0,9,9,12,27,29,28,12,3,144,4,5,0,4,0,14,35,26,22,22,3,0,142,0,0,0,0,0,0,0,3,4,3,0,0,13,0,0,0,0,8,11,7,10,20,31,13,4,94,0,0,0,0,0,0,0,3,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,3,10,10,7,23,21,30,16,3,131,0,0,0,0,0,0,0,0,0,0
801051055,4,4,4,0,3,4,0,19,0,0,0,0,0,5,3,0,3,0,0,0,13,12,0,6,5,3,16,21,40,45,44,21,7,225,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,6,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,3,4,7,4,0,0,5,0,3,37,21,4,7,5,9,33,30,66,58,70,29,14,345,9,0,0,0,5,11,13,16,18,18,15,5,118,0,0,0,0,0,0,0,4,8,10,4,0,30,3,0,0,6,0,5,14,47,28,49,30,8,197,0,0,0,4,0,6,3,5,0,5,8,3,31,0,0,0,0,0,0,8,0,0,3,0,0,20,12,6,0,5,4,11,28,60,40,70,45,9,275,0,0,0,0,0,0,0,0,0,0
801051056,0,0,6,4,4,3,0,27,0,0,0,0,0,0,0,0,0,3,0,0,12,8,5,0,6,6,20,14,48,44,48,27,5,231,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,6,0,8,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,0,0,0,7,0,5,0,0,0,3,7,5,3,0,0,0,27,15,5,0,9,7,26,31,62,65,58,38,15,326,7,0,0,0,3,4,5,13,15,14,11,0,72,0,0,0,0,0,3,3,3,9,9,11,0,40,4,0,0,3,0,7,15,36,32,53,29,7,191,0,0,5,0,0,0,4,11,4,7,6,0,36,0,0,0,0,0,5,0,8,4,0,3,0,16,3,0,3,4,3,19,26,47,43,71,50,9,287,0,0,0,0,0,0,0,0,0,0
801051057,0,0,3,3,9,0,0,21,0,0,4,0,0,0,0,0,0,0,0,0,8,14,0,5,0,5,10,13,30,24,34,18,4,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,19,0,0,0,0,4,0,3,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,4,12,9,6,4,0,0,35,22,8,3,4,12,34,37,59,45,54,27,6,310,5,3,7,0,4,25,34,47,27,15,13,5,174,0,0,0,0,0,0,0,3,0,3,5,5,19,0,0,0,3,3,10,20,25,29,22,21,6,140,5,0,0,0,0,7,0,0,3,3,3,0,21,3,0,0,0,0,3,4,4,0,0,0,0,11,9,0,0,3,0,19,26,29,34,33,27,11,192,0,0,0,0,0,0,0,0,0,0
801051058,7,4,8,6,9,9,0,64,0,0,0,0,0,0,4,0,3,4,4,0,21,11,9,0,15,10,26,31,41,46,54,70,5,326,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,5,0,3,3,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,4,0,0,0,0,15,0,0,0,0,0,3,9,6,7,6,5,0,45,23,9,3,18,15,37,56,69,65,83,92,11,485,19,0,0,0,4,12,8,29,17,20,26,3,143,4,0,0,0,0,4,9,3,6,11,17,3,55,8,0,4,0,0,15,7,25,36,53,50,4,205,3,0,0,0,4,0,0,11,5,8,11,3,53,0,0,0,0,0,0,4,4,0,3,4,0,25,18,0,3,6,5,18,19,41,46,79,87,11,332,0,0,0,0,0,0,4,4,0,5
801051060,0,3,0,0,4,0,0,13,3,0,0,0,0,0,0,0,0,4,0,0,11,9,0,0,0,0,8,10,14,5,17,7,0,88,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,0,5,13,18,27,40,22,38,19,5,193,5,3,0,3,8,21,34,42,20,16,17,0,172,0,0,0,0,0,0,3,0,4,3,9,0,18,0,0,0,0,0,5,9,17,9,14,18,0,74,0,0,0,0,0,0,0,0,0,3,3,0,11,0,0,0,0,0,0,0,3,0,3,0,0,8,4,0,0,0,0,4,13,25,14,26,28,0,117,0,0,0,0,0,0,0,0,0,0
801051061,3,7,11,4,7,4,0,48,0,0,0,0,0,3,0,6,6,4,0,0,19,12,0,0,5,10,35,46,86,58,59,25,7,349,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,4,0,0,5,17,5,3,0,0,36,0,0,0,0,0,9,6,0,4,3,0,0,13,0,0,0,0,0,0,8,4,0,0,0,0,10,3,0,0,4,0,10,16,25,11,8,0,0,72,20,8,6,11,12,61,86,156,105,86,38,15,596,4,9,0,0,8,38,35,60,42,22,26,7,255,0,0,0,0,0,0,5,9,11,4,6,0,49,3,0,0,5,7,19,45,84,77,77,36,3,368,0,0,0,0,0,3,9,10,5,8,9,0,39,5,0,0,0,4,0,4,0,3,5,3,0,29,7,3,0,8,9,26,64,107,99,98,54,11,481,0,0,0,0,0,0,4,3,0,4
801051123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051124,0,3,4,4,6,4,3,25,7,0,0,0,0,5,0,0,0,5,6,0,18,14,4,0,3,5,14,12,23,12,41,53,9,191,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,3,0,4,5,0,18,26,4,6,3,14,21,20,32,20,64,74,14,290,8,3,0,0,0,15,17,27,15,23,26,0,141,0,0,0,0,4,0,0,0,3,4,14,0,32,8,0,0,0,0,6,5,22,20,44,48,5,173,7,0,0,0,3,3,4,3,6,11,16,6,57,3,3,0,0,0,3,4,0,0,0,3,4,24,19,3,3,0,10,15,15,25,32,67,82,14,285,0,0,0,0,0,0,0,0,0,0
801051125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051127,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,3,0,5,6,7,13,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,4,0,6,3,4,3,6,6,10,11,8,23,0,80,4,0,0,0,0,4,0,9,3,5,16,3,46,0,0,0,0,0,0,0,0,0,5,3,0,10,0,0,0,0,0,3,0,6,0,6,9,0,26,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,10,15,0,39,0,0,0,0,0,0,0,0,0,0
801051128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
