SA2_CODE_2021,C21_650_799_1PF_1C,C21_650_799_1PF_2C,C21_650_799_1PF_3C,C21_650_799_1PF_4mC,C21_650_799_Tot,C21_800_999_1PF_1C,C21_800_999_1PF_2C,C21_800_999_1PF_3C,C21_800_999_1PF_4mC,C21_800_999_Tot,C21_1000_1499_1PF_1C,C21_1000_1499_1PF_2C,C21_1000_1499_1PF_3C,C21_1000_1499_1PF_4mC,C21_1000_1499_Tot,C21_1500_1999_1PF_1C,C21_1500_1999_1PF_2C,C21_1500_1999_1PF_3C,C21_1500_1999_1PF_4mC,C21_1500_1999_Tot,C21_2000_2499_1PF_1C,C21_2000_2499_1PF_2C,C21_2000_2499_1PF_3C,C21_2000_2499_1PF_4mC,C21_2000_2499_Tot,C21_2500_2999_1PF_1C,C21_2500_2999_1PF_2C,C21_2500_2999_1PF_3C,C21_2500_2999_1PF_4mC,C21_2500_2999_Tot,C21_3000_3999_1PF_1C,C21_3000_3999_1PF_2C,C21_3000_3999_1PF_3C,C21_3000_3999_1PF_4mC,C21_3000_3999_Tot,C21_4000more_1PF_1C,C21_4000more_1PF_2C,C21_4000more_1PF_3C,C21_4000more_1PF_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_1PF_1C,C21_Par_inc_st_1PF_2C,C21_Par_inc_st_1PF_3C,C21_Par_inc_st_1PF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_1PF_1Ch,C21_All_inc_ns_1PF_2C,C21_All_inc_ns_1PF_3C,C21_All_inc_ns_1PF_4mC,C21_All_inc_ns_Tot,C21_Tot_1PF_1C,C21_Tot_1PF_2C,C21_Tot_1PF_3C,C21_Tot_1PF_4mC,C21_Tot_Tot
801081096,0,0,0,0,5,0,0,0,0,8,12,0,0,0,10,0,5,3,0,11,15,3,0,0,18,3,0,0,0,4,6,5,0,0,13,0,4,0,0,9,3,0,0,0,6,0,0,0,0,0,43,29,10,3,84
801081097,3,6,0,0,10,5,0,0,0,10,5,6,0,0,12,12,4,0,0,16,10,8,0,0,17,5,0,0,0,8,10,0,0,0,13,3,3,0,0,8,5,4,0,0,8,0,0,0,0,0,63,38,6,5,113
801081098,3,6,0,0,8,0,3,0,0,6,17,3,0,0,22,9,13,0,0,18,11,9,4,0,26,10,0,4,0,13,6,5,0,0,12,11,3,0,0,11,4,6,4,0,19,0,0,0,0,0,75,52,17,5,141
801081133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801091099,0,0,0,0,6,11,0,0,0,4,7,9,0,0,10,7,9,0,0,15,8,6,0,0,15,7,0,0,0,6,4,0,0,0,4,0,4,3,0,10,0,0,5,0,12,0,0,0,0,0,49,31,9,0,94
801091100,5,0,0,0,7,6,0,0,0,9,17,7,0,5,25,19,7,0,3,26,14,11,0,0,27,4,7,0,0,12,7,0,0,0,15,8,16,4,0,32,3,11,4,0,14,0,0,0,0,0,97,67,9,6,185
801091101,0,0,0,0,0,4,0,0,0,3,13,8,0,0,19,7,9,4,0,18,6,0,0,0,13,3,5,0,0,6,6,3,0,0,15,5,11,5,0,20,4,3,0,0,9,0,0,0,0,5,55,40,10,4,107
801091102,0,0,0,0,0,5,0,0,0,5,9,4,0,0,17,5,3,4,0,15,17,8,0,0,27,5,0,0,0,7,7,4,0,0,9,11,0,0,0,12,3,0,0,0,5,0,0,0,0,0,68,25,11,3,102
801091103,0,0,0,0,4,9,0,0,0,9,13,5,0,0,20,4,0,0,0,4,12,3,0,0,20,3,0,0,0,5,9,6,3,0,17,6,7,4,0,13,4,3,0,0,6,0,0,0,0,0,72,25,9,0,107
801091104,6,0,0,0,3,0,0,0,0,0,7,0,0,0,7,5,5,0,0,11,14,6,0,0,23,8,4,0,0,9,4,0,0,0,7,0,3,0,0,6,5,0,0,0,8,0,0,0,0,0,52,30,0,0,86
801091105,0,5,0,0,3,0,0,0,0,0,13,8,0,0,21,9,0,0,0,12,9,8,0,0,19,3,0,0,0,9,10,3,0,0,14,4,7,5,0,22,3,6,0,0,10,0,0,0,0,0,63,39,11,4,115
801091106,3,0,0,0,3,0,4,0,0,6,7,8,0,0,14,14,6,3,0,31,17,10,0,0,28,7,0,0,0,6,7,5,0,0,13,0,0,0,0,5,4,3,0,0,7,0,0,0,0,0,76,39,13,0,128
801091107,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,5,0,0,7,3,0,0,0,0,0,0,0,0,0,7,7,3,0,18
801091108,4,0,0,0,3,0,0,0,0,4,6,0,0,0,13,6,8,0,0,12,13,10,0,0,19,5,3,0,0,7,3,9,0,0,15,4,3,4,0,10,0,7,0,0,11,0,0,0,0,0,44,37,14,0,96
801091109,4,0,0,0,3,7,0,0,0,9,20,8,0,0,25,28,4,0,0,35,26,12,0,0,35,9,6,0,0,12,11,0,0,0,13,4,6,0,0,12,3,9,0,0,12,0,0,0,0,0,115,43,5,3,162
801091110,0,0,0,0,0,8,0,0,0,9,8,3,0,0,14,10,8,0,3,20,3,4,0,0,9,0,0,0,0,3,0,4,5,0,10,7,0,0,0,9,0,8,0,0,7,3,0,0,0,4,45,32,7,3,84
801101134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801101135,5,6,0,0,9,4,5,0,0,10,20,13,0,0,35,21,20,0,0,34,14,9,0,0,29,3,5,0,0,4,14,4,0,0,9,3,9,0,0,8,3,6,4,0,14,0,0,0,0,0,103,72,10,0,188
801101136,0,3,0,0,3,0,0,0,0,0,4,4,0,0,11,5,0,0,0,9,0,8,0,0,12,3,4,0,0,9,0,3,0,0,4,9,0,0,0,8,0,3,0,0,6,0,0,0,0,0,38,32,8,0,83
801101137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801101139,3,0,0,0,4,4,0,0,0,4,12,3,5,0,15,10,8,0,0,14,15,10,0,0,23,6,0,0,0,5,6,6,0,0,15,4,10,5,0,19,4,3,0,0,3,0,0,0,0,0,79,37,7,0,122
801101145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801101146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801111140,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,6,5,0,16
801111141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
897979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899999499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
