SA2_CODE_2021,C21_650_799_1PF_1C,C21_650_799_1PF_2C,C21_650_799_1PF_3C,C21_650_799_1PF_4mC,C21_650_799_Tot,C21_800_999_1PF_1C,C21_800_999_1PF_2C,C21_800_999_1PF_3C,C21_800_999_1PF_4mC,C21_800_999_Tot,C21_1000_1499_1PF_1C,C21_1000_1499_1PF_2C,C21_1000_1499_1PF_3C,C21_1000_1499_1PF_4mC,C21_1000_1499_Tot,C21_1500_1999_1PF_1C,C21_1500_1999_1PF_2C,C21_1500_1999_1PF_3C,C21_1500_1999_1PF_4mC,C21_1500_1999_Tot,C21_2000_2499_1PF_1C,C21_2000_2499_1PF_2C,C21_2000_2499_1PF_3C,C21_2000_2499_1PF_4mC,C21_2000_2499_Tot,C21_2500_2999_1PF_1C,C21_2500_2999_1PF_2C,C21_2500_2999_1PF_3C,C21_2500_2999_1PF_4mC,C21_2500_2999_Tot,C21_3000_3999_1PF_1C,C21_3000_3999_1PF_2C,C21_3000_3999_1PF_3C,C21_3000_3999_1PF_4mC,C21_3000_3999_Tot,C21_4000more_1PF_1C,C21_4000more_1PF_2C,C21_4000more_1PF_3C,C21_4000more_1PF_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_1PF_1C,C21_Par_inc_st_1PF_2C,C21_Par_inc_st_1PF_3C,C21_Par_inc_st_1PF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_1PF_1Ch,C21_All_inc_ns_1PF_2C,C21_All_inc_ns_1PF_3C,C21_All_inc_ns_1PF_4mC,C21_All_inc_ns_Tot,C21_Tot_1PF_1C,C21_Tot_1PF_2C,C21_Tot_1PF_3C,C21_Tot_1PF_4mC,C21_Tot_Tot
801031031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801031032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801031113,0,0,0,0,0,3,0,0,0,4,9,5,0,0,9,3,0,0,0,3,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,22,8,3,0,33
801031114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
801031115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8
801041034,5,9,0,0,15,11,3,0,0,16,11,10,3,0,28,16,7,0,0,32,26,11,0,0,37,10,6,5,0,20,11,8,4,0,24,5,4,0,0,14,3,7,8,0,20,3,0,0,0,3,126,74,15,0,219
801041035,4,7,0,0,10,3,3,3,4,14,10,19,5,6,45,18,16,5,0,38,25,17,4,0,44,14,3,0,0,16,17,8,3,0,29,8,9,0,0,13,6,4,0,8,21,0,0,0,0,0,109,93,31,19,249
801041036,10,3,0,0,15,5,6,0,0,13,23,18,6,0,46,25,13,3,3,45,21,19,3,0,47,9,8,0,0,14,8,6,0,0,11,0,3,3,0,6,6,3,0,3,14,0,0,0,0,0,121,94,17,6,232
801041037,3,0,0,0,3,0,3,0,0,3,12,3,0,0,18,16,12,0,0,29,12,7,0,0,21,5,4,0,0,10,8,5,0,0,8,3,4,0,0,7,0,3,0,0,3,0,0,0,0,0,69,43,7,3,122
801041038,5,0,0,0,7,0,0,0,0,4,10,3,0,0,14,5,7,0,0,21,7,13,0,0,22,0,4,0,0,4,7,5,3,0,13,5,5,0,0,18,7,4,0,0,8,0,0,0,0,4,61,52,8,3,127
801041039,5,0,0,0,5,7,3,3,0,13,19,16,4,0,30,22,12,0,0,34,9,21,3,0,31,8,0,0,0,8,4,10,0,0,15,3,3,0,0,13,6,6,0,0,17,0,3,0,0,3,103,84,17,0,203
801041040,8,6,0,0,17,11,3,0,0,17,29,14,6,3,52,29,18,0,0,44,29,15,0,0,41,17,0,0,0,21,20,7,0,0,21,17,10,0,0,25,3,8,3,0,18,4,0,0,0,4,182,74,16,12,280
801041043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,11
801041044,3,0,0,0,7,3,4,0,0,10,22,10,0,0,34,22,12,6,4,45,26,33,3,0,58,6,6,0,0,12,11,4,5,0,26,13,8,0,0,22,6,11,6,0,22,0,0,0,0,4,133,90,33,4,256
801041045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041046,16,5,3,0,29,10,3,0,0,20,40,44,11,7,95,47,38,9,0,91,60,24,6,3,87,17,3,0,0,22,26,11,3,0,38,12,11,0,0,29,16,10,10,0,38,7,0,0,0,7,277,163,52,12,508
801041047,0,3,0,0,7,6,0,0,0,9,16,5,0,0,26,9,16,4,3,27,13,9,0,0,28,11,5,0,0,14,7,5,5,0,17,7,5,0,0,14,10,3,0,0,13,4,0,0,0,5,89,69,14,13,181
801041048,8,7,3,0,21,9,9,4,0,25,25,15,0,0,41,27,13,0,0,43,27,20,0,0,45,13,0,0,0,19,11,4,0,0,16,4,9,0,0,12,8,4,0,0,10,0,0,0,0,0,155,84,21,0,267
801041116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041118,0,4,0,0,4,0,0,0,0,0,9,0,0,0,5,7,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,0,3,31
801041119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041120,5,0,0,3,9,10,3,0,0,9,14,13,4,0,27,18,5,3,0,29,17,9,3,0,32,10,7,0,0,12,3,4,5,0,9,3,3,0,0,6,3,3,4,0,9,4,0,0,0,0,87,56,21,9,175
801041121,0,3,0,5,4,3,3,0,0,8,6,4,0,0,10,3,0,0,0,7,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,38,20,4,5,74
801041122,0,0,0,0,3,0,4,0,0,7,7,4,0,0,8,3,0,5,0,6,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,22,18,9,0,53
801051049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051050,13,4,0,0,18,8,7,4,0,15,9,8,0,0,21,25,0,0,0,27,11,10,0,0,22,8,7,0,0,20,3,6,0,0,9,9,8,0,3,22,6,8,0,4,16,0,0,0,0,3,105,68,9,4,188
801051051,4,0,0,0,4,0,0,0,0,0,10,0,0,0,13,11,4,0,0,17,11,7,0,0,16,3,0,0,0,3,6,3,0,0,9,9,4,0,0,13,6,3,0,0,12,0,0,0,0,0,76,26,0,0,107
801051053,3,0,0,0,3,0,0,0,0,0,3,3,0,0,3,7,0,0,0,9,10,4,0,0,11,0,0,0,0,0,5,0,0,0,9,9,0,0,0,6,0,0,0,0,5,0,0,0,0,0,42,10,0,0,58
801051054,4,3,0,0,5,14,0,0,0,8,13,0,0,0,15,5,10,0,0,18,15,4,0,0,18,5,0,0,0,5,5,6,0,0,8,7,4,0,0,8,0,0,0,0,5,0,0,0,0,0,68,31,3,0,98
801051055,3,0,3,0,11,11,3,0,0,12,19,4,0,0,28,12,5,4,0,17,9,7,0,0,15,6,0,0,0,11,6,6,0,0,9,5,5,0,0,12,3,0,0,0,8,0,0,0,0,0,96,42,7,7,153
801051056,0,5,0,0,4,4,0,0,0,5,10,4,0,0,15,8,3,0,0,21,10,6,0,0,17,3,5,0,0,11,8,0,0,0,8,7,0,0,0,12,6,5,0,0,15,0,0,0,0,0,65,39,8,4,114
801051057,3,3,0,0,5,7,4,0,0,16,18,3,0,0,30,20,8,0,0,33,21,12,0,0,30,0,0,0,0,5,8,6,3,0,10,6,5,0,0,14,9,3,4,0,13,0,3,0,0,3,121,52,6,0,183
801051058,4,0,0,0,10,9,6,0,0,13,19,6,0,3,24,16,5,0,0,24,23,10,0,0,36,0,0,0,0,5,10,3,0,0,18,9,10,0,0,18,4,4,4,0,14,5,0,0,0,5,121,61,17,3,202
801051060,7,0,0,0,7,0,0,0,0,6,11,4,0,0,10,12,3,0,0,14,7,6,0,0,14,3,0,0,0,3,6,0,0,0,12,8,6,0,0,14,0,6,0,0,3,0,0,0,0,0,64,28,3,0,94
801051061,7,0,0,0,7,7,7,0,0,17,25,8,3,0,35,32,16,3,0,42,34,27,5,0,64,18,3,0,0,22,13,5,0,0,17,7,13,0,0,24,6,9,6,0,15,0,0,0,0,3,162,91,18,4,274
801051123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051124,0,0,0,0,0,4,0,0,0,4,9,5,0,0,16,7,3,0,0,8,12,8,0,0,16,4,0,0,0,6,6,0,0,0,8,10,3,0,0,19,0,7,0,0,9,0,0,0,0,0,59,26,6,0,91
801051125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9
801051126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051127,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,3,0,0,0,4,7,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,28,7,0,0,38
801051128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061062,0,0,0,0,0,3,0,0,0,0,11,5,0,0,11,8,8,0,0,13,8,4,0,0,16,6,3,0,0,10,3,6,0,0,10,7,7,5,0,18,4,5,0,0,13,0,0,0,0,0,60,29,8,3,94
