SA2_CODE_2021,C11_Chr_Tot_0_14,C11_Chr_Tot_15_24,C11_Chr_Tot_25_34,C11_Chr_Tot_35_44,C11_Chr_Tot_45_54,C11_Chr_Tot_55_64,C11_Chr_Tot_65_74,C11_Chr_Tot_75_84,C11_Chr_Tot_85ov,C11_Chr_Tot_Tot,C11_Hinduism_0_14,C11_Hinduism_15_24,C11_Hinduism_25_34,C11_Hinduism_35_44,C11_Hinduism_45_54,C11_Hinduism_55_64,C11_Hinduism_65_74,C11_Hinduism_75_84,C11_Hinduism_85ov,C11_Hinduism_Tot,C11_Islam_0_14,C11_Islam_15_24,C11_Islam_25_34,C11_Islam_35_44,C11_Islam_45_54,C11_Islam_55_64,C11_Islam_65_74,C11_Islam_75_84,C11_Islam_85ov,C11_Islam_Tot,C11_Judaism_0_14,C11_Judaism_15_24,C11_Judaism_25_34,C11_Judaism_35_44,C11_Judaism_45_54,C11_Judaism_55_64,C11_Judaism_65_74,C11_Judaism_75_84,C11_Judaism_85ov,C11_Judaism_Tot,C11_OR_Au_Ab_Tr_R_0_14,C11_OR_Au_Ab_Tr_R_15_24,C11_OR_Au_Ab_Tr_R_25_34,C11_OR_Au_Ab_Tr_R_35_44,C11_OR_Au_Ab_Tr_R_45_54,C11_OR_Au_Ab_Tr_R_55_64,C11_OR_Au_Ab_Tr_R_65_74,C11_OR_Au_Ab_Tr_R_75_84,C11_OR_A_Ab_Tr_Re_85ov,C11_OR_Au_Ab_Tr_Re_Tot,C11_OR_Sikhism_0_14,C11_OR_Sikhism_15_24,C11_OR_Sikhism_25_34,C11_OR_Sikhism_35_44,C11_OR_Sikhism_45_54,C11_OR_Sikhism_55_64,C11_OR_Sikhism_65_74,C11_OR_Sikhism_75_84,C11_OR_Sikhism_85ov,C11_OR_Sikhism_Tot,C11_OR_OR_0_14,C11_OR_OR_15_24,C11_OR_OR_25_34,C11_OR_OR_35_44,C11_OR_OR_45_54,C11_OR_OR_55_64,C11_OR_OR_65_74,C11_OR_OR_75_84,C11_OR_OR_85ov,C11_OR_OR_Tot,C11_OR_Tot_0_14,C11_OR_Tot_15_24,C11_OR_Tot_25_34,C11_OR_Tot_35_44,C11_OR_Tot_45_54,C11_OR_Tot_55_64,C11_OR_Tot_65_74,C11_OR_Tot_75_84,C11_OR_Tot_85ov,C11_OR_Tot_Tot,C11_SBOSB_No_RA_0_14,C11_SBOSB_No_RA_15_24,C11_SBOSB_No_RA_25_34,C11_SBOSB_No_RA_35_44,C11_SBOSB_No_RA_45_54,C11_SBOSB_No_RA_55_64,C11_SBOSB_No_RA_65_74,C11_SBOSB_No_RA_75_84,C11_SBOSB_No_RA_85ov,C11_SBOSB_No_RA_Tot,C11_Rel_aff_ns_0_14,C11_Rel_aff_ns_15_24,C11_Rel_aff_ns_25_34,C11_Rel_aff_ns_35_44,C11_Rel_aff_ns_45_54,C11_Rel_aff_ns_55_64,C11_Rel_aff_ns_65_74,C11_Rel_aff_ns_75_84,C11_Rel_aff_ns_85ov,C11_Rel_aff_NS_Tot,C11_Tot_0_14,C11_Tot_15_24,C11_Tot_25_34,C11_Tot_35_44,C11_Tot_45_54,C11_Tot_55_64,C11_Tot_65_74,C11_Tot_75_84,C11_Tot_85ov,C11_Tot_Tot,C16_Buddhism_0_14,C16_Buddhism_15_24,C16_Buddhism_25_34,C16_Buddhism_35_44,C16_Buddhism_45_54,C16_Buddhism_55_64,C16_Buddhism_65_74,C16_Buddhism_75_84,C16_Buddhism_85ov,C16_Buddhism_Tot,C16_Christ_Angl_0_14,C16_Christ_Angl_15_24,C16_Christ_Angl_25_34,C16_Christ_Angl_35_44,C16_Christ_Angl_45_54,C16_Christ_Angl_55_64,C16_Christ_Angl_65_74,C16_Christ_Angl_75_84,C16_Christ_Angl_85ov,C16_Christ_Angl_Tot,C16_C_Assyr_Apo_0_14,C16_C_Assyr_Apo_15_24,C16_C_Assyr_Apo_25_34,C16_C_Assyr_Apo_35_44,C16_C_Assyr_Apo_45_54,C16_C_Assyr_Apo_55_64,C16_C_Assyr_Apo_65_74,C16_C_Assyr_Apo_75_84,C16_C_Assyr_Apo_85ov,C16_C_Assyr_Apo_Tot,C16_C_Baptist_0_14,C16_C_Baptist_15_24,C16_C_Baptist_25_34,C16_C_Baptist_35_44,C16_C_Baptist_45_54,C16_C_Baptist_55_64,C16_C_Baptist_65_74,C16_C_Baptist_75_84,C16_C_Baptist_85ov,C16_C_Baptist_Tot,C16_Christ_Breth_0_14,C16_Christ_Breth_15_24,C16_Christ_Breth_25_34,C16_Christ_Breth_35_44,C16_Christ_Breth_45_54,C16_Christ_Breth_55_64,C16_Christ_Breth_65_74,C16_Christ_Breth_75_84,C16_Christ_Breth_85ov,C16_Christ_Breth_Tot,C16_Ch_Catholic_0_14,C16_Ch_Catholic_15_24,C16_Ch_Catholic_25_34,C16_Ch_Catholic_35_44,C16_Ch_Catholic_45_54,C16_Ch_Catholic_55_64,C16_Ch_Catholic_65_74,C16_Ch_Catholic_75_84,C16_Ch_Catholic_85ov,C16_C_Catholic_Tot,C16_C_Chur_Christ_0_14,C16_C_Chur_Christ_15_24,C16_C_Chur_Christ_25_34,C16_C_Chur_Christ_35_44,C16_C_Chur_Christ_45_54,C16_C_Chur_Christ_55_64,C16_C_Chur_Christ_65_74,C16_C_Chur_Christ_75_84,C16_C_Chur_Christ_85ov,C16_C_Chur_Christ_Tot,C16_C_East_Ortho_0_14,C16_C_East_Ortho_15_24,C16_C_East_Ortho_25_34,C16_C_East_Ortho_35_44,C16_C_East_Ortho_45_54,C16_C_East_Ortho_55_64,C16_C_East_Ortho_65_74,C16_C_East_Ortho_75_84,C16_C_East_Ortho_85ov,C16_C_East_Ortho_Tot,C16_C_Jeh_Wit_0_14,C16_C_Jeh_Wit_15_24,C16_C_Jeh_Wit_25_34,C16_C_Jeh_Wit_35_44,C16_C_Jeh_Wit_45_54,C16_C_Jeh_Wit_55_64,C16_C_Jeh_Wit_65_74,C16_C_Jeh_Wit_75_84,C16_C_Jeh_Wit_85ov,C16_C_Jeh_Wit_Tot
801011143,4,4,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,5,0,0,6,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801031031,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,115,69,26,11,5,0,0,303,0,84,115,69,28,11,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801031032,12,3,4,3,9,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,4,8,9,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801031113,51,54,40,70,94,112,79,35,7,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,22,24,34,34,31,11,3,0,196,10,23,19,24,25,26,10,3,0,134,93,101,83,125,156,161,104,45,4,871,0,0,0,0,0,0,0,0,0,7,3,6,5,8,21,30,29,8,4,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,15,17,17,19,29,25,27,9,5,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0
801031114,9,4,11,3,4,5,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,4,4,0,0,0,0,35,5,0,0,0,0,0,0,0,0,9,21,0,18,15,14,9,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801031115,14,13,6,21,15,9,11,6,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,7,7,13,13,4,0,0,52,4,5,0,4,0,6,0,0,0,12,35,18,16,28,28,24,15,6,0,176,0,0,0,0,0,0,0,0,0,3,0,0,3,4,7,5,5,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,5,6,14,3,4,0,5,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041034,1056,367,445,792,459,237,149,56,6,3568,28,17,20,28,19,8,3,0,0,128,29,7,10,21,8,3,4,0,0,93,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,3,7,0,8,0,0,0,0,26,0,3,0,4,5,5,0,4,0,26,3,14,8,3,17,3,4,4,0,50,434,166,216,299,127,59,15,0,3,1323,70,34,38,56,43,27,9,0,0,279,1643,620,765,1229,692,355,196,64,12,5572,15,9,10,31,23,15,4,4,0,113,165,75,65,148,149,88,42,26,6,767,0,0,0,0,0,0,0,0,0,0,21,13,8,15,18,4,5,0,0,77,0,0,0,0,0,0,0,0,0,0,467,207,140,295,247,120,85,40,0,1615,0,0,4,0,0,0,0,0,0,6,14,18,0,21,16,3,9,5,0,75,0,0,3,0,0,0,0,0,0,9
801041035,202,84,231,140,50,31,9,3,0,751,42,4,57,17,7,0,0,0,0,128,39,5,31,20,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,3,5,3,0,0,0,0,0,0,17,96,53,116,53,21,10,0,0,0,341,29,15,21,15,0,3,0,0,0,86,428,161,474,268,96,47,11,3,0,1497,26,35,39,41,36,15,9,0,0,212,152,39,81,115,56,32,19,4,3,503,0,0,0,0,0,0,0,0,0,0,27,9,15,21,3,3,0,0,0,82,0,0,0,0,0,0,0,0,0,0,441,156,269,288,126,60,33,15,0,1384,0,0,0,0,0,0,0,0,0,0,23,4,6,20,3,0,0,0,0,65,9,7,4,6,0,4,0,0,0,34
801041036,211,127,266,137,70,53,11,3,0,890,14,7,15,14,4,5,0,0,0,65,16,6,12,10,4,6,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,4,5,3,4,3,3,0,0,0,0,15,62,68,127,39,25,12,3,0,0,336,26,6,27,15,11,0,0,0,0,95,337,232,472,230,115,82,18,7,0,1490,33,10,48,40,15,9,11,0,0,166,85,51,131,107,70,58,12,7,0,529,0,0,0,0,0,0,0,0,0,0,9,3,10,8,3,4,0,0,0,45,0,0,0,0,0,0,0,0,0,0,380,172,368,259,138,70,39,8,0,1433,0,0,0,0,0,0,0,0,0,0,19,8,12,17,13,0,4,0,0,81,0,3,0,0,3,0,0,0,0,8
801041037,42,53,99,40,24,10,8,0,0,274,8,0,10,6,5,0,0,0,0,35,10,4,14,4,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,32,27,85,22,10,0,0,0,0,169,4,0,9,5,0,0,0,0,0,32,101,90,234,86,38,12,8,0,0,566,25,10,33,32,25,9,10,0,0,145,63,36,78,52,42,19,23,12,0,318,0,0,0,0,0,0,0,0,0,0,7,6,9,8,7,3,4,0,0,49,0,0,0,0,0,0,0,0,0,0,269,99,228,192,93,57,23,12,0,980,0,3,0,0,0,0,0,0,0,4,19,5,22,13,10,8,4,0,0,85,4,0,3,6,0,0,0,0,0,4
801041038,422,141,257,308,121,67,25,9,0,1346,34,9,42,31,11,8,3,0,0,135,18,8,18,16,4,0,0,0,0,59,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,0,4,0,0,19,3,0,0,0,0,0,0,0,0,6,4,0,12,5,0,0,4,0,0,25,163,50,170,121,40,28,3,0,0,576,34,16,21,26,8,14,4,0,0,122,683,225,544,514,191,115,42,12,0,2318,27,14,21,32,21,14,4,0,0,137,168,40,53,134,91,39,21,0,3,562,0,0,0,0,0,0,0,0,0,0,8,9,5,4,6,4,0,0,0,37,0,0,0,0,0,0,0,0,0,0,336,108,114,252,132,51,32,7,4,1034,0,0,0,0,0,0,0,0,0,0,12,3,10,9,3,5,0,5,0,51,0,3,0,0,0,0,0,0,0,7
801041039,395,224,454,301,153,73,18,6,0,1627,79,18,147,45,13,5,4,0,0,321,78,35,70,54,21,8,5,0,0,274,7,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,12,10,10,5,0,0,0,0,0,39,0,5,5,0,0,0,0,0,0,12,9,9,12,5,0,0,0,0,0,45,213,211,337,142,72,40,6,0,0,1012,62,48,74,56,18,0,0,0,0,263,887,584,1146,668,320,148,37,7,0,3805,62,55,86,76,63,30,7,9,0,387,79,38,79,89,44,26,10,0,0,368,0,0,0,0,0,0,0,0,0,0,26,5,12,17,8,4,0,0,0,70,0,0,0,0,0,0,0,0,0,0,266,112,236,213,116,45,30,10,0,1033,5,0,3,3,0,0,0,0,0,8,16,16,18,26,13,8,6,0,0,96,6,0,3,3,0,0,0,0,0,15
801041040,659,428,536,576,299,173,84,22,14,2795,51,24,69,38,21,11,0,0,0,218,63,34,57,25,16,11,7,0,0,208,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,8,5,14,5,4,0,0,0,0,39,3,5,12,3,4,0,0,0,0,29,13,9,24,8,8,0,0,4,0,66,286,330,432,216,125,56,18,3,3,1467,102,93,129,93,44,27,11,5,0,508,1230,983,1325,1034,566,295,124,34,16,5618,23,39,45,43,43,34,16,0,0,243,98,61,51,94,87,49,31,16,3,479,0,0,0,0,0,0,0,0,0,0,8,10,19,16,16,14,8,4,0,88,0,0,0,0,0,0,0,0,0,0,248,176,186,213,174,90,44,28,7,1166,0,0,0,0,0,0,0,0,0,0,14,4,6,0,13,3,4,4,0,48,0,4,0,5,4,0,0,0,0,19
801041043,59,10,9,38,27,32,24,13,3,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,11,7,10,16,15,3,0,0,91,3,0,4,5,6,0,0,0,0,20,79,28,23,48,48,48,34,16,3,331,0,0,0,0,0,0,0,0,0,0,5,3,5,5,3,9,4,5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,5,9,8,15,8,7,0,87,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
801041044,713,246,445,551,261,133,46,5,0,2405,71,19,41,70,25,10,3,0,0,232,58,20,30,37,11,4,4,0,0,175,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,3,10,0,0,0,0,0,23,0,0,0,0,0,0,5,0,0,14,7,0,5,10,0,0,5,0,0,28,314,136,282,211,112,41,12,0,0,1107,101,52,55,71,35,9,15,0,0,340,1293,495,882,986,469,218,86,11,5,4441,43,40,67,62,49,26,6,3,0,298,146,68,100,140,87,37,16,8,0,613,0,0,0,0,0,0,0,0,0,0,14,7,14,17,8,5,0,0,0,70,0,0,0,0,0,0,0,0,0,0,434,164,246,314,154,58,43,20,0,1424,0,0,0,0,0,0,0,0,0,0,53,13,35,24,20,9,3,0,0,162,7,5,3,0,3,0,0,0,0,22
801041045,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041046,1116,585,869,903,626,430,274,130,26,4967,67,23,70,46,28,16,3,0,0,254,105,34,78,45,16,13,4,0,0,298,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,3,0,3,0,0,0,0,21,0,4,14,15,0,4,0,0,0,40,5,4,19,19,3,4,0,0,0,66,648,356,596,435,252,114,62,20,3,2484,156,88,112,99,75,52,16,4,3,602,2165,1141,1793,1617,1053,651,370,160,34,8983,64,48,55,62,53,29,22,9,0,343,202,106,179,172,170,112,85,44,15,1078,4,0,0,0,0,0,0,0,0,4,16,13,29,18,20,3,4,3,0,99,0,0,0,0,0,0,0,0,0,0,503,312,430,340,287,175,134,61,12,2256,0,0,0,0,0,0,3,0,0,10,23,22,18,33,23,10,4,3,0,147,4,0,4,0,6,0,0,4,0,19
801041047,1018,577,326,754,816,536,297,107,17,4450,35,27,25,35,36,23,3,4,0,192,28,16,23,13,19,6,3,0,0,119,6,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,8,4,0,5,8,5,6,0,0,0,19,6,3,5,8,8,4,0,0,0,30,368,246,157,213,242,157,66,26,3,1471,102,56,55,77,63,38,19,10,0,411,1612,954,617,1146,1244,808,403,148,24,6950,13,26,27,20,51,49,19,13,0,209,181,118,38,116,209,115,110,49,10,947,0,0,0,0,0,0,0,0,0,0,11,8,0,15,10,27,10,4,0,89,0,0,0,0,0,0,0,0,0,0,368,347,108,233,366,230,147,65,9,1875,0,0,0,0,0,0,0,0,0,0,42,41,12,26,43,17,4,7,0,186,0,0,3,0,0,0,0,0,0,8
801041048,616,452,434,508,504,342,179,75,12,3131,34,20,51,19,27,17,0,0,0,165,84,28,65,47,16,6,0,4,0,257,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,9,21,0,4,0,0,0,0,41,0,0,6,4,3,4,0,0,0,18,10,8,27,9,7,3,0,0,0,57,308,252,256,241,176,104,19,0,4,1370,69,65,71,51,55,31,13,9,0,360,1173,871,956,939,840,549,232,97,24,5680,26,30,31,38,52,47,14,10,4,241,118,63,63,68,111,93,70,27,9,623,0,0,0,0,0,0,0,0,0,0,3,4,10,3,9,3,3,0,0,36,0,0,0,0,0,0,0,0,0,0,188,176,146,145,214,145,94,44,10,1168,0,0,0,0,0,0,0,0,0,3,17,26,4,17,22,13,8,8,0,116,0,0,0,0,0,0,3,0,0,3
801041116,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041117,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,4,3,0,0,0,20,5,6,17,11,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,31,11,27,19,8,6,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3
801041119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8,0,0,6,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,8,4,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
