SA2_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
801091108,98,186,8,0,11,101,118,223,9,20,33,19,22,36,0,0,0,28,42,68,51,81,128,1244,1222,2460,47,44,91,1342,1347,2687
801091109,49,87,5,7,9,44,64,113,3,7,15,13,16,31,0,0,4,16,23,42,79,73,151,2298,2495,4790,141,107,248,2518,2675,5197
801091110,66,126,0,3,8,66,84,151,11,16,23,10,14,18,0,0,0,21,30,43,46,68,110,1115,1096,2206,61,48,103,1222,1212,2424
801101134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,11,0,0,5,4,5,13
801101135,19,27,0,0,0,16,19,39,4,4,3,0,3,5,0,0,0,4,7,11,46,42,89,2262,2318,4588,84,89,176,2392,2449,4851
801101136,6,8,0,0,0,3,13,15,0,0,0,0,0,0,0,0,0,0,0,0,28,25,52,1314,1303,2624,36,52,84,1378,1380,2759
801101137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801101139,8,19,0,0,3,14,13,37,0,0,0,5,3,4,0,0,0,5,3,9,35,52,82,1716,1863,3575,79,74,146,1830,1989,3808
801101145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
801101146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,0,0,0,3,5,7
801111140,7,7,0,0,0,4,7,11,0,0,0,0,0,3,0,0,0,0,0,4,8,8,19,264,245,504,18,20,32,290,273,556
801111141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,23,50,10,5,16,38,28,63
897979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899999499,4,5,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,4,19,7,26,224,225,450,94,35,127,337,267,605
