SA2_CODE_2021,C16_45_49_Sep_F,C16_45_49_Sep_P,C16_45_49_Div_M,C16_45_49_Div_F,C16_45_49_Div_P,C16_45_49_Wid_M,C16_45_49_Wid_F,C16_45_49_Wid_P,C16_45_49_Nvr_marrd_M,C16_45_49_Nvr_marrd_F,C16_45_49_Nvr_marrd_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Married_M,C16_50_54_Married_F,C16_50_54_Married_P,C16_50_54_Sep_M,C16_50_54_Sep_F,C16_50_54_Sep_P,C16_50_54_Div_M,C16_50_54_Div_F,C16_50_54_Div_P,C16_50_54_Wid_M,C16_50_54_Wid_F,C16_50_54_Wid_P,C16_50_54_Nvr_marrd_M,C16_50_54_Nvr_marrd_F,C16_50_54_Nvr_marrd_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Married_M,C16_55_59_Married_F,C16_55_59_Married_P,C16_55_59_Sep_M,C16_55_59_Sep_F,C16_55_59_Sep_P,C16_55_59_Div_M,C16_55_59_Div_F,C16_55_59_Div_P,C16_55_59_Wid_M,C16_55_59_Wid_F,C16_55_59_Wid_P,C16_55_59_Nvr_marrd_M,C16_55_59_Nvr_marrd_F,C16_55_59_Nvr_marrd_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Married_M,C16_60_64_Married_F,C16_60_64_Married_P,C16_60_64_Sep_M,C16_60_64_Sep_F,C16_60_64_Sep_P,C16_60_64_Div_M,C16_60_64_Div_F,C16_60_64_Div_P,C16_60_64_Wid_M,C16_60_64_Wid_F,C16_60_64_Wid_P,C16_60_64_Nvr_marrd_M,C16_60_64_Nvr_marrd_F,C16_60_64_Nvr_marrd_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_69_Married_M,C16_65_69_Married_F,C16_65_69_Married_P,C16_65_69_Sep_M,C16_65_69_Sep_F,C16_65_69_Sep_P,C16_65_69_Div_M,C16_65_69_Div_F,C16_65_69_Div_P,C16_65_69_Wid_M,C16_65_69_Wid_F,C16_65_69_Wid_P,C16_65_69_Nvr_marrd_M,C16_65_69_Nvr_marrd_F,C16_65_69_Nvr_marrd_P,C16_65_69_Tot_M,C16_65_69_Tot_F,C16_65_69_Tot_P,C16_70_74_Married_M,C16_70_74_Married_F,C16_70_74_Married_P,C16_70_74_Sep_M,C16_70_74_Sep_F,C16_70_74_Sep_P,C16_70_74_Div_M,C16_70_74_Div_F,C16_70_74_Div_P,C16_70_74_Wid_M,C16_70_74_Wid_F,C16_70_74_Wid_P,C16_70_74_Nvr_marrd_M,C16_70_74_Nvr_marrd_F,C16_70_74_Nvr_marrd_P,C16_70_74_Tot_M,C16_70_74_Tot_F,C16_70_74_Tot_P,C16_75_79_Married_M,C16_75_79_Married_F,C16_75_79_Married_P,C16_75_79_Sep_M,C16_75_79_Sep_F,C16_75_79_Sep_P,C16_75_79_Div_M,C16_75_79_Div_F,C16_75_79_Div_P,C16_75_79_Wid_M,C16_75_79_Wid_F,C16_75_79_Wid_P,C16_75_79_Nvr_marrd_M,C16_75_79_Nvr_marrd_F,C16_75_79_Nvr_marrd_P,C16_75_79_Tot_M,C16_75_79_Tot_F,C16_75_79_Tot_P,C16_80_84_Married_M,C16_80_84_Married_F,C16_80_84_Married_P,C16_80_84_Sep_M,C16_80_84_Sep_F,C16_80_84_Sep_P,C16_80_84_Div_M,C16_80_84_Div_F,C16_80_84_Div_P,C16_80_84_Wid_M,C16_80_84_Wid_F,C16_80_84_Wid_P,C16_80_84_Nvr_marrd_M,C16_80_84_Nvr_marrd_F,C16_80_84_Nvr_marrd_P,C16_80_84_Tot_M,C16_80_84_Tot_F,C16_80_84_Tot_P,C16_85_over_Married_M,C16_85_over_Married_F,C16_85_over_Married_P,C16_85_over_Seprtd_M,C16_85_over_Seprtd_F,C16_85_over_Seprtd_P,C16_85_over_Divorce_M,C16_85_over_Divorce_F,C16_85_over_Divorce_P,C16_85_over_Wid_M,C16_85_over_Wid_F,C16_85_over_Wid_P,C16_85_over_Nvr_mard_M,C16_85_over_Nvr_mard_F,C16_85_over_Nvr_mard_P,C16_85_over_Tot_M,C16_85_over_Tot_F,C16_85_over_Tot_P,C16_Tot_Married_M,C16_Tot_Married_F,C16_Tot_Married_P,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Sep_P,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Div_P,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_Wid_P,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_nver_marrie_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_15_19_Married_M,C21_15_19_Married_F,C21_15_19_Married_P,C21_15_19_Sep_M,C21_15_19_Sep_F,C21_15_19_Sep_P,C21_15_19_Div_M,C21_15_19_Div_F,C21_15_19_Div_P,C21_15_19_Wid_M,C21_15_19_Wid_F,C21_15_19_Wid_P,C21_15_19_Nvr_marrd_M,C21_15_19_Nvr_marrd_F,C21_15_19_Nvr_marrd_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Married_M,C21_20_24_Married_F,C21_20_24_Married_P,C21_20_24_Sep_M,C21_20_24_Sep_F,C21_20_24_Sep_P
801071090,11,24,20,29,47,0,0,4,60,51,113,238,230,472,158,151,306,10,22,28,35,46,85,3,12,14,45,36,84,249,266,517,152,180,328,6,6,18,32,73,105,0,11,11,33,26,61,232,295,531,215,222,438,9,9,16,36,55,94,4,16,22,18,15,37,283,322,607,187,170,348,3,15,18,33,43,72,6,31,37,7,3,8,234,257,492,121,88,212,4,0,9,18,21,38,9,28,33,5,5,5,156,146,300,64,29,93,0,0,0,7,8,16,11,23,32,5,9,11,84,67,155,35,15,51,0,0,3,4,0,0,8,24,30,0,0,4,45,44,86,18,4,24,0,0,0,0,5,6,4,38,44,0,0,0,24,52,77,1557,1555,3110,72,102,176,221,336,557,48,180,233,1054,907,1964,2960,3085,6041,0,0,0,0,0,0,0,0,0,0,0,0,237,194,430,240,194,437,3,14,19,0,0,0
801071132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,7,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801081091,3,3,11,9,22,0,0,0,11,12,24,89,94,185,87,90,179,0,5,4,7,10,25,0,0,0,5,6,15,108,110,217,78,81,158,7,0,3,3,7,14,0,0,0,9,11,21,95,106,198,59,68,121,5,4,0,9,5,15,5,4,11,6,7,8,70,88,159,86,87,172,0,0,0,7,11,14,3,11,11,8,0,5,108,106,213,72,70,144,0,0,0,8,13,22,0,15,14,6,4,9,86,99,188,50,29,82,3,0,4,3,3,12,0,19,19,0,0,0,59,53,111,23,10,37,0,0,0,0,0,0,4,16,15,0,0,0,31,22,52,17,9,22,0,0,0,0,0,0,7,19,31,0,0,0,26,36,54,677,683,1364,16,16,32,55,89,147,23,82,99,289,249,539,1061,1123,2180,0,0,0,0,0,0,0,0,0,0,0,0,95,90,186,95,90,186,0,0,0,0,0,0
801081092,4,9,13,17,27,0,0,0,24,23,48,133,141,264,69,62,133,4,3,9,9,16,27,0,3,3,25,25,53,114,115,222,68,56,119,9,5,9,11,14,25,0,6,6,16,17,28,97,97,194,43,41,94,3,4,4,11,23,34,3,9,12,10,6,14,67,89,154,44,66,109,5,4,3,11,21,33,6,7,13,5,3,7,67,97,168,72,41,114,0,0,0,9,8,21,0,11,13,5,3,5,89,67,151,29,23,51,0,0,3,6,5,7,3,13,20,0,0,0,42,43,79,19,15,31,0,0,0,0,0,3,6,14,22,0,0,0,28,31,60,7,3,10,0,0,0,3,0,6,12,15,24,0,0,0,16,22,44,648,658,1303,33,42,69,74,134,205,33,72,109,378,397,768,1161,1292,2460,0,0,0,0,0,0,0,0,0,0,0,0,117,106,222,117,110,228,5,3,10,0,0,0
801081093,3,11,11,21,34,0,0,0,32,17,46,121,102,219,56,43,99,3,4,9,11,21,36,0,4,4,14,20,34,86,92,177,38,39,84,3,6,4,11,20,34,4,4,4,10,16,21,62,81,145,41,46,91,0,3,3,5,18,25,4,12,13,7,5,15,63,83,147,49,46,96,5,0,3,6,16,24,5,8,14,6,4,16,68,83,153,66,52,114,0,0,0,5,16,21,4,16,12,0,3,6,73,75,154,31,28,66,0,0,0,4,15,22,6,13,21,0,0,4,40,64,104,20,16,36,0,0,0,3,4,9,3,34,35,3,0,3,31,48,78,16,11,24,0,0,0,0,7,3,16,36,56,0,0,3,37,54,85,607,591,1198,23,34,55,77,151,230,37,124,163,376,347,726,1127,1251,2375,0,0,0,0,0,0,0,0,0,0,0,0,93,81,173,93,81,173,0,3,6,0,0,0
801081094,9,9,22,9,32,3,0,0,12,33,44,96,97,197,44,45,85,0,4,10,9,12,29,0,0,4,11,13,31,72,80,154,39,49,85,0,3,5,15,21,35,0,5,5,5,9,14,56,88,145,41,35,78,0,0,4,12,16,23,0,4,4,10,8,20,65,62,126,56,56,114,0,0,0,12,18,28,5,13,21,0,4,4,76,90,169,57,54,110,0,0,6,8,8,15,3,11,16,0,4,4,69,80,147,39,34,70,0,0,3,8,10,10,0,16,14,0,5,3,40,58,101,23,14,42,0,0,4,0,3,3,6,13,13,0,0,0,32,32,65,15,10,21,0,0,0,0,0,0,4,14,20,0,0,0,19,28,44,564,571,1137,19,27,46,90,119,208,27,84,106,288,301,587,982,1096,2082,0,0,0,0,0,0,0,0,0,0,0,0,83,73,155,83,71,160,0,0,0,0,0,0
801081095,4,6,10,21,32,0,7,7,30,29,61,97,113,209,46,42,85,6,9,8,17,11,31,4,5,8,24,22,46,95,91,181,54,55,105,4,6,9,12,11,19,3,6,9,8,24,39,87,96,181,43,39,85,3,5,7,7,26,35,0,4,4,8,6,21,71,90,157,62,69,131,0,10,10,16,30,44,0,17,20,5,11,14,84,131,217,57,49,109,0,3,5,13,26,45,6,18,22,5,4,7,83,95,177,31,17,53,0,0,0,3,6,13,5,22,23,3,0,6,50,49,96,17,13,32,0,0,0,4,6,8,6,11,23,0,0,4,31,34,63,6,4,12,0,0,0,0,3,5,3,19,23,0,0,0,13,24,36,600,606,1209,32,51,78,113,177,289,32,105,132,396,410,804,1172,1342,2516,0,0,0,0,0,0,0,0,0,0,0,0,92,97,186,92,97,186,0,3,3,0,0,0
801081096,5,7,0,13,19,0,0,0,17,13,31,72,67,140,28,39,74,3,6,8,3,8,13,0,0,5,7,7,22,47,62,111,41,45,86,5,4,5,6,3,17,0,3,0,8,11,18,61,71,130,46,51,91,8,3,8,3,10,11,0,3,8,6,9,13,62,66,132,67,64,135,3,3,6,5,13,23,4,3,8,3,4,5,89,91,177,43,30,73,0,0,0,0,3,7,0,8,7,0,0,0,52,49,98,26,28,55,0,4,4,8,9,14,4,19,17,3,0,3,39,55,95,20,18,41,0,0,0,3,5,6,6,26,32,0,0,0,32,46,82,23,16,39,0,0,0,3,8,7,16,55,72,3,0,3,41,73,117,466,472,938,21,38,57,51,84,136,40,116,157,239,223,458,817,934,1750,0,0,0,0,0,0,0,0,0,0,0,0,66,49,118,66,49,118,0,0,0,0,0,0
801081097,8,13,13,16,28,0,0,0,13,24,42,103,118,219,42,33,75,0,3,3,15,13,25,0,3,3,21,17,34,77,59,144,38,56,91,6,6,10,15,16,32,0,0,0,13,8,20,68,83,151,49,35,82,0,0,0,20,14,29,0,6,12,9,3,18,84,56,135,30,46,79,0,0,7,13,18,33,0,19,23,4,8,12,48,95,143,50,38,88,0,0,0,11,18,27,6,14,12,6,0,10,73,66,142,27,33,54,9,0,9,5,6,13,9,12,20,3,0,3,51,47,97,22,16,35,0,0,0,0,6,6,0,17,14,0,0,0,26,38,61,12,6,17,0,0,0,6,0,3,8,19,25,3,0,3,24,25,47,529,547,1078,30,30,60,92,114,211,25,85,112,327,302,635,1008,1080,2094,0,0,0,0,0,0,0,0,0,0,0,0,78,71,153,78,71,153,0,3,3,0,0,0
801081098,11,17,10,18,29,0,0,0,34,25,53,129,133,265,55,73,126,5,0,6,16,20,36,0,0,0,18,21,37,93,111,203,59,67,123,0,4,5,11,16,34,0,0,6,21,9,35,90,104,194,66,43,107,0,3,4,13,20,34,0,0,0,11,17,19,83,89,171,62,65,125,5,3,8,11,26,45,0,9,9,9,15,26,93,119,206,64,67,123,0,0,0,9,26,41,4,25,29,5,7,10,81,129,212,62,47,108,3,0,4,7,14,19,3,25,24,12,0,9,84,77,162,39,21,62,3,0,5,6,7,11,12,35,47,6,6,9,59,74,136,20,6,27,5,0,5,4,6,12,21,90,111,0,3,4,47,111,159,745,751,1493,47,37,75,103,188,288,50,193,245,411,383,797,1346,1553,2899,0,0,0,0,0,0,0,0,0,0,0,0,117,88,203,117,88,208,0,3,8,0,0,0
