SA2_CODE_2021,C16_M_25_29_Tot_LF,C16_M_25_29_Not_LF,C16_M_25_29_LF_NS,C16_M_25_29_Tot,C16_M_30_34_Em_FT,C16_M_30_34_Em_PT,C16_M_30_34_Em_AFW,C16_M_30_34_Em_Hrs_NS,C16_M_30_34_Em_Tot,C16_M_30_34_Unem_Look_FT,C16_M_30_34_Unem_Look_PT,C16_M_30_34_Unem_Tot,C16_M_30_34_Tot_LF,C16_M_30_34_Not_LF,C16_M_30_34_LF_NS,C16_M_30_34_Tot,C16_M_35_39_Em_FT,C16_M_35_39_Em_PT,C16_M_35_39_Em_AFW,C16_M_35_39_Em_Hrs_NS,C16_M_35_39_Em_Tot,C16_M_35_39_Unem_Look_FT,C16_M_35_39_Unem_Look_PT,C16_M_35_39_Unem_Tot,C16_M_35_39_Tot_LF,C16_M_35_39_Not_LF,C16_M_35_39_LF_NS,C16_M_35_39_Tot,C16_M_40_44_Em_FT,C16_M_40_44_Em_PT,C16_M_40_44_Em_AFW,C16_M_40_44_Em_Hrs_NS,C16_M_40_44_Em_Tot,C16_M_40_44_Unem_Look_FT,C16_M_40_44_Unem_Look_PT,C16_M_40_44_Unem_Tot,C16_M_40_44_Tot_LF,C16_M_40_44_Not_LF,C16_M_40_44_LF_NS,C16_M_40_44_Tot,C16_M_45_49_Em_FT,C16_M_45_49_Em_PT,C16_M_45_49_Em_AFW,C16_M_45_49_Em_Hrs_NS,C16_M_45_49_Em_Tot,C16_M_45_49_Unem_Look_FT,C16_M_45_49_Unem_Look_PT,C16_M_45_49_Unem_Tot,C16_M_45_49_Tot_LF,C16_M_45_49_Not_LF,C16_M_45_49_LF_NS,C16_M_45_49_Tot,C16_M_50_54_Em_FT,C16_M_50_54_Em_PT,C16_M_50_54_Em_AFW,C16_M_50_54_Em_Hrs_NS,C16_M_50_54_Em_Tot,C16_M_50_54_Unem_Look_FT,C16_M_50_54_Unem_Look_PT,C16_M_50_54_Unem_Tot,C16_M_50_54_Tot_LF,C16_M_50_54_Not_LF,C16_M_50_54_LF_NS,C16_M_50_54_Tot,C16_M_55_59_Em_FT,C16_M_55_59_Em_PT,C16_M_55_59_Em_AFW,C16_M_55_59_Em_Hrs_NS,C16_M_55_59_Em_Tot,C16_M_55_59_Unem_Look_FT,C16_M_55_59_Unem_Look_PT,C16_M_55_59_Unem_Tot,C16_M_55_59_Tot_LF,C16_M_55_59_Not_LF,C16_M_55_59_LF_NS,C16_M_55_59_Tot,C16_M_60_64_Em_FT,C16_M_60_64_Em_PT,C16_M_60_64_Em_AFW,C16_M_60_64_Em_Hrs_NS,C16_M_60_64_Em_Tot,C16_M_60_64_Unem_Look_FT,C16_M_60_64_Unem_Look_PT,C16_M_60_64_Unem_Tot,C16_M_60_64_Tot_LF,C16_M_60_64_Not_LF,C16_M_60_64_LF_NS,C16_M_60_64_Tot,C16_M_65_69_Em_FT,C16_M_65_69_Em_PT,C16_M_65_69_Em_AFW,C16_M_65_69_Em_Hrs_NS,C16_M_65_69_Em_Tot,C16_M_65_69_Unem_Look_FT,C16_M_65_69_Unem_Look_PT,C16_M_65_69_Unem_Tot,C16_M_65_69_Tot_LF,C16_M_65_69_Not_LF,C16_M_65_69_LF_NS,C16_M_65_69_Tot,C16_M_70_74_Em_FT,C16_M_70_74_Em_PT,C16_M_70_74_Em_AFW,C16_M_70_74_Em_Hrs_NS,C16_M_70_74_Em_Tot,C16_M_70_74_Unem_Look_FT,C16_M_70_74_Unem_Look_PT,C16_M_70_74_Unem_Tot,C16_M_70_74_Tot_LF,C16_M_70_74_Not_LF,C16_M_70_74_LF_NS,C16_M_70_74_Tot,C16_M_75over_Em_FT,C16_M_75over_Em_PT,C16_M_75over_Em_AFW,C16_M_75over_Em_Hrs_NS,C16_M_75over_Em_Tot,C16_M_75over_Unem_Lo_ft_wor,C16_M_75over_Unem_Lo_pt_wor,C16_M_75over_Unempl_Tot,C16_M_75over_Tot_LF,C16_M_75over_Not_LF,C16_M_75over_LF_NS,C16_M_75over_Tot,C16_M_Tot_Em_FT,C16_M_Tot_Em_PT,C16_M_Tot_Em_AFW,C16_M_Tot_Em_Hrs_NS,C16_M_Tot_Em_Tot,C16_M_Tot_Unem_Look_FT,C16_M_Tot_Unem_Look_PT,C16_M_Tot_Unem_Tot,C16_M_Tot_Tot_labo_for,C16_M_Tot_Not_LF,C16_M_Tot_LF_NS,C16_M_Tot_Tot,C21_M_15_19_Em_FT,C21_M_15_19_Em_PT,C21_M_15_19_Em_AFW,C21_M_15_19_Em_Hrs_NS,C21_M_15_19_Em_Tot,C21_M_15_19_Unem_Look_FT,C21_M_15_19_Unem_Look_PT,C21_M_15_19_Unem_Tot,C21_M_15_19_Tot_LF,C21_M_15_19_Not_LF,C21_M_15_19_LF_NS,C21_M_15_19_Tot,C21_M_20_24_Em_FT,C21_M_20_24_Em_PT,C21_M_20_24_Em_AFW,C21_M_20_24_Em_Hrs_NS,C21_M_20_24_Em_Tot,C21_M_20_24_Unem_Look_FT,C21_M_20_24_Unem_Look_PT,C21_M_20_24_Unem_Tot,C21_M_20_24_Tot_LF,C21_M_20_24_Not_LF,C21_M_20_24_LF_NS,C21_M_20_24_Tot,C21_M_25_29_Em_FT,C21_M_25_29_Em_PT,C21_M_25_29_Em_AFW,C21_M_25_29_Em_Hrs_NS,C21_M_25_29_Em_Tot,C21_M_25_29_Unem_Look_FT,C21_M_25_29_Unem_Look_PT,C21_M_25_29_Unem_Tot,C21_M_25_29_Tot_LF,C21_M_25_29_Not_LF,C21_M_25_29_LF_NS,C21_M_25_29_Tot,C21_M_30_34_Em_FT,C21_M_30_34_Em_PT,C21_M_30_34_Em_AFW,C21_M_30_34_Em_Hrs_NS,C21_M_30_34_Em_Tot,C21_M_30_34_Unem_Look_FT,C21_M_30_34_Unem_Look_PT,C21_M_30_34_Unem_Tot,C21_M_30_34_Tot_LF,C21_M_30_34_Not_LF,C21_M_30_34_LF_NS,C21_M_30_34_Tot,C21_M_35_39_Em_FT,C21_M_35_39_Em_PT,C21_M_35_39_Em_AFW,C21_M_35_39_Em_Hrs_NS,C21_M_35_39_Em_Tot,C21_M_35_39_Unem_Look_FT,C21_M_35_39_Unem_Look_PT,C21_M_35_39_Unem_Tot,C21_M_35_39_Tot_LF,C21_M_35_39_Not_LF,C21_M_35_39_LF_NS,C21_M_35_39_Tot,C21_M_40_44_Em_FT,C21_M_40_44_Em_PT,C21_M_40_44_Em_AFW,C21_M_40_44_Em_Hrs_NS
801011016,211,33,17,260,169,27,7,5,208,6,0,12,222,8,9,244,160,40,5,0,210,6,0,7,221,12,9,241,183,26,3,6,217,4,0,9,220,9,5,241,181,27,9,0,211,10,0,6,222,14,14,252,141,27,3,0,176,7,4,8,185,16,16,216,124,27,8,0,160,8,3,9,167,40,12,217,79,39,11,0,126,0,0,0,125,120,10,252,33,22,7,0,68,4,0,0,67,162,15,244,3,15,0,0,19,0,0,0,25,109,7,133,3,3,0,0,6,0,0,0,6,134,13,151,1337,463,62,24,1889,72,49,114,2006,832,136,2977,19,83,3,0,106,3,25,29,131,106,9,244,95,78,8,0,184,7,15,17,205,44,5,251,169,57,5,3,233,5,4,7,243,29,19,292,172,44,3,3,223,3,0,6,231,33,8,266,207,33,9,0,251,4,0,5,259,16,8,290,196,47,5,0
801011017,95,14,7,110,94,22,4,0,120,4,0,9,124,8,0,139,112,18,0,0,128,3,0,3,131,13,4,152,114,8,0,0,120,0,0,0,121,11,10,146,82,20,0,3,113,3,0,3,110,8,8,125,60,12,0,5,78,0,0,0,80,7,0,90,63,6,5,0,69,0,3,5,71,20,5,105,40,16,0,0,54,0,3,5,59,25,5,89,6,10,7,0,19,0,0,0,22,65,3,92,0,3,0,0,6,0,0,0,6,58,0,63,0,0,0,0,3,0,0,0,3,69,0,67,695,174,20,19,904,32,22,46,957,359,65,1384,15,26,0,0,37,3,4,7,49,50,0,104,35,32,0,0,79,3,5,6,85,11,6,101,67,10,0,0,79,3,0,3,86,16,9,105,95,21,3,0,119,6,0,7,123,3,14,145,117,11,4,0,128,7,0,7,134,8,6,148,89,21,3,0
801011018,4,0,0,7,6,4,0,0,3,0,0,0,3,0,0,8,3,0,0,0,3,0,0,0,3,0,0,3,7,0,0,0,7,0,0,0,7,0,0,7,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,0,0,33,3,4,4,35,17,4,58,6,19,0,0,26,0,6,6,24,15,3,42,91,74,9,0,177,3,9,9,186,32,13,230,182,69,5,12,268,8,5,7,277,24,18,323,153,38,4,3,196,4,5,10,204,13,11,231,94,15,3,4,122,0,0,0,122,5,13,138,69,10,3,0
801011019,272,23,4,295,305,34,7,3,351,6,0,8,360,18,21,400,243,39,8,7,295,4,3,3,304,9,12,322,204,24,6,3,240,0,0,0,240,16,10,259,151,15,6,0,177,0,0,0,179,9,10,196,85,11,0,0,99,5,0,3,107,14,4,119,94,11,4,0,101,0,4,4,107,23,3,132,51,16,4,0,72,0,0,3,76,46,3,126,22,9,0,0,34,0,0,0,37,74,6,115,0,4,0,0,8,0,0,0,8,65,7,78,4,0,0,0,5,0,0,0,5,60,4,69,1489,315,70,24,1897,37,32,68,1971,444,89,2497,9,53,5,0,69,4,13,16,85,80,5,163,81,49,5,0,135,5,3,11,142,28,6,181,160,45,11,0,216,6,6,11,223,15,8,246,216,40,8,6,269,0,0,0,272,9,3,289,282,44,13,3,344,4,0,4,345,18,11,375,237,34,7,0
801011020,92,15,11,122,77,15,4,3,96,0,0,0,99,7,0,104,77,14,0,0,90,0,0,0,90,0,6,100,63,7,0,0,74,4,3,5,77,11,3,84,63,8,0,0,69,0,0,0,74,14,6,87,53,10,0,3,69,0,0,0,68,6,0,80,25,12,0,0,37,0,0,4,42,18,5,63,16,10,0,0,25,0,0,0,25,22,3,57,5,6,0,0,17,0,0,0,17,30,3,47,9,7,0,0,10,0,0,0,10,45,4,58,3,4,0,0,6,0,0,0,11,76,9,96,490,158,17,16,677,17,18,33,712,325,49,1085,8,18,0,0,34,0,3,3,37,24,4,63,53,38,9,0,92,3,10,10,101,15,16,133,84,26,4,0,120,3,5,8,123,12,17,151,69,23,5,3,95,6,3,7,103,9,13,122,73,18,0,0,92,3,0,3,97,11,5,114,75,14,4,0
801011021,62,10,6,81,52,7,0,0,54,0,0,4,63,4,8,68,60,6,0,3,69,6,0,0,74,6,10,84,62,3,3,0,71,0,0,0,71,10,7,84,76,8,0,0,86,0,0,0,86,3,0,91,75,10,0,0,86,0,0,0,87,5,3,94,34,12,4,0,47,3,0,0,56,17,5,80,37,18,0,0,53,0,0,0,59,45,5,113,17,7,4,0,34,0,0,0,38,49,9,88,0,0,0,0,3,0,0,0,3,36,0,39,0,0,0,0,0,0,0,0,0,51,7,52,517,149,16,11,700,12,19,38,735,281,72,1087,4,21,0,0,29,3,13,12,43,40,0,85,43,24,0,0,66,5,0,5,71,8,5,79,56,10,0,4,72,0,0,0,71,10,11,88,62,5,0,0,71,4,0,9,77,3,0,83,54,13,0,0,75,0,0,0,77,4,0,79,62,14,3,0
801011022,60,13,4,71,73,11,3,0,87,0,0,0,87,9,5,96,63,5,6,0,82,0,0,0,85,8,6,100,98,13,0,4,112,0,0,0,112,6,10,123,68,14,0,0,85,0,0,0,87,12,5,106,70,3,0,0,77,0,0,0,79,18,0,96,47,11,0,0,66,0,0,0,66,25,4,96,33,6,0,0,50,4,0,4,50,26,0,77,13,12,0,0,27,0,0,0,28,54,6,86,3,10,0,0,11,0,0,0,11,64,3,76,0,6,0,0,4,0,0,0,4,84,10,97,558,162,28,8,755,20,10,35,789,364,65,1219,11,29,4,0,44,0,7,11,53,46,6,104,49,34,5,0,82,0,0,7,92,12,8,110,50,13,5,0,73,0,0,5,74,9,5,80,67,12,6,4,82,0,0,3,87,8,3,97,94,10,5,0,116,0,0,0,112,9,0,121,79,9,6,0
801011023,86,7,3,95,90,13,5,0,105,0,0,0,108,9,10,129,85,13,3,7,98,5,4,4,107,10,8,116,46,15,5,4,70,4,0,4,70,9,4,85,60,10,0,0,69,0,0,0,74,8,0,78,40,9,3,0,52,0,0,0,51,10,0,68,28,5,0,0,41,0,0,0,43,17,4,61,6,6,0,0,17,4,0,0,19,18,0,44,5,4,0,0,8,4,0,0,11,31,6,50,0,0,0,0,3,0,0,0,3,50,4,65,0,3,0,0,3,0,0,0,5,166,16,190,474,124,23,17,633,19,12,39,673,395,64,1132,8,19,0,0,33,0,3,3,32,25,3,63,25,32,0,6,58,0,3,5,67,14,5,82,75,25,0,6,99,7,0,6,110,8,4,129,89,25,0,0,120,3,0,3,123,10,12,146,81,17,8,3,102,0,0,0,105,6,3,118,62,17,6,0
801011024,103,9,5,119,93,21,4,0,120,3,0,9,122,4,9,140,81,14,0,0,95,0,0,0,98,11,3,118,61,18,5,0,88,0,0,3,89,3,3,94,69,14,3,0,83,4,0,4,84,9,12,103,52,12,3,0,66,0,0,0,71,15,3,94,26,13,0,0,33,3,0,7,42,16,6,66,13,4,0,0,19,0,0,0,23,27,0,47,4,3,0,0,6,0,0,0,6,47,0,59,0,3,0,0,8,0,0,0,4,51,3,55,0,0,0,0,3,0,0,0,7,64,3,73,517,177,21,8,728,34,20,50,781,314,72,1166,8,31,0,0,37,5,8,8,45,26,3,76,42,20,4,0,67,8,0,8,70,10,11,92,63,26,0,0,92,0,0,3,96,12,4,108,87,24,3,3,124,6,0,0,124,10,17,150,93,29,3,3,121,3,0,3,134,10,4,143,75,11,0,0
801011025,56,7,0,65,72,10,0,6,88,0,0,0,90,3,5,94,69,12,0,0,81,0,0,0,84,3,3,89,76,14,3,0,93,3,0,3,103,5,3,107,43,8,0,0,52,0,0,0,55,5,0,59,47,6,0,6,55,0,0,4,58,4,3,67,31,10,0,0,42,0,0,0,46,19,4,61,24,4,0,0,34,0,0,0,34,23,7,58,22,5,0,0,26,0,0,0,26,53,7,83,4,5,0,0,5,0,0,0,5,30,3,42,0,0,0,0,0,0,0,0,6,62,0,63,469,123,16,7,613,24,10,36,653,248,32,935,11,33,0,0,45,0,7,8,59,32,4,92,20,26,0,0,48,0,0,3,59,10,5,73,34,3,0,0,43,3,3,0,49,6,0,54,55,9,0,0,70,3,0,3,73,10,3,86,79,9,3,0,93,3,0,3,91,7,0,103,74,8,0,4
801011026,46,8,0,55,34,6,0,0,37,0,0,0,35,0,0,44,51,13,3,0,63,0,0,3,69,6,0,72,63,15,4,0,78,0,0,0,80,0,0,82,108,9,6,0,118,0,0,0,116,0,5,124,70,0,0,0,71,0,0,0,71,5,0,78,52,9,0,5,65,0,0,4,65,20,3,88,21,8,3,0,34,0,0,0,34,25,0,59,15,6,0,0,25,0,0,0,27,35,0,65,7,10,0,0,14,0,0,0,13,54,4,75,3,10,0,0,14,0,0,0,14,91,13,113,477,147,14,6,650,15,16,34,682,292,34,1005,9,54,0,0,66,0,15,15,81,36,0,116,26,36,0,0,65,0,5,3,66,12,4,80,39,27,3,3,72,6,0,6,73,5,5,82,36,18,5,0,57,0,0,0,57,7,0,62,58,11,0,0,74,0,0,0,76,3,0,80,69,7,0,0
801011111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,3,10,0,7,0,0,3,0,0,0,3,11,0,16,7,6,0,0,14,0,0,0,15,0,0,19,26,7,0,0,40,0,0,0,36,0,0,36,38,3,0,0,50,0,0,0,50,0,0,51,41,7,4,0,47,0,0,0,47,0,3,53,17,3,0,0
801011144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801031031,0,70,0,70,0,0,0,0,0,0,0,0,0,77,0,79,0,0,0,0,0,0,0,0,0,58,0,58,0,0,0,0,0,0,0,0,0,47,0,47,0,0,0,0,0,0,0,0,0,28,0,28,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,394,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,32,0,35,0,0,0,0,0,0,0,0,0,71,0,71,0,0,0,0,0,0,0,0,0,74,0,74,0,0,0,0,0,0,0,0,0,62,0,62,0,0,0,0
801031032,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,11,0,0,0,11,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801031113,14,13,4,26,8,0,3,6,16,0,0,0,20,5,11,30,7,0,0,0,9,4,0,4,17,6,3,31,22,0,0,0,22,0,0,0,18,6,8,40,22,4,0,0,30,4,0,4,34,4,4,45,20,13,0,0,32,0,0,3,34,15,13,64,13,0,0,0,18,4,0,4,19,21,3,49,21,10,0,0,28,0,0,0,25,22,9,57,9,0,0,0,9,0,0,0,9,15,10,34,0,0,0,0,9,0,0,0,9,21,3,28,0,0,0,0,0,0,0,0,0,19,9,21,146,48,3,6,205,26,3,28,234,165,83,480,5,5,0,0,3,0,0,0,3,0,7,15,16,3,0,0,20,0,0,0,22,0,9,35,16,5,0,0,24,0,0,3,22,3,10,38,25,8,0,0,30,0,0,0,29,3,17,48,21,5,0,0,24,9,0,9,25,3,23,55,15,3,0,0
801031114,4,0,0,4,6,0,0,0,10,0,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,5,4,0,0,0,4,0,0,0,4,0,0,7,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,0,35,0,0,0,39,4,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,6,0,0,0,6,0,0,3,6,0,0,0,3,0,0,0,9,0,0,5,4,0,0,0,4,0,0,0,4,0,0,10,0,0,0,0
801031115,0,0,0,0,6,3,0,0,8,0,0,0,8,0,3,13,5,0,0,0,5,0,0,0,5,0,0,5,6,0,0,0,6,0,0,0,6,0,0,6,5,0,0,0,8,0,0,0,8,0,0,8,3,0,0,0,5,0,0,0,5,0,3,10,6,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,6,4,3,15,3,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,5,0,7,38,12,0,0,50,0,0,0,50,11,10,76,16,0,0,0,13,0,0,0,13,0,7,18,28,5,0,0,39,0,0,0,39,0,10,45,22,0,0,0,22,0,0,0,22,0,8,36,9,0,0,0,9,0,0,0,9,0,0,7,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0
801041034,119,16,0,135,146,16,11,0,169,4,0,4,171,12,4,188,173,13,9,0,201,3,0,3,201,7,8,213,236,21,4,6,262,3,0,5,269,12,9,288,206,14,4,0,230,9,0,9,239,5,9,250,142,16,6,0,171,3,0,3,167,10,10,189,83,12,4,3,99,3,0,8,105,23,10,134,36,15,0,0,51,5,5,7,56,36,7,92,17,7,0,0,21,0,0,0,21,41,0,61,0,0,0,0,5,0,0,0,7,37,3,42,0,0,0,0,3,0,0,0,5,59,7,66,1229,254,45,18,1543,45,35,76,1619,339,76,2034,22,83,8,0,116,0,24,24,138,101,7,246,95,54,0,6,155,4,3,12,167,30,5,203,118,28,0,11,156,7,3,5,171,12,17,192,138,31,9,0,179,4,3,6,190,15,10,213,167,16,6,3,183,6,3,8,196,10,10,218,185,26,5,0
801041035,190,14,8,214,317,33,5,4,355,5,0,5,365,7,15,384,370,35,10,8,421,4,0,3,431,8,28,461,254,29,3,0,286,4,0,4,288,10,16,320,169,15,0,4,183,5,0,6,192,12,7,214,75,17,0,3,94,3,0,3,98,3,10,109,46,3,6,0,59,0,0,0,58,10,0,73,23,9,0,0,31,0,0,3,31,18,0,49,7,6,0,0,18,0,0,0,22,19,0,37,0,0,0,0,4,0,0,0,7,14,0,23,0,0,0,0,0,0,0,0,0,11,0,14,1507,249,35,28,1822,37,30,69,1885,222,98,2211,20,56,8,0,86,3,20,29,117,106,10,237,81,67,0,6,153,6,3,11,171,31,7,212,162,58,4,9,234,12,0,12,246,23,14,283,173,42,7,7,235,7,0,9,248,18,12,270,287,47,7,7,352,9,0,9,359,15,15,390,321,34,5,8
801041036,275,5,12,295,343,41,14,8,405,6,0,6,413,9,22,438,279,41,7,3,330,10,0,5,335,12,9,357,179,21,4,4,201,0,0,7,208,8,11,225,108,11,4,0,118,0,0,0,118,3,5,129,87,9,5,0,97,0,0,0,99,12,5,116,36,8,0,0,45,4,0,4,46,15,5,63,29,8,4,0,41,3,0,3,41,22,5,70,11,6,0,0,12,0,0,0,12,24,3,43,0,0,0,0,4,0,0,0,4,15,0,18,0,0,0,0,0,0,0,0,0,13,0,20,1392,239,43,34,1701,26,19,45,1749,202,93,2039,16,57,4,0,79,5,21,20,95,69,4,177,77,49,5,0,132,10,10,19,146,23,4,169,162,51,4,6,223,6,3,6,229,11,12,249,233,37,4,12,277,6,0,7,287,11,12,308,320,36,4,3,367,0,0,3,367,17,12,398,284,32,8,3
801041037,198,28,16,248,257,25,9,0,289,3,0,3,294,9,14,311,237,22,4,8,271,0,0,0,271,4,8,288,146,15,5,0,167,0,0,3,172,3,9,179,93,9,0,0,105,0,0,0,106,6,6,116,68,7,0,0,83,0,0,0,83,8,0,85,43,10,3,0,49,0,0,0,48,4,5,61,16,5,0,0,22,0,0,0,22,22,0,44,11,3,0,0,14,0,0,0,14,26,0,37,0,0,0,0,0,0,0,0,0,13,0,19,0,0,0,0,0,0,0,0,0,26,0,32,1103,181,28,15,1330,13,17,31,1364,231,65,1661,8,33,0,0,43,0,6,6,50,61,0,108,48,36,0,4,89,3,4,3,99,15,5,116,141,21,3,5,173,0,3,5,173,12,6,194,147,31,6,3,190,10,0,6,194,14,6,215,221,26,5,0,256,5,0,7,258,3,3,268,208,25,5,6
801041038,94,4,0,104,138,13,0,0,147,0,0,5,150,6,5,165,203,12,5,0,224,3,0,3,222,0,7,232,238,14,0,0,259,3,0,3,257,7,6,275,164,10,0,0,175,0,0,0,176,7,12,195,78,5,4,0,83,0,0,3,85,3,3,95,45,11,4,0,58,0,0,0,59,13,0,72,27,5,0,0,30,0,0,0,34,18,0,55,5,6,0,0,10,0,0,0,12,28,0,39,0,3,0,0,3,0,0,0,3,22,0,22,0,0,0,0,0,0,0,0,0,12,0,17,1005,157,18,7,1190,23,13,40,1227,187,56,1475,18,61,4,0,79,4,11,14,98,62,5,158,58,31,6,0,89,7,8,11,98,13,5,115,73,16,0,0,98,0,0,4,99,6,5,108,83,12,5,5,98,0,0,0,99,6,9,109,154,13,3,0,179,4,0,6,181,0,4,192,190,11,0,5
801041039,341,50,20,414,319,48,10,3,382,7,4,14,396,21,24,436,301,39,3,0,347,7,0,15,356,9,14,387,227,21,5,5,257,3,4,6,268,18,17,305,147,12,0,0,164,0,0,0,164,6,9,175,95,14,0,5,108,3,0,7,109,9,4,121,68,6,0,0,77,0,0,0,78,8,4,87,21,4,0,0,24,0,0,0,28,23,0,53,5,3,0,0,13,0,0,0,13,29,0,40,3,4,0,0,5,0,0,0,5,16,0,20,0,0,0,0,4,0,0,0,4,16,0,20,1530,320,39,33,1917,56,33,89,2010,392,117,2517,17,40,0,0,62,3,16,17,76,90,5,171,122,94,0,9,228,8,11,21,247,46,20,320,341,99,7,8,457,13,0,12,467,22,32,529,282,74,3,3,363,10,0,10,376,29,19,423,299,58,8,3,369,8,4,7,377,26,18,420,266,39,3,3
