sal_code,sal_name,state,latitude,longitude,area_km2,abs_area_km2,sa2_mappings,police_district,police_mapping_confidence,classification_type,economic_base,last_updated,data_source
50019,Anketell,WA,-32.21870146021691,115.8653850095554,6.822041382525052,6.822,"[{'sa2_code': '507031169', 'sa2_name': 'Wellard (West) - Bertram', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.7}]",,0.0,Urban,"['Services', 'Finance']",2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50020,Anniebrook,WA,-33.66919077000245,115.16908835271755,13.26276204404133,13.2628,"[{'sa2_code': '501011003', 'sa2_name': 'Busselton Surrounds', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Remote,['Mixed Economy'],2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50021,Antonymyre,WA,-20.648434151531625,117.07989361075973,25.774060638791102,25.774,"[{'sa2_code': '510031273', 'sa2_name': 'Roebourne', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Regional Town,['Mixed Economy'],2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50022,Applecross,WA,-32.01361878534432,115.83659364384371,3.1962385691362387,3.1954,"[{'sa2_code': '507041175', 'sa2_name': 'Applecross - Ardross', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.7}]",,0.0,Urban,"['Services', 'Finance']",2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50023,Ardath,WA,-32.03820489397953,118.11329132145461,358.3107992631135,358.3108,"[{'sa2_code': '509021240', 'sa2_name': 'Merredin', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Suburban,"['Services', 'Finance']",2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50024,Ardross,WA,-32.02696433610042,115.83548177287065,2.258842305338686,2.2591,"[{'sa2_code': '507041175', 'sa2_name': 'Applecross - Ardross', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Urban,"['Services', 'Finance']",2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50025,Argyle (WA),WA,-33.54578875909753,115.77067391403118,13.792578165511598,13.7925,"[{'sa2_code': '202021029', 'sa2_name': 'Heathcote', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.7}]",,0.0,Remote,['Mixed Economy'],2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50026,Armadale (WA),WA,-32.15111279001386,116.00684051141552,8.281852779232905,8.2826,"[{'sa2_code': '206061135', 'sa2_name': 'Armadale', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.7}]",,0.0,Urban,"['Services', 'Finance']",2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50027,Arrino,WA,-29.467210136225805,115.56012929324993,398.7258440508623,398.7258,"[{'sa2_code': '511041291', 'sa2_name': 'Morawa', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Remote,['Mixed Economy'],2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50028,Arrowsmith,WA,-29.559106175093717,115.10972856481527,820.6701846157654,820.6703,"[{'sa2_code': '511041289', 'sa2_name': 'Irwin', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Remote,['Agriculture'],2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50029,Arrowsmith East,WA,-29.532690440548095,115.35163744464529,812.0108408063697,812.0108,"[{'sa2_code': '511041291', 'sa2_name': 'Morawa', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Remote,['Agriculture'],2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50030,Arthur River (WA),WA,-33.351494766431706,117.01582615695675,477.2563579191601,477.2563,"[{'sa2_code': '801071083', 'sa2_name': 'Macarthur', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.7}]",,0.0,Remote,['Mixed Economy'],2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50031,Ascot (WA),WA,-31.934082729747747,115.92945118481651,3.761287489909355,3.7614,"[{'sa2_code': '117011325', 'sa2_name': 'Sydney Airport', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.7}]",,0.0,Urban,"['Services', 'Finance']",2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50032,Ashby (WA),WA,-31.732547555117137,115.79768452105523,1.4030300452491893,1.403,"[{'sa2_code': '104011081', 'sa2_name': 'Grafton Surrounds', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.7}]",,0.0,Urban,"['Services', 'Finance']",2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50033,Ashendon,WA,-32.21176243577081,116.18819172452972,210.5251635159919,210.5252,"[{'sa2_code': '506011111', 'sa2_name': 'Ashendon - Lesley', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Suburban,"['Services', 'Finance']",2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50034,Ashfield (WA),WA,-31.917212661630263,115.9379568614617,0.7412379773553521,0.7412,"[{'sa2_code': '120031393', 'sa2_name': 'Croydon Park - Enfield', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.7}]",,0.0,Urban,"['Services', 'Finance']",2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50035,Attadale,WA,-32.0254108873129,115.80243445148733,3.113527922009854,3.1135,"[{'sa2_code': '507041177', 'sa2_name': 'Bicton - Palmyra', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.7}]",,0.0,Urban,"['Services', 'Finance']",2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50036,Atwell,WA,-32.143452330110364,115.86528241076,3.5413548574780225,3.5414,"[{'sa2_code': '507011148', 'sa2_name': 'Banjup', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Urban,"['Services', 'Finance']",2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
50037,Aubin Grove,WA,-32.16713735820152,115.86264295382159,2.472927481785086,2.4725,"[{'sa2_code': '507011148', 'sa2_name': 'Banjup', 'population_weight': 1.0, 'area_weight': 1.0, 'match_confidence': 0.9}]",,0.0,Urban,"['Services', 'Finance']",2025-09-15T00:00:00.000Z,ABS_SAL_2021_FINAL
