sal_code,sal_name,state,latitude,longitude,area_km2,sa2_mappings,police_district,police_mapping_confidence,classification_type,economic_base,last_updated,data_source
50037,Aubin Grove,WA,-32.16712430492304,115.86265360108231,2.36434048941742e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50038,Augusta,WA,-34.307337209877296,115.13483402851183,2.932570162608729e-09,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50039,Australind,WA,-33.282956666850424,115.72290767219685,2.2322086868696787e-09,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50040,Aveley,WA,-31.781301039257418,115.98923946657676,5.809888809741578e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50041,Avon Valley National Park,WA,-31.636056164372132,116.18874481648389,7.126464023609528e-09,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50042,Baandee,WA,-31.526403094821806,117.97419252969065,1.3871651208045044e-08,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50043,Babakin,WA,-32.142969084850854,118.04200813955853,3.6400781465278946e-08,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50044,Babbage Island,WA,-24.881413016104982,113.637973904849,3.5389571493058484e-10,[],,0.0,Tourist,['Tourism'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50045,Badgebup,WA,-33.608800244340294,117.88398109345228,2.0166417530297183e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50046,Badgerin Rock,WA,-30.77592791446656,117.3133552474727,2.2898847068851748e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50047,Badgin,WA,-31.806491010042805,116.99877446301076,8.08064576801244e-09,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50048,Badgingarra,WA,-30.424979294914174,115.59515531419764,1.0598893149988282e-07,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50049,Badjaling,WA,-32.0009832548506,117.50085843315782,8.033522896464699e-09,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50050,Bailup,WA,-31.739050054617117,116.31013031825125,4.476232934203787e-09,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
